IKhuroshiya	<i>name</i><br><ol><li>Croatia</li></ol>
hwalala	<i>verb</i><br><ol><li>to get dark</li></ol>
iWestoniya	<i>noun</i><br><ol><li>Estonia</li></ol>
ibhodi|íbhódi|tíbhódi	<i>noun</i><br><ol><li>bra</li></ol>
ibhola|íbhóla|tíbhóla	<i>noun</i><br><ol><li>ball</li></ol>
ihhontji|íhhontjí|tíhhontjí	<i>noun</i><br><ol><li>pig</li></ol>
ikheli|íkhéli|émákhéli	<i>noun</i><br><ol><li>address</li></ol>
ilingi|tílingi|ílingi	<i>noun</i><br><ol><li>ring</li></ol>
ilula|ílula|émálula	<i>noun</i><br><ol><li>ruler</li></ol>
imakethe|tímákethe|ímákethe	<i>noun</i><br><ol><li>market</li></ol>
imali|ímalí|tímalí	<i>noun</i><br><ol><li>money</li></ol>
imbabala|tímbábalá|ímbábalá	<i>noun</i><br><ol><li>bushbuck</li></ol>
imbasha|tímbashá|ímbashá	<i>noun</i><br><ol><li>popped corn</li></ol>
imbila|ímbîla|tímbîla	<i>noun</i><br><ol><li>rock hyrax</li></ol>
imbiva|tímbíva|ímbíva	<i>noun</i><br><ol><li>beef</li></ol>
imbongolo|ímbóngolo|tímbóngolo	<i>noun</i><br><ol><li>donkey</li></ol>
imbungulu|ímbúngulú|tímbúngulú	<i>noun</i><br><ol><li>bedbug</li></ol>
imbuti|ímbûti|tímbûti	<i>noun</i><br><ol><li>goat</li></ol>
imbuya|ímbuya|tímbuya	<i>noun</i><br><ol><li>leafy vegetable</li><li>soft hair</li></ol>
imbuzulwane|ímbúzúlwáne|tímbúzúlwáne	<i>noun</i><br><ol><li>mosquito</li></ol>
imfene|ímfene|tímfene	<i>noun</i><br><ol><li>baboon</li></ol>
imfeti|tímfêtí|ímfêtí	<i>noun</i><br><ol><li>spitting cobra</li></ol>
imfihlimfihli|tímfihlímfihlí|ímfihlímfihlí	<i>noun</i><br><ol><li>disorder, disarray, helter-skelter arrangement</li></ol>
imfologo|ímfólogo|tímfólogo	<i>noun</i><br><ol><li>fork</li></ol>
imfolomane|tímfólómane|ímfólómane	<i>noun</i><br><ol><li>foreman</li></ol>
imfuhlumfuhlu|ímfuhlúmfuhlú|tímfuhlúmfuhlú	<i>noun</i><br><ol><li>disorder, disarray, helter-skelter arrangement</li></ol>
imfulamashini|tímfúlámáshíni|ímfúlámáshíni	<i>noun</i><br><ol><li>airplane, flying machine</li></ol>
imfumbe|ímfúmbe|tímfúmbe	<i>noun</i><br><ol><li>large wood house</li></ol>
imfundziso|ímfundzíso|tímfundzíso	<i>noun</i><br><ol><li>teaching</li></ol>
imfuyo|tímfúyo|ímfúyo	<i>noun</i><br><ol><li>domestic animal or bird</li></ol>
imoto|ímóto|tímóto	<i>noun</i><br><ol><li>motor car</li></ol>
impala|tímpalá|ímpalá	<i>noun</i><br><ol><li>impala</li></ol>
impalampala|ímpálámpala|tímpálámpala	<i>noun</i><br><ol><li>roan or sable antelope</li><li>signal horn</li></ol>
imphahla|ímphahla|tímphahla	<i>noun</i><br><ol><li>goods (plural)</li><li>cow, cattle</li></ol>
imphaka|tímphâka|ímphâka	<i>noun</i><br><ol><li>grey wild cat</li><li>any wild animal used in witchcraft</li><li>greedy person</li></ol>
imphandze|tímphandze|ímphandze	<i>noun</i><br><ol><li>root</li></ol>
imphangele|ímphangêle|tímphangêle	<i>noun</i><br><ol><li>guinea fowl</li></ol>
imphendvulo|ímphéndvulo|tímphéndvulo	<i>noun</i><br><ol><li>answer</li></ol>
imphi|tímphí|ímphí	<i>noun</i><br><ol><li>army, regiment</li><li>battle</li></ol>
imphilo|ímphilo	<i>noun</i><br><ol><li>health, life</li></ol>
imphisi|tímphîsi|ímphîsi	<i>noun</i><br><ol><li>hyena</li></ol>
imphucuko|tímphúcuko|ímphúcuko	<i>noun</i><br><ol><li>civilization</li></ol>
imphumphutse|ímphúmphútse|tímphúmphútse	<i>noun</i><br><ol><li>blind person</li></ol>
imphumulo|ímphúmulo|tímphúmulo	<i>noun</i><br><ol><li>nose</li></ol>
imphungane|ímphúngáne|tímphúngáne	<i>noun</i><br><ol><li>fly</li></ol>
imphuphu|tímphuphu|ímphuphu	<i>noun</i><br><ol><li>flour</li><li>mealie (corn) meal</li></ol>
impunzi|tímpunzi|ímpunzi	<i>noun</i><br><ol><li>duiker</li></ol>
imvelo|ímvelo|tímvelo	<i>noun</i><br><ol><li>nature</li></ol>
imvu|tîmvú|îmvú	<i>noun</i><br><ol><li>sheep</li></ol>
imvubu|tímvubú|ímvubú	<i>noun</i><br><ol><li>hippopotamus</li></ol>
imvula|tímvûla|ímvûla	<i>noun</i><br><ol><li>rain</li></ol>
inala|ínalá	<i>noun</i><br><ol><li>abundance</li></ol>
inamanedi|tínamanédi|ínamanédi	<i>noun</i><br><ol><li>cold drink</li></ol>
incenye|íncénye|tíncénye	<i>noun</i><br><ol><li>part</li></ol>
incola|tíncóla|íncóla	<i>noun</i><br><ol><li>wagon</li></ol>
incwadzi|íncwadzí|tíncwâdzi	<i>noun</i><br><ol><li>book</li></ol>
incwala	<i>noun</i><br><ol><li>incwala</li></ol>
indengane|tíndéngane|índéngane	<i>noun</i><br><ol><li>thin porridge</li></ol>
indiza|índiza|tíndiza	<i>noun</i><br><ol><li>aeroplane, airplane</li></ol>
indlebe|tíndlebé|índlebé	<i>noun</i><br><ol><li>ear</li></ol>
indlela|tíndlela|índlela	<i>noun</i><br><ol><li>road, path</li></ol>
indlondlo|tíndlóndlo|índlóndlo	<i>noun</i><br><ol><li>green mamba snake</li></ol>
indloti|tíndloti|índloti	<i>noun</i><br><ol><li>serval</li></ol>
indlovu|tíndlovu|índlovu	<i>noun</i><br><ol><li>elephant</li></ol>
indlu|índlu|tíndlu	<i>noun</i><br><ol><li>house</li></ol>
indlubu|índlubú|tíndlubú	<i>noun</i><br><ol><li>a kind of ground nut</li></ol>
indlulamitsi|índlulámitsí|tíndlulámitsí	<i>noun</i><br><ol><li>giraffe</li></ol>
indophi|tíndóphi|índóphi	<i>noun</i><br><ol><li>string</li></ol>
indvodza|índvodza|émádvodza	<i>noun</i><br><ol><li>man</li></ol>
indvodzakati|émádvodzakâti|índvodzakâti	<i>noun</i><br><ol><li>daughter</li></ol>
indvuku|tíndvuku|índvuku	<i>noun</i><br><ol><li>stick, staff</li></ol>
indvuna|tíndvúna|índvúna	<i>noun</i><br><ol><li>headman, chief</li></ol>
indvunankhulu|tíndvúnánkhûlu|índvúnánkhûlu	<i>noun</i><br><ol><li>prime minister</li></ol>
indvundvundvwane|tíndvúndvúndvwáne|índvúndvúndvwáne	<i>noun</i><br><ol><li>hedgehog</li></ol>
indvwangu|tíndvwángu|índvwángu	<i>noun</i><br><ol><li>cloth</li></ol>
indzaba|índzaba|tíndzaba	<i>noun</i><br><ol><li>matter, issue, affair</li><li>piece of news</li><li>story</li></ol>
indzawo|tíndzâwo|índzâwo	<i>noun</i><br><ol><li>place</li></ol>
indzebe|índzebé|tíndzebé	<i>noun</i><br><ol><li>lip</li><li>tin can, mug, small container</li></ol>
indzela|índzéla|tíndzéla	<i>noun</i><br><ol><li>hermit, monk</li></ol>
ingadze|íngádze|tíngádze	<i>noun</i><br><ol><li>garden</li></ol>
ingalukhuni|tíngálúkhûni|íngálúkhûni	<i>noun</i><br><ol><li>turkey</li></ol>
inganwa|ínganwá|tínganwá	<i>noun</i><br><ol><li>man with several girlfriends</li></ol>
ingati|tíngatí|íngatí	<i>noun</i><br><ol><li>blood</li></ol>
ingci|íngci|tíngci	<i>noun</i><br><ol><li>aardwolf</li></ol>
ingcosa|tíngcósa|íngcósa	<i>noun</i><br><ol><li>elbow</li></ol>
ingcugce|tíngcugcé|íngcugcé	<i>noun</i><br><ol><li>girl of marriageable age</li></ol>
ingilazi|íngílázi|tíngílázi	<i>noun</i><br><ol><li>glass</li></ol>
ingobiyane|íngóbíyané|tíngóbíyané	<i>noun</i><br><ol><li>monkey</li></ol>
ingobolwane|tíngóbólwané|íngóbólwané	<i>noun</i><br><ol><li>weevil</li></ol>
ingoma|tíngoma|tingoma|íngoma	<i>noun</i><br><ol><li>song</li></ol>
ingongoni|íngóngóni|tíngóngóni	<i>noun</i><br><ol><li>wildebeest</li></ol>
ingoti|íngoti|tíngoti	<i>noun</i><br><ol><li>accident</li><li>danger</li></ol>
ingubo|íngubo|tíngubo	<i>noun</i><br><ol><li>blanket</li></ol>
ingulube|íngúlûbe|tíngúlûbe	<i>noun</i><br><ol><li>pig</li></ol>
ingungu|tíngúngu|íngúngu	<i>noun</i><br><ol><li>grain pot</li></ol>
ingungumbane|tíngúngúmbane|íngúngúmbane	<i>noun</i><br><ol><li>porcupine</li></ol>
ingwadla|íngwadla|tíngwadla	<i>noun</i><br><ol><li>(derogatory) girl who has several boyfriends</li></ol>
ingwe|íngwe|tíngwe	<i>noun</i><br><ol><li>leopard</li></ol>
ingwenya|tíngwenya|íngwenya	<i>noun</i><br><ol><li>crocodile</li></ol>
ingwenyama|íngwényâma|tíngwényâma	<i>noun</i><br><ol><li>male lion</li><li>king</li></ol>
inhlaba|tinhlâba|ínhlaba	<i>noun</i><br><ol><li>aloe</li></ol>
inhlangu|ínhlangú|tínhlangú	<i>noun</i><br><ol><li>reed buck</li></ol>
inhlangwane|ínhlángwane|tínhlángwane	<i>noun</i><br><ol><li>a kind of snake</li></ol>
inhlanhla|tínhlanhla|ínhlanhla	<i>noun</i><br><ol><li>luck</li></ol>
inhlanti|tínhlanti|ínhlanti	<i>noun</i><br><ol><li>fish</li></ol>
inhlanyelo|tínhlányélo|ínhlányélo	<i>noun</i><br><ol><li>seed</li></ol>
inhlase|ínhláse|tínhláse	<i>noun</i><br><ol><li>spark</li><li>sty</li></ol>
inhlatfu|tínhlâtfu|ínhlâtfu	<i>noun</i><br><ol><li>python</li></ol>
inhlavu|tínhlâvu|ínhlâvu	<i>noun</i><br><ol><li>grain</li><li>bullet</li></ol>
inhlitiyo|tínhlítíyo|ínhlítíyo	<i>noun</i><br><ol><li>heart</li></ol>
inhloko|tínhlóko|ínhlóko	<i>noun</i><br><ol><li>head</li><li>director</li></ol>
inhlwa|înhlwá|tînhlwá	<i>noun</i><br><ol><li>flying ant</li></ol>
inja|înjá|tinja|tînjá	<i>noun</i><br><ol><li>dog</li></ol>
injinga|ínjinga|tínjinga	<i>noun</i><br><ol><li>rich person</li></ol>
inkalishi|tínkálishi|ínkálishi	<i>noun</i><br><ol><li>wagon</li></ol>
inkantini|ínkántíni|tínkántíni	<i>noun</i><br><ol><li>brandy, whisky</li></ol>
inkantolo|tínkántôlo|ínkántôlo	<i>noun</i><br><ol><li>court, government office</li></ol>
inkawu|tínkâwu|ínkâwu	<i>noun</i><br><ol><li>monkey</li></ol>
inkhaba|tínkhâba|ínkhâba	<i>noun</i><br><ol><li>belly button, umbilical cord</li></ol>
inkhabi|ínkhâbi|tínkhâbi	<i>noun</i><br><ol><li>ox</li></ol>
inkhala|ínkhâla|tínkhâla	<i>noun</i><br><ol><li>crab</li></ol>
inkhanyeti|tínkhányeti|ínkhányeti	<i>noun</i><br><ol><li>star</li><li>planet</li></ol>
inkhomati|tínkhómâti|ínkhómâti	<i>noun</i><br><ol><li>cow</li></ol>
inkhomo|ínkhomó|tínkhomó	<i>noun</i><br><ol><li>cow, bull, ox</li></ol>
inkhonyane|tínkhónyâne|ínkhónyâne	<i>noun</i><br><ol><li>calf (very young one)</li></ol>
inkhosatana|émákhósátana|ínkhósátana	<i>noun</i><br><ol><li>heiress</li><li>lightning</li><li>female cat</li></ol>
inkhosi|émákhôsi|ínkhôsi	<i>noun</i><br><ol><li>king</li></ol>
inkhosikati|ínkhósíkatí|émákhósíkatí	<i>noun</i><br><ol><li>royal wife, queen</li></ol>
inkhukhu|tínkhûkhu|ínkhûkhu	<i>noun</i><br><ol><li>chicken</li></ol>
inkhulumo|tínkhúlúmo|ínkhúlúmo	<i>noun</i><br><ol><li>conversation</li></ol>
inkhulungwane|ínkhúlúngwane|tínkhúlúngwane	<i>noun</i><br><ol><li>thousand</li></ol>
inkhungu|ínkhûngu|tínkhûngu	<i>noun</i><br><ol><li>fog, mist</li></ol>
inki|ínki|tínki	<i>noun</i><br><ol><li>ink</li></ol>
inkomishi|ínkómishi|tínkómishi	<i>noun</i><br><ol><li>cup</li></ol>
inkonjane|ínkónjané|tínkónjané	<i>noun</i><br><ol><li>swallow</li></ol>
inkumba|ínkumba|tínkumba	<i>noun</i><br><ol><li>shell (of an animal)</li></ol>
inkunzi|tínkûnzi|ínkûnzi	<i>noun</i><br><ol><li>bull</li></ol>
inkwele|tínkwéle|ínkwéle	<i>noun</i><br><ol><li>whistling</li></ol>
insela|ínsela|tínsela	<i>noun</i><br><ol><li>ratel</li></ol>
inshumayelo|tínshúmáyelo|ínshúmáyelo	<i>noun</i><br><ol><li>sermon</li></ol>
insimango|ínsímángo|tínsímángo	<i>noun</i><br><ol><li>simango monkey</li></ol>
insimba|ínsîmba|tínsîmba	<i>noun</i><br><ol><li>genet</li></ol>
insimbi|tínsîmbi|ínsîmbi	<i>noun</i><br><ol><li>iron</li><li>bell</li></ol>
insimi|émásîmi|ínsîmi	<i>noun</i><br><ol><li>field</li><li>myth</li></ol>
insingo|tínsingo|ínsingo	<i>noun</i><br><ol><li>razor</li></ol>
insipho|tínsipho|ínsipho	<i>noun</i><br><ol><li>soap</li></ol>
inso|însó|tînsó	<i>noun</i><br><ol><li>kidney</li></ol>
intfo|întfó|tîntfó	<i>noun</i><br><ol><li>thing</li></ol>
intfombatana|tíntfómbátâna|íntfómbátâna	<i>noun</i><br><ol><li>girl</li></ol>
intfombi|tíntfombí|íntfombí	<i>noun</i><br><ol><li>girl</li></ol>
intfonga|tíntfônga|íntfônga	<i>noun</i><br><ol><li>stick</li></ol>
intfutfu|tíntfutfú|íntfutfú	<i>noun</i><br><ol><li>smoke</li></ol>
intfwala|íntfwála|tíntfwála	<i>noun</i><br><ol><li>louse</li></ol>
intfwasahlobo|íntfwásáhlobo	<i>noun</i><br><ol><li>spring</li></ol>
intje|tîntjé|întjé	<i>noun</i><br><ol><li>ostrich</li></ol>
intjintji|íntjíntji|tíntjíntji	<i>noun</i><br><ol><li>change</li></ol>
intjwebe|tíntjwebe|íntjwebe	<i>noun</i><br><ol><li>beard</li><li>bearded man</li></ol>
intsaba|íntsaba|tíntsaba	<i>noun</i><br><ol><li>mountain, hill</li></ol>
intsambama|tíntsámbama|íntsámbama	<i>noun</i><br><ol><li>afternoon</li></ol>
intsambo|íntsambo|tintsâmbo	<i>noun</i><br><ol><li>rope, string</li><li>capital punishment</li></ol>
intsamo|tintsâmo|íntsamo	<i>noun</i><br><ol><li>neck</li></ol>
intsenetja|íntsénetja|tíntsénetja	<i>noun</i><br><ol><li>hare</li></ol>
intsengo|íntséngo|tíntséngo	<i>noun</i><br><ol><li>price</li></ol>
intsini|íntsiní|tíntsiní	<i>noun</i><br><ol><li>otter</li></ol>
inyakanyaka|tínyákányaka|ínyákányaka	<i>noun</i><br><ol><li>very long object</li><li>confusion</li></ol>
inyalitsi|ínyálitsi|tínyálitsi	<i>noun</i><br><ol><li>needle</li></ol>
inyama|ínyama|tínyama	<i>noun</i><br><ol><li>meat, flesh</li></ol>
inyamatane|tínyámátane|ínyámátane	<i>noun</i><br><ol><li>wild animal</li><li>buck</li></ol>
inyandza|ínyandza|tínyandza	<i>noun</i><br><ol><li>bundle</li></ol>
inyanga|ínyangá|tínyangá|ínyanga|tínyanga	<i>noun</i><br><ol><li>moon</li><li>month</li><li>doctor, indigenous doctor</li></ol>
inyatsi|tínyâtsi|ínyâtsi	<i>noun</i><br><ol><li>buffalo</li></ol>
inyekevu|tínyékévu|ínyékévu	<i>noun</i><br><ol><li>cricket</li></ol>
inyoka|ínyôka|tínyôka	<i>noun</i><br><ol><li>snake</li></ol>
inyoni|tínyoni|ínyoni	<i>noun</i><br><ol><li>bird</li></ol>
inyosi|ínyôsi|tínyôsi	<i>noun</i><br><ol><li>bee</li></ol>
ipenseli|ípénseli|típénseli	<i>noun</i><br><ol><li>pencil</li></ol>
iphephezela|íphéphézéla|típhéphézéla	<i>noun</i><br><ol><li>a dance</li></ol>
ishoki|tíshóki|íshóki	<i>noun</i><br><ol><li>chalk</li></ol>
iwayilesi|íwáyílesi|tíwáyílesi	<i>noun</i><br><ol><li>wireless, radio</li></ol>
jabula	<i>verb</i><br><ol><li>to be happy</li></ol>
jekwa|bójekwá|jekwá	<i>noun</i><br><ol><li>a kind of lizard</li></ol>
jika	<i>verb</i><br><ol><li>(intransitive) to turn</li></ol>
jikeleta	<i>verb</i><br><ol><li>to turn about</li></ol>
jova	<i>verb</i><br><ol><li>to inject</li><li>to influence</li></ol>
joyina	<i>verb</i><br><ol><li>(transitive) to join</li></ol>
kahle|kahlé	<i>adv</i><br><ol><li>well</li></ol>
kaka	<i>verb</i><br><ol><li>to defecate</li></ol>
kakhulu|kakhúlu	<i>adv</i><br><ol><li>a lot, very much</li></ol>
khahlela	<i>verb</i><br><ol><li>to kick</li></ol>
khala	<i>verb</i><br><ol><li>to cry, to weep, to morn</li><li>to sound</li></ol>
khandza	<i>verb</i><br><ol><li>to encounter, to find</li><li>to catch up with</li></ol>
khangeta	<i>verb</i><br><ol><li>to prepare to receive a gift with hands cupped</li></ol>
khanya	<i>verb</i><br><ol><li>to be clean</li></ol>
khanyisa	<i>verb</i><br><ol><li>to clarify</li><li>to light</li></ol>
khetsa	<i>verb</i><br><ol><li>(transitive) to prefer, to choose</li><li>(transitive) to elect</li></ol>
khipha	<i>verb</i><br><ol><li>to take off (clothing)</li><li>to pay a bill</li><li>to offer (drinks to somebody)</li></ol>
khitsika	<i>verb</i><br><ol><li>to snow</li></ol>
khiya	<i>verb</i><br><ol><li>to lock</li></ol>
khohlwa	<i>verb</i><br><ol><li>to forget</li></ol>
khokho|bókhókho|khókho	<i>noun</i><br><ol><li>cocoa</li><li>great grandmother</li></ol>
kholwa	<i>verb</i><br><ol><li>to believe</li></ol>
khombisa	<i>verb</i><br><ol><li>to show</li></ol>
khonta	<i>verb</i><br><ol><li>to worship</li><li>to become a Swazi citizen</li></ol>
khotsa	<i>verb</i><br><ol><li>to lick</li></ol>
khula	<i>verb</i><br><ol><li>to become big</li><li>to grow</li><li>to become mature</li></ol>
khulu|lokukhulu|sikhulu|lenkhulu|bukhulu|lemikhulu|sibakhulu|lesikhulu|mikhulu|lamakhulu|nibakhulu|lesibakhulu|ngimkhulu|makhulu|lolukhulu|likhulu|letinkhulu|tinkhulu|lenibakhulu|labakhulu|lukhulu|mkhulu|bakhulu|lomkhulu|lengimkhulu|lobukhulu|kukhulu|lelikhulu|umkhulu|inkhulu	<i>adj</i><br><ol><li>old man</li></ol>
khuluma	<i>verb</i><br><ol><li>to speak, to talk</li></ol>
khuluphala	<i>verb</i><br><ol><li>to be fat</li></ol>
khumbula	<i>verb</i><br><ol><li>to remember</li></ol>
khumula	<i>verb</i><br><ol><li>to undress, to change clothes</li></ol>
khutsala	<i>verb</i><br><ol><li>to be active</li></ol>
khwela	<i>verb</i><br><ol><li>to climb into (a tree, vehicle, etc.)</li><li>to ride</li></ol>
khwesha	<i>verb</i><br><ol><li>to stand back, to move away</li></ol>
kona|koná	<i>pron</i><br><ol><li>it; class 15 absolute pronoun.</li></ol>
kotini|bókótini|kótini	<i>noun</i><br><ol><li>cotton</li></ol>
kubulala|kúbúlála	<i>noun</i><br><ol><li>murder, killing</li></ol>
kudla|kûdlá	<i>noun</i><br><ol><li>food</li></ol>
kudvuma|kúdvuma	<i>noun</i><br><ol><li>thunderstorm</li></ol>
kudzabuka|kúdzábûka	<i>noun</i><br><ol><li>sorrow</li></ol>
kufa|kûfá	<i>noun</i><br><ol><li>death</li></ol>
kugula|kúgula	<i>noun</i><br><ol><li>illness</li></ol>
kuhlindza|kúhlíndza	<i>noun</i><br><ol><li>operation</li></ol>
kuhlola|kúhlóla	<i>noun</i><br><ol><li>inspection</li></ol>
kukhanya|kúkhanya	<i>noun</i><br><ol><li>light</li></ol>
kupopola|kúpópóla	<i>noun</i><br><ol><li>medical examination</li></ol>
kusa|kûsá	<i>noun</i><br><ol><li>dawn</li></ol>
kusasa	<i>adv</i><br><ol><li>tomorrow</li><li>in the future</li></ol>
kuthula|kúthúla	<i>noun</i><br><ol><li>quietness, peace</li></ol>
kutibulala|kútíbúlála	<i>noun</i><br><ol><li>suicide</li></ol>
kwata	<i>verb</i><br><ol><li>to be angry</li></ol>
laba	<i>pron</i><br><ol><li>these; class 2 proximal demonstrative.</li><li>that over there, yonder; class 1 remote demonstrative.</li><li>that over there, yonder; class 3 remote demonstrative.</li></ol>
labo	<i>pron</i><br><ol><li>these; class 2 distal demonstrative.</li></ol>
lahla	<i>verb</i><br><ol><li>to throw away, to discard</li></ol>
lahleka	<i>verb</i><br><ol><li>to be lost</li></ol>
lala	<i>verb</i><br><ol><li>to sleep</li></ol>
lalela	<i>verb</i><br><ol><li>to listen to</li><li>to obey</li></ol>
lamba	<i>verb</i><br><ol><li>(intransitive) to become hungry</li></ol>
lamuhla|lámûhla	<i>adv</i><br><ol><li>today</li></ol>
landza	<i>verb</i><br><ol><li>(transitive) to fetch</li></ol>
landzela	<i>verb</i><br><ol><li>to follow</li></ol>
lapha|lápha|lâphá	<i>adv</i><br><ol><li>here; proximal demonstrative adverb.</li><li>yonder; remote demonstrative adverb.</li></ol>
lapho|lápho	<i>adv</i><br><ol><li>there; distal demonstrative adverb.</li></ol>
lawa	<i>pron</i><br><ol><li>those over there, yonder; class 6 remote demonstrative.</li></ol>
lawo	<i>pron</i><br><ol><li>these; class 6 distal demonstrative.</li></ol>
layida	<i>verb</i><br><ol><li>to light (a cigarette, stove, candle lamp)</li></ol>
lela	<i>pron</i><br><ol><li>that over there, yonder; class 5 remote demonstrative.</li></ol>
leli	<i>pron</i><br><ol><li>this; class 5 proximal demonstrative.</li></ol>
lelo	<i>pron</i><br><ol><li>that; class 5 distal demonstrative.</li></ol>
lesa	<i>pron</i><br><ol><li>that over there, yonder; class 7 remote demonstrative.</li></ol>
lesi	<i>pron</i><br><ol><li>this; class 7 proximal demonstrative.</li></ol>
leso	<i>pron</i><br><ol><li>that; class 7 distal demonstrative.</li></ol>
leta	<i>pron</i><br><ol><li>those over there, yonder; class 8 remote demonstrative.</li><li>those over there, yonder; class 10 remote demonstrative.</li></ol>
leti	<i>pron</i><br><ol><li>these; class 8 proximal demonstrative.</li></ol>
leto	<i>pron</i><br><ol><li>those; class 8 distal demonstrative.</li></ol>
letsa	<i>verb</i><br><ol><li>(transitive) to bring</li></ol>
leya	<i>pron</i><br><ol><li>that over there, yonder; class 9 remote demonstrative.</li><li>those over there, yonder; class 4 remote demonstrative.</li></ol>
leyo	<i>pron</i><br><ol><li>those; class 4 distal demonstrative.</li><li>that; class 9 distal demonstrative.</li></ol>
li-awa|lí-áwa|émá-áwa	<i>noun</i><br><ol><li>hour</li></ol>
liChoza|émáChoza|líChoza	<i>noun</i><br><ol><li>Xhosa person</li></ol>
liJalimane|líJálímáne|émáJálímáne	<i>noun</i><br><ol><li>German person</li></ol>
liKhalatsi|líKhálatsi|émáKhálatsi	<i>noun</i><br><ol><li>colored person</li></ol>
liKula|émáKúla|líKúla	<i>noun</i><br><ol><li>(derogatory) Indian person</li></ol>
liLawu|líLawu|émáLawu	<i>noun</i><br><ol><li>Hottentot</li></ol>
liMelika|émáMélika|líMélika	<i>noun</i><br><ol><li>American person</li></ol>
liNdiya|líNdiya|émáNdiya	<i>noun</i><br><ol><li>Indian person</li></ol>
liNdzebele|émáNdzébêle|líNdzébêle	<i>noun</i><br><ol><li>Ndebele person</li></ol>
liSontfo|émáSontfo|líSontfo	<i>noun</i><br><ol><li>Sunday</li></ol>
liSwati|émáSwati|líSwati	<i>noun</i><br><ol><li>Swazi person</li></ol>
liTaliyane|émáTálíyáne|líTálíyáne	<i>noun</i><br><ol><li>Italian person</li></ol>
libala|líbâla|émábâla	<i>noun</i><br><ol><li>spot</li><li>open space, yard</li></ol>
libalave|líbáláve|émábáláve	<i>noun</i><br><ol><li>map</li></ol>
libandla|émábândla|líbândla	<i>noun</i><br><ol><li>council</li></ol>
libanga|líbanga|émábanga	<i>noun</i><br><ol><li>distance</li></ol>
libele|líbelé|líbéle|émábéle|émábelé	<i>noun</i><br><ol><li>breast</li><li>sorghum</li></ol>
libhakede|líbhákêde|émábhákêde	<i>noun</i><br><ol><li>bucket</li></ol>
libhala|émábhála|líbhála	<i>noun</i><br><ol><li>bar</li><li>wheelbarrow</li></ol>
libhande|líbhánde|émábhánde	<i>noun</i><br><ol><li>belt</li></ol>
libhange|líbhánge|émábhánge	<i>noun</i><br><ol><li>bank</li></ol>
libhanisi|émábhánisi|líbhánisi	<i>noun</i><br><ol><li>bun</li></ol>
libhantji|líbhántji|émábhántji	<i>noun</i><br><ol><li>coat</li></ol>
libhasi|líbhási|émábhási	<i>noun</i><br><ol><li>bus</li></ol>
libhasikidi|émábhásíkídi|líbhásíkídi	<i>noun</i><br><ol><li>basket</li></ol>
libhayisikili|líbháyísíkili|émábháyísíkili	<i>noun</i><br><ol><li>bicycle</li></ol>
libhentji|émábhéntji|líbhéntji	<i>noun</i><br><ol><li>bench</li></ol>
libhimbi|émábhîmbi|líbhîmbi	<i>noun</i><br><ol><li>bad singer</li></ol>
libhodi|émábhódi|líbhódi	<i>noun</i><br><ol><li>board</li></ol>
libhodlela|líbhódlela|émábhódlela	<i>noun</i><br><ol><li>bottle</li></ol>
libhodo|émábhodó|líbhodó	<i>noun</i><br><ol><li>pot</li></ol>
libhokisi|émábhókîsi|líbhókîsi	<i>noun</i><br><ol><li>box</li></ol>
libhontjisi|líbhóntjîsi|émábhóntjîsi	<i>noun</i><br><ol><li>bean</li></ol>
libhotela|émábhótêla|líbhótêla	<i>noun</i><br><ol><li>butter</li></ol>
libhubesi|líbhúbêsi|émábhúbêsi	<i>noun</i><br><ol><li>lion</li></ol>
libhuku|líbhukú|émábhukú	<i>noun</i><br><ol><li>large book</li></ol>
libhulawozi|émábhulawozí|líbhulawozí	<i>noun</i><br><ol><li>blouse</li></ol>
libhuloho|líbhúlóho|émábhúlóho	<i>noun</i><br><ol><li>bridge</li></ol>
libhuluko|líbhúlúko|émábhúlúko	<i>noun</i><br><ol><li>(in the plural) trousers</li></ol>
libhungane|émábhúngáne|líbhúngáne	<i>noun</i><br><ol><li>beetle</li></ol>
libilibili|émábílíbili|líbílíbili	<i>noun</i><br><ol><li>pepper</li></ol>
libito|líbîto|émábîto	<i>noun</i><br><ol><li>name</li></ol>
libovu|émábovú|líbovú	<i>noun</i><br><ol><li>red ochre</li></ol>
libululu|émábúlûlú|líbúlûlú	<i>noun</i><br><ol><li>puffadder</li></ol>
libunti|émábûnti|líbûnti	<i>noun</i><br><ol><li>forehead</li></ol>
libutfo|líbûtfo|émábûtfo	<i>noun</i><br><ol><li>regiment</li></ol>
licaba|lícâba|émácâba	<i>noun</i><br><ol><li>non-Christian</li><li>uncivilized person</li><li>leather blanket</li></ol>
licaca|émácâcá|lícâcá	<i>noun</i><br><ol><li>skunk</li></ol>
licakala|lícákála|émácákála	<i>noun</i><br><ol><li>ankle</li></ol>
licandza|émácândza|lícândza	<i>noun</i><br><ol><li>egg</li></ol>
licembe|émácémbe|lícémbe	<i>noun</i><br><ol><li>leaf</li></ol>
lichawe|emachawe	<i>noun</i><br><ol><li>warrior, hero</li></ol>
lichegu|líchegu|émáchegu	<i>noun</i><br><ol><li>old man</li></ol>
lichuma|líchumá|émáchumá	<i>noun</i><br><ol><li>bad dancer</li></ol>
lichutu|líchûtu|émáchûtu	<i>noun</i><br><ol><li>stump</li></ol>
