adùbiʼíne|adùbiʼíne III.6	<i>noun</i><br><ol><li>adobe</li></ol>
rarą̀xu’úna|rarą̀xu’úna III.5|rarą̀xu’úne	<i>noun</i><br><ol><li>orange, lemon (fruits)</li></ol>
ràncu’úna|ràncu’úne|ràncu’úna III.5	<i>noun</i><br><ol><li>ranch</li></ol>
sayénuna|sayénuna I.1|sayénuną	<i>noun</i><br><ol><li>Cheyenne Indian</li></ol>
si̋en	<i>num</i><br><ol><li>hundred (only in combination with single digit numbers beside "one"; "one hundred" is formed differently as tę̋tę̌)</li></ol>
si̋eną	<i>num</i><br><ol><li>hundred</li></ol>
supòno’óna|supòno’óna III.5|supòno’óne	<i>noun</i><br><ol><li>bedspring</li></ol>
sédoną|sédoną II.3	<i>noun</i><br><ol><li>silk</li></ol>
sóbolu|sóbolu uninflected	<i>noun</i><br><ol><li>Saturday</li></ol>
sùdo’óne|sùdo’óne III.6	<i>noun</i><br><ol><li>baking soda</li></ol>
sȕléna|sȕlénemą|sȕléna I.2	<i>noun</i><br><ol><li>bluebird (bird)</li></ol>
sə̀onp’óna	<i>noun</i><br><ol><li>January</li></ol>
sə̀oyi’ína|sə̀oyi’ína I.1|sə́oyiną	<i>noun</i><br><ol><li>daughter-in-law</li></ol>
sə́onena|sə̀onénemą|sə́onena I.2	<i>noun</i><br><ol><li>man, husband</li></ol>
telędúnenemą|telędúnene|telędúnenemą II.4	<i>noun</i><br><ol><li>fork</li></ol>
thį̀ę’éna|thį̀ę’éna III.5|thį̀ę’éne	<i>noun</i><br><ol><li>(anatomy) stomach</li></ol>
thǫ́ne|thǫ́ne III.6	<i>noun</i><br><ol><li>act of finding</li></ol>
thǫ̂	<i>verb</i><br><ol><li>find</li></ol>
thȕléna|thȕléne|thȕléna III.5	<i>noun</i><br><ol><li>sun</li></ol>
thə̀łopǫ́na	<i>noun</i><br><ol><li>kiva gopher (mammal)</li></ol>
thə̀łó’oy	<i>adv</i><br><ol><li>(religion) at Big House (the home of the lachina, which is under Blue Lake)</li></ol>
thə́na|thə́na III.5|thə́ne|local	<i>noun</i><br><ol><li>house</li></ol>
thə́tho	<i>particle</i><br><ol><li>in the house</li></ol>
thə̏’ə́na	<i>noun</i><br><ol><li>day</li></ol>
titá|titá vocative	<i>noun</i><br><ol><li>father (by child to father)</li><li>husband (by wife to husband)</li><li>relatively older man (by younger speaker showing friendly respect)</li></ol>
tomòli’ína|tomòli’íne|tomòli’ína III.5	<i>noun</i><br><ol><li>tamale</li></ol>
tràmpi’ína|tràmpi’ína I.1|trámpiną	<i>noun</i><br><ol><li>tramp, thief, bum</li></ol>
tròki’ína|tròki’íne|tròki’ína III.5	<i>noun</i><br><ol><li>truck</li></ol>
tumą̀ti’ína|tumą̀ti’íne|tumą̀ti’ína III.5	<i>noun</i><br><ol><li>tomato</li></ol>
tumį́ku|tumį́ku uninflected	<i>noun</i><br><ol><li>Sunday</li><li>week</li></ol>
tàłułi’ína|táłułiną|tàłułi’ína I.1	<i>noun</i><br><ol><li>grandfather</li></ol>
tà’ána|tá’aną|tà’ána I.1	<i>noun</i><br><ol><li>son-in-law</li></ol>
téne|téne III.6	<i>noun</i><br><ol><li>tea</li></ol>
tìendo’óna|tìendo’óna III.5|local|tìendo’óne	<i>noun</i><br><ol><li>store, shop</li></ol>
tìkiti’ína|tìkiti’íne|tìkiti’ína III.5	<i>noun</i><br><ol><li>ticket</li></ol>
tòbúna|tóbuną|tòbúna I.1	<i>noun</i><br><ol><li>governor of pueblo</li></ol>
tòkeną	<i>noun</i><br><ol><li>hawk</li></ol>
tòpháy’ȕ	<i>noun</i><br><ol><li>(proper name) Red Dancer</li></ol>
tò’óna|tò’ónemą|tò’óna I.2	<i>noun</i><br><ol><li>dancer</li></ol>
tò’óne|tò’óne III.6	<i>noun</i><br><ol><li>dance, dancing</li></ol>
tùlu’úna|túluną|tùlu’úna I.1	<i>noun</i><br><ol><li>bull, ox (mammal)</li></ol>
tùsíwbo	<i>particle</i><br><ol><li>Questa (a city in New Mexico)</li></ol>
tùtúna|tútuną|tùtúna I.1	<i>noun</i><br><ol><li>elder sister</li></ol>
tùxwána|tùxwána I.1|túxwaną	<i>noun</i><br><ol><li>fox, coyote (mammal)</li></ol>
túybu’oyą	<i>particle</i><br><ol><li>(moving) eastward</li></ol>
túykwitho	<i>particle</i><br><ol><li>south down the mountain</li></ol>
túynąw	<i>particle</i><br><ol><li>west</li></ol>
túy’ugą	<i>particle</i><br><ol><li>being north (of something)</li></ol>
túłoną|tùłóne|túłoną II.3	<i>noun</i><br><ol><li>tree</li><li>cottonwood (tree)</li></ol>
tûoyoną|tȕoyo’óne|tûoyoną II.3	<i>noun</i><br><ol><li>towel</li></ol>
tą̀tə̀’ə́wyu	<i>name</i><br><ol><li>a being in a traditional tale; the name is translated as "Seed-Marked Boy" by Trager, as "Printed-Red Boy, Spotted Corn Boy" by Parsons</li></ol>
tą́na|tą́na III.5|tą́ne	<i>noun</i><br><ol><li>bean</li></ol>
tę̀’éne|tę̀’éne III.6	<i>noun</i><br><ol><li>act of cutting</li></ol>
tę̋tę̌	<i>num</i><br><ol><li>one hundred</li></ol>
tį̀ęndo’óna|tį̀ęndo’óna III.5|tį̀ęndo’óne|local	<i>noun</i><br><ol><li>store, shop</li></ol>
tų̀łu’úna|tų̀łu’úna I.1|tų́łuną	<i>noun</i><br><ol><li>paternal uncle, father's brother, elder cousin</li></ol>
tų́łęną|tų́łęną II.3|tų̀łę́ne	<i>noun</i><br><ol><li>birch (tree)</li></ol>
tǫ̂mą|tǫ̂m|tǫ̂mą vocative|tǫ̂m vocative	<i>noun</i><br><ol><li>father (by child to father)</li><li>husband (by wife to husband)</li><li>relatively older man (by younger speaker showing friendly respect)</li></ol>
tǫ̂m’ȕ|tǫ̂m’ȕ vocative	<i>noun</i><br><ol><li>(diminutive) daddy (used by children to father)</li><li>(diminutive) hubby (used by wife to husband)</li></ol>
tǫ̏ména|tǫ̏ména I.2|tǫ̂mą vocative|tǫ̂m vocative|tǫ̏ménemą|tǫ̂m|tǫ̂mą	<i>noun</i><br><ol><li>father, father-in-law</li><li>husband (used by mother to refer husband when speaking to her children)</li></ol>
tǫ̏’one	<i>noun</i><br><ol><li>(botany) snakewood, dogwood</li></ol>
tȕculóna|tȕculóna I.1|tûculoną	<i>noun</i><br><ol><li>hummingbird</li></ol>
tə̀ot’ų́nena	<i>noun</i><br><ol><li>town chief, house chief</li></ol>
tə́bu	<i>particle</i><br><ol><li>direction of the mountain Taos Peak (which is in the northeast)</li><li>east (true east)</li></ol>
tə́kwitho	<i>particle</i><br><ol><li>south</li></ol>
tə́nąwą	<i>particle</i><br><ol><li>west</li></ol>
tə́wt’o	<i>particle</i><br><ol><li>northward</li></ol>
tə́ybobo	<i>particle</i><br><ol><li>east up the creek</li></ol>
tə́ybo’oyą	<i>particle</i><br><ol><li>eastward</li></ol>
tə́ynąwą	<i>particle</i><br><ol><li>down the west hill</li></ol>
tə́y’uk’u	<i>particle</i><br><ol><li>north up the hill</li></ol>
tə́ʼutho	<i>particle</i><br><ol><li>north</li></ol>
tə̂obo	<i>particle</i><br><ol><li>to the village, toward the village, Taos pueblo</li></ol>
tə̂otho	<i>particle</i><br><ol><li>in the village, at the village, Taos pueblo</li></ol>
tʼàmų́na|tʼàmų́ne|tʼàmų́na III.5	<i>noun</i><br><ol><li>(anatomy) cheek</li></ol>
tʼáwaną|tʼáwaną II.3|tʼáwane	<i>noun</i><br><ol><li>wheel</li></ol>
tʼòyłóna|tʼòyłóna I.1|tʼóyłoną	<i>noun</i><br><ol><li>giant</li></ol>
tʼóyna|tʼóyna I.2|tʼóynemą	<i>noun</i><br><ol><li>people, person, human being, American Indian, Taos Indians</li></ol>
tʼółəona|tʼółəone|tʼółəona III.5	<i>noun</i><br><ol><li>(anatomy) ear</li></ol>
tʼę̋	<i>verb</i><br><ol><li>cut</li></ol>
tʼő	<i>verb</i><br><ol><li>dance</li><li>do, make</li></ol>
tʼə̀odmúluną|tʼə̀odmúluną II.3	<i>noun</i><br><ol><li>basket, pot-shaped container, basket water jar</li></ol>
upę̀yuʼúna|úpęyuną|upę̀yuʼúna I.1	<i>noun</i><br><ol><li>girl</li></ol>
upę́lena	<i>noun</i><br><ol><li>lightning</li></ol>
woléne	<i>noun</i><br><ol><li>medicine</li></ol>
wàltoʼóna|wàltoʼóna III.5|wàltoʼóne|local	<i>noun</i><br><ol><li>garden</li></ol>
wána|wáne|wána III.5	<i>noun</i><br><ol><li>(anatomy) penis</li></ol>
wíansǐen	<i>num</i><br><ol><li>four hundred</li></ol>
wíansǐeną	<i>num</i><br><ol><li>four hundred</li></ol>
wíaną	<i>num</i><br><ol><li>four</li></ol>
wílatho	<i>particle</i><br><ol><li>Picuris Pueblo; literally, "at the pass", referring to location of the pueblo near the west end of a pass leading to the Great Plains</li></ol>
wísǐen	<i>num</i><br><ol><li>two hundred</li></ol>
wísǐeną	<i>num</i><br><ol><li>two hundred</li></ol>
wíʼiną	<i>num</i><br><ol><li>two</li></ol>
wóną	<i>verb</i><br><ol><li>drop</li></ol>
wę̀puopʼôto	<i>particle</i><br><ol><li>Pine-Near-Water (place name)</li></ol>
wę̀ʼénemą|wę̀ʼénemą II.4|wę̀ʼéne	<i>noun</i><br><ol><li>pine (tree)</li></ol>
wǫ́	<i>verb</i><br><ol><li>blow</li></ol>
wǫ́nemą|wǫ́nemą II.4	<i>noun</i><br><ol><li>wind</li></ol>
xomúnenemą|xomúnenemą II.4|xomúnene	<i>noun</i><br><ol><li>ham</li></ol>
xwábasi|xwábasi uninflected	<i>noun</i><br><ol><li>Thursday</li></ol>
xwílena|xwílena III.5|xwìléne	<i>noun</i><br><ol><li>bow</li></ol>
xwíli	<i>num</i><br><ol><li>eight</li></ol>
xwílisǐen	<i>num</i><br><ol><li>eight hundred</li></ol>
xwílisǐeną	<i>num</i><br><ol><li>eight hundred</li></ol>
xwę́na	<i>noun</i><br><ol><li>(anatomy) tail</li></ol>
xwį́ęsǐen	<i>num</i><br><ol><li>nine hundred</li></ol>
xwį́ęsǐeną	<i>num</i><br><ol><li>nine hundred</li></ol>
xína|xínemą|xína I.2	<i>noun</i><br><ol><li>watchman</li></ol>
xíwana	<i>noun</i><br><ol><li>Apache Indian</li></ol>
xónemą|xóne|xónemą II.4	<i>noun</i><br><ol><li>(anatomy) arm</li></ol>
xę̀młòxòyłùomų́na	<i>noun</i><br><ol><li>big mountain lion skin quiver</li></ol>
xų̀pʼíną|xų̀pʼíne|xų̀pʼíną II.3	<i>noun</i><br><ol><li>(anatomy) knee</li></ol>
xų́nemą|xų́nemą II.4|xų́ne	<i>noun</i><br><ol><li>(anatomy) leg</li></ol>
yàwoʼóna|yáwoną|yàwoʼóna I.1	<i>noun</i><br><ol><li>mare (mammal)</li></ol>
yía	<i>verb</i><br><ol><li>walk</li></ol>
yíane	<i>particle</i><br><ol><li>then</li></ol>
yíanexǫ	<i>particle</i><br><ol><li>then, then indeed</li></ol>
yòtʼő	<i>verb</i><br><ol><li>sing, make a song, make a singing</li></ol>
yòʼóna|yòʼóna I	<i>noun</i><br><ol><li>singer</li></ol>
yòʼónemą|yòʼónemą II.4|yòʼóne	<i>noun</i><br><ol><li>song</li></ol>
yúhi	<i>particle</i><br><ol><li>perhaps</li></ol>
yúwi	<i>particle</i><br><ol><li>whew!</li></ol>
yúwolaną|yúwolaną II.3|yùwola’áne	<i>noun</i><br><ol><li>skirt</li></ol>
àłuʼúna|àłuʼúna I.1|áłuną	<i>noun</i><br><ol><li>paternal grandmother, father's mother</li></ol>
ìałophàymųpʼȍhəothəltʼóynemą	<i>noun</i><br><ol><li>(ceremonial) Taos people (literally: "Red Willows Canyon People", "Canyon of the Red Willows People")</li></ol>
íałoną|íałoną II.3|ìałóne	<i>noun</i><br><ol><li>willow (tree)</li></ol>
ílena	<i>noun</i><br><ol><li>bundle</li></ol>
òʼílena	<i>noun</i><br><ol><li>metate bundle</li><li>Metate Bundle (a being in a traditional tale)</li></ol>
ó	<i>verb</i><br><ol><li>wash</li></ol>
óna	<i>noun</i><br><ol><li>metate</li></ol>
ùboʼóna|ùboʼóne|ùboʼóna III.5	<i>noun</i><br><ol><li>grape, raisin (fruit)</li></ol>
ùdmiléna|ùdmiléna III.5	<i>noun</i><br><ol><li>oatmeal</li></ol>
ùlitʼáwaną|ùlitʼàwaʼáne|ùlitʼáwaną II.3	<i>noun</i><br><ol><li>tire</li></ol>
ùroʼóna|ùroʼóne|ùroʼóna III.5|local	<i>noun</i><br><ol><li>hour</li></ol>
ùruʼúna|ùruʼúna III.5	<i>noun</i><br><ol><li>gold object, gold (the substance)</li></ol>
ùyphaʼána|ùyphaʼáne|ùyphaʼána III.5	<i>noun</i><br><ol><li>burning coal</li></ol>
úliną|úliną II.3|úline	<i>noun</i><br><ol><li>In singular: rubber (object); in duoplural: rubber (the substance), rubber (objects)</li></ol>
úyna|úyne|úyna III.5	<i>noun</i><br><ol><li>charcoal</li></ol>
ûphuo	<i>verb</i><br><ol><li>drop</li></ol>
ą́wąn	<i>pron</i><br><ol><li>(third person) he, she, it, they</li></ol>
ą́wąną	<i>pron</i><br><ol><li>(third person) he, she, it, they</li></ol>
ę́nemą|ę́nemą II.4|ę́ne	<i>noun</i><br><ol><li>(anatomy) shoulder</li></ol>
ę̋	<i>pron</i><br><ol><li>(second person) you</li></ol>
į̀ękǫ́ne|form|į̀ękǫ́ne III.6|į̀ękǫ́na	<i>noun</i><br><ol><li>hail</li></ol>
į̀ęmęʼéna|į̀ęmęʼéna I.1|į́ęmęną	<i>noun</i><br><ol><li>paternal aunt, father's sister</li></ol>
į̂ęthuną|į̂ęthuną II.3|į̏ęthu’úne	<i>noun</i><br><ol><li>ladder</li></ol>
į̏ęmę̀kiʼína	<i>noun</i><br><ol><li>ant</li></ol>
į̏ęnénemą|į̏ęnénemą II.4|į̏ęnéne	<i>noun</i><br><ol><li>(anatomy) foot</li></ol>
łitǫ́ne|łitǫ́ne III.6	<i>noun</i><br><ol><li>(botany) wheat</li></ol>
łàcisə́onenemą|łàcisə́onenemą I.2 duoplural	<i>noun</i><br><ol><li>(religion) kachina men</li></ol>
łácianą	<i>noun</i><br><ol><li>tale, story</li></ol>
łáne|łáne III.6	<i>noun</i><br><ol><li>(botany) tobacco</li></ol>
łáwkwimo	<i>particle</i><br><ol><li>the south side (of the pueblo)</li></ol>
łáʼȕ|łáʼȕ vocative	<i>noun</i><br><ol><li>mommy (used by children to mother)</li><li>wifey (used by husband to wife)</li><li>maternal aunt (by younger niece to aunt)</li><li>relatively older woman (very commonly used by younger speaker to show friendly respect)</li></ol>
łìtúna|łítu|łítu I.1|łìtúna I.1|łítuną	<i>noun</i><br><ol><li>maternal grandmother (mother's mother), maternal great-grandmother (mother's father's mother or mother's mother's mother)</li><li>older woman (used by younger speaker to any older woman in friendly respect)</li></ol>
łíne|łíne III.6	<i>noun</i><br><ol><li>(botany) grass</li></ol>
łòkʼútuną	<i>noun</i><br><ol><li>wooden spoon</li></ol>
łòmų́ną|łòmų́ną II.3|łòmų́ne	<i>noun</i><br><ol><li>(anatomy) mouth</li></ol>
łòthə́na|łòthə́na III.5|łòthə́ne|local	<i>noun</i><br><ol><li>boat</li></ol>
łòtúna	<i>noun</i><br><ol><li>wagon</li></ol>
łòwatúną|łòwatúną II.3|łòwatúne	<i>noun</i><br><ol><li>chief's cane</li></ol>
łòwaʼána	<i>noun</i><br><ol><li>chief</li></ol>
łòxwóloną|łòxwóloną II.3|łòxwòlóne	<i>noun</i><br><ol><li>window</li></ol>
łòxóyna|łòxóyna III.5|łòxóyne	<i>noun</i><br><ol><li>(anatomy) lip</li></ol>
łòʼóne|łòʼóne III.6	<i>noun</i><br><ol><li>wood</li></ol>
łó	<i>verb</i><br><ol><li>(in compounds) be big</li></ol>
łùléne|łùléne III.5|łùléne III.6|łùléna|łùléne	<i>noun</i><br><ol><li>rain</li><li>raindrop</li></ol>
łùłiʼína|łùłiʼína I.2|łùłiʼínemą	<i>noun</i><br><ol><li>old man</li></ol>
łúna|łúne|łúna III.5	<i>noun</i><br><ol><li>piece of buckskin</li></ol>
łúonemą|łúonemą II.4|łúone	<i>noun</i><br><ol><li>arrow</li></ol>
łę́newą	<i>noun</i><br><ol><li>(botany) cactus</li></ol>
łȉwéna|łȉwéna I.2|łȉwénemą	<i>noun</i><br><ol><li>woman</li><li>wife</li><li>(in compounds) female</li></ol>
łȉwʼȕʼúna|łȉwʼȕʼúna I	<i>noun</i><br><ol><li>(little) old woman</li></ol>
ȉacǫ̀lekwíame	<i>noun</i><br><ol><li>(religion) (proper name) Blue Corn Woman</li></ol>
ȉacʼùlekwíame	<i>noun</i><br><ol><li>(religion) (proper name) Yellow Corn Woman</li></ol>
ȉaʼáne|ȉaʼáne III.6	<i>noun</i><br><ol><li>corn</li></ol>
ȍdénemą|ȍdénemą II.4|ȍdéne	<i>noun</i><br><ol><li>(anatomy) chin, jaw</li></ol>
ȕpʼiléna|ȕpʼiléna I.2|ȕpʼilénemą	<i>noun</i><br><ol><li>baby</li></ol>
ȕsú|ȕsú vocative	<i>noun</i><br><ol><li>younger brother, younger brother-in-law, half-brother, stepbrother</li></ol>
ȕłęłęʼéna|ûłęłęną|ȕłęłęʼéna I.1	<i>noun</i><br><ol><li>youth, young man</li></ol>
ȕʼúna|ȕʼúnemą|ȕʼúnemą I.2|of ȕʼúna|ȕʼúna I.2	<i>noun</i><br><ol><li>son</li><li>child</li><li>son-in-law</li><li>offspring</li><li>any male child or younger male person</li><li>children</li><li>family (children, wife, and other household members)</li><li>(in compounds) little one (has the content of a diminutive or affection)</li></ol>
ȕʼúnemą|ȕʼúnemą I.2|of ȕʼúna	<i>noun</i><br><ol><li>sons, children, sons-in-law</li><li>offspring</li><li>any male children or younger male persons</li><li>little ones (has the content of a diminutive or affection in compounds)</li><li>family (children, wife, and other household members)</li></ol>
ə̀wyuʼúna|ə́wyuną|ə̀wyuʼúna I.1	<i>noun</i><br><ol><li>boy</li></ol>
ə̂bena|ə̂bena III.5|ə̏béne	<i>noun</i><br><ol><li>cherry (fruit)</li></ol>
ə̂na|ə̂na III.5|ə̂ne|local	<i>noun</i><br><ol><li>(botany) leaf</li></ol>
ə̂łì	<i>noun</i><br><ol><li>(proper name) Grass Leaf</li></ol>
