Alemania	<i>name</i><br><ol><li>Germany</li></ol>
lora	<i>verb</i><br><ol><li>to roll</li><li>to wrap</li></ol><br><i>noun</i><br><ol><li>parrot</li></ol>
lugá	<i>noun</i><br><ol><li>place</li><li>location</li></ol>
luna	<i>noun</i><br><ol><li>moon</li><li>month</li></ol>
lus	<i>noun</i><br><ol><li>light, lamp</li></ol>
lágrima	<i>noun</i><br><ol><li>tear, teardrop</li></ol>
mahos	<i>adj</i><br><ol><li>ugly</li><li>nasty</li></ol>
mainta	<i>noun</i><br><ol><li>morning</li><li>early morning</li></ol>
maishi	<i>noun</i><br><ol><li>corn</li></ol>
makaku	<i>noun</i><br><ol><li>monkey, ape</li></ol>
makamba	<i>noun</i><br><ol><li>Dutch person</li><li>white person</li></ol>
maleta	<i>noun</i><br><ol><li>suitcase</li><li>trunk</li></ol>
malu	<i>adj</i><br><ol><li>bad</li></ol><br><i>noun</i><br><ol><li>illness, disease</li></ol>
mama	<i>noun</i><br><ol><li>mother</li></ol>
man	<i>noun</i><br><ol><li>hand</li></ol>
mara	<i>verb</i><br><ol><li>to tie</li></ol>
maribomba	<i>noun</i><br><ol><li>wasp</li><li>paper wasp</li></ol>
mariku	<i>noun</i><br><ol><li>(slang) (vulgar) homosexual man</li></ol>
maron	<i>adj</i><br><ol><li>brown</li></ol>
mart	<i>noun</i><br><ol><li>March</li></ol>
mas	<i>adv</i><br><ol><li>most</li></ol>
masha	<i>pron</i><br><ol><li>much, many, a lot of</li><li>very</li></ol>
mashá	<i>pron</i><br><ol><li>much, many, a lot of</li><li>very</li></ol>
mata	<i>verb</i><br><ol><li>to kill</li></ol>
matadó	<i>noun</i><br><ol><li>killer, assassin</li></ol>
matong	<i>noun</i><br><ol><li>(slang) killer, murderer</li><li>gangster</li></ol>
matrimonio	<i>noun</i><br><ol><li>marriage</li></ol>
mayor	<i>adj</i><br><ol><li>great, major</li></ol>
mañan	<i>noun</i><br><ol><li>tomorrow</li></ol>
mei	<i>adj</i><br><ol><li>half</li><li>middle</li></ol><br><i>noun</i><br><ol><li>May</li></ol>
meimei	<i>prep</i><br><ol><li>in the middle, halfway</li><li>half-half</li><li>between</li></ol>
mentira	<i>noun</i><br><ol><li>lie (intentionally untrue statement)</li></ol>
mesa	<i>noun</i><br><ol><li>table</li></ol>
mester	<i>verb</i><br><ol><li>must</li><li>to need</li><li>to have to</li></ol>
mi	<i>pron</i><br><ol><li>I, me, my.</li></ol>
miedu	<i>noun</i><br><ol><li>fear</li></ol>
mil	<i>num</i><br><ol><li>thousand (1000)</li></ol>
mion	<i>num</i><br><ol><li>million (1.000.000)</li></ol>
mira	<i>verb</i><br><ol><li>to see</li></ol>
misa	<i>noun</i><br><ol><li>church</li><li>catholic church</li><li>mass (religion: celebration of the Eucharist)</li></ol>
monarkia	<i>noun</i><br><ol><li>monarchy</li></ol>
mondi	<i>noun</i><br><ol><li>forest</li><li>wilderness</li></ol>
mondongo	<i>noun</i><br><ol><li>guts</li></ol>
morde	<i>verb</i><br><ol><li>to bite</li></ol>
morkoi	<i>noun</i><br><ol><li>tortoise</li><li>land turtle</li><li>red-footed tortoise of the species Chelonoidis carbonarius</li><li>yellow-footed tortoise of the species Chelonoidis denticulatus</li></ol>
mucha	<i>noun</i><br><ol><li>child (young person)</li></ol>
muchu	<i>pron</i><br><ol><li>much, many, a lot of</li><li>too</li></ol>
muhe	<i>noun</i><br><ol><li>woman</li></ol>
muhá	<i>adj</i><br><ol><li>wet</li></ol>
muhé	<i>noun</i><br><ol><li>woman</li></ol>
mundial	<i>adj</i><br><ol><li>global</li></ol>
mundu	<i>noun</i><br><ol><li>world</li></ol>
muri	<i>verb</i><br><ol><li>to die</li></ol>
na	<i>prep</i><br><ol><li>at</li><li>in</li><li>inside</li><li>on</li><li>to</li><li>towards</li></ol>
nan	<i>pron</i><br><ol><li>they, third person plural</li><li>their</li></ol>
nanishi	<i>noun</i><br><ol><li>nose</li></ol>
neblina	<i>noun</i><br><ol><li>fog</li></ol>
nesesario	<i>adj</i><br><ol><li>necessary</li></ol>
nifiká	<i>verb</i><br><ol><li>to mean, to signify</li></ol>
nister	<i>verb</i><br><ol><li>to sneeze</li></ol>
no	<i>adv</i><br><ol><li>no</li><li>not</li></ol>
nobenta	<i>num</i><br><ol><li>ninety (90)</li></ol>
nobo	<i>adj</i><br><ol><li>new</li></ol>
nochi	<i>noun</i><br><ol><li>night</li><li>evening</li></ol>
nombra	<i>verb</i><br><ol><li>to name, to call</li><li>to appoint</li></ol>
nort	<i>adj</i><br><ol><li>north</li></ol>
nos	<i>pron</i><br><ol><li>we, first person plural.</li></ol>
novèmber	<i>noun</i><br><ol><li>November</li></ol>
nubia	<i>noun</i><br><ol><li>cloud</li></ol>
nuebe	<i>num</i><br><ol><li>nine (9)</li></ol>
numa	<i>adv</i><br><ol><li>but</li><li>only</li><li>just</li></ol>
number	<i>noun</i><br><ol><li>number</li></ol>
nèk	<i>noun</i><br><ol><li>neck</li></ol>
nèshi	<i>pron</i><br><ol><li>nest</li><li>bird's nest</li></ol>
nòmber	<i>noun</i><br><ol><li>name</li></ol>
obra	<i>noun</i><br><ol><li>work</li><li>construction</li></ol>
ochenta	<i>num</i><br><ol><li>eighty (80)</li></ol>
ocho	<i>num</i><br><ol><li>eight (8)</li></ol>
oktober	<i>noun</i><br><ol><li>October</li></ol>
ole	<i>verb</i><br><ol><li>to smell</li></ol>
oloshi	<i>noun</i><br><ol><li>watch</li><li>clock</li></ol>
opshon	<i>noun</i><br><ol><li>option, choice</li></ol>
opshonal	<i>adj</i><br><ol><li>optional</li><li>possible</li></ol>
optenibel	<i>adj</i><br><ol><li>obtainable</li></ol>
ora	<i>noun</i><br><ol><li>time</li><li>hour</li></ol><br><i>pron</i><br><ol><li>when</li></ol>
orashon	<i>noun</i><br><ol><li>prayer</li></ol>
orea	<i>noun</i><br><ol><li>ear</li></ol>
orkan	<i>noun</i><br><ol><li>hurricane</li></ol>
oroplanu	<i>noun</i><br><ol><li>airplane, aeroplane</li></ol>
ost	<i>adj</i><br><ol><li>east</li></ol>
otro	<i>adj</i><br><ol><li>other, another</li></ol>
ougùstùs	<i>noun</i><br><ol><li>August</li></ol>
pa	<i>prep</i><br><ol><li>to</li><li>for</li><li>by</li></ol>
pabien	<i>intj</i><br><ol><li>congratulations</li><li>happy birthday</li></ol>
pais	<i>noun</i><br><ol><li>country</li></ol>
pakiko	<i>pron</i><br><ol><li>why</li></ol>
pakus	<i>noun</i><br><ol><li>shop, store</li><li>clothes store</li></ol>
palabra	<i>noun</i><br><ol><li>word</li></ol>
palu	<i>noun</i><br><ol><li>stick, pole</li><li>tree</li><li>wood</li></ol>
pan	<i>noun</i><br><ol><li>bread</li></ol>
papa	<i>noun</i><br><ol><li>father</li></ol>
papia	<i>verb</i><br><ol><li>to speak</li><li>to talk</li></ol>
para	<i>noun</i><br><ol><li>bird</li></ol><br><i>verb</i><br><ol><li>to stop</li><li>to stand</li></ol>
partera	<i>noun</i><br><ol><li>midwife</li></ol>
parti	<i>verb</i><br><ol><li>to split</li></ol>
pas	<i>noun</i><br><ol><li>peace</li></ol>
pasobra	<i>adv</i><br><ol><li>because</li></ol>
pata	<i>noun</i><br><ol><li>hoof</li><li>paw</li><li>claw</li></ol>
patia	<i>noun</i><br><ol><li>watermelon</li></ol>
patras	<i>prep</i><br><ol><li>behind</li><li>at the back</li><li>in the rear</li></ol>
paña	<i>noun</i><br><ol><li>clothes</li><li>cloth</li></ol>
pechu	<i>noun</i><br><ol><li>breast</li><li>chest</li></ol>
pensa	<i>verb</i><br><ol><li>to think</li></ol>
peña	<i>noun</i><br><ol><li>comb</li></ol><br><i>verb</i><br><ol><li>to comb</li></ol>
pia	<i>noun</i><br><ol><li>foot</li><li>leg</li></ol>
pidi	<i>verb</i><br><ol><li>to ask, to request</li></ol>
pieda	<i>noun</i><br><ol><li>stone</li><li>rock</li></ol>
piedra	<i>noun</i><br><ol><li>stone</li><li>rock</li></ol>
pieu	<i>noun</i><br><ol><li>louse</li></ol>
pinda	<i>noun</i><br><ol><li>peanut</li></ol>
piská	<i>noun</i><br><ol><li>fish</li></ol>
pisá	<i>adj</i><br><ol><li>heavy</li></ol>
plaka	<i>noun</i><br><ol><li>money</li><li>two and a half cents coin</li></ol>
playa	<i>noun</i><br><ol><li>beach</li><li>"the town" (in Aruba)</li></ol>
plenchi	<i>noun</i><br><ol><li>square, courtyard</li></ol>
pluma	<i>noun</i><br><ol><li>feather</li><li>plume</li></ol>
poblashon	<i>noun</i><br><ol><li>population</li></ol>
podisé	<i>adv</i><br><ol><li>maybe</li><li>perhaps</li></ol>
poko	<i>adv</i><br><ol><li>few</li></ol>
polis	<i>noun</i><br><ol><li>police</li><li>policeman</li></ol>
ponchi	<i>noun</i><br><ol><li>ferry</li></ol>
por	<i>verb</i><br><ol><li>can, to be able to</li><li>may</li></ol>
por fabor	<i>intj</i><br><ol><li>please</li></ol>
porko	<i>noun</i><br><ol><li>pig</li></ol>
posibel	<i>adj</i><br><ol><li>possible</li></ol>
preis	<i>noun</i><br><ol><li>price</li></ol>
pretu	<i>adj</i><br><ol><li>black</li></ol>
prima	<i>noun</i><br><ol><li>cousin (daughter of the uncle)</li></ol>
primi	<i>verb</i><br><ol><li>to squeeze</li></ol>
primintí	<i>verb</i><br><ol><li>to promise</li></ol>
primu	<i>noun</i><br><ol><li>cousin</li></ol>
prome	<i>adj</i><br><ol><li>first</li></ol>
promé	<i>adv</i><br><ol><li>first</li><li>before</li></ol>
propiedat	<i>noun</i><br><ol><li>property</li></ol>
protekshon	<i>noun</i><br><ol><li>protection</li></ol>
próspero	<i>adj</i><br><ol><li>prosperous</li><li>successful</li></ol>
pueblo	<i>noun</i><br><ol><li>village</li><li>people, nation</li></ol>
puiru	<i>noun</i><br><ol><li>powder, e.g. washing powder</li></ol>
punta	<i>noun</i><br><ol><li>point</li></ol>
purba	<i>verb</i><br><ol><li>to taste</li><li>to try, to attempt</li></ol>
pusha	<i>verb</i><br><ol><li>to push</li></ol>
pushi	<i>noun</i><br><ol><li>cat</li><li>pussy</li><li>female cat</li></ol>
puta	<i>noun</i><br><ol><li>(slang) (vulgar) whore, slut, prostitute</li><li>(slang) (vulgar) bitch</li></ol>
putrí	<i>adj</i><br><ol><li>rotten</li></ol>
pèchi	<i>noun</i><br><ol><li>cap (headwear with a peak at the front)</li></ol>
pèn	<i>noun</i><br><ol><li>pen</li></ol>
pòls	<i>noun</i><br><ol><li>wrist</li></ol>
pòtmòni	<i>noun</i><br><ol><li>wallett</li><li>purse</li></ol>
pòwis	<i>noun</i><br><ol><li>peacock</li></ol>
rabu	<i>noun</i><br><ol><li>tail</li></ol>
rais	<i>noun</i><br><ol><li>root</li></ol>
raka	<i>verb</i><br><ol><li>to hit</li></ol>
rason	<i>adj</i><br><ol><li>correct</li><li>being right</li></ol>
raspa	<i>verb</i><br><ol><li>to scratch</li></ol>
raton	<i>noun</i><br><ol><li>mouse</li></ol>
redenshon	<i>noun</i><br><ol><li>redemption</li><li>salvation, saving</li></ol>
regalo	<i>noun</i><br><ol><li>gift</li><li>present</li></ol>
rei	<i>noun</i><br><ol><li>king</li></ol>
reina	<i>noun</i><br><ol><li>queen</li></ol>
reino	<i>noun</i><br><ol><li>kingdom</li></ol>
rek	<i>verb</i><br><ol><li>to count</li></ol>
religion	<i>noun</i><br><ol><li>religion</li></ol>
remedi	<i>noun</i><br><ol><li>medicine</li></ol>
respirá	<i>verb</i><br><ol><li>to breathe</li></ol>
respondé	<i>verb</i><br><ol><li>to answer, to reply</li></ol>
revista	<i>noun</i><br><ol><li>magazine</li></ol>
riba	<i>prep</i><br><ol><li>upon</li><li>above</li><li>on</li></ol>
ridíkulo	<i>adj</i><br><ol><li>ridiculous</li></ol>
riu	<i>noun</i><br><ol><li>river</li></ol>
robes	<i>adj</i><br><ol><li>left</li><li>wrong</li></ol>
roi	<i>noun</i><br><ol><li>creek</li><li>gulch</li></ol>
rondó	<i>adj</i><br><ol><li>round</li></ol>
rooi	<i>noun</i><br><ol><li>creek; A dry creek, that fills with water after rainfall.</li><li>gulch</li></ol>
rosea	<i>noun</i><br><ol><li>respiration</li><li>breath</li></ol>
rudia	<i>noun</i><br><ol><li>knee</li></ol>
ruman|sister is "ruman ".|ruman"	<i>noun</i><br><ol><li>sibling</li><li>brother or sister</li></ol>
rònt	<i>adj</i><br><ol><li>round</li></ol>
sa	<i>verb</i><br><ol><li>to know</li></ol>
sabi	<i>verb</i><br><ol><li>to know</li></ol>
saka	<i>verb</i><br><ol><li>to vomit</li></ol>
sala	<i>noun</i><br><ol><li>living room, sitting room</li><li>lounge</li></ol><br><i>verb</i><br><ol><li>to salt (add salt)</li></ol>
salbashon	<i>noun</i><br><ol><li>salvation, saving</li></ol>
sali	<i>verb</i><br><ol><li>to leave</li><li>to depart</li></ol>
saliña	<i>noun</i><br><ol><li>salt pan - a flat expanse of ground naturally covered with salt.</li><li>saltworks - place where salt is refined and prepared commercially.</li></ol>
salu	<i>noun</i><br><ol><li>salt</li></ol>
sanger	<i>noun</i><br><ol><li>blood</li></ol>
sangura	<i>noun</i><br><ol><li>mosquito</li></ol>
sanka	<i>noun</i><br><ol><li>(vulgar) butt, buttocks</li><li>(vulgar) bottom, bum</li><li>(vulgar) ass</li></ol>
santu	<i>noun</i><br><ol><li>sand</li><li>saint</li></ol><br><i>adj</i><br><ol><li>holy</li></ol>
sapatu	<i>noun</i><br><ol><li>shoe</li></ol>
saya	<i>noun</i><br><ol><li>skirt</li></ol>
sebu	<i>noun</i><br><ol><li>fat</li></ol>
sede	<i>noun</i><br><ol><li>thirst</li></ol>
seis	<i>num</i><br><ol><li>six (6)</li></ol>
seku	<i>adj</i><br><ol><li>dry</li></ol>
selular	<i>noun</i><br><ol><li>cell phone, mobile phone</li></ol>
separá	<i>verb</i><br><ol><li>to split</li></ol>
serbes	<i>noun</i><br><ol><li>beer</li></ol>
serka	<i>prep</i><br><ol><li>near</li><li>close to</li><li>with</li></ol>
sero	<i>num</i><br><ol><li>zero (0)</li></ol>
seru	<i>noun</i><br><ol><li>mountain, hill</li></ol>
sesenta	<i>num</i><br><ol><li>sixty (60)</li></ol>
set	<i>noun</i><br><ol><li>thirst</li></ol>
setenta	<i>num</i><br><ol><li>seventy (70)</li></ol>
señora	<i>noun</i><br><ol><li>woman, lady</li><li>wife</li><li>Mrs</li></ol>
shelu	<i>noun</i><br><ol><li>sky</li><li>heaven</li></ol>
shen	<i>num</i><br><ol><li>hundred (100)</li></ol>
shete	<i>num</i><br><ol><li>seven (7)</li></ol>
shinishi	<i>noun</i><br><ol><li>ash, ashes</li></ol><br><i>adj</i><br><ol><li>grey</li></ol>
shon	<i>noun</i><br><ol><li>sir, mister</li><li>lady, madam, missus</li><li>master, plantation owner</li></ol>
si	<i>conj</i><br><ol><li>if</li><li>when</li></ol><br><i>adv</i><br><ol><li>yes</li></ol>
siglo	<i>noun</i><br><ol><li>century</li></ol>
siman	<i>noun</i><br><ol><li>week</li></ol>
simia	<i>noun</i><br><ol><li>seed</li></ol>
sinku	<i>num</i><br><ol><li>five (5)</li></ol>
sinkuenta	<i>num</i><br><ol><li>fifty (50)</li></ol>
sinta	<i>verb</i><br><ol><li>to sit</li></ol>
siudat	<i>noun</i><br><ol><li>city</li></ol>
sivil	<i>adj</i><br><ol><li>civil</li></ol>
sker	<i>verb</i><br><ol><li>to rip</li></ol>
skirbi	<i>verb</i><br><ol><li>to write</li></ol>
skohe	<i>verb</i><br><ol><li>to choose</li><li>to elect</li></ol>
skol	<i>noun</i><br><ol><li>school</li></ol>
skouder	<i>noun</i><br><ol><li>shoulder</li></ol>
skucha	<i>verb</i><br><ol><li>to listen</li></ol>
skupi	<i>verb</i><br><ol><li>to spit</li></ol>
skèr	<i>noun</i><br><ol><li>scissors</li></ol>
skèrpi	<i>adj</i><br><ol><li>sharp (as a knife)</li></ol>
smal	<i>adj</i><br><ol><li>narrow</li></ol>
sneu	<i>noun</i><br><ol><li>snow</li></ol>
solo	<i>noun</i><br><ol><li>sun</li></ol>
sombré	<i>noun</i><br><ol><li>hat</li></ol>
sosèshi	<i>noun</i><br><ol><li>sausage</li></ol>
speransa	<i>noun</i><br><ol><li>hope</li><li>expectation</li></ol>
splika	<i>verb</i><br><ol><li>to explain</li><li>to clarify</li></ol>
staka	<i>verb</i><br><ol><li>to stab</li></ol>
stat	<i>noun</i><br><ol><li>city, town</li></ol>
stima	<i>verb</i><br><ol><li>to love</li></ol>
stoba	<i>verb</i><br><ol><li>to stew</li><li>to braize</li><li>to stove</li></ol>
stobá	<i>noun</i><br><ol><li>stew, a meat dish cooked by stewing, braizing or stoving.</li></ol>
strea	<i>noun</i><br><ol><li>star</li></ol>
stret	<i>adj</i><br><ol><li>straight ahead</li><li>straight up</li></ol>
streya	<i>noun</i><br><ol><li>star</li></ol>
stul	<i>noun</i><br><ol><li>chair</li></ol>
stòf	<i>noun</i><br><ol><li>dust</li></ol>
stòmpi	<i>adj</i><br><ol><li>dull (as a knife)</li></ol>
sua	<i>noun</i><br><ol><li>friend, pal, comrade</li><li>brother-in-law</li></ol>
subrino	<i>noun</i><br><ol><li>nephew</li></ol>
suku	<i>noun</i><br><ol><li>sugar</li></ol>
sunchi	<i>noun</i><br><ol><li>kiss</li><li>marshmallow (candy)</li></ol>
supla	<i>verb</i><br><ol><li>to blow</li></ol>
sushi	<i>adj</i><br><ol><li>dirty</li></ol><br><i>noun</i><br><ol><li>dirt, waste</li><li>dust bin</li></ol>
swa	<i>noun</i><br><ol><li>friend, pal, comrade</li><li>brother-in-law</li></ol>
sèn	<i>noun</i><br><ol><li>cent</li><li>money</li><li>coin</li></ol>
sèptèmber	<i>noun</i><br><ol><li>September</li></ol>
sòpi	<i>noun</i><br><ol><li>soup</li></ol>
sòru	<i>verb</i><br><ol><li>to care</li><li>to care for</li></ol>
sùit	<i>adj</i><br><ol><li>south</li></ol>
ta	<i>verb</i><br><ol><li>to be</li><li>is</li></ol>
tabata|tabata.	<i>verb</i><br><ol><li>was</li><li>were</li><li>used to</li><li>was busy</li></ol>
tabatin|tabatin.	<i>verb</i><br><ol><li>had</li></ol>
taha	<i>verb</i><br><ol><li>to prohibit</li></ol>
tambe	<i>adv</i><br><ol><li>also</li><li>too</li></ol>
tambú	<i>noun</i><br><ol><li>Antillean drum</li><li>Antillean dance</li><li>Antillean beat</li><li>Antillean music</li><li>Antillean feast</li></ol>
tanchi	<i>noun</i><br><ol><li>aunt</li></ol>
tanta	<i>noun</i><br><ol><li>aunt</li></ol>
tantu	<i>adj</i><br><ol><li>whole, all of</li><li>complete, entire</li></ol><br><i>adv</i><br><ol><li>completely, entirely</li></ol>
tardi	<i>noun</i><br><ol><li>afternoon</li></ol>
tata	<i>noun</i><br><ol><li>father</li></ol>
tayó	<i>noun</i><br><ol><li>plate</li></ol>
te	<i>adj</i><br><ol><li>until, till, up to, up until</li></ol>
te aweró	<i>intj</i><br><ol><li>see you soon</li><li>see you later</li><li>goodbye</li></ol>
te aworo	<i>intj</i><br><ol><li>see you soon</li><li>see you later</li><li>goodbye</li></ol>
te mañan	<i>intj</i><br><ol><li>see you tomorrow</li><li>goodbye</li></ol>
te'oro|te'orote aworo. A popular greeting	<i>intj</i><br><ol><li>see you soon</li><li>see you later</li><li>goodbye</li></ol>
tempo	<i>noun</i><br><ol><li>time</li><li>weather</li><li>season</li></ol>
tempu	<i>noun</i><br><ol><li>time</li><li>weather</li><li>season</li></ol>
tenchi	<i>noun</i><br><ol><li>toe</li></ol>
tende	<i>verb</i><br><ol><li>to hear</li></ol>
tene	<i>verb</i><br><ol><li>to hold</li></ol>
tera	<i>noun</i><br><ol><li>earth</li><li>land</li><li>soil</li></ol>
tienda	<i>noun</i><br><ol><li>shop</li></ol>
tiki	<i>pron</i><br><ol><li>few</li><li>a bit</li></ol>
tin	<i>verb</i><br><ol><li>to have</li><li>to possess</li><li>there are</li></ol>
tin miedu	<i>verb</i><br><ol><li>to fear</li></ol>
tio	<i>noun</i><br><ol><li>uncle</li></ol>
tira	<i>verb</i><br><ol><li>to throw</li></ol>
trabou	<i>noun</i><br><ol><li>work</li></ol>
traha	<i>verb</i><br><ol><li>to work</li><li>to make</li><li>to build</li></ol>
tremendo	<i>adj</i><br><ol><li>tremendous</li><li>very good</li></ol>
tres	<i>num</i><br><ol><li>three (3)</li></ol>
tribon	<i>noun</i><br><ol><li>shark</li></ol>
trinta	<i>num</i><br><ol><li>thirty (30)</li></ol>
tripa	<i>noun</i><br><ol><li>guts</li><li>intestine</li></ol>
trèk	<i>verb</i><br><ol><li>to pull</li><li>to take</li></ol>
tur	<i>adv</i><br><ol><li>all</li><li>every</li></ol><br><i>pron</i><br><ol><li>everything</li></ol>
turtuga	<i>noun</i><br><ol><li>turtle</li><li>sea turtle</li></ol>
umbé	<i>adj</i><br><ol><li>immediately</li><li>right away</li><li>instantly</li></ol>
un	<i>num</i><br><ol><li>one (1)</li></ol><br><i>article</i><br><ol><li>a, an (indefinite article)</li></ol>
unda	<i>adv</i><br><ol><li>where</li></ol>
union	<i>noun</i><br><ol><li>union</li></ol>
union civil	<i>noun</i><br><ol><li>civil union</li><li>registered partnership, an alternative for marriage.</li></ol>
union sivil	<i>noun</i><br><ol><li>civil union</li><li>registered partnership, an alternative for marriage.</li></ol>
unu	<i>num</i><br><ol><li>one (1)</li></ol>
uña	<i>noun</i><br><ol><li>fingernail</li><li>nail</li></ol>
volkániko	<i>adj</i><br><ol><li>volcanic</li></ol>
vruminga	<i>noun</i><br><ol><li>ant</li></ol>
vèt	<i>noun</i><br><ol><li>fat</li></ol>
wak	<i>verb</i><br><ol><li>to look</li><li>to watch</li><li>to see</li></ol>
wante	<i>noun</i><br><ol><li>glove</li></ol>
warawara	<i>noun</i><br><ol><li>Caracara</li><li>falcon</li><li>Caracara plancus, the Southern crested caracara</li></ol>
warda	<i>verb</i><br><ol><li>to wait</li></ol>
watapana	<i>noun</i><br><ol><li>Caesalpinia coriaria</li><li>Libidibia coriaria</li></ol>
webu	<i>noun</i><br><ol><li>egg</li></ol>
wela	<i>noun</i><br><ol><li>grandmother</li></ol>
welo	<i>noun</i><br><ol><li>grandfather</li></ol>
wesu	<i>noun</i><br><ol><li>bone</li></ol>
weta	<i>verb</i><br><ol><li>to see</li></ol>
wil	<i>noun</i><br><ol><li>wheel</li></ol>
wowo	<i>noun</i><br><ol><li>eye</li></ol>
wèst	<i>adj</i><br><ol><li>west</li></ol>
y	<i>conj</i><br><ol><li>and</li></ol>
yabi	<i>noun</i><br><ol><li>key</li></ol>
yag	<i>verb</i><br><ol><li>to hunt</li></ol>
yama	<i>verb</i><br><ol><li>to call (shout)</li><li>to be called (one's name)</li><li>to call by telephone</li></ol>
yanüari	<i>noun</i><br><ol><li>January</li></ol>
yega	<i>verb</i><br><ol><li>to arrive</li><li>to reach</li><li>to come</li></ol>
yen	<i>adj</i><br><ol><li>full</li></ol>
yerba	<i>noun</i><br><ol><li>grass</li><li>herb</li></ol>
yiu	<i>noun</i><br><ol><li>child (of parents)</li></ol>
yobe	<i>verb</i><br><ol><li>to rain</li></ol>
yongotá	<i>verb</i><br><ol><li>to crouch, to squat</li><li>to kneel</li></ol>
yu	<i>noun</i><br><ol><li>child (of parents)</li></ol>
yuana	<i>noun</i><br><ol><li>iguana</li></ol>
yuda	<i>verb</i><br><ol><li>to help</li></ol>
yüli	<i>noun</i><br><ol><li>July</li></ol>
yüni	<i>noun</i><br><ol><li>June</li></ol>
zona	<i>noun</i><br><ol><li>zone</li></ol>
èlebog	<i>noun</i><br><ol><li>elbow</li></ol>
òf	<i>conj</i><br><ol><li>or</li><li>if</li><li>whether</li></ol>
