Abril|Abríl	<i>noun</i><br><ol><li>April</li></ol>
lungkut|lúngkut	<i>noun</i><br><ol><li>sadness; loneliness</li></ol>
lupa	<i>noun</i><br><ol><li>face</li></ol>
lupisak|lupísak	<i>noun</i><br><ol><li>house lizard, common house gecko (Hemidactylus frenatus)</li></ol>
lutu|lútû|lutû	<i>adj</i><br><ol><li>cooked</li></ol><br><i>verb</i><br><ol><li>to cook</li></ol><br><i>noun</i><br><ol><li>red</li></ol>
madalumdum	<i>adj</i><br><ol><li>dark; obscure</li></ol>
magalang|magálang	<i>adj</i><br><ol><li>honorable</li><li>respectful</li></ol>
magkanu	<i>pron</i><br><ol><li>(interrogative) how much</li></ol>
mainge	<i>adj</i><br><ol><li>noisy; boisterous</li></ol>
maipas	<i>adj</i><br><ol><li>full of cockroaches; infested with cockroaches</li></ol>
makaba|makabà	<i>adj</i><br><ol><li>long</li></ol>
makuyad|makúyad	<i>adj</i><br><ol><li>short</li></ol>
malagu	<i>adj</i><br><ol><li>beautiful</li></ol>
malambut	<i>adj</i><br><ol><li>soft</li></ol>
malati|mangalati|malatí	<i>adj</i><br><ol><li>small; little</li></ol>
mangan	<i>verb</i><br><ol><li>to eat</li></ol>
mangmang|mangmáng	<i>adj</i><br><ol><li>ignorant; uneducated; illiterate</li></ol>
manuk	<i>noun</i><br><ol><li>chicken</li></ol>
manyaman	<i>adj</i><br><ol><li>delicious</li></ol>
mapali	<i>adj</i><br><ol><li>hot</li></ol>
maparas|maparás	<i>adj</i><br><ol><li>spicy; pungent</li></ol>
maplas|maplás	<i>adj</i><br><ol><li>stinging, smarting (e.g. a wound, when medicine is applied)</li></ol>
mappiang sugi|máppiâng súgî	<i>noun</i><br><ol><li>Of or pertaining to royal blood.</li></ol>
maragul|pekamaragul|mangaragul	<i>adj</i><br><ol><li>big; large</li></ol>
marimla	<i>adj</i><br><ol><li>cold; cool</li></ol>
marinat	<i>adj</i><br><ol><li>dirty</li></ol>
masikan|masikán|mangasikan	<i>adj</i><br><ol><li>strong, hard (physically)</li><li>powerful, potent, mighty</li><li>influential (morally)</li><li>loud</li><li>athletic</li></ol>
masukal	<i>adj</i><br><ol><li>dirty; untidy (city, street, room)</li></ol>
mata	<i>noun</i><br><ol><li>eye (organ)</li></ol>
matuling	<i>adj</i><br><ol><li>black (absorbing all light)</li></ol><br><i>noun</i><br><ol><li>(color) black</li></ol>
mauli	<i>noun</i><br><ol><li>south</li></ol>
mekad	<i>adv</i><br><ol><li>maybe, probably</li><li>might</li></ol>
mekeni|mequeni|mekéni	<i>intj</i><br><ol><li>come here!</li></ol>
minum	<i>verb</i><br><ol><li>to drink</li></ol>
moret	<i>adj</i><br><ol><li>(derogatory) ignorant</li><li>(vulgar) foolish; stupid; contemptible</li><li>(vulgar) jerk</li></ol>
muli	<i>noun</i><br><ol><li>act of returning home</li></ol>
muret	<i>adj</i><br><ol><li>(derogatory) ignorant</li><li>(vulgar) foolish; stupid; contemptible</li><li>(vulgar) jerk</li></ol>
murit	<i>adj</i><br><ol><li>(derogatory) ignorant</li><li>(vulgar) foolish; stupid; contemptible</li><li>(vulgar) jerk</li></ol>
musmus|musmús	<i>adj</i><br><ol><li>naughty</li></ol>
nanu|nánu	<i>pron</i><br><ol><li>(interrogative) what</li></ol>
nanung pilawe-lawe mu|Nanung pilawe-lawe mu	<i>phrase</i><br><ol><li>(rhetorical question, somewhat hostile) Expresses discomfort because the interlocutor is looking at something; usually, this is said when the interlocutor has been staring at the speaker.</li></ol>
nasi|násî	<i>noun</i><br><ol><li>cooked rice</li></ol>
ngalngal	<i>verb</i><br><ol><li>to cry like a child</li></ol>
ngeni|ngéni	<i>adv</i><br><ol><li>now</li><li>today</li></ol>
ngungut	<i>noun</i><br><ol><li>coconut (Cocos nucifera)</li></ol>
ngusu	<i>noun</i><br><ol><li>(anatomy) upper lip</li></ol>
niknik|nikník	<i>noun</i><br><ol><li>any tiny insect</li></ol>
nokarin	<i>pron</i><br><ol><li>(interrogative) where</li></ol>
nukarin	<i>pron</i><br><ol><li>(interrogative) where</li></ol>
nunu|núnû	<i>noun</i><br><ol><li>grandparent</li><li>great-grandparent</li><li>ancestor; progenitor</li></ol>
oneng	<i>conj</i><br><ol><li>but</li><li>however</li></ol>
pakibat|pakíbat	<i>noun</i><br><ol><li>reply; response</li><li>answer</li></ol>
paku	<i>noun</i><br><ol><li>nail</li></ol><br><i>verb</i><br><ol><li>to nail</li></ol>
palakul	<i>noun</i><br><ol><li>axe</li></ol><br><i>verb</i><br><ol><li>to split with an axe</li></ol>
palapag	<i>noun</i><br><ol><li>story (US)/storey (UK); floor (of a building)</li></ol>
palasingsingan|palásingsíngan	<i>noun</i><br><ol><li>ring finger</li></ol>
palayo|paláyo	<i>noun</i><br><ol><li>nickname</li></ol>
palus	<i>noun</i><br><ol><li>black eel</li></ol>
pamakiabe	<i>noun</i><br><ol><li>the custom of maintaining acceptable relationships among members of a group; companionship; fellowship; camaraderie; comradeship</li><li>(literally) the act of coming together or residing in one place or home</li></ol>
pamangagli	<i>noun</i><br><ol><li>conception (of a child)</li></ol>
pamangan	<i>noun</i><br><ol><li>food</li></ol>
pamangikwan	<i>noun</i><br><ol><li>miscarriage</li></ol>
pambuk|pambúk	<i>noun</i><br><ol><li>(anatomy) upper lip</li><li>snout</li></ol>
pamuntuk	<i>noun</i><br><ol><li>(politics) president of a country</li></ol>
panalili|panalíli	<i>noun</i><br><ol><li>(grammar) pronoun</li></ol>
panantabe	<i>noun</i><br><ol><li>(grammar) adverb</li></ol>
panas|panás	<i>noun</i><br><ol><li>ant</li></ol>
pande	<i>noun</i><br><ol><li>blacksmith</li></ol>
pandi	<i>noun</i><br><ol><li>flag, banner, standard</li></ol>
pandi-pandi	<i>noun</i><br><ol><li>a pennant, or little flag at the top end of something.</li></ol>
pangapamuntuk	<i>noun</i><br><ol><li>presidency</li></ol>
pangulu	<i>noun</i><br><ol><li>north</li></ol>
panyu|panyú	<i>noun</i><br><ol><li>handkerchief</li></ol>
paras	<i>noun</i><br><ol><li>spiciness, pungence</li></ol>
pasbul|pasbúl	<i>noun</i><br><ol><li>door</li></ol>
pasiknangan	<i>noun</i><br><ol><li>sports</li></ol>
pating	<i>noun</i><br><ol><li>shark</li></ol>
payung	<i>noun</i><br><ol><li>umbrella</li></ol><br><i>verb</i><br><ol><li>to cover someone from the rain with an umbrella</li></ol>
pengari|pengári	<i>noun</i><br><ol><li>parent</li></ol>
pepalto	<i>noun</i><br><ol><li>A small, flat, sweet rice cake eaten in the Philippines.</li></ol>
pidalanan	<i>noun</i><br><ol><li>road</li></ol>
pihican|pihícan	<i>adj</i><br><ol><li>(Bacolor, Samson) Alternative form of pihikan</li></ol>
pihikan|pihíkan	<i>adj</i><br><ol><li>fastidious</li></ol>
pinanari|pinanárî	<i>noun</i><br><ol><li>rainbow</li></ol>
pinggan|pinggán	<i>noun</i><br><ol><li>dish; plate</li></ol>
pintakasi|pintakási	<i>noun</i><br><ol><li>patron saint; intercessor</li></ol>
pintu|píntu	<i>noun</i><br><ol><li>respect; restraint</li></ol>
piring|piríng	<i>noun</i><br><ol><li>blindfold (covering that blocks light)</li></ol>
pisamban	<i>noun</i><br><ol><li>church</li></ol>
pisan	<i>noun</i><br><ol><li>cousin</li></ol>
pisngi	<i>noun</i><br><ol><li>(anatomy) cheek</li></ol>
pitna|pitnâ	<i>verb</i><br><ol><li>to halve</li></ol>
pitudturan	<i>noun</i><br><ol><li>bed</li></ol>
pota|póta	<i>adv</i><br><ol><li>later; shortly</li></ol>
pugu	<i>noun</i><br><ol><li>quail</li></ol>
pulu	<i>noun</i><br><ol><li>island</li></ol>
pulut|pulút	<i>noun</i><br><ol><li>honey</li></ol>
punggod	<i>noun</i><br><ol><li>pimple; acne</li></ol>
puraksing|puráksing	<i>noun</i><br><ol><li>an atom</li></ol>
pusa	<i>noun</i><br><ol><li>cat</li></ol>
puti|putî	<i>adj</i><br><ol><li>white (bright and colourless)</li></ol><br><i>noun</i><br><ol><li>white (colour)</li></ol>
quiliquili|quíliquíli	<i>noun</i><br><ol><li>(Bacolor) Alternative form of kilikili</li></ol>
sabi	<i>adj</i><br><ol><li>said</li></ol><br><i>noun</i><br><ol><li>something said; statement</li></ol>
sabung	<i>noun</i><br><ol><li>cockfighting</li></ol>
sabunut	<i>verb</i><br><ol><li>to pull hair</li></ol>
sagana|sagána	<i>adj</i><br><ol><li>abundant</li></ol>
sakal	<i>verb</i><br><ol><li>to choke; to strangle</li></ol>
sake	<i>verb</i><br><ol><li>to board, to embark, to ride</li></ol>
sakit	<i>noun</i><br><ol><li>disease; sickness; illness; ailment; tough; difficult</li><li>pain; painfulness; hard</li></ol>
salamat|salámat	<i>intj</i><br><ol><li>thank you</li></ol>
salamin	<i>noun</i><br><ol><li>mirror</li></ol>
salita|salíta	<i>noun</i><br><ol><li>(linguistics) language</li></ol>
salu|sálû	<i>noun</i><br><ol><li>(anatomy) chest</li></ol>
salusu	<i>noun</i><br><ol><li>speed</li></ol>
salut|sálut	<i>noun</i><br><ol><li>disease</li><li>epidemic</li></ol>
sampaga	<i>noun</i><br><ol><li>flower</li></ol>
sampaluk	<i>noun</i><br><ol><li>tamarind</li></ol>
sandata|sandáta	<i>noun</i><br><ol><li>weapon; arms</li></ol>
sanduk|sandúk	<i>noun</i><br><ol><li>spoon</li></ol>
sanggalang|sanggálang	<i>verb</i><br><ol><li>to resist; to not obey</li></ol>
sangkal ning armas	<i>noun</i><br><ol><li>armor</li><li>coat of arms</li></ol>
sangkan|sangkán	<i>noun</i><br><ol><li>reason</li></ol>
sangyuta|sangyutâ	<i>num</i><br><ol><li>(archaic) one million</li></ol>
santul|santúl	<i>noun</i><br><ol><li>santol</li></ol>
sarili|saríli	<i>pron</i><br><ol><li>oneself; one's ownself</li></ol>
sasmu|sásmu|sasmo	<i>verb</i><br><ol><li>to meet or encounter</li><li>to agree about meeting at a certain place and time</li></ol>
sasmuan|sasmuán	<i>noun</i><br><ol><li>rendezvous; meeting place; gathering place</li></ol>
saup	<i>noun</i><br><ol><li>help; aid</li></ol>
siklod|siklód	<i>noun</i><br><ol><li>kneeling</li><li>kneeling and kissing of the hands of elders (as a sign of respect)</li></ol>
simpan	<i>noun</i><br><ol><li>(computer term) file being saved or stored</li></ol>
singit	<i>noun</i><br><ol><li>(anatomy) groin</li></ol>
singsing	<i>noun</i><br><ol><li>ring</li></ol>
sinulad	<i>noun</i><br><ol><li>thread; yarn</li></ol>
sisig	<i>noun</i><br><ol><li>sisig (Filipino dish made of parts of a pig's face and belly)</li></ol>
sisilim	<i>noun</i><br><ol><li>dusk</li></ol>
siwala	<i>noun</i><br><ol><li>voice</li><li>vowel</li><li>Sound</li></ol>
sugat	<i>noun</i><br><ol><li>wound; scratch; hurt; sore; injury</li></ol>
sugi|súgî	<i>adj</i><br><ol><li>stainless, refined, like gold, pure, and clean.</li></ol>
sukad	<i>noun</i><br><ol><li>measurement; measure</li></ol>
sukal	<i>noun</i><br><ol><li>trash; rubbish; undergrowth</li></ol>
suklati|sukláti	<i>noun</i><br><ol><li>chocolate; cocoa</li></ol>
sulapawan	<i>noun</i><br><ol><li>airport</li></ol>
sulat	<i>noun</i><br><ol><li>writing (on paper, etc.)</li><li>act of writing</li><li>handwriting; penmanship</li><li>letter</li></ol>
sulung	<i>verb</i><br><ol><li>to advance</li></ol>
sulyap|sulyáp	<i>noun</i><br><ol><li>glance</li></ol>
susu|súsu|susû	<i>noun</i><br><ol><li>breast</li><li>baby bottle</li><li>snail</li></ol>
tabalu	<i>phrase</i><br><ol><li>(informal) I don't know</li></ol>
tabureti	<i>noun</i><br><ol><li>chair</li></ol>
tagana	<i>adv</i><br><ol><li>really</li><li>very</li></ol>
tagyang	<i>noun</i><br><ol><li>(anatomy) rib</li></ol>
takla	<i>noun</i><br><ol><li>feces</li></ol>
takut	<i>noun</i><br><ol><li>fear</li></ol>
talaba|talabá	<i>noun</i><br><ol><li>oyster</li></ol>
talaib|taláib	<i>noun</i><br><ol><li>kans grass (Saccharum spontaneum)</li></ol>
talakituk	<i>noun</i><br><ol><li>The giant trevally (Caranx ignobilis)</li></ol>
talampakan	<i>noun</i><br><ol><li>sole, bottom of the foot</li></ol>
talandikin|talándikín	<i>noun</i><br><ol><li>(anatomy) side of the body</li></ol>
talangka|talangkâ	<i>noun</i><br><ol><li>river swimming crab (Varuna litterata)</li></ol>
talaterak	<i>noun</i><br><ol><li>dancer</li></ol>
taliri|talírî	<i>noun</i><br><ol><li>(anatomy) finger</li></ol>
taluktuk	<i>noun</i><br><ol><li>top; summit; highest point</li></ol>
tamatis	<i>noun</i><br><ol><li>tomato</li></ol>
tanaman	<i>num</i><br><ol><li>tree</li></ol>
tandang|tandáng	<i>noun</i><br><ol><li>young male chicken</li></ol>
tangsu	<i>noun</i><br><ol><li>copper</li></ol>
taning|táning	<i>noun</i><br><ol><li>time limit; fixed time</li></ol>
tau|taú|táu	<i>noun</i><br><ol><li>person</li><li>human</li><li>feast; party; banquet</li></ol>
tayum|tayom	<i>noun</i><br><ol><li>indigo (plant)</li><li>indigo (color)</li></ol>
terak	<i>noun</i><br><ol><li>dance; a sequence of rhythmic steps or movements usually performed to music.</li></ol><br><i>verb</i><br><ol><li>To dance.</li><li>To sway.</li></ol>
tete	<i>noun</i><br><ol><li>bridge</li></ol>
tigab|tígab	<i>noun</i><br><ol><li>belch; burp</li></ol>
timaua|timawa|timáuâ	<i>adj</i><br><ol><li>free</li></ol>
timbang|tímbang	<i>noun</i><br><ol><li>weight</li></ol>
tinape|tinápe	<i>noun</i><br><ol><li>bread</li></ol>
tipa	<i>verb</i><br><ol><li>to descend</li></ol>
titi	<i>noun</i><br><ol><li>animal fat or lard derived from pork</li></ol>
tiwala	<i>adj</i><br><ol><li>trustworthy</li></ol>
tud	<i>noun</i><br><ol><li>(anatomy) knee</li></ol>
tudtud	<i>noun</i><br><ol><li>sleep</li></ol>
tugak|tugák	<i>noun</i><br><ol><li>frog, toad</li></ol>
tundu	<i>noun</i><br><ol><li>drowsiness; sleepiness</li></ol>
tundun	<i>noun</i><br><ol><li>nape</li></ol>
tutu	<i>adj</i><br><ol><li>true; genuine</li></ol>
uanan	<i>adj</i><br><ol><li>right (of direction)</li></ol>
udtu|údtu	<i>noun</i><br><ol><li>noon; midday</li></ol>
ugtu	<i>noun</i><br><ol><li>noon</li></ol>
ulas|úlas	<i>noun</i><br><ol><li>blanket</li></ol>
ulata|ulatâ	<i>adj</i><br><ol><li>obvious</li></ol><br><i>adv</i><br><ol><li>obviously</li></ol>
uran|urán	<i>noun</i><br><ol><li>rain</li></ol>
utak	<i>noun</i><br><ol><li>(anatomy) brain</li></ol>
utus	<i>noun</i><br><ol><li>order</li><li>precept</li><li>decree</li></ol>
utut	<i>verb</i><br><ol><li>to suck one's fingers</li></ol>
wa	<i>intj</i><br><ol><li>yes</li></ol>
wari	<i>particle</i><br><ol><li>marks a sentence as interrogative</li></ol>
yamut|yamút	<i>noun</i><br><ol><li>root</li></ol>
yanga|yánga	<i>noun</i><br><ol><li>type of earthen jar used to store rice for making busa.</li></ol>
yuta	<i>num</i><br><ol><li>million (10⁶)</li></ol>
