a	<i>romanization</i><br><ol><li>Romanization of 𒀀 (a)</li></ol>
gilgamesz2	<i>romanization</i><br><ol><li>Romanization of 𒄑𒉋𒂵𒎌 (gilgameš₂)</li></ol>
gilgamesz3	<i>romanization</i><br><ol><li>Romanization of 𒄑𒉈𒂵𒈩 (gilgameš₃)</li></ol>
gilgamesz4	<i>romanization</i><br><ol><li>Romanization of 𒄑𒉋𒂵𒈩 (gilgameš₄)</li></ol>
gilim	<i>romanization</i><br><ol><li>Romanization of 𒄃 (gilim)</li></ol>
gilim2	<i>romanization</i><br><ol><li>Romanization of 𒉾 (gilim₂)</li></ol>
gin	<i>romanization</i><br><ol><li>Romanization of 𒁺 (gin)</li></ol>
gin2	<i>romanization</i><br><ol><li>Romanization of 𒂅 (gin₂)</li></ol>
gin3	<i>romanization</i><br><ol><li>Romanization of 𒆳 (gin₃)</li></ol>
gin6	<i>romanization</i><br><ol><li>Romanization of 𒄀 (gin₆)</li></ol>
gin7	<i>romanization</i><br><ol><li>Romanization of 𒁶 (gin₇)</li></ol>
gir12	<i>romanization</i><br><ol><li>Romanization of 𒅔 (gir₁₂)</li></ol>
gir15	<i>romanization</i><br><ol><li>Romanization of 𒂠 (gir₁₅)</li></ol>
giri17	<i>romanization</i><br><ol><li>Romanization of 𒅗 (giri₁₇)</li></ol>
gu	<i>romanization</i><br><ol><li>Romanization of 𒄖 (gu)</li></ol>
gu2	<i>romanization</i><br><ol><li>Romanization of 𒄘 (gu₂)</li></ol>
gu3	<i>romanization</i><br><ol><li>Romanization of 𒅗 (gu₃)</li></ol>
gu4	<i>romanization</i><br><ol><li>Romanization of 𒄞 (gu₄)</li></ol>
gu7	<i>romanization</i><br><ol><li>Romanization of 𒅥 (gu₇)</li></ol>
gub	
gub2	<i>romanization</i><br><ol><li>Romanization of 𒇷 (gub₂)</li></ol>
gud	<i>romanization</i><br><ol><li>Romanization of 𒄞 (gud)</li></ol>
gudu4	<i>romanization</i><br><ol><li>Romanization of 𒄴𒈨 (gudu₄)</li></ol>
guduX	<i>romanization</i><br><ol><li>Romanization of 𒄴 (guduₓ(ḪI×NUN))</li></ol>
gudug	<i>romanization</i><br><ol><li>Romanization of 𒄴𒈨 (gudug)</li></ol>
gudug2	<i>romanization</i><br><ol><li>Romanization of 𒋨𒈨 (gudug₂)</li></ol>
gug	<i>romanization</i><br><ol><li>Romanization of 𒍝𒄢 (gug)</li></ol>
gug6	<i>romanization</i><br><ol><li>Romanization of 𒅗𒆕 (gug₆)</li></ol>
gul	<i>romanization</i><br><ol><li>Romanization of 𒄢 (gul)</li></ol>
gum	<i>romanization</i><br><ol><li>Romanization of 𒄣 (gum)</li></ol>
gun2	<i>romanization</i><br><ol><li>Romanization of 𒄘 (gun₂)</li></ol>
gun3	<i>romanization</i><br><ol><li>Romanization of 𒁯 (gun₃)</li></ol>
gun5	<i>romanization</i><br><ol><li>Romanization of 𒈝 (gun₅)</li></ol>
gur	<i>romanization</i><br><ol><li>Romanization of 𒄥 (gur)</li></ol>
gur10	<i>romanization</i><br><ol><li>Romanization of 𒆥 (gur₁₀)</li></ol>
gur11	<i>romanization</i><br><ol><li>Romanization of 𒂵 (gur₁₁)</li></ol>
gur16	<i>romanization</i><br><ol><li>Romanization of 𒆳 (gur₁₆)</li></ol>
gur17	<i>romanization</i><br><ol><li>Romanization of 𒄕 (gur₁₇)</li></ol>
gur2	<i>romanization</i><br><ol><li>Romanization of 𒃵 (gur₂)</li></ol>
gur3	<i>romanization</i><br><ol><li>Romanization of 𒅍 (gur₃)</li></ol>
gur4	<i>romanization</i><br><ol><li>Romanization of 𒆸 (gur₄)</li></ol>
gur5	<i>romanization</i><br><ol><li>Romanization of 𒍀 (gur₅)</li></ol>
gur6	<i>romanization</i><br><ol><li>Romanization of 𒃸 (gur₆)</li></ol>
gur7	<i>romanization</i><br><ol><li>Romanization of 𒄦 (gur₇)</li></ol>
gur8	<i>romanization</i><br><ol><li>Romanization of 𒋽 (gur₈)</li></ol>
gur9	<i>romanization</i><br><ol><li>Romanization of 𒉒 (gur₉)</li></ol>
gurX	<i>romanization</i><br><ol><li>Romanization of 𒌋𒂵 (gurₓ(U.GA))</li></ol>
gurum	<i>romanization</i><br><ol><li>Romanization of 𒃵 (gurum)</li></ol>
gurum2	<i>romanization</i><br><ol><li>Romanization of 𒅆𒂟 (gurum₂)</li></ol>
gurumX	<i>romanization</i><br><ol><li>Romanization of 𒄧 (gurumₓ(GURUN))</li></ol>
gurun	<i>romanization</i><br><ol><li>Romanization of 𒄧 (gurun)</li></ol>
gurun4	<i>romanization</i><br><ol><li>Romanization of 𒇫 (gurun₄)</li></ol>
gurun7	<i>romanization</i><br><ol><li>Romanization of 𒂁 (gurun₇)</li></ol>
gurunX	<i>romanization</i><br><ol><li>Romanization of 𒋲 (gurunₓ(4xTAB))</li></ol>
guz	<i>romanization</i><br><ol><li>Romanization of 𒄣 (guz)</li></ol>
ha	<i>romanization</i><br><ol><li>Romanization of 𒄩 (ḫa)</li></ol>
hab2	<i>romanization</i><br><ol><li>Romanization of 𒇥 (ḫab₂)</li></ol>
had	<i>romanization</i><br><ol><li>Romanization of 𒉺 (ḫad)</li></ol>
had2	<i>romanization</i><br><ol><li>Romanization of 𒌓 (ḫad₂)</li></ol>
had3	<i>romanization</i><br><ol><li>Romanization of 𒊷 (ḫad₃)</li></ol>
hal	<i>romanization</i><br><ol><li>Romanization of 𒄬 (ḫal)</li></ol>
hanisz	<i>romanization</i><br><ol><li>Romanization of 𒅂 (ḫaniš)</li></ol>
hanisz2	<i>romanization</i><br><ol><li>Romanization of 𒈗 (ḫaniš₂)</li></ol>
har	<i>romanization</i><br><ol><li>Romanization of 𒄯 (ḫar)</li></ol>
hasz	<i>romanization</i><br><ol><li>Romanization of 𒋻 (ḫaš)</li></ol>
hasz2	<i>romanization</i><br><ol><li>Romanization of 𒍨 (ḫaš₂)</li></ol>
hasz4	<i>romanization</i><br><ol><li>Romanization of 𒍮 (ḫaš₄)</li></ol>
he2	<i>romanization</i><br><ol><li>Romanization of 𒃶 (ḫe₂)</li></ol>
hejal	<i>romanization</i><br><ol><li>Romanization of 𒂼 (ḫeg̃al)</li></ol>
hi	<i>romanization</i><br><ol><li>Romanization of 𒄭 (ḫi)</li></ol>
hir	<i>romanization</i><br><ol><li>Romanization of 𒆟 (ḫir)</li></ol>
hu	<i>romanization</i><br><ol><li>Romanization of 𒄷 (ḫu)</li></ol>
hul	<i>romanization</i><br><ol><li>Romanization of 𒅆𒌨 (ḫul)</li></ol>
hul2	<i>romanization</i><br><ol><li>Romanization of 𒄾 (ḫul₂)</li></ol>
hur	<i>romanization</i><br><ol><li>Romanization of 𒄯 (ḫur)</li></ol>
i	<i>romanization</i><br><ol><li>Romanization of 𒄿 (i)</li></ol>
i2	<i>romanization</i><br><ol><li>Romanization of 𒐊 (i₂)</li></ol>
i3	<i>romanization</i><br><ol><li>Romanization of 𒉌 (i₃)</li></ol>
i5	<i>romanization</i><br><ol><li>Romanization of 𒅗 (i₅)</li></ol>
i7	<i>romanization</i><br><ol><li>Romanization of 𒀀𒇉 (i₇)</li></ol>
ia2	<i>romanization</i><br><ol><li>Romanization of 𒐊 (ia₂)</li></ol>
ia3	<i>romanization</i><br><ol><li>Romanization of 𒉌 (ia₃)</li></ol>
ia4	<i>romanization</i><br><ol><li>Romanization of 𒎎 (ia₄)</li></ol>
ia7	<i>romanization</i><br><ol><li>Romanization of 𒐃 (ia₇)</li></ol>
ib	<i>romanization</i><br><ol><li>Romanization of 𒅁 (ib)</li></ol>
ib2	<i>romanization</i><br><ol><li>Romanization of 𒌈 (ib₂)</li></ol>
ibila	<i>romanization</i><br><ol><li>Romanization of 𒌉𒍑 (ibila)</li></ol>
ibila2	<i>romanization</i><br><ol><li>Romanization of 𒌉𒀴 (ibila₂)</li></ol>
ibila3	<i>romanization</i><br><ol><li>Romanization of 𒌉𒊕 (ibila₃)</li></ol>
ibilaX	<i>romanization</i><br><ol><li>Romanization of 𒌉𒁹 (ibilaₓ(TUR.DIŠ))</li><li>Romanization of 𒌉𒉈 (ibilaₓ(TUR.NE))</li></ol>
ibira	<i>romanization</i><br><ol><li>Romanization of 𒅪 (ibira)</li></ol>
ibira2	<i>romanization</i><br><ol><li>Romanization of 𒅛 (ibira₂)</li></ol>
id2	<i>romanization</i><br><ol><li>Romanization of 𒀀𒇉 (id₂)</li></ol>
idigna	<i>romanization</i><br><ol><li>Romanization of 𒄘𒃼 (idigna)</li><li>Romanization of 𒈦𒄘𒃼 (idigna)</li></ol>
idim	<i>romanization</i><br><ol><li>Romanization of 𒁁 (idim)</li><li>Romanization of 𒅂 (idim)</li></ol>
ig	<i>romanization</i><br><ol><li>Romanization of 𒅅 (ig)</li></ol>
igi	<i>romanization</i><br><ol><li>Romanization of 𒅆 (igi)</li></ol>
ih	<i>romanization</i><br><ol><li>Romanization of 𒄴 (iḫ)</li></ol>
ij3	<i>romanization</i><br><ol><li>Romanization of 𒉘 (ig̃₃)</li></ol>
iku2	<i>romanization</i><br><ol><li>Romanization of 𒂽 (iku₂)</li></ol>
il2	<i>romanization</i><br><ol><li>Romanization of 𒅍 (il₂)</li></ol>
il5	<i>romanization</i><br><ol><li>Romanization of 𒂖 (il₅)</li></ol>
ilimmu	<i>romanization</i><br><ol><li>Romanization of 𒑆 (ilimmu)</li></ol>
ilimmu2	<i>romanization</i><br><ol><li>Romanization of 𒐇 (ilimmu₂)</li></ol>
im	<i>romanization</i><br><ol><li>Romanization of 𒅎 (im)</li><li>Romanization of 𒉎 (im)</li></ol>
im3	<i>romanization</i><br><ol><li>Romanization of 𒉘 (im₃)</li></ol>
imin	<i>romanization</i><br><ol><li>Romanization of 𒐌 (imin)</li></ol>
imin2	<i>romanization</i><br><ol><li>Romanization of 𒐅 (imin₂)</li></ol>
immen	<i>romanization</i><br><ol><li>Romanization of 𒆉 (immen)</li></ol>
immen2	<i>romanization</i><br><ol><li>Romanization of 𒅘 (immen₂)</li></ol>
in	<i>romanization</i><br><ol><li>Romanization of 𒅔 (in)</li></ol>
inim	<i>romanization</i><br><ol><li>Romanization of 𒅗 (inim)</li></ol>
ir	<i>romanization</i><br><ol><li>Romanization of 𒅕 (ir)</li></ol>
ir3	<i>romanization</i><br><ol><li>Romanization of 𒀴 (ir₃)</li></ol>
iri	<i>romanization</i><br><ol><li>Romanization of 𒌷 (iri)</li></ol>
iri11	<i>romanization</i><br><ol><li>Romanization of 𒀕 (iri₁₁)</li></ol>
iri12	<i>romanization</i><br><ol><li>Romanization of 𒀊 (iri₁₂)</li></ol>
irigal	<i>romanization</i><br><ol><li>Romanization of 𒀍 (irigal)</li></ol>
isisz	<i>romanization</i><br><ol><li>Romanization of 𒅖 (isiš)</li></ol>
isisz2	<i>romanization</i><br><ol><li>Romanization of 𒀀𒅆 (isiš₂)</li></ol>
isisz3	<i>romanization</i><br><ol><li>Romanization of 𒀅 (isiš₃)</li></ol>
isz	<i>romanization</i><br><ol><li>Romanization of 𒅖 (iš)</li></ol>
isz8	<i>romanization</i><br><ol><li>Romanization of 𒀹 (iš₈)</li></ol>
iti	<i>romanization</i><br><ol><li>Romanization of 𒌗 (iti)</li></ol>
iti7	<i>romanization</i><br><ol><li>Romanization of 𒌗𒀭𒋀𒆠 (iti₇)</li></ol>
itid	<i>romanization</i><br><ol><li>Romanization of 𒌗 (itid)</li></ol>
itu	<i>romanization</i><br><ol><li>Romanization of 𒌗 (itu)</li></ol>
itud	<i>romanization</i><br><ol><li>Romanization of 𒌗 (itud)</li></ol>
itud2	<i>romanization</i><br><ol><li>Romanization of 𒌛 (itud₂)</li></ol>
izi	<i>romanization</i><br><ol><li>Romanization of 𒉈 (izi)</li></ol>
ja2	<i>romanization</i><br><ol><li>Romanization of 𒂷 (g̃a₂)</li></ol>
jal2	<i>romanization</i><br><ol><li>Romanization of 𒅅 (g̃al₂)</li></ol>
jar	<i>romanization</i><br><ol><li>Romanization of 𒃻 (g̃ar)</li></ol>
jarza	<i>romanization</i><br><ol><li>Romanization of 𒉺𒀭 (g̃arza)</li></ol>
jarza2	<i>romanization</i><br><ol><li>Romanization of 𒉺𒈗 (g̃arza₂)</li></ol>
je26	<i>romanization</i><br><ol><li>Romanization of 𒂷 (g̃e₂₆)</li></ol>
je6	<i>romanization</i><br><ol><li>Romanization of 𒈪 (g̃e₆)</li></ol>
jen	
jesz	<i>romanization</i><br><ol><li>Romanization of 𒄑 (g̃eš)</li></ol>
jesz'u	<i>romanization</i><br><ol><li>Romanization of 𒐞 (g̃eš'u)</li></ol>
jesz2	<i>romanization</i><br><ol><li>Romanization of 𒐕 (g̃eš₂)</li></ol>
jesz3	<i>romanization</i><br><ol><li>Romanization of 𒍑 (g̃eš₃)</li></ol>
jeszkim	<i>romanization</i><br><ol><li>Romanization of 𒅆𒁾 (g̃eškim)</li></ol>
jesznimbar	<i>romanization</i><br><ol><li>Romanization of 𒊷 (g̃ešnimbar)</li></ol>
jesztin	<i>romanization</i><br><ol><li>Romanization of 𒃾 (g̃eštin)</li></ol>
jesztug	<i>romanization</i><br><ol><li>Romanization of 𒉿 (g̃eštug)</li></ol>
jesztug2	<i>romanization</i><br><ol><li>Romanization of 𒄑𒌆𒉿 (g̃eštug₂)</li></ol>
jesztug3	<i>romanization</i><br><ol><li>Romanization of 𒄑𒉿𒌆 (g̃eštug₃)</li></ol>
ji6	<i>romanization</i><br><ol><li>Romanization of 𒈪 (g̃i₆)</li></ol>
jir2	<i>romanization</i><br><ol><li>Romanization of 𒄈 (g̃ir₂)</li></ol>
jir3	<i>romanization</i><br><ol><li>Romanization of 𒄊 (g̃ir₃)</li></ol>
jiri16	<i>romanization</i><br><ol><li>Romanization of 𒄌 (g̃iri₁₆)</li></ol>
jiri2	<i>romanization</i><br><ol><li>Romanization of 𒄈 (g̃iri₂)</li></ol>
jiri3	<i>romanization</i><br><ol><li>Romanization of 𒄊 (g̃iri₃)</li></ol>
jisz	<i>romanization</i><br><ol><li>Romanization of 𒄑 (g̃iš)</li></ol>
jiszkim	<i>romanization</i><br><ol><li>Romanization of 𒅆𒁾 (g̃iškim)</li></ol>
jizzal	<i>romanization</i><br><ol><li>Romanization of 𒄑𒌆𒉿𒋔 (g̃izzal)</li></ol>
ju10	<i>romanization</i><br><ol><li>Romanization of 𒈬 (g̃u₁₀)</li></ol>
jurusz	<i>romanization</i><br><ol><li>Romanization of 𒆗 (g̃uruš)</li></ol>
ka	<i>romanization</i><br><ol><li>Romanization of 𒅗 (ka)</li></ol>
ka2	<i>romanization</i><br><ol><li>Romanization of 𒆍 (ka₂)</li></ol>
ka3	<i>romanization</i><br><ol><li>Romanization of 𒂵 (ka₃)</li></ol>
ka4	<i>romanization</i><br><ol><li>Romanization of 𒋡 (ka₄)</li></ol>
kadra	<i>romanization</i><br><ol><li>Romanization of 𒃻𒊮𒀀 (kadra)</li></ol>
kadra2	<i>romanization</i><br><ol><li>Romanization of 𒃻𒊮 (kadra₂)</li></ol>
kal	<i>romanization</i><br><ol><li>Romanization of 𒆗 (kal)</li></ol>
kala	<i>romanization</i><br><ol><li>Romanization of 𒆗 (kala)</li></ol>
kalag	<i>romanization</i><br><ol><li>Romanization of 𒆗 (kalag)</li></ol>
kalam	<i>romanization</i><br><ol><li>Romanization of 𒌦 (kalam)</li></ol>
kam	<i>romanization</i><br><ol><li>Romanization of 𒄰 (kam)</li></ol>
kan2	<i>romanization</i><br><ol><li>Romanization of 𒃷 (kan₂)</li></ol>
kan4	<i>romanization</i><br><ol><li>Romanization of 𒆍 (kan₄)</li></ol>
kar	<i>romanization</i><br><ol><li>Romanization of 𒋼𒀀 (kar)</li></ol>
kar2	<i>romanization</i><br><ol><li>Romanization of 𒃸 (kar₂)</li></ol>
kara2	<i>romanization</i><br><ol><li>Romanization of 𒃸 (kara₂)</li></ol>
kaskal	<i>romanization</i><br><ol><li>Romanization of 𒆜 (kaskal)</li></ol>
kasz	<i>romanization</i><br><ol><li>Romanization of 𒁉 (kaš)</li></ol>
kasz2	<i>romanization</i><br><ol><li>Romanization of 𒆜 (kaš₂)</li></ol>
ke4	<i>romanization</i><br><ol><li>Romanization of 𒆤 (ke₄)</li></ol>
kesz2	<i>romanization</i><br><ol><li>Romanization of 𒆟 (keš₂)</li></ol>
keszda	<i>romanization</i><br><ol><li>Romanization of 𒆟 (kešda)</li></ol>
kesze2	<i>romanization</i><br><ol><li>Romanization of 𒆟 (keše₂)</li></ol>
ki	<i>romanization</i><br><ol><li>Romanization of 𒆠 (ki)</li></ol>
kib	<i>romanization</i><br><ol><li>Romanization of 𒄒 (kib)</li></ol>
kib3	<i>romanization</i><br><ol><li>Romanization of 𒍼 (kib₃)</li></ol>
kid	<i>romanization</i><br><ol><li>Romanization of 𒆤 (kid)</li></ol>
kid2	<i>romanization</i><br><ol><li>Romanization of 𒋺 (kid₂)</li></ol>
kin2	<i>romanization</i><br><ol><li>Romanization of 𒄯 (kin₂)</li></ol>
kindagal	<i>romanization</i><br><ol><li>Romanization of 𒃳 (kindagal)</li></ol>
kindagal2	<i>romanization</i><br><ol><li>Romanization of 𒃲𒌵 (kindagal₂)</li></ol>
kir4	<i>romanization</i><br><ol><li>Romanization of 𒅗 (kir₄)</li></ol>
kir5	<i>romanization</i><br><ol><li>Romanization of 𒁁 (kir₅)</li></ol>
kiri3	<i>romanization</i><br><ol><li>Romanization of 𒅗 (kiri₃)</li></ol>
kiri4	<i>romanization</i><br><ol><li>Romanization of 𒊯 (kiri₄)</li></ol>
kiri6	<i>romanization</i><br><ol><li>Romanization of 𒊬 (kiri₆)</li></ol>
kisal	<i>romanization</i><br><ol><li>Romanization of 𒆦 (kisal)</li></ol>
kislah	<i>romanization</i><br><ol><li>Romanization of 𒆠𒌓 (kislaḫ)</li></ol>
kislah2	<i>romanization</i><br><ol><li>Romanization of 𒆣 (kislaḫ₂)</li></ol>
kislah3	<i>romanization</i><br><ol><li>Romanization of 𒆠𒆗 (kislaḫ₃)</li></ol>
kisz	<i>romanization</i><br><ol><li>Romanization of 𒆧 (kiš)</li></ol>
kiszi10	<i>romanization</i><br><ol><li>Romanization of 𒌋𒊊 (kiši₁₀)</li></ol>
kiszi13	<i>romanization</i><br><ol><li>Romanization of 𒄴𒆜 (kiši₁₃)</li></ol>
kiszi14	<i>romanization</i><br><ol><li>Romanization of 𒋙𒉀 (kiši₁₄)</li></ol>
kiszi16	<i>romanization</i><br><ol><li>Romanization of 𒌑𒄉 (kiši₁₆)</li></ol>
kiszi17	<i>romanization</i><br><ol><li>Romanization of 𒄉 (kiši₁₇)</li></ol>
kiszi4	<i>romanization</i><br><ol><li>Romanization of 𒊔 (kiši₄)</li></ol>
kiszi5	<i>romanization</i><br><ol><li>Romanization of 𒉾 (kiši₅)</li></ol>
kiszi6	<i>romanization</i><br><ol><li>Romanization of 𒁝 (kiši₆)</li></ol>
kiszi7	<i>romanization</i><br><ol><li>Romanization of 𒁝 (kiši₇)</li></ol>
kiszi8	<i>romanization</i><br><ol><li>Romanization of 𒁞 (kiši₈)</li></ol>
kiszi9	<i>romanization</i><br><ol><li>Romanization of 𒁬 (kiši₉)</li></ol>
kiszib	<i>romanization</i><br><ol><li>Romanization of 𒈩 (kišib)</li></ol>
kiszib3	<i>romanization</i><br><ol><li>Romanization of 𒁾 (kišib₃)</li></ol>
kiszig	<i>romanization</i><br><ol><li>Romanization of 𒌑𒄉 (kišig)</li></ol>
kiszig2	<i>romanization</i><br><ol><li>Romanization of 𒄉 (kišig₂)</li></ol>
ku	<i>romanization</i><br><ol><li>Romanization of 𒆪 (ku)</li></ol>
ku2	<i>romanization</i><br><ol><li>Romanization of 𒅥 (ku₂)</li></ol>
ku3	<i>romanization</i><br><ol><li>Romanization of 𒆬 (ku₃)</li></ol>
ku4	<i>romanization</i><br><ol><li>Romanization of 𒆭 (ku₄)</li></ol>
ku5	<i>romanization</i><br><ol><li>Romanization of 𒋻 (ku₅)</li></ol>
ku6	<i>romanization</i><br><ol><li>Romanization of 𒄩 (ku₆)</li></ol>
ku7	<i>romanization</i><br><ol><li>Romanization of 𒆯 (ku₇)</li></ol>
kud	<i>romanization</i><br><ol><li>Romanization of 𒋻 (kud)</li></ol>
kug	<i>romanization</i><br><ol><li>Romanization of 𒆬 (kug)</li></ol>
kuj4	<i>romanization</i><br><ol><li>Romanization of 𒄿𒇻 (kug̃₄)</li></ol>
kuj5	<i>romanization</i><br><ol><li>Romanization of 𒌉𒂠 (kug̃₅)</li></ol>
kujX	<i>romanization</i><br><ol><li>Romanization of 𒈝 (kug̃ₓ(LUM))</li></ol>
kul	<i>romanization</i><br><ol><li>Romanization of 𒆰 (kul)</li></ol>
kulla	<i>romanization</i><br><ol><li>Romanization of 𒋞 (kulla)</li></ol>
kum	<i>romanization</i><br><ol><li>Romanization of 𒄣 (kum)</li></ol>
kun	<i>romanization</i><br><ol><li>Romanization of 𒆲 (kun)</li></ol>
kun4	<i>romanization</i><br><ol><li>Romanization of 𒄿𒇻 (kun₄)</li></ol>
kun5	<i>romanization</i><br><ol><li>Romanization of 𒌉𒂠 (kun₅)</li></ol>
kunga	<i>romanization</i><br><ol><li>Romanization of 𒋙𒀯 (kunga)</li></ol>
kunga2	<i>romanization</i><br><ol><li>Romanization of 𒁇𒀭 (kunga₂(BAR.AN))</li><li>Romanization of 𒋙𒀭 (kunga₂(ŠU₂.AN))</li></ol>
kur	<i>romanization</i><br><ol><li>Romanization of 𒆳 (kur)</li></ol>
kur2	<i>romanization</i><br><ol><li>Romanization of 𒉽 (kur₂)</li></ol>
kur6	<i>romanization</i><br><ol><li>Romanization of 𒉻 (kur₆)</li></ol>
kur9	<i>romanization</i><br><ol><li>Romanization of 𒆭 (kur₉)</li></ol>
kurku	<i>romanization</i><br><ol><li>Romanization of 𒈨𒀭𒊺𒉀 (kurku)</li></ol>
kurku2	<i>romanization</i><br><ol><li>Romanization of 𒅗𒀭𒉌𒋛 (kurku₂)</li></ol>
kurun	<i>romanization</i><br><ol><li>Romanization of 𒁉𒁷 (kurun)</li></ol>
kurun2	<i>romanization</i><br><ol><li>Romanization of 𒁷 (kurun₂)</li></ol>
kurun3	<i>romanization</i><br><ol><li>Romanization of 𒂁 (kurun₃)</li></ol>
kurun5	<i>romanization</i><br><ol><li>Romanization of 𒁉𒈪 (kurun₅)</li></ol>
kusz	<i>romanization</i><br><ol><li>Romanization of 𒋢 (kuš)</li></ol>
kusz2	<i>romanization</i><br><ol><li>Romanization of 𒊨 (kuš₂)</li></ol>
kusz3	<i>romanization</i><br><ol><li>Romanization of 𒌑 (kuš₃)</li></ol>
kusz7	<i>romanization</i><br><ol><li>Romanization of 𒅖 (kuš₇)</li></ol>
kuszu	<i>romanization</i><br><ol><li>Romanization of 𒌋𒊊 (kušu)</li></ol>
kuszu2	<i>romanization</i><br><ol><li>Romanization of 𒆵 (kušu₂)</li></ol>
kuszu3	<i>romanization</i><br><ol><li>Romanization of 𒌔 (kušu₃)</li></ol>
la	<i>romanization</i><br><ol><li>Romanization of 𒆷 (la)</li></ol>
la2	<i>romanization</i><br><ol><li>Romanization of 𒇲 (la₂)</li></ol>
lag	<i>romanization</i><br><ol><li>Romanization of 𒋃 (lag)</li></ol>
lagab	<i>romanization</i><br><ol><li>Romanization of 𒆸 (lagab)</li></ol>
lagar	<i>romanization</i><br><ol><li>Romanization of 𒇬 (lagar)</li></ol>
lagasz	<i>romanization</i><br><ol><li>Romanization of 𒉢𒁓𒆷 (lagaš)</li></ol>
lah3	<i>romanization</i><br><ol><li>Romanization of 𒈛 (laḫ₃)</li></ol>
lah4	<i>romanization</i><br><ol><li>Romanization of 𒁻 (laḫ₄)</li></ol>
lah5	<i>romanization</i><br><ol><li>Romanization of 𒁺𒁺 (laḫ₅)</li></ol>
lah6	<i>romanization</i><br><ol><li>Romanization of 𒁺 (laḫ₆)</li></ol>
lahar	<i>romanization</i><br><ol><li>Romanization of 𒇇 (laḫar)</li></ol>
lal	<i>romanization</i><br><ol><li>Romanization of 𒇲 (lal)</li></ol>
lal2	<i>romanization</i><br><ol><li>Romanization of 𒇳 (lal₂)</li></ol>
lal3	<i>romanization</i><br><ol><li>Romanization of 𒋭 (lal₃)</li></ol>
lamma	<i>romanization</i><br><ol><li>Romanization of 𒆗 (lamma)</li></ol>
lem4	<i>romanization</i><br><ol><li>Romanization of 𒉈 (lem₄)</li></ol>
li	<i>romanization</i><br><ol><li>Romanization of 𒇷 (li)</li></ol>
li2	<i>romanization</i><br><ol><li>Romanization of 𒉌 (li₂)</li></ol>
lil2	<i>romanization</i><br><ol><li>Romanization of 𒆤 (lil₂)</li><li>Romanization of 𒂍 (lil₂(E₂))</li></ol>
lim4	<i>romanization</i><br><ol><li>Romanization of 𒉈 (lim₄)</li></ol>
limmu	<i>romanization</i><br><ol><li>Romanization of 𒐼 (limmu)</li></ol>
limmu2	<i>romanization</i><br><ol><li>Romanization of 𒇹 (limmu₂)</li></ol>
limmu5	<i>romanization</i><br><ol><li>Romanization of 𒐉 (limmu₅)</li></ol>
lipisz	<i>romanization</i><br><ol><li>Romanization of 𒀚 (lipiš)</li></ol>
lipiszX	<i>romanization</i><br><ol><li>Romanization of 𒀖𒊮 (lipišₓ(AB₂.ŠA₃))</li></ol>
lu2	<i>romanization</i><br><ol><li>Romanization of 𒇽 (lu₂)</li></ol>
lu5	<i>romanization</i><br><ol><li>Romanization of 𒈜 (lu₅)</li></ol>
lu7	<i>romanization</i><br><ol><li>Romanization of 𒍇 (lu₇)</li></ol>
lu8	<i>romanization</i><br><ol><li>Romanization of 𒌷 (lu₈)</li></ol>
lug	<i>romanization</i><br><ol><li>Romanization of 𒇻 (lug)</li></ol>
lugal	<i>romanization</i><br><ol><li>Romanization of 𒈗 (lugal)</li></ol>
luh	<i>romanization</i><br><ol><li>Romanization of 𒈛 (luḫ)</li></ol>
lukur	<i>romanization</i><br><ol><li>Romanization of 𒊩𒈨 (lukur)</li></ol>
lul	<i>romanization</i><br><ol><li>Romanization of 𒈜 (lul)</li></ol>
lulim	<i>romanization</i><br><ol><li>Romanization of 𒄎 (lulim)</li></ol>
lum	<i>romanization</i><br><ol><li>Romanization of 𒈝 (lum)</li></ol>
ma	<i>romanization</i><br><ol><li>Romanization of 𒈠 (ma)</li></ol>
ma2	<i>romanization</i><br><ol><li>Romanization of 𒈣 (ma₂)</li></ol>
mah	<i>romanization</i><br><ol><li>Romanization of 𒈤 (maḫ)</li></ol>
mah2	<i>romanization</i><br><ol><li>Romanization of 𒀠 (maḫ₂)</li></ol>
man	<i>romanization</i><br><ol><li>Romanization of 𒎙 (man)</li></ol>
mar	<i>romanization</i><br><ol><li>Romanization of 𒈥 (mar)</li></ol>
marduk	<i>romanization</i><br><ol><li>Romanization of 𒀫𒌓 (marduk)</li></ol>
masz	<i>romanization</i><br><ol><li>Romanization of 𒈦 (maš)</li></ol>
masz2	<i>romanization</i><br><ol><li>Romanization of 𒈧 (maš₂)</li></ol>
masz3	<i>romanization</i><br><ol><li>Romanization of 𒈦𒉺 (maš₃)</li></ol>
maszkim	<i>romanization</i><br><ol><li>Romanization of 𒉺𒁽 (maškim)</li></ol>
maszkim2	<i>romanization</i><br><ol><li>Romanization of 𒉺𒁼 (maškim₂)</li></ol>
me	<i>romanization</i><br><ol><li>Romanization of 𒈨 (me)</li></ol>
me12	<i>romanization</i><br><ol><li>Romanization of 𒉈 (me₁₂)</li></ol>
me2	<i>romanization</i><br><ol><li>Romanization of 𒈪 (me₂)</li></ol>
me3	<i>romanization</i><br><ol><li>Romanization of 𒀞 (me₃)</li></ol>
me6	<i>romanization</i><br><ol><li>Romanization of 𒀝 (me₆)</li></ol>
