AFU	<i>adj</i><br><ol><li>half</li></ol>
finga	<i>noun</i><br><ol><li>finger</li></ol>
fini	<i>adj</i><br><ol><li>fine</li></ol>
firi	<i>verb</i><br><ol><li>to feel</li></ol><br><i>noun</i><br><ol><li>feeling</li></ol>
fisi	<i>noun</i><br><ol><li>fish</li></ol>
fisiti|f'siti	<i>noun</i><br><ol><li>guest</li><li>friend</li></ol>
fiskari	<i>noun</i><br><ol><li>prosecutor</li></ol>
fiti	<i>verb</i><br><ol><li>to fit (to have the right size and shape)</li><li>to try for size</li></ol><br><i>adj</i><br><ol><li>fitting, appropriate</li></ol>
flaka|fraka	<i>noun</i><br><ol><li>stain</li></ol><br><i>verb</i><br><ol><li>to stain, to soil</li></ol>
flamingo	<i>noun</i><br><ol><li>scarlet ibis, Eudocimus ruber</li></ol>
flaw	<i>verb</i><br><ol><li>To faint.</li></ol>
flet	<i>noun</i><br><ol><li>liquid insecticide</li><li>spray gun</li></ol><br><i>verb</i><br><ol><li>to spray</li></ol>
fluku|fruku	<i>noun</i><br><ol><li>curse</li></ol><br><i>verb</i><br><ol><li>to curse</li></ol>
fo	<i>num</i><br><ol><li>four</li></ol>
fon	<i>verb</i><br><ol><li>to beat, to thrash, to pummel</li><li>to mash, to puree</li></ol>
fonsu	<i>noun</i><br><ol><li>fund</li></ol>
forku	<i>noun</i><br><ol><li>fork</li></ol>
foroisi	<i>noun</i><br><ol><li>living room, salon</li></ol>
fosi	<i>adj</i><br><ol><li>first</li></ol><br><i>conj</i><br><ol><li>before</li></ol>
foto	<i>noun</i><br><ol><li>city, town</li></ol>
fow	<i>noun</i><br><ol><li>fold</li></ol><br><i>verb</i><br><ol><li>to fold</li></ol><br><i>adj</i><br><ol><li>bent, crooked</li></ol>
fowru	<i>noun</i><br><ol><li>bird</li><li>chicken, fowl</li></ol>
fowtu	<i>adj</i><br><ol><li>wrong</li></ol><br><i>noun</i><br><ol><li>mistake</li></ol>
fraga	<i>noun</i><br><ol><li>flag</li></ol>
frak	<i>det</i><br><ol><li>(with indefinite article) (a) lot</li></ol>
frambo	<i>noun</i><br><ol><li>torch</li></ol>
frede	<i>adj</i><br><ol><li>afraid</li><li>fearsome, terrifying</li><li>ugly</li></ol><br><i>verb</i><br><ol><li>(stative) to fear</li><li>to frighten</li></ol><br><i>noun</i><br><ol><li>fear</li></ol>
frei	<i>verb</i><br><ol><li>fly</li></ol><br><i>noun</i><br><ol><li>wing</li></ol>
freyri	<i>verb</i><br><ol><li>To flirt.</li></ol>
fri	<i>adj</i><br><ol><li>free</li></ol><br><i>verb</i><br><ol><li>to set free</li></ol><br><i>noun</i><br><ol><li>freedom</li></ol>
frigi	<i>noun</i><br><ol><li>kite (wind-borne toy or device)</li></ol>
fristiri	<i>verb</i><br><ol><li>To congratulate.</li></ol>
froktu	<i>noun</i><br><ol><li>fruit</li></ol>
frow	<i>noun</i><br><ol><li>woman</li><li>wife</li></ol>
froyti	<i>noun</i><br><ol><li>flute</li></ol><br><i>verb</i><br><ol><li>To whistle.</li></ol>
fru	<i>prep</i><br><ol><li>Only used in the adverbial phrase wan fru wan (one by one).</li></ol>
fruku	<i>adj</i><br><ol><li>early</li></ol>
frustu	<i>adj</i><br><ol><li>rusty, rusted</li></ol>
fu	<i>prep</i><br><ol><li>of, belonging to</li><li>from</li><li>about</li><li>for</li></ol><br><i>particle</i><br><ol><li>used for marking the following verb as an infinitive to</li><li>in order to</li></ol>
fu soso	<i>adv</i><br><ol><li>for free</li></ol>
fufuru	<i>verb</i><br><ol><li>to steal</li></ol>
fuga	<i>verb</i><br><ol><li>to be annoyed, to be fed up</li></ol><br><i>adj</i><br><ol><li>disgusting</li></ol>
furu	<i>adj</i><br><ol><li>great, big</li></ol>
futu	<i>noun</i><br><ol><li>leg, foot</li></ol>
gado	<i>noun</i><br><ol><li>god, deity</li></ol>
gagu	<i>verb</i><br><ol><li>to stutter</li></ol>
gandya	<i>noun</i><br><ol><li>hashish</li></ol>
gangan	<i>noun</i><br><ol><li>(informal) old man, old woman</li></ol><br><i>adj</i><br><ol><li>old-fashioned</li></ol>
gansi	<i>noun</i><br><ol><li>goose</li></ol>
garden	<i>noun</i><br><ol><li>window blind</li><li>awning (shelter from sunlight)</li></ol>
gari	<i>adj</i><br><ol><li>(of food) Well-cooked and ready to eat.</li></ol>
gaw	<i>adj</i><br><ol><li>quick, fast</li></ol>
gawgaw	<i>adj</i><br><ol><li>very quick, very fast</li></ol>
geri	<i>adj</i><br><ol><li>yellow</li></ol>
gersi	<i>verb</i><br><ol><li>(stative) to resemble</li><li>to seem, to appear</li><li>to fantasize</li></ol><br><i>noun</i><br><ol><li>image</li></ol>
gerstori	<i>noun</i><br><ol><li>likeness</li></ol>
gesontu	<i>adj</i><br><ol><li>healthy</li></ol><br><i>noun</i><br><ol><li>health</li></ol>
gespi	<i>noun</i><br><ol><li>buckle</li></ol>
gi	<i>verb</i><br><ol><li>to give</li></ol><br><i>prep</i><br><ol><li>to (indicates indirect object)</li></ol>
gitara	<i>noun</i><br><ol><li>guitar</li></ol>
go	<i>verb</i><br><ol><li>To go</li></ol>
gobogobo	<i>noun</i><br><ol><li>Bambara groundnut (the edible seed of an African plant related to beans, Vigna subterranea, which produces its seeds underground, like peanuts.)</li></ol>
godo	<i>noun</i><br><ol><li>hollowed gourd, used as a container</li><li>wasps' nest</li></ol>
golu	<i>noun</i><br><ol><li>(colloquial) The Surinamese dollar</li><li>(historical) The Surinamese guilder (currency unit, abolished in 2004)</li><li>(historical) The Dutch guilder (currency unit, abolished in 2002)</li></ol>
goma	<i>noun</i><br><ol><li>starch (laundry stiffener)</li></ol>
gon	<i>noun</i><br><ol><li>gun</li></ol>
gorogoro	<i>noun</i><br><ol><li>gullet, throat</li><li>larynx</li></ol><br><i>verb</i><br><ol><li>to gargle</li></ol>
gotro	<i>noun</i><br><ol><li>ditch</li><li>gutter</li></ol>
gowtu	<i>noun</i><br><ol><li>gold</li></ol><br><i>adj</i><br><ol><li>golden, gold</li></ol>
grabu	<i>verb</i><br><ol><li>To seize.</li></ol>
grani	<i>adj</i><br><ol><li>elderly</li><li>distinguished, respectable</li></ol><br><i>noun</i><br><ol><li>honour, privilege</li><li>award, medal</li></ol>
granman	<i>noun</i><br><ol><li>paramount chief of a Maroon or Amerindian tribe</li><li>(historical) governor</li></ol>
granpa	<i>noun</i><br><ol><li>grandfather</li></ol>
grasbarki	<i>noun</i><br><ol><li>dragonfly</li></ol>
grasi	<i>noun</i><br><ol><li>grass</li><li>glass</li></ol>
grati	<i>adj</i><br><ol><li>smooth</li><li>slippery</li></ol><br><i>verb</i><br><ol><li>to smoothen</li><li>to iron</li><li>to slip (to slide unintentionally on a slippery surface)</li><li>to slip away</li><li>(rude) to get lost</li></ol>
grebi	<i>noun</i><br><ol><li>grave</li></ol>
grefi	<i>noun</i><br><ol><li>stylus</li></ol>
greni	<i>noun</i><br><ol><li>door bolt</li></ol>
gridi	<i>adj</i><br><ol><li>greedy</li></ol>
gridiman	<i>noun</i><br><ol><li>A person who is greedy</li></ol>
griti	<i>verb</i><br><ol><li>to grate</li><li>to rub</li><li>to scrape, to sand</li><li>to have sex</li></ol>
gro	<i>verb</i><br><ol><li>To grow.</li></ol>
grofu	<i>adj</i><br><ol><li>rough, rugged</li><li>rude</li></ol>
gron	<i>noun</i><br><ol><li>earth, soil</li><li>field</li></ol>
groto	<i>noun</i><br><ol><li>pearl barley</li></ol>
gruba	<i>adj</i><br><ol><li>hasty</li><li>sloppy</li></ol>
gruma	<i>verb</i><br><ol><li>to scrub</li></ol>
grun	<i>adj</i><br><ol><li>green</li></ol><br><i>noun</i><br><ol><li>green</li></ol>
grupu	<i>noun</i><br><ol><li>group</li></ol>
gunya	<i>verb</i><br><ol><li>to hesitate</li></ol>
gwe	<i>verb</i><br><ol><li>to go away, to leave</li><li>to disappear</li></ol>
gwenti	<i>verb</i><br><ol><li>to be used to, to be accustomed to</li></ol><br><i>noun</i><br><ol><li>custom, practice</li></ol>
hari	<i>noun</i><br><ol><li>pull, jerk</li></ol><br><i>verb</i><br><ol><li>to pull, to jerk</li><li>to pull up</li><li>to pull out</li><li>to elongate, to enlarge</li><li>to depart</li></ol><br><i>adj</i><br><ol><li>slim</li></ol>
hayra	<i>noun</i><br><ol><li>A person who is greedy.</li></ol>
hebi	<i>adj</i><br><ol><li>heavy</li></ol>
hei	<i>adj</i><br><ol><li>high</li></ol><br><i>noun</i><br><ol><li>paca</li></ol>
heihei	<i>adj</i><br><ol><li>very high, very tall</li><li>important, weighty</li></ol>
heiman	<i>noun</i><br><ol><li>very important person, big shot</li></ol>
heri	<i>adj</i><br><ol><li>complete, full, whole</li></ol><br><i>adv</i><br><ol><li>very</li></ol>
hilahila	<i>adj</i><br><ol><li>very much, very many, abundant</li></ol>
hipsi	<i>adj</i><br><ol><li>(of people) big and tall, sturdy</li></ol>
hoigri	<i>verb</i><br><ol><li>to be hypocritical</li></ol><br><i>noun</i><br><ol><li>hypocrisy</li></ol>
hori	<i>verb</i><br><ol><li>to hold</li><li>to hold onto, to retain, to catch</li><li>(transitive, intransitive) to keep (in a particular state)</li></ol>
huru	<i>noun</i><br><ol><li>whore, prostitute</li></ol>
ibri	<i>det</i><br><ol><li>every, each</li></ol>
ingi	<i>adj</i><br><ol><li>Amerindian</li></ol><br><i>noun</i><br><ol><li>Amerindian</li></ol>
ingibarki	<i>noun</i><br><ol><li>Tree of the species Licania heteromorpha.</li></ol>
ini	<i>prep</i><br><ol><li>in</li></ol><br><i>adv</i><br><ol><li>inside</li></ol>
interseri	<i>verb</i><br><ol><li>to interest, to be of interest to</li></ol>
ipi	<i>noun</i><br><ol><li>pile, heap</li></ol><br><i>det</i><br><ol><li>a lot of</li></ol>
iri	<i>noun</i><br><ol><li>heel</li></ol>
isri	<i>noun</i><br><ol><li>iron</li></ol><br><i>adj</i><br><ol><li>iron</li></ol>
iti	<i>verb</i><br><ol><li>to throw</li></ol><br><i>noun</i><br><ol><li>throw</li></ol>
iya	<i>intj</i><br><ol><li>yes</li></ol>
ka-olo|kaolo	<i>noun</i><br><ol><li>(vulgar) ass</li></ol>
kaba	<i>verb</i><br><ol><li>to end, to finish, to come to an end</li></ol><br><i>particle</i><br><ol><li>Perfective marker.</li></ol>
kabisi	<i>noun</i><br><ol><li>Lacinato kale (Brassica oleracea var. palmifolia)</li></ol>
kafalek	<i>adj</i><br><ol><li>great, fantastic</li></ol>
kaka	<i>noun</i><br><ol><li>cock, rooster</li><li>shit, crap</li></ol>
kaka fowru	<i>noun</i><br><ol><li>cock, rooster</li></ol>
kakalaka	<i>noun</i><br><ol><li>cockroach</li></ol>
kanari	<i>noun</i><br><ol><li>canal</li><li>riffraff, rabble</li><li>violaceous euphonia, Euphonia violacea</li></ol>
kandra	<i>noun</i><br><ol><li>candle</li></ol>
kandratiki	<i>noun</i><br><ol><li>candlestick, candelabrum</li></ol>
kaneri	<i>noun</i><br><ol><li>cinnamon</li></ol>
kanti	<i>verb</i><br><ol><li>to cast</li></ol>
kantoro	<i>noun</i><br><ol><li>office</li></ol>
kapasi	<i>noun</i><br><ol><li>armadillo</li></ol>
kapelka	<i>noun</i><br><ol><li>butterfly</li></ol>
kapten	<i>noun</i><br><ol><li>captain</li><li>leader</li><li>chief of a Maroon or Amerindian village</li></ol>
kari	<i>verb</i><br><ol><li>to call</li><li>to list, to mention, to name one by one, to enumerate</li></ol><br><i>noun</i><br><ol><li>invitation, summons</li><li>phone number</li></ol>
karta	<i>noun</i><br><ol><li>card</li><li>map</li></ol>
karton	<i>noun</i><br><ol><li>cardboard</li></ol><br><i>adj</i><br><ol><li>cardboard</li></ol>
kasi	<i>noun</i><br><ol><li>closet, cupboard</li><li>cheese</li></ol>
kaw	<i>noun</i><br><ol><li>cow</li></ol><br><i>verb</i><br><ol><li>to chew, to masticate</li></ol>
kedre	<i>noun</i><br><ol><li>cellar, basement</li></ol>
kenki	<i>verb</i><br><ol><li>To edit.</li></ol>
kerfi	<i>verb</i><br><ol><li>to carve, to mark with a carving</li></ol>
kerki	<i>noun</i><br><ol><li>church</li></ol>
kerkisma	<i>noun</i><br><ol><li>(Christianity) believer (religious person)</li></ol>
kesekese	<i>noun</i><br><ol><li>dispute, strife</li><li>difference</li></ol>
keskesi	<i>noun</i><br><ol><li>monkey, ape</li></ol>
keti	<i>noun</i><br><ol><li>necklace</li><li>chain</li></ol>
kiri	<i>verb</i><br><ol><li>(transitive) To kill, to murder.</li><li>(transitive) To end, to shut down.</li></ol>
klari	<i>adj</i><br><ol><li>ready, prepared</li></ol>
klompu	<i>noun</i><br><ol><li>flip-flop, sandal, slipper</li><li>clog, klomp</li></ol>
kokobe	<i>noun</i><br><ol><li>tuberculoid leprosy</li></ol><br><i>intj</i><br><ol><li>Used to emphasize the veracity of an associated statement</li></ol>
kolera	<i>noun</i><br><ol><li>home for the insane</li></ol>
kolo	<i>noun</i><br><ol><li>cabbage</li></ol>
koloku	<i>noun</i><br><ol><li>luck</li></ol>
kon	<i>verb</i><br><ol><li>To arrive.</li></ol>
kondre	<i>noun</i><br><ol><li>country</li><li>inland village</li></ol>
kondreman	<i>noun</i><br><ol><li>countryman</li></ol>
konkru	<i>verb</i><br><ol><li>to tattle, to rat on</li><li>to gossip</li></ol>
kontreki	<i>noun</i><br><ol><li>place, region, area, neighbourhood</li></ol>
kor kori	<i>verb</i><br><ol><li>To fake.</li><li>To fool.</li></ol>
kori	<i>noun</i><br><ol><li>stroke</li></ol><br><i>verb</i><br><ol><li>To stroke, to pet, to caress</li><li>To kiss up</li></ol>
korsu	<i>noun</i><br><ol><li>fever</li></ol>
kosi	<i>verb</i><br><ol><li>to swear, to curse</li><li>to insult, to swear at</li></ol><br><i>noun</i><br><ol><li>curse, swear</li></ol>
kosokoso	<i>noun</i><br><ol><li>the act of repeated coughing</li></ol>
koto	<i>noun</i><br><ol><li>A traditional African-Surinamese dress.</li></ol>
kotoigi|kotoygi	<i>verb</i><br><ol><li>to witness</li></ol><br><i>noun</i><br><ol><li>witness</li></ol>
kownu	<i>noun</i><br><ol><li>king</li></ol>
kowsu	<i>noun</i><br><ol><li>sock, stocking</li><li>condom</li></ol>
kra|akra	<i>noun</i><br><ol><li>soul, spirit</li></ol>
krabita	<i>noun</i><br><ol><li>goat</li></ol>
kragi	<i>verb</i><br><ol><li>to complain</li></ol><br><i>noun</i><br><ol><li>complaint</li></ol>
krakun	<i>noun</i><br><ol><li>turkey (pheasant-like bird)</li></ol>
krapa	<i>noun</i><br><ol><li>The andiroba, crabwood tree, or crappo; Carapa guianensis</li><li>The African crabwood tree; Carapa procera</li></ol>
krape	<i>noun</i><br><ol><li>green sea turtle, Chelonia mydas</li></ol>
krara	<i>noun</i><br><ol><li>bead</li></ol>
krasi	<i>verb</i><br><ol><li>to itch</li></ol>
kriki	<i>noun</i><br><ol><li>creek, brook</li></ol>
krin	<i>adj</i><br><ol><li>clean</li><li>clear</li></ol><br><i>verb</i><br><ol><li>to clean</li><li>To polish.</li></ol>
krinskin	<i>noun</i><br><ol><li>luck</li></ol>
kromanti	<i>adj</i><br><ol><li>magical, pertaining to rituals for summoning ancestral spirits</li><li>African (originating from Africa)</li></ol>
krosbei	<i>adj</i><br><ol><li>near</li></ol><br><i>prep</i><br><ol><li>near</li></ol>
krosi	<i>noun</i><br><ol><li>clothing, clothes</li></ol>
kruderi	<i>verb</i><br><ol><li>To agree.</li><li>To make an appointment.</li></ol>
krutu	<i>noun</i><br><ol><li>court</li><li>tribal meeting, consultation</li></ol><br><i>verb</i><br><ol><li>to judge</li><li>to consult, to deliberate</li><li>to harangue, to grumble, to complain</li></ol>
krutubakra	<i>noun</i><br><ol><li>judge.</li></ol>
kruyara	<i>noun</i><br><ol><li>dugout, hollowed-out canoe, pirogue</li></ol>
kufkaf	<i>verb</i><br><ol><li>(slang) to fly into a rage; to go berserk; to freak out</li></ol>
kukru	<i>noun</i><br><ol><li>kitchen</li></ol>
kuku	<i>noun</i><br><ol><li>cake, pastry</li></ol>
kumakriki	<i>adj</i><br><ol><li>easy</li></ol>
kweki	<i>verb</i><br><ol><li>To breed.</li><li>To raise.</li></ol>
lafu	<i>verb</i><br><ol><li>to laugh</li></ol>
lagadisa	<i>noun</i><br><ol><li>lizard</li></ol>
lanti	<i>noun</i><br><ol><li>government</li></ol>
lantibakra	<i>noun</i><br><ol><li>civil servant</li></ol>
lasi	<i>verb</i><br><ol><li>to lose</li><li>to disappear</li></ol><br><i>noun</i><br><ol><li>loss</li><li>arse, ass, buttocks</li></ol>
law	<i>verb</i><br><ol><li>To be crazy</li><li>To drive somebody crazy</li></ol>
lawlaw	<i>noun</i><br><ol><li>craziness</li></ol>
lawman	<i>noun</i><br><ol><li>crazy person</li></ol>
leki	<i>conj</i><br><ol><li>like, such as</li><li>as if</li></ol><br><i>prep</i><br><ol><li>like, similar to</li></ol>
leti	<i>verb</i><br><ol><li>To light.</li></ol><br><i>noun</i><br><ol><li>light</li><li>equal</li></ol><br><i>adj</i><br><ol><li>equal</li></ol>
lew	<i>noun</i><br><ol><li>lion</li></ol>
liba	<i>noun</i><br><ol><li>river</li></ol>
libi	<i>verb</i><br><ol><li>to abandon</li><li>to live</li></ol><br><i>noun</i><br><ol><li>life</li></ol>
libimakandra	<i>noun</i><br><ol><li>society, community</li></ol>
lobi	<i>verb</i><br><ol><li>to love</li></ol>
loiki	<i>noun</i><br><ol><li>hatch</li><li>window, pane</li></ol>
loli	<i>noun</i><br><ol><li>slime</li></ol><br><i>adj</i><br><ol><li>slimy</li></ol>
lon	<i>verb</i><br><ol><li>to run</li></ol>
lontoso	<i>noun</i><br><ol><li>police station</li></ol>
loto	<i>noun</i><br><ol><li>lead (metal)</li></ol>
lowe	<i>verb</i><br><ol><li>to flee, to run away, to escape</li></ol>
luku|loekoe	<i>verb</i><br><ol><li>To look (at).</li></ol>
maka	<i>noun</i><br><ol><li>thorn, barb, spine, spike</li></ol>
makandra	<i>pron</i><br><ol><li>one another, each other</li></ol>
makriki	<i>noun</i><br><ol><li>easy</li></ol>
man	<i>noun</i><br><ol><li>man, male human</li></ol><br><i>verb</i><br><ol><li>to be able to</li></ol>
manpikin	<i>noun</i><br><ol><li>son</li></ol>
masi	<i>verb</i><br><ol><li>to squash</li><li>to crush</li></ol>
masra	<i>noun</i><br><ol><li>mister, sir, lord, master</li></ol>
masusa	<i>noun</i><br><ol><li>Renealmia alpinia</li></ol>
mati	<i>noun</i><br><ol><li>friend, mate, buddy</li><li>(slang, euphemistic) woman in a lesbian relationship</li></ol>
matrosi	<i>noun</i><br><ol><li>sailor, seafarer</li></ol>
memre	<i>noun</i><br><ol><li>token</li><li>souvenir</li></ol><br><i>verb</i><br><ol><li>To remember.</li></ol>
meri	<i>verb</i><br><ol><li>to touch</li></ol>
merki	<i>noun</i><br><ol><li>milk</li></ol>
mesre	<i>verb</i><br><ol><li>to lay bricks</li></ol>
meti	<i>noun</i><br><ol><li>meat, flesh</li><li>animal</li><li>(obsolete) concubine</li></ol>
mi	<i>pron</i><br><ol><li>I</li><li>me</li><li>my</li></ol>
mi Gado	<i>intj</i><br><ol><li>my God!</li></ol>
mi na switi kontreki, te yu e gwe yu musu dray baka|te yu e gwe yu musu dray baka|mi na switi kontreki	<i>proverb</i><br><ol><li>I'm irresistible; you might think you can do without me, but you'll be drawn back to me</li></ol>
mira	<i>noun</i><br><ol><li>ant</li></ol>
miri	<i>noun</i><br><ol><li>mill, grinding apparatus</li></ol>
moe	<i>verb</i><br><ol><li>must</li><li>have to</li><li>should</li></ol>
mofo	<i>noun</i><br><ol><li>mouth</li></ol>
moi	<i>adj</i><br><ol><li>beautiful</li></ol>
moismoisi	<i>noun</i><br><ol><li>A mouse</li><li>Any other mouse-like animal not closely related to mice</li></ol>
moni	<i>noun</i><br><ol><li>money</li></ol>
morgu	<i>intj</i><br><ol><li>good morning</li></ol>
moro	<i>adj</i><br><ol><li>more</li></ol>
mui	<i>noun</i><br><ol><li>(dated) older woman, elderly woman</li></ol>
muilek	<i>adj</i><br><ol><li>difficult, hard</li><li>annoying, bothering</li></ol><br><i>verb</i><br><ol><li>to bother, to annoy</li></ol>
mun	<i>noun</i><br><ol><li>moon</li><li>month</li></ol>
munde	<i>noun</i><br><ol><li>Monday</li></ol>
mus	<i>verb</i><br><ol><li>(auxiliary) to have to, must</li></ol>
musu	<i>verb</i><br><ol><li>must, should (expresses imperatives or necessity)</li></ol>
mutyama	<i>noun</i><br><ol><li>rainbow</li></ol>
na	<i>prep</i><br><ol><li>to</li></ol>
nai	<i>verb</i><br><ol><li>to sew</li></ol>
naki	<i>verb</i><br><ol><li>to hit, to knock</li><li>to play a percussion instrument</li><li>to jab</li></ol>
nanai	<i>noun</i><br><ol><li>needle</li></ol>
napi	<i>noun</i><br><ol><li>purple yam (Dioscorea alata)</li></ol>
nati	<i>adj</i><br><ol><li>wet</li></ol>
nefi	<i>noun</i><br><ol><li>knife</li></ol>
neigi	<i>num</i><br><ol><li>nine</li></ol>
neki	<i>noun</i><br><ol><li>throat</li></ol>
nen	<i>noun</i><br><ol><li>name</li></ol>
neygi	<i>num</i><br><ol><li>nine</li></ol>
no	<i>adv</i><br><ol><li>no</li><li>not</li></ol><br><i>particle</i><br><ol><li>Precedes intensifiers, untranslatable</li></ol>
nofo	<i>det</i><br><ol><li>enough</li></ol>
noiti	<i>adv</i><br><ol><li>never</li></ol>
nombroe	<i>noun</i><br><ol><li>number</li></ol>
noso	<i>noun</i><br><ol><li>nose</li></ol>
noti	<i>pron</i><br><ol><li>nothing</li></ol>
notisi	<i>noun</i><br><ol><li>attention</li></ol>
nowan	<i>pron</i><br><ol><li>no one</li></ol>
nowtu	<i>noun</i><br><ol><li>emergency</li></ol>
nyan	<i>verb</i><br><ol><li>(transitive, intransitive) to eat</li></ol>
nyanyan	<i>noun</i><br><ol><li>food</li></ol>
nyun	<i>adj</i><br><ol><li>new</li></ol>
nyunsu	<i>noun</i><br><ol><li>news</li><li>message, report</li></ol>
o	<i>particle</i><br><ol><li>Verbal marker for the future tense.</li></ol>
obia	<i>adj</i><br><ol><li>magical</li></ol><br><i>noun</i><br><ol><li>a spirit that operates in a healing way</li><li>a magic medicine</li><li>a charm</li></ol><br><i>verb</i><br><ol><li>to perform magic</li></ol>
obiaman	<i>noun</i><br><ol><li>healer</li><li>priest</li></ol>
odi	<i>noun</i><br><ol><li>A greeting; good wishes, regards</li></ol><br><i>intj</i><br><ol><li>greetings</li></ol>
odo	<i>noun</i><br><ol><li>proverb, saying</li></ol>
ofskon	<i>conj</i><br><ol><li>although, albeit</li></ol>
ogri	<i>adj</i><br><ol><li>bad, evil</li></ol>
oli	<i>noun</i><br><ol><li>oil</li><li>petrol (UK), gas (US), or another fuel used for motorised vehicles</li></ol>
olo	<i>noun</i><br><ol><li>hole, crevice</li></ol>
oloisi	<i>noun</i><br><ol><li>watch</li><li>clock</li></ol>
oma	<i>noun</i><br><ol><li>grandmother</li></ol>
omu	<i>noun</i><br><ol><li>uncle</li><li>(colloquial) ethnic Chinese shopkeeper</li><li>(colloquial, by extension) corner store</li></ol>
ondrobere	<i>noun</i><br><ol><li>abdomen</li></ol>
ondrofeni	<i>verb</i><br><ol><li>to experience</li></ol>
oni	<i>noun</i><br><ol><li>honey</li></ol>
onti	<i>noun</i><br><ol><li>hunt</li></ol>
ontidagu	<i>noun</i><br><ol><li>hound</li></ol>
opete	<i>noun</i><br><ol><li>vulture</li></ol>
oponaki	<i>verb</i><br><ol><li>To save.</li></ol>
oso	<i>noun</i><br><ol><li>house</li></ol>
oto	<i>noun</i><br><ol><li>car, automobile</li></ol>
owktu	<i>adv</i><br><ol><li>also, too, as well</li></ol>
owru	<i>adj</i><br><ol><li>old</li><li>machete, sword, blade</li></ol>
pagara	<i>noun</i><br><ol><li>reddish, quadrilateral water-proof basket with a lid, braided from reed-like strips of warimbo (Ischnosiphon gracilis) with leaves of palulu (Heliconia bihai) in between</li><li>firecracker string, firecracker roll</li></ol>
pai	<i>verb</i><br><ol><li>to pay</li></ol><br><i>noun</i><br><ol><li>wage</li></ol>
paisa	<i>noun</i><br><ol><li>money</li><li>payment, salary</li></ol>
pakro	<i>noun</i><br><ol><li>snail</li></ol>
pampun	<i>noun</i><br><ol><li>pumpkin</li></ol>
pangi	<i>noun</i><br><ol><li>loincloth, pagne</li></ol>
pankuku	<i>noun</i><br><ol><li>pancake</li></ol>
partèi	<i>noun</i><br><ol><li>political party</li></ol>
pasensi	<i>noun</i><br><ol><li>patience</li></ol>
pata	<i>noun</i><br><ol><li>sneaker (shoe)</li></ol>
paysa	<i>noun</i><br><ol><li>money</li></ol>
pe	<i>adv</i><br><ol><li>(interrogative) where</li><li>(relative) where</li></ol>
pen peni	<i>adj</i><br><ol><li>dotted, spotted</li></ol>
penpeni	<i>adj</i><br><ol><li>dotted, spotted</li></ol>
peri	<i>noun</i><br><ol><li>pearl</li></ol>
perki	<i>noun</i><br><ol><li>pill</li></ol>
pesi	<i>noun</i><br><ol><li>pea</li></ol>
peti	<i>noun</i><br><ol><li>well</li></ol>
pikadu	<i>noun</i><br><ol><li>(Christianity) sin</li></ol>
piki	<i>verb</i><br><ol><li>to answer, to reply</li></ol>
pikin	<i>adj</i><br><ol><li>small</li></ol><br><i>noun</i><br><ol><li>child</li></ol>
pikin-uma	<i>noun</i><br><ol><li>girl</li></ol>
pikinmisi	<i>noun</i><br><ol><li>young lady</li></ol>
pipel	<i>noun</i><br><ol><li>people, population</li></ol>
pisi	<i>noun</i><br><ol><li>piece</li></ol>
plafon	<i>noun</i><br><ol><li>ceiling</li></ol>
plata	<i>adj</i><br><ol><li>flat</li></ol>
ploy	<i>verb</i><br><ol><li>To flex.</li><li>To curve.</li></ol>
ployploy	<i>adj</i><br><ol><li>wrinkled</li></ol>
podosiri	<i>noun</i><br><ol><li>acai (the fruit of Euterpe oleracea, consumed as pulp, mousse, or juice)</li></ol>
poku	<i>noun</i><br><ol><li>music</li></ol>
pokuman	<i>noun</i><br><ol><li>musician</li></ol>
pondo	<i>noun</i><br><ol><li>ferry</li></ol>
pontu	<i>noun</i><br><ol><li>pound</li></ol>
popki	<i>noun</i><br><ol><li>puppet, doll</li></ol>
portreti	<i>noun</i><br><ol><li>photo</li></ol>
posren	<i>noun</i><br><ol><li>porcelain</li></ol>
poti	<i>verb</i><br><ol><li>to put, to lay, to place, to set</li></ol>
prakseri	<i>noun</i><br><ol><li>token</li><li>souvenir</li></ol>
pranasi	<i>noun</i><br><ol><li>plantation</li></ol>
prei	<i>verb</i><br><ol><li>(transitive, intransitive) to play (to be engaged in a game)</li><li>(transitive) to play (to let an audiovisual storage medium run)</li></ol>
preiki	<i>noun</i><br><ol><li>sermon</li></ol><br><i>verb</i><br><ol><li>to preach</li></ol>
prentyi	<i>noun</i><br><ol><li>photo</li></ol>
prisirie	<i>noun</i><br><ol><li>fun</li></ol>
proberi	<i>verb</i><br><ol><li>to try, to try out</li></ol>
prodo	<i>noun</i><br><ol><li>decoration, ostentation</li></ol><br><i>verb</i><br><ol><li>to dress up, especially in fashionable or ostentatious clothing</li></ol>
profeiti	<i>noun</i><br><ol><li>prophet</li></ol>
puspusi	<i>noun</i><br><ol><li>cat</li></ol>
pusu	<i>verb</i><br><ol><li>to push</li></ol>
pôti	<i>adj</i><br><ol><li>poor, impoverished, needy</li></ol>
rafru	<i>noun</i><br><ol><li>macaw (parrot)</li></ol>
ros	<i>verb</i><br><ol><li>To beat up, to give a beating.</li></ol>
rutu	<i>noun</i><br><ol><li>descendence (of family)</li><li>root</li></ol>
rèi	<i>verb</i><br><ol><li>to drive, to ride</li></ol>
