0.	<i>adj</i><br><ol><li>0th</li></ol>
geisa|ég geisaði|þið geisið|geisa (þú)|við geisuðum|við geisum|þau geisa|geisið (þið)|hún|ég geisi|þú geisir|geisað|að geisa|það geisi|þeir|geisiði|þú geisar|þú geisaðir|þau geisi|þið geisuðuð|hann|þau geisuðu|geisaðu|geisaði|geisandi|ég geisa|það geisaði|þær|það geisar	<i>verb</i><br><ol><li>to rage, to storm</li></ol>
geisla|geisluðu|geislist (þið)|geisliði|geislandi|ég geisla|predicatively|við geislum|þau geislist|að geisla|ég geisli|það geislast|þú geislast|geislaður|þau geisluðu|geisla (þú)|geislast|geislaðrar|geislaðra|hún|geislað|þið geislist|það geislist|geislaðan|þú geislar|þið geislið|þau geisli|geislast (þú)|geislaðar|ég geislaðist|geislaðri|þú geislir|þau geisla|geisluðum|only for explicatory subclauses|það geisli|þú geislaðist|það geislaði|geislandist|það geislaðist|þau geislast|þeir|geislið (þið)|það geislar|geislaða|geislaðs|þið geisluðust|it is never used attributively|við geislumst|þau geisluðust|geisluð|hann|þú geislist|þú geislaðir|geislaðu|við geisluðum|þið geisluðuð|að geislast|geislastu|geislaðir|geislaði|ég geislist|ég geislaði|við geisluðumst|ég geislast|geislisti|þær	<i>verb</i><br><ol><li>(intransitive) to beam, to shine</li><li>(intransitive) to radiate</li><li>(intransitive) to irradiate</li></ol>
geislabaugur|geislabaugarnir|geislabaugsins|geislabauganna|geislabauga|geislabaugnum|geislabauginn|geislabaugum|geislabaugana|geislabaugi|geislabaugunum|geislabaug|geislabaugar|geislabaugurinn|geislabauginum|geislabaugs	<i>noun</i><br><ol><li>halo</li></ol>
geisladiskur|geisladiskana|geisladiski|geisladiskurinn|geisladiskum|geisladisknum|geisladiskinum|geisladisk|geisladisksins|geisladiskunum|geisladiskinn|geisladisks|geisladiskarnir|geisladiskanna|geisladiskar|geisladiska	<i>noun</i><br><ol><li>optical disc, especially a compact disc (optical disc used to store data)</li></ol>
geislamaðra|geislamöðru|geislamöðrurnar|geislamöðrur|geislamöðrunum|geislamöðrunnar|geislamaðranna|geislamöðruna|geislamöðrunni|geislamöðrum|geislamaðran	<i>noun</i><br><ol><li>gardenia (Gardenia jasminoides)</li></ol>
geislaspilari|geislaspilara|geislaspilarans|geislaspilarunum|geislaspilaranna|geislaspilarum|geislaspilaranum|geislaspilararnir|geislaspilarann|geislaspilarar|geislaspilarana|geislaspilarinn	<i>noun</i><br><ol><li>CD player</li></ol>
geislasverð|geislasverðið|geislasverðinu|geislasverðum|geislasverðunum|geislasverðsins|geislasverði|geislasverðanna|geislasverðs|geislasverðin|geislasverða	<i>noun</i><br><ol><li>lightsaber</li></ol>
geislavirkni|geislavirkninnar|geislavirkninni|geislavirknina|geislavirknin	<i>noun</i><br><ol><li>radioactivity</li></ol>
geislavirkur|geislavirkastra|geislavirkastan|geislavirkastrar|geislavirkan|geislavirkar|geislavirkir|geislavirkastir|geislavirkrar|geislavirkari|geislavirkustum|geislavirka|geislavirkra|geislavirkri|geislavirkasti|geislavirkastri|geislavirkasts|geislavirks|geislavirkustu|geislavirk|geislavirkara|geislavirkum|geislavirkastur|geislavirku|geislavirkasta|geislavirkastar|geislavirkt|geislavirkast|geislavirki|geislavirkust	<i>adj</i><br><ol><li>radioactive</li></ol>
geisli|geislum|geislana|geisla|geislann|geislanna|geislinn|geislunum|geislarnir|geislans|geislanum|geislar	<i>noun</i><br><ol><li>beam, ray (of light, radio waves, etc.)</li><li>(geometry) radius</li></ol>
geislun|geislunin|geislunarinnar|geislunina|geisluninni|geislunar	<i>noun</i><br><ol><li>radiation</li></ol>
geispa|geispað|geisptu|þið geispið|við geisptum|hún|geisp (þú)|þú geisptir|ég geispi|geispiði|geispt|þau geispa|geispaði|þú geispir|þið geisptuð|að geispa|þeir|geispandi|það geispi|það geispti|hann|þau geisptu|ég geispti|þau geispi|við geispum|geispið (þið)|það geispir|þær	<i>verb</i><br><ol><li>(intransitive) to yawn</li></ol>
geispi|geispinn|geispann|geispar|geispana|geisparnir|geispa|geispanum|geispans|geispunum|geispum|geispanna	<i>noun</i><br><ol><li>yawn, yawning</li></ol>
geit|geitin|geitanna|geitunum|geita|geitum|geitarinnar|geitina|geiturnar|geitur|geitar|geitinni	<i>noun</i><br><ol><li>a goat</li></ol>
geitaostur|geitaostinum|geitaost|geitaostana|geitaosti|geitaostsins|geitaostarnir|geitaostar|geitaostum|geitaostunum|geitaosts|geitaosta|geitaostanna|geitaostinn	<i>noun</i><br><ol><li>goat's cheese</li></ol>
geithvönn|geithvanna|geithvönnin|geithvönnina|geithvönnunum|geithvannarinnar|geithvönninni|geithvannir|geithvannirnar|geithvönnum|geithvannanna|geithvannar	<i>noun</i><br><ol><li>Angelica sylvestris</li></ol>
geitungur	<i>noun</i><br><ol><li>wasp (Vespidae)</li></ol>
gel|geli|gelið|gelsins|gelinu|gels	<i>noun</i><br><ol><li>gel</li></ol>
gelda|þau geldi|að gelda|gelstu|þau geltist|geltum|við geldum|þau geltast|þau geltu|predicatively|geld (þú)|við geltumst|það geldi|gelt|ég geldist|þú geltist|þið geltið|geltrar|hún|gelt (þú)|geltiði|það geltir|þau gelta|ég gelti|gelst (þú)|ég geltist|þið geltust|það geltist|geldisti|geltur|geltra|geltist (þið)|gelst|only for explicatory subclauses|þið geltist|geldist (þið)|að geltast|ég geldi|geldandist|það geldist|gelts|þær|þau gelda|þeir|það gelti|geldiði|geltri|geltu|þau gelti|við geltum|gelta|geltið (þið)|geldandi|þið geldið|geldið (þið)|þið geltuð|it is never used attributively|geltisti|geltandi|hann|þau geldist|það geldir|gelti|þið geldist|geltandist|að gelta|við geldumst|þau geltust|geltir|geltar|þú geldist|geltan|þú geltir|þau geldast|þú geldir|að geldast	<i>verb</i><br><ol><li>to geld, castrate</li></ol>
gelding|geldingin|geldingunni|geldinganna|geldinga|geldingarinnar|geldinguna|geldingunum|geldingar|geldingu|geldingum|geldingarnar	<i>noun</i><br><ol><li>castration, gelding</li></ol>
geldingahnappur|geldingahnappinn|geldingahnappar|geldingahnöppum|geldingahnappa|geldingahnappnum|geldingahnapps|geldingahnappana|geldingahnappi|geldingahnappinum|geldingahnapparnir|geldingahnöppunum|geldingahnappanna|geldingahnappsins|geldingahnapp	<i>noun</i><br><ol><li>thrift, sea pink (Armeria maritima)</li></ol>
geldingalauf|geldingalaufunum|geldingalaufanna|geldingalaufinu|geldingalaufin|geldingalaufum|geldingalaufs|geldingalaufi|geldingalaufið|geldingalaufa|geldingalaufsins	<i>noun</i><br><ol><li>least willow, dwarf willow (Salix herbacea)</li></ol>
geldingur|geldingin|geldingsins|geldingar|geldingum|gelding|geldingnum|geldinga|geldingarinnar|geldingarnir|geldings|geldingana|geldingunni|geldingunum|geldinginn|geldingi|geldingu|geldinganna|geldinguna|geldingarnar|geldingurinn	<i>noun</i><br><ol><li>castrated male animal, especially a wether (castrated ram) or gelding (castrated horse)</li><li>eunuch</li></ol>
gelgja|gelgju|gelgjur	<i>noun</i><br><ol><li>(informal) someone displaying behavioral changes related to puberty such as mood swings and irritability, often in particular used to describe girls</li><li>(informal, derived from the above) puberty</li><li>(dated, fish anatomy) used variously to refer to bones in a fish's chin or tongue, or to refer to a fish's gills</li><li>(taxonomy) viperfish</li></ol>
gelgjuskeið|gelgjuskeiðum|gelgjuskeiða|gelgjuskeiðs|gelgjuskeiðið|gelgjuskeiðinu|gelgjuskeiði|gelgjuskeiðanna|gelgjuskeiðsins|gelgjuskeiðunum|gelgjuskeiðin	<i>noun</i><br><ol><li>puberty</li><li>(used in á gelgjuskeiðinu) behavioral changes related to puberty such as mood swings and irritability</li></ol>
gella|gellur|gellnanna|gelluna|gellna|gellanna|gellunnar|gellan|gellunni|gellurnar|gellu|gella|gellunum|gellum	<i>noun</i><br><ol><li>the fleshy underpart of a fish’s jaw; (= Basque cococha)</li><li>(slang) an attractive or stylish girl or young woman; babe, chick, bird (UK)</li></ol>
gellir	<i>noun</i><br><ol><li>yeller, one who yells or bellows, used particularly of wild beasts.</li></ol>
gelt|gelts|geltinu|geltið|geltsins|gelti	<i>noun</i><br><ol><li>barking</li></ol>
gelta|þau geltist|gelstu|þau geltast|þau geltu|predicatively|við geltumst|gelt|þú geltist|þú geltir|þið geltið|hún|geltiði|þau gelta|ég gelti|gelst (þú)|ég geltist|þið geltust|það geltist|geltist (þið)|gelst|only for explicatory subclauses|þið geltist|að geltast|gelt (þú)|þeir|það gelti|geltu|þau gelti|við geltum|geltið (þið)|geltisti|it is never used attributively|þið geltuð|geltandi|hann|gelti|geltandist|að gelta|þau geltust|það geltir|þær	<i>verb</i><br><ol><li>to bark</li></ol>
gemmér	<i>abbrev</i><br><ol><li>(colloquial) gimme</li></ol>
gemsi|gemsann|gemsans|gemsum|gemsanum|gemsinn|gemsanna|gemsar|gemsa|gemsunum|gemsarnir|gemsana	<i>noun</i><br><ol><li>(informal) cell phone, mobile phone (but not a smartphone) [late 1990s – early 2010s]</li></ol>
gen|genunum|gens|genanna|geni|genið|genum|gena|genin|gensins|geninu	<i>noun</i><br><ol><li>gene</li></ol>
gengi|gengjunum|genginu|gengja|gengis|gengjanna|gengisins|gengin|gengjum|gengið	<i>noun</i><br><ol><li>success, prosperity</li><li>(economics) exchange rate</li><li>team, squad, company</li><li>gang (criminal group)</li></ol>
gengilbeina|gengilbeinunum|gengilbeinunni|gengilbeinan|gengilbeinanna|gengilbeinum|gengilbeinu|gengilbeinurnar|gengilbeinur|gengilbeinuna|gengilbeinunnar	<i>noun</i><br><ol><li>a waitress, a female waiter</li><li>(archaic) a woman who travels by foot</li><li>(archaic, poetic) an ambátt (female slave)</li></ol>
gengill|genglar|genglum|gengillinn|gengils|gengli|gengla|gengilsins|gengilinn|genglunum|genglana|gengil|genglanna|genglinum|genglarnir	<i>noun</i><br><ol><li>(computing) avatar</li></ol>
gengismunur|gengismunurinn|gengismunarins|gengismununum|gengismunnum|gengismuna|gengismunar|gengismuninn|gengismunina|gengismunir|gengismunirnir|gengismun|gengismunum|gengismunanna|gengismuni	<i>noun</i><br><ol><li>exchange rate difference</li></ol>
gengur|gengrar|gengastar|geng|gengasta|gengastan|gengri|gengustum|gengara|gengust|gengasts|gengu|gengt|gengastir|gengastrar|gengastri|gengastur|gengan|gengi|gengra|gengasti|gengir|gengastra|gengar|gengum|gengustu|genga|gengast|gengs|gengari	<i>adj</i><br><ol><li>passable</li><li>ambulant, able to walk</li></ol>
georgíska|georgískunnar|georgískuna|georgísku|georgískunni|georgískan	<i>noun</i><br><ol><li>Georgian (language)</li></ol>
georgískur|georgískastan|georgískara|georgískum|georgískastur|georgískustum|georgískasta|georgískra|georgískust|georgískastri|georgískir|georgískastir|georgískasts|georgískastrar|georgískastra|georgískt|georgískri|georgískastar|georgísks|georgískast|georgískan|georgískari|georgíska|georgískrar|georgískustu|georgískasti|georgískar|georgíski|georgísk|georgísku	<i>adj</i><br><ol><li>Georgian (of or pertaining to the country of Georgia)</li></ol>
gepill|gepils|geplinum|gepli|gepilinn|geplanna|geplum|gepilsins|gepillinn|geplarnir|geplana|gepla|geplar|gepil|geplunum	<i>noun</i><br><ol><li>lowly person, inferior person</li></ol>
ger|gerast|gerastrar|gerustum|gerri|gerið|form|ger|gerra|gerastri|gerust|gerastra|gera|gerastur|gerinu|gerum|gerara|gers|geri|gerst|gerari|gerasti|gerastar|gert|gerrar|geru|gerastan|gerustu|gerar|gerastir|gerasts|gerir|geran|gerasta|gersins	<i>noun</i><br><ol><li>yeast</li><li>rotting things (as feed)</li><li>flock, swarm (of carrion birds, flies, etc.)</li></ol><br><i>adj</i><br><ol><li>ready, fully prepared</li><li>greedy, gluttonous</li></ol><br><i>adv</i><br><ol><li>better, more thoroughly</li></ol>
gera|ég gerist|gerðir|þið gerist|við gerðumst|gerðan|geriði|þið gerðust|predicatively|gerist (þið)|geristi|ger (þú)|gerðar|við gerumst|við gerum|þið gerðuð|það gerir|hún|þau gera|þú gerir|gerðu|þau gerast|við gerðum|þú gerist|það gerðist|gerður|gerði|gerðra|gerst (þú)|only for explicatory subclauses|gerstu|geri|gerst|þau gerðust|gerandist|þeir|þau gerðu|gerandi|þú gerðir|það gerist|gerða|það gerði|it is never used attributively|það geri|gerið (þið)|ég gerði|gert|hann|gerðri|gerðum|þið gerið|þau geri|þau gerist|ég gerðist|að gerast|gerir|þú gerðist|að gera|gerð|ég geri|gerðs|gerðrar|þær	<i>verb</i><br><ol><li>(transitive, governs the accusative) to do</li><li>(transitive, governs the accusative) to make</li><li>to arbitrate, to determine</li><li>(impersonal) used with nouns denoting a weather condition to indicate that that type of weather is going on</li></ol>
gera að lögum|gerði að lögum|gert að lögum|gera eitthvað að lögum	<i>verb</i><br><ol><li>(law) to enact, to sign into law</li></ol>
gera ráð fyrir|gert ráð fyrir|gerði ráð fyrir	<i>verb</i><br><ol><li>(ditransitive, governs the dative, dative) for someone to assume or suppose something, for someone to consider something likely</li></ol>
gera sér lítið fyrir|gerði sér lítið fyrir|gert sér lítið fyrir	<i>verb</i><br><ol><li>to make short work of something, to make quick work of something</li></ol>
gera upp	<i>verb</i><br><ol><li>(with accusative) to do up, to renovate, to overhaul</li></ol>
gera við|gerði við|gert við	<i>verb</i><br><ol><li>(transitive, governs the dative) to repair, to fix</li></ol>
gera áttavilltan|gerði áttavilltan|gert áttavilltan	<i>verb</i><br><ol><li>(transitive, governs the accusative) to disorientate, to bewilder, to disorient, to make disoriented</li></ol>
gera úlfalda úr mýflugu	<i>verb</i><br><ol><li>(idiomatic) to make a mountain out of a molehill</li></ol>
gerandi|gerendunum|gerendanna|gerandinn|gerendurna|gerenda|gerandans|gerendurnir|geranda|gerendum|gerandann|gerendur|gerandanum	<i>noun</i><br><ol><li>agent, performer (someone who performs an action)</li><li>(grammar) agent, subject</li></ol>
gerast	<i>verb</i><br><ol><li>to happen, to go on, to take place</li></ol>
gerbreyta|predicatively|gerbreytandi|gerbreyttar|gjörbreytiði|hún|gerbreyt (þú)|við gerbreytum|gerbreytist (þið)|þau gerbreyttu|þú gerbreytist|gjörbreyt (þú)|gerbreyttri|þau gjörbreyta|gjörbreystu|að gjörbreytast|það gjörbreyti|við gjörbreytumst|gjörbreyttur|gjörbreyttum|gjörbreyttir|það gjörbreytir|gerbreyttan|þið gerbreyttust|gerbreytiði|þau gjörbreytist|við gerbreyttumst|þið gjörbreytið|þið gjörbreytist|þau gjörbreytast|það gerbreytist|gerbreyttir|ég gerbreytti|þið gerbreytið|það gjörbreyttist|þeir|gjörbreytti|it is never used attributively|gerbreytisti|við gjörbreyttum|þau gjörbreyti|gjörbreytisti|að gerbreytast|gerbreyst (þú)|ég gerbreytist|þau gerbreyti|gerbreytta|það gjörbreytti|þau gjörbreyttu|þú gerbreytir|við gerbreytumst|þú gjörbreytist|þið gerbreytist|ég gjörbreytti|gjörbreytts|gerbreyst|gjörbreyst|gerbreyttur|þið gjörbreyttuð|það gerbreytti|gerbreytið (þið)|gjörbreytandi|gerbreyttrar|það gerbreytir|þau gjörbreyttust|að gerbreyta|gjörbreytist (þið)|ég gerbreyttist|að gjörbreyta|hann|gjörbreytandist|það gerbreyti|þú gerbreyttist|gerbreyttra|það gerbreyttist|þau gerbreytist|við gjörbreytum|þau gerbreyttust|þú gerbreyttir|gjörbreyttra|þið gerbreyttuð|gjörbreyttu|þú gjörbreytir|gerbreytt|gerbreystu|ég gjörbreyttist|gjörbreytt|gjörbreyta|ég gjörbreytist|gerbreytti|only for explicatory subclauses|gerbreytts|gjörbreyttrar|gerbreytandist|gjörbreytið (þið)|þau gerbreytast|gjörbreyttan|gjörbreytta|ég gerbreyti|það gjörbreytist|gjörbreyttri|ég gjörbreyti|við gerbreyttum|gerbreyttu|gjörbreyttar|þau gerbreyta|gerbreyttum|við gjörbreyttumst|þú gjörbreyttist|þið gjörbreyttust|þú gjörbreyttir|þær|gjörbreyst (þú)	<i>verb</i><br><ol><li>(with dative) to change radically, to transform</li></ol>
gerill|gerils|gerilsins|gerlarnir|gerla|gerilinn|gerillinn|gerlanna|gerlar|gerli|gerlinum|gerlum|gerlunum|gerlana|geril	<i>noun</i><br><ol><li>bacterium (single celled organism with no nucleus or organelles)</li></ol>
gerjun|gerjunar|gerjuninni|gerjunarinnar|gerjunin|gerjunina	<i>noun</i><br><ol><li>fermentation</li></ol>
gerlegur|gerlegra|gerlegustum|gerlegastri|gerlegasti|gerlegum|gerlega|gerlegust|gerlegar|gerlegasts|gerlegan|gerlegastra|gerleg|gerlegrar|gerlegastir|gerlegastar|gerlegasta|gerlegi|gerlegir|gerlegast|gerlegustu|gerlegu|gerlegastan|gerlegt|gerlegastrar|gerlegastur|gerlegs|gerlegri	<i>adj</i><br><ol><li>feasible</li></ol>
german|germansins|germani|germans|germaninu|germanið	<i>noun</i><br><ol><li>germanium (chemical element)</li></ol>
germanska|germönskuna|germönsku|germönskunnar|germönskunni|germanskan	<i>noun</i><br><ol><li>Germanic (language family)</li></ol>
germanskur|germansks|germanskar|germanskir|germanskastan|germanska|germanskastir|germönskust|germanskara|germanskastar|germanskasta|germanskasts|germanskasti|germanskt|germanskra|germönsk|germanskrar|germanskan|germönskustum|germanskast|germönskustu|germanskastur|germönskum|germanskri|germanskastra|germönsku|germanskastri|germanski|germanskastrar|germanskari	<i>adj</i><br><ol><li>Germanic</li></ol>
germynd|germyndar|germynda|germyndanna|germyndir|germyndin|germyndarinnar|germyndum|germyndina|germyndinni|germyndunum|germyndirnar	<i>noun</i><br><ol><li>(grammar) active voice (abbreviated as gm. or germ.)</li></ol>
gerpi|gerpin|gerpið|gerpisins|gerpa|gerpis|gerpinu|gerpunum|gerpanna|gerpum	<i>noun</i><br><ol><li>creature</li></ol>
gersemi|gersemanna|gersema|gersemum|gersemar|gersemina|gersemarnar|gersemunum|gerseminnar|gersemin|gerseminni	<i>noun</i><br><ol><li>treasure</li></ol>
gervi|gervin|gervunum|gervinu|gervis|gervanna|gervið|gerva|gervisins|gervum	<i>noun</i><br><ol><li>costume</li><li>guise, likeness</li></ol>
gerviefni|gerviefnið|gerviefnunum|gerviefnis|gerviefninu|gerviefna|gerviefnin|gerviefnum|gerviefnisins|gerviefnanna	<i>noun</i><br><ol><li>synthetic material</li></ol>
gervigras|gervigrasið|gervigrass|gervigrasinu|gervigrassins|gervigrasi	<i>noun</i><br><ol><li>artificial turf</li></ol>
gervigreind|gervigreindar|gervigreindina|gervigreindarinnar|gervigreindin|gervigreindinni	<i>noun</i><br><ol><li>artificial intelligence (intelligence exhibited by an artificial entity)</li><li>(artificial intelligence) The branch of computer science dealing with the reproduction or mimicking of human-level thought in computers.</li></ol>
gervigígur|gervigígs|gervigígsins|gervigíganna|gervigígar|gervigígina|gervigíginum|gervigígunum|gervigígum|gervigíga|gervigíginn|gervigígurinn|gervigígirnir|gervigígi|gervigígir|gervigíg	<i>noun</i><br><ol><li>(geology) pseudocrater, rootless vent, littoral cone</li></ol>
gervihnattamynd|gervihnattamyndarinnar|gervihnattarmyndinni|gervihnattamyndanna|gervihnattarmyndirnar|gervihnattamyndar|gervihnattarmyndar|gervihnattarmyndin|gervihnattamyndina|gervihnattarmyndarinnar|gervihnattarmyndir|gervihnattarmyndanna|gervihnattarmynd|gervihnattarmyndunum|gervihnattamyndum|gervihnattarmynda|gervihnattamyndir|gervihnattamyndin|gervihnattamynda|gervihnattamyndirnar|gervihnattarmyndina|gervihnattamyndunum|gervihnattarmyndum|gervihnattamyndinni	<i>noun</i><br><ol><li>satellite image</li></ol>
gervill|gervlum|gervlana|gervilsins|gervlanna|gervillinn|gervlarnir|gervils|gervli|gervlunum|gervlar|gervla|gervlinum|gervilinn|gervil	<i>noun</i><br><ol><li>synthesizer</li></ol>
gervimál|gervimálinu|gervimálum|gervimála|gervimálið|gervimálsins|gervimáli|gervimálanna|gervimálunum|gervimálin|gervimáls	<i>noun</i><br><ol><li>(linguistics) constructed language</li></ol>
gervitungl|gervitungli|gervitunglum|gervitunglin|gervitunglið|gervitungls|gervitungla|gervitunglunum|gervitunglinu|gervitunglanna|gervitunglsins	<i>noun</i><br><ol><li>satellite (artificial object designed to orbit the Earth or another celestial body)</li></ol>
gervitunglamynd|gervitunglamyndina|gervitunglamyndarinnar|gervitunglamyndirnar|gervitunglamyndinni|gervitunglamyndir|gervitunglamyndin|gervitunglamynda|gervitunglamyndar|gervitunglamyndanna|gervitunglamyndunum|gervitunglamyndum	<i>noun</i><br><ol><li>satellite image</li></ol>
gerð|gerðunum|gerðirnar|gerðir|gerðina|gerða|gerðin|gerðinni|gerðanna|gerðarinnar|gerðar|gerðum	<i>noun</i><br><ol><li>act, action (usually plural and more often as gjörð)</li><li>the act of building, making</li><li>type, make, kind</li></ol>
gerði|gerðunum|gerðið|gerðis|gerða|gerðin|gerðanna|gerðinu|gerðum|gerðisins	<i>noun</i><br><ol><li>enclosed field</li><li>fence, hedge</li></ol>
ges|gesi|gesin|gessins|gesinu|gesunum|gesanna|gesið|gess|gesum|gesa	<i>noun</i><br><ol><li>(music) G flat</li></ol>
gestaþraut|gestaþrautar|gestaþrautin|gestaþrautirnar|gestaþrautina|gestaþrautum|gestaþrautir|gestaþrautarinnar|gestaþrautinni|gestaþrauta|gestaþrautanna|gestaþrautunum	<i>noun</i><br><ol><li>puzzle, brain-teaser</li></ol>
gestgjafi|gestgjafanum|gestgjöfunum|gestgjöfum|gestgjafans|gestgjafarnir|gestgjafana|gestgjafinn|gestgjafanna|gestgjafann|gestgjafa|gestgjafar	<i>noun</i><br><ol><li>host, hostess</li></ol>
gestrisinn|gestrisnu|gestrisinni|gestrisna|gestrisnasta|gestrisnast|gestrisnar|gestrisni|gestrisnustu|gestrisnastra|gestrisnastir|gestrisnastan|gestrisnastri|gestrisnasti|gestrisnum|gestrisinnar|gestrisin|gestrisnara|gestrisnasts|gestrisnust|gestrisinna|gestrisnustum|gestrisnastur|gestrisið|gestrisnastar|gestrisnari|gestrisnir|gestrisnastrar|gestrisins	<i>adj</i><br><ol><li>hospitable</li></ol>
gestrisni|gestrisnina|gestrisninnar|gestrisnin|gestrisninni	<i>noun</i><br><ol><li>hospitality</li></ol>
gestur|gestum|gestinn|gesta|gestina|gestanna|gests|gest|gestir|gesti|gestinum|gestunum|gestsins|gesturinn|gestirnir	<i>noun</i><br><ol><li>guest</li><li>visitor</li></ol>
geta|þið getist|það gæti|predicatively|getið|getist (þið)|geturnar|þau geta|getiði|getnum|hún|getum|þú gest|gátum|þau gætu|getins|get (þú)|getinna|gettu|ég geti|getur|þið gátuð|gestu|þú gætir|það gast|getisti|getan|ég gat|getunnar|það gætist|getinnar|getuna|þú getur|getnir|það geti|við gátum|þú gast|þau getast|ég get|þau gætust|að geta|þau gátust|þú gætist|getunum|getandist|þeir|getunni|þið gátust|it is never used attributively|getað|að getast|getir|það gest|þú getir|getandi|getnu|þið getið|getist|getnar|þið gætust|getna|það gat|ég getist|við gætumst|getu|við gátumst|ég gætist|þið gætuð|þau geti|get|þú getist|hann|það getur|getin|það getist|við getum|getinn|getanna|við gætum|þau gátu|getið (þið)|getni|ég gæti|gat|ég gast|only for explicatory subclauses|þau getist|getinni|gætir|ég gest|við getumst|gest (þú)|þær	<i>verb</i><br><ol><li>(auxiliary verb) to be able</li><li>(only in elevated speech) to father, to beget</li></ol><br><i>noun</i><br><ol><li>ability</li></ol>
geta sér til um	<i>verb</i><br><ol><li>(governs the accusative) to make a guess about something</li></ol>
getgáta|getgátnanna|getgátan|getgátur|getgátu|getgátunum|getgátuna|getgátunni|getgátum|getgátanna|getgátunnar|getgátna|getgáturnar	<i>noun</i><br><ol><li>guess, speculation, conjecture</li></ol>
getnaðarlimur|getnaðarlimnum|getnaðarlimir|getnaðarlima|getnaðarlimsins|getnaðarlimurinn|getnaðarlims|getnaðarlimum|getnaðarlimanna|getnaðarlimi|getnaðarlim|getnaðarlimina|getnaðarlimunum|getnaðarliminn|getnaðarlimirnir	<i>noun</i><br><ol><li>(anatomy) penis</li></ol>
getnaður|getnaðina|getnaðirnir|getnuðum|getnaðanna|getnuðunum|getnaðinum|getnaðarins|getnaða|getnað|getnaðinn|getnaðar|getnaðurinn|getnaði|getnaðir	<i>noun</i><br><ol><li>conception (initiation of an embryonic animal life)</li></ol>
getspakur|getspaka|getspakastar|getspakasta|getspakt|getspakara|getspakastir|getspökustum|getspakast|getspökust|getspaki|getspakri|getspakasts|getspakrar|getspakan|getspakari|getspakir|getspakastrar|getspaks|getspakar|getspakastra|getspakra|getspakastur|getspök|getspakastan|getspökum|getspöku|getspakasti|getspökustu|getspakastri	<i>adj</i><br><ol><li>good at foreseeing things</li></ol>
geyma|geym (þú)|geymdur|geymda|ég geymdi|þau geymist|predicatively|þið geymist|geymst|ég geymdist|geymiði|að geyma|ég geymi|geymdar|geymds|hún|þau geymast|geymið (þið)|við geymumst|það geymdist|geymdri|ég geymist|þú geymdir|að geymast|geymist (þið)|geymandi|það geymir|only for explicatory subclauses|geymst (þú)|geymdum|geymt|þau geymi|þú geymdist|þeir|geymdrar|geymdu|geymandist|þau geymdu|it is never used attributively|geymdra|geymisti|þau geymdust|geymdi|hann|geymdir|þú geymir|við geymdum|geymstu|þið geymdust|við geymum|þau geyma|við geymdumst|þú geymist|geymd|þið geymduð|það geymdi|það geymi|geymdan|þær|það geymist|þið geymið	<i>verb</i><br><ol><li>to store, to keep</li></ol>
geymsla|geymslur|geymslunum|geymslna|geymslnanna|geymslu|geymsluna|geymslum|geymslunni|geymslunnar|geymslurnar|geymslan	<i>noun</i><br><ol><li>storage</li><li>storage room</li></ol>
geysa|þið geysist|þau geystust|þau geysist|þau geysa|þau geysast|geyst (þú)|predicatively|þau geysi|þið geystust|við geysumst|það geysti|geyst|hún|þú geystist|geystu|að geysa|það geysir|geysið (þið)|only for explicatory subclauses|þú geystir|geysandist|geysiði|þú geysir|þið geysið|við geysum|ég geysi|þeir|þú geysist|geysisti|það geystist|ég geystist|it is never used attributively|þið geystuð|við geystumst|geys (þú)|hann|geysandi|geysti|geysist (þið)|það geysi|við geystum|að geysast|það geysist|þau geystu|ég geysti|þær|ég geysist	<i>verb</i><br><ol><li>to gush</li><li>(often in the mediopassive) to rush</li></ol>
geð|geðsins|geðunum|geðanna|geði|geðs|geðinu|geðið|geðum|geðin|geða	<i>noun</i><br><ol><li>mind</li><li>mood, feeling</li><li>temper, disposition</li></ol>
geðklofi|geðklofann|geðklofinn|geðklofans|geðklofa|geðklofanum	<i>noun</i><br><ol><li>schizophrenia</li></ol>
geðlæknir|geðlæknunum|geðlæknar|geðlæknirinn|geðlæknanna|geðlækna|geðlæknis|geðlækninum|geðlæknana|geðlæknisins|geðlæknarnir|geðlækni|geðlækninn|geðlæknum	<i>noun</i><br><ol><li>psychiatrist</li></ol>
geðshræring|geðshræringunni|geðshræringum|geðshræringa|geðshræringarnar|geðshræringanna|geðshræringunum|geðshræringin|geðshræringuna|geðshræringu|geðshræringar|geðshræringarinnar	<i>noun</i><br><ol><li>emotion</li></ol>
geðslegur|geðslegastri|geðslegasti|geðslegastir|geðslegt|geðslegust|geðslegustu|geðslegar|geðslegum|geðslegustum|geðsleg|geðslegastrar|geðslegasta|geðslegasts|geðslegra|geðslegir|geðslegastan|geðslegi|geðslega|geðslegrar|geðslegast|geðslegri|geðslegastur|geðslegan|geðslegs|geðslegu|geðslegastar|geðslegastra	<i>adj</i><br><ol><li>likable, sympathetic, attractive</li></ol>
geðveikur|geðveikastur|geðveikari	<i>adj</i><br><ol><li>insane, mentally ill</li><li>(informal) sick, awesome (really cool, nice, powerful, or the like)</li></ol>
