'di ba|diba|dibá	<i>phrase</i><br><ol><li>Contraction of hindi ba: isn't it; isn't that</li></ol>
bawi|bawì|bawî	<i>noun</i><br><ol><li>retrieval; recovery (of one's property, health, etc.)</li><li>retraction (of one's words, commitment, etc.)</li></ol><br><i>adj</i><br><ol><li>retrieved; recovered</li><li>gotten even with</li></ol>
bawian|nakikibawi|ikinapagpapabawi|ikakapagpabawi|pinapabawian|bawiin|ipinagpapabawi|ikabawi|ikinabawi|ikinapagpabawi|binabawian|ipinagpabawi|ipabawi|pinapapagbawian|pinapagbawian|ikinakabawi|pinabawi|kakabawi|pinagbabawian|nabawi|binawian|kapapabawi|bumabawi|magpabawi|abawian|ikababawi|ibabawi|inabawian|inabawi|nakikipagpabawi|kababawi|ipagpapabawi|papagpabawian|nakipagpabawi|nagpapabawi|ipababawi|makibawi|pinagpapababawian|pabawian|pagbawian|makikipagpabawi|ipapagpabawi|abawiin|binawi|pinabawian|bawi|kapagpapabawi|ikapagpabawi|makipagpabawi|ipapambawi|pinapabawi|papabawian|pagbabawian|pababawiin|pinababawian|ipinambawi|ipinapagpabawi|ipinapabawi|papapagbawian|ikapagpapabawi|pababawian|ipapabawi|ikakabawi|binabawi|papagbawian|pagpabawian|makikibawi|ibinawi|ipinababawi|pinapagpabawian|babawiin|babawian|ipambawi|ipinabawi|pinagbawian|mabawi|ibinabawi|magpapabawi|ipagpabawi|babawi|pagpapababawian|bumawi|kakapabawi|papabawiin|ipinapambawi|nakibawi|pabawiin|ikinakapagpabawi|pinababawi|ikinababawi|ibawi|nagpabawi|pinagpabawian|⁠kapababawi	<i>verb</i><br><ol><li>to have something taken from oneself</li></ol>
bawian ng buhay|babawian ng buhay|binawian ng buhay|binabawian ng buhay	<i>verb</i><br><ol><li>(idiomatic) to die</li></ol>
bawtisteryo	<i>noun</i><br><ol><li>baptistry</li></ol>
bay-ong|bay-óng	<i>noun</i><br><ol><li>(dialectal) Alternative form of bayong</li></ol>
baya|bayà	<i>noun</i><br><ol><li>(obsolete) toleration; allowing (no longer used on its own except in derived terms)</li><li>bay-colored female horse</li><li>berry</li></ol><br><i>adj</i><br><ol><li>bay-colored (of a female horse)</li></ol>
bayabas	<i>noun</i><br><ol><li>guava (tree and fruit)</li></ol>
bayabasan|abayabasan|binabayabasan|bayabasi|binayabasan|babayabasan|bayabas|inabayabasan|bayabasan|báyabasán	<i>noun</i><br><ol><li>guava plantation; guava grove</li><li>to add guava fruit in one's cooking</li></ol>
bayad|ᜊᜌᜇ᜔|bayar|bayád	<i>noun</i><br><ol><li>payment</li><li>installment</li><li>paying or discharge of debt or loan</li><li>salary; wage; compensation</li><li>articles bought</li></ol><br><i>adj</i><br><ol><li>paid or liquidated (referring to a loan)</li><li>compensated or paid (of one's salary)</li></ol>
bayad sa koreo|bayad sa koreó|ᜊᜌᜇ᜔ ᜐ ᜃᜓᜇᜒᜂ	<i>noun</i><br><ol><li>postage</li></ol>
bayad-pinsala|bayad{l|pinsalà}}|tl	<i>noun</i><br><ol><li>(law) payment for damages; indemnity</li></ol>
bayag|bayág	<i>noun</i><br><ol><li>(anatomy) testicle</li><li>(figuratively, vulgar) guts; courage; balls</li></ol>
bayag-kambing|bayág-kambíng	<i>noun</i><br><ol><li>bayag-kambing; Caesalpinia crista (plant and seed)</li></ol>
bayan|ᜊᜌᜈ᜔	<i>noun</i><br><ol><li>town; municipality</li><li>city</li><li>nation; country</li><li>motherland; native land</li><li>people; citizens; the public</li><li>downtown area; commercial area</li><li>(historical) city-state; polity</li></ol>
bayani	<i>noun</i><br><ol><li>hero</li><li>mutual aid; cooperative endeavor</li><li>person who offers free service in a cooperative endeavor</li></ol>
bayanihan	<i>noun</i><br><ol><li>mutual aid; cooperative endeavor (especially in a community project)</li></ol>
bayaran|ipinambayad|pinabayaran|nakibayad|pabayaran|makibayad|nagpapabayad|ipinapagbayad|magbayad|makipagbayad|ipinapambayad|pinapapagbayad|ikapagpapabayad|ikapagpabayad|kakapagbayad|ikinakapagpabayad|kakapabayad|pinagpapababayaran|ikinapagpabayad|papapagbayarin|nakikipagpabayad|nakipagpabayad|ikinapagbabayad|bayarán|pinapagpabayaran|babayaran|pinagbabayaran|papagpabayaran|ipambayad|magpapabayad|ipapambayad|pinababayaran|inabayaran|pagpabayaran|binabayaran|⁠kapababayad|nagabayad|ikinapagbayad|ikakapagbayad|bayad|pinagbayaran|makikipagpabayad|pagbabayaran|kapapabayad|ipinagpapabayad|pinapagbayad|magabayad|ipapagpabayad|kababayad|nagbabayad|ipagpapabayad|papagbayaran|kakabayad|ipagbayad|makipagpabayad|nakikibayad|ikapagbayad|makikipagbayad|kapapagbayad|ikakapagpabayad|makikibayad|nagpabayad|nakikipagbayad|papapagbayaran|ikapagbabayad|ikinapagpapabayad|pinapagbayaran|nagbayad|ipinagpabayad|gabayad|ipapagbayad|papagbayarin|papabayaran|pinagpabayaran|pagpapababayaran|pababayaran|magpabayad|ipagpabayad|ipinagbayad|ikinakapagbayad|ipinapagpabayad|pinapabayaran|abayaran|pagbayaran|kapagpapabayad|pinapapagbayaran|nakipagbayad|kapagbabayad|magbabayad|binayaran	<i>verb</i><br><ol><li>to pay for something</li><li>to compensate someone with one's salary</li><li>to settle one's debt with</li></ol><br><i>noun</i><br><ol><li>obligation due for payment</li><li>time when payment is due</li></ol><br><i>adj</i><br><ol><li>sold in cash; requiring cash payment</li></ol>
bayarin|báyarin|bayarín	<i>noun</i><br><ol><li>expenses; accounts to be paid</li></ol><br><i>adj</i><br><ol><li>due for payment</li></ol>
bayaw|bayáw	<i>noun</i><br><ol><li>brother-in-law</li><li>rest after work</li></ol>
bayawak	<i>noun</i><br><ol><li>monitor lizard (member of the genus Varanus)</li><li>iguana</li></ol>
baybay|ᜊᜌ᜔ᜊᜌ᜔|baybáy	<i>noun</i><br><ol><li>border; edge; side</li><li>shore; shoreline</li><li>guide railing (especially for children learning to walk)</li><li>act of spelling a word</li><li>the way a word is spelled</li><li>enumeration; naming one by one</li><li>act of tracing or going along the side of a river, street, etc.</li></ol><br><i>adj</i><br><ol><li>spellable</li></ol>
baybayin|pinagbaybayan|ibabaybay|kapapabaybay|ipinagpapabaybay|ikinababaybay|mabaybay|nakipagpabaybay|ikinakabaybay|ipapagpabaybay|binaybayan|ikinabaybay|bumaybay|ibinaybay|pagbaybayan|magpapabaybay|pinapabaybay|pinababaybay|pagpabaybayan|pinapapagbaybayan|ipabaybay|nakibaybay|nagpabaybay|pinapagpabaybayan|ikababaybay|ikinakapagpabaybay|nakikibaybay|kakabaybay|ipagpabaybay|nakikipagpabaybay|inabaybay|makibaybay|papagbaybayan|ikapagpabaybay|bumabaybay|ipinapagpabaybay|pinapabaybayan|nabaybay|babaybayin|pabaybayin|makikibaybay|ipapabaybay|ipinabaybay|baybayín|ipinababaybay|pababaybayin|ipinapambaybay|ipambaybay|kababaybay|ipinambaybay|baybay|baybayan|pabaybayan|papabaybayan|makikipagpabaybay|nagpapabaybay|ipinapabaybay|ikabaybay|pinagbabaybayan|inabaybayan|binaybay|pinababaybayan|ipababaybay|ibinabaybay|binabaybayan|kapagpapabaybay|pinagpapababaybayan|kakapabaybay|magpabaybay|ikakapagpabaybay|abaybayan|ikinapagpapabaybay|pinapagbaybayan|pinagpabaybayan|ikinapagpabaybay|ibaybay|ipapambaybay|pinabaybayan|⁠kapababaybay|papabaybayin|binabaybay|pababaybayan|ikakabaybay|abaybayin|papapagbaybayan|pagpapababaybayan|ipinagpabaybay|babaybayan|makipagpabaybay|ipagpapabaybay|papagpabaybayan|pinabaybay|babaybay|ikapagpapabaybay|pagbabaybayan	<i>noun</i><br><ol><li>coast; coastline; shore</li><li>Alternative letter-case form of Baybayin</li></ol><br><i>verb</i><br><ol><li>to follow the shoreline; to go along the border</li><li>to spell; to say the letters of a word</li><li>to enumerate one by one</li></ol>
baylarina|baylarin|ᜊᜌ᜔ᜎᜇᜒᜈ	<i>noun</i><br><ol><li>female dancer</li><li>(dance) ballerina</li><li>(euphemistic) stripper</li></ol>
bayle	<i>noun</i><br><ol><li>dance; ball</li></ol>
bayna|bayná	<i>noun</i><br><ol><li>sheath; scabbard (of a bladed weapon)</li><li>holster (of a gun)</li></ol>
baynilya	<i>noun</i><br><ol><li>vanilla</li></ol>
bayo|bayó	<i>noun</i><br><ol><li>pounding (with a pestle)</li><li>heavy beating (of one's heart)</li><li>heavy blows (of punches, attack, wind, etc.)</li><li>bay-colored male horse</li></ol><br><i>adj</i><br><ol><li>bay-colored (of a male horse)</li></ol>
bayolente	<i>adj</i><br><ol><li>(colloquial) Alternative form of biyolento: violent</li></ol>
bayoneta	<i>noun</i><br><ol><li>bayonet</li></ol>
bayong|bayóng	<i>noun</i><br><ol><li>bayong (large bag or sack made of woven buri palm leaves)</li></ol>
bayot|bayót	<i>noun</i><br><ol><li>(sometimes derogatory) gay; male homosexual</li></ol><br><i>adj</i><br><ol><li>(sometimes derogatory) gay; homosexual</li></ol>
bayugo	<i>noun</i><br><ol><li>St. Thomas’ bean (Entada phaseoloides, especially its fruits or seeds)</li><li>(anatomy) kneecap</li></ol>
baywang|baywáng	<i>noun</i><br><ol><li>(anatomy) waist</li></ol>
beatipikasyon|beatipikasyón	<i>noun</i><br><ol><li>beatification</li></ol>
bebot	<i>noun</i><br><ol><li>(slang) attractive woman</li></ol>
beho	<i>adj</i><br><ol><li>(colloquial, offensive) old; decrepit (especially of a Chinese man)</li></ol><br><i>noun</i><br><ol><li>(colloquial, offensive) old; decrepit person (especially of a Chinese man)</li></ol>
beke|baikì|biki|bikì|bayki|baiki|bekè	<i>noun</i><br><ol><li>(pathology) mumps</li></ol>
beki	<i>noun</i><br><ol><li>(gay slang) male homosexual; gay</li></ol>
belat	<i>intj</i><br><ol><li>exclamation indicating how misfortune is well-deserved by the person spoken to: serves you right! you deserve it!</li></ol>
belen|belén	<i>noun</i><br><ol><li>(Christianity) nativity scene</li></ol>
beles	<i>noun</i><br><ol><li>(historical) half-centavo coins (used during the Spanish occupation)</li></ol>
belosidad|belosidád	<i>noun</i><br><ol><li>(physics) velocity</li></ol>
bendahe	<i>noun</i><br><ol><li>bandage</li></ol>
bendisyon|bendisyón	<i>noun</i><br><ol><li>benediction; blessing</li><li>(Christianity) absolution (during Confession)</li></ol>
benepisyaryo	<i>noun</i><br><ol><li>(law) beneficiary</li></ol>
benepisyo	<i>noun</i><br><ol><li>benefit</li><li>benefit show</li></ol>
benesyana	<i>noun</i><br><ol><li>Venetian blind</li></ol>
benggala	<i>noun</i><br><ol><li>pheasant</li></ol>
benta	<i>noun</i><br><ol><li>(business) sale; act of selling</li><li>(business) income from sales</li><li>ready-made clothes</li></ol><br><i>adj</i><br><ol><li>(colloquial) sold well (of a product)</li><li>(colloquial) well-received (especially jokes)</li></ol><br><i>verb</i><br><ol><li>immediate imperative mood of ibenta</li><li>immediate imperative mood of magbenta</li></ol>
bentaha|bintaha|ᜊᜒᜈ᜔ᜆᜑ	<i>noun</i><br><ol><li>advantage, upper hand, as in games</li><li>advantage, the good of things</li></ol>
bente	<i>num</i><br><ol><li>(colloquial) Alternative form of beynte</li></ol>
bentilador|bentiladór	<i>noun</i><br><ol><li>electric fan</li></ol>
bentilasyon|bentilasyón	<i>noun</i><br><ol><li>ventilation</li></ol>
beranda|ᜊᜒᜇᜈ᜔ᜇ	<i>noun</i><br><ol><li>veranda</li></ol>
berde|ᜊᜒᜇ᜔ᜇᜒ	<i>noun</i><br><ol><li>(color) green</li></ol><br><i>adj</i><br><ol><li>(color) green</li><li>(figuratively) lewd; indecent</li></ol>
berdugo	<i>noun</i><br><ol><li>(law) executioner</li><li>(law) hangman</li></ol>
berilyo	<i>noun</i><br><ol><li>(chemistry) beryllium</li></ol>
beripika|beripiká	<i>noun</i><br><ol><li>act of verifying</li></ol>
beripikahin|beripikahín|beripika|bineberipika|beripikaha|aberipikahin|inaberipika|bineripika|beberipikahin	<i>verb</i><br><ol><li>to verify (something)</li></ol>
beripikasyon|beripikasyón	<i>noun</i><br><ol><li>verification</li></ol>
bernakulo|bernákuló	<i>adj</i><br><ol><li>vernacular</li></ol>
bersikulo|bersíkuló	<i>noun</i><br><ol><li>verse (small section of the Bible)</li></ol>
bersiyon|bersiyón	<i>noun</i><br><ol><li>version</li></ol>
bertdey	<i>noun</i><br><ol><li>(informal) birthday</li></ol>
bertebrado	<i>noun</i><br><ol><li>vertebrate</li></ol>
bes	<i>noun</i><br><ol><li>(slang, colloquial) term of address for one's friend, especially a close one: friend; best friend</li></ol>
beses	<i>noun</i><br><ol><li>time; instance; repetition</li></ol>
beshie	<i>noun</i><br><ol><li>(colloquial, gay slang) best friend</li></ol>
beso	<i>noun</i><br><ol><li>(cheek) kiss (light touch of cheek with cheek between person)</li></ol>
bestida	<i>noun</i><br><ol><li>woman's dress</li></ol>
bestido	<i>noun</i><br><ol><li>woman's dress</li></ol><br><i>adj</i><br><ol><li>dressed</li></ol>
betamax	<i>noun</i><br><ol><li>a Betamax (videocassette)</li><li>(informal) coagulated chicken blood that is boiled, cut in to cubes, skewered and grilled to be sold as a street food</li></ol>
beterano	<i>noun</i><br><ol><li>military veteran</li><li>person with experience</li></ol><br><i>adj</i><br><ol><li>veteran (in the military)</li><li>experienced (in a certain activity or position)</li></ol>
beterinaryo	<i>noun</i><br><ol><li>veterinarian; veterinary</li></ol>
betis|ᜊᜒᜆᜒᜐ᜔|bitis	<i>noun</i><br><ol><li>betis, a threatened species of tree with hard wood that can be made as planks (Madhuca betis)</li></ol>
betis-lalaki|bitislalaki|bétis laláque|betis lalaque|bétis-laláki|ᜊᜒᜆᜒᜐ᜔ᜎᜎᜃᜒ	<i>noun</i><br><ol><li>betis, a threatened species of tree with hard wood, that can be made as planks (Madhuca betis)</li></ol>
betlog|beklog	<i>noun</i><br><ol><li>(slang, vulgar) testicles; balls</li></ol>
betsin|bitsin|bitsín	<i>noun</i><br><ol><li>monosodium glutamate</li></ol>
betun|betún	<i>noun</i><br><ol><li>shoe polish</li></ol>
bewang	<i>noun</i><br><ol><li>(colloquial) Alternative form of baywang</li></ol>
beynte	<i>num</i><br><ol><li>twenty</li></ol><br><i>noun</i><br><ol><li>twenty-peso bill or coin</li></ol>
beynte dos|beynte dós	<i>num</i><br><ol><li>twenty-two</li></ol>
beynte kuwatro	<i>num</i><br><ol><li>twenty-four</li></ol>
beynte nuwebe	<i>num</i><br><ol><li>twenty-nine</li></ol>
beynte otso	<i>num</i><br><ol><li>twenty-eight</li></ol>
beynte sais|beynte saís	<i>num</i><br><ol><li>twenty-six</li></ol>
beynte singko	<i>num</i><br><ol><li>twenty-five</li></ol><br><i>noun</i><br><ol><li>twenty-five centavo coin</li></ol>
beynte siyete	<i>num</i><br><ol><li>twenty-seven</li></ol>
beynte tres|beynte trés	<i>num</i><br><ol><li>twenty-three</li></ol>
beynte uno	<i>num</i><br><ol><li>twenty-one</li></ol>
beysbol	<i>noun</i><br><ol><li>(sports) baseball</li></ol>
bibe	<i>noun</i><br><ol><li>a species of white duck</li><li>duckling; young duck</li></ol>
bibig|bibíg	<i>noun</i><br><ol><li>(anatomy) mouth (of a person)</li><li>(figuratively) mouthpiece (for someone)</li></ol>
bibilis|bibilís	<i>verb</i><br><ol><li>contemplative aspect of bumilis</li></ol>
bibingka|bibingká	<i>noun</i><br><ol><li>bibingka (rice cake made from rice, coconut, and grated coconut, and wrapped in coconut leaves)</li><li>(vulgar, slang) female genitalia</li></ol>
bibliyograpiya	<i>noun</i><br><ol><li>bibliography</li></ol>
bibo	<i>adj</i><br><ol><li>lively; energetic</li><li>mentally alert; active</li></ol>
bida	<i>noun</i><br><ol><li>protagonist; main character (of a story)</li><li>story; tale</li><li>act of telling a story</li><li>(rare) life</li></ol>
bidbid|bidbíd	<i>noun</i><br><ol><li>twine and spool</li><li>act of winding into a spool</li><li>Hawaiian ladyfish (Elops hawaiensis)</li><li>(pathology) paroxysm; convulsion</li></ol>
bidbiran|bidbirán|bibidbiran|inabidbiran|binibidbiran|bidbid|abidbiran|bidbiri|binidbiran	<i>noun</i><br><ol><li>spool</li></ol><br><i>verb</i><br><ol><li>to wind around something (of rope, wire, string, etc.)</li></ol>
big-at|big-át	<i>noun</i><br><ol><li>(dialectal, Batangas) Alternative form of bigat</li></ol>
bigamya|bigamyá|bigamiya	<i>noun</i><br><ol><li>(law) bigamy</li></ol>
bigas|bigás	<i>noun</i><br><ol><li>husked, uncooked rice</li></ol>
bigasan|bígásan	<i>noun</i><br><ol><li>rice mill</li><li>rice store</li><li>rice container</li><li>place where rice supply comes from</li></ol>
bigat|bigát	<i>noun</i><br><ol><li>weight</li><li>(figuratively) graveness; gravity of a situation</li></ol>
bigatin	<i>adj</i><br><ol><li>having influence with important and powerful people</li><li>(colloquial) wealthy</li><li>(colloquial) prominent; famous</li></ol><br><i>noun</i><br><ol><li>big shot; person of importance or influence</li></ol>
bigaw|bigáw	<i>adj</i><br><ol><li>deafened or stunned by a loud noise; thunderstruck</li></ol>
bigay|bigáy	<i>noun</i><br><ol><li>something given; present; gift</li><li>act of giving something</li></ol><br><i>adj</i><br><ol><li>given as a gift, present, donation, etc.</li><li>(colloquial) with all effort (of one's performance or actions)</li></ol>
bigay-kaya|bigáy-kaya	<i>noun</i><br><ol><li>dowry</li><li>exertion of all one's efforts, know-how or ability</li></ol><br><i>adj</i><br><ol><li>with all one's efforts, know-how or ability</li></ol>
bigha|bighâ	<i>noun</i><br><ol><li>(astronomy) nebula</li></ol>
bighani|bighanì	<i>noun</i><br><ol><li>charm; attraction; allurement</li><li>seduction</li></ol>
bigkas|bigkás	<i>noun</i><br><ol><li>pronunciation; enunciation</li><li>recitation; declamation (of a poem, text, etc.)</li></ol>
bigkis|bigkís	<i>noun</i><br><ol><li>girdle; abdominal band</li><li>bundle consisting of parts or units bound together</li><li>(figuratively) bond; union; unity</li></ol>
bigla|biglâ|ᜊᜒᜄ᜔ᜎ	<i>adj</i><br><ol><li>sudden; abrupt</li></ol><br><i>adv</i><br><ol><li>suddenly; abruptly</li></ol>
biglaan	<i>adj</i><br><ol><li>sudden; abrupt</li><li>unexpected</li></ol><br><i>adv</i><br><ol><li>suddenly; abruptly</li><li>unexpectedly</li></ol>
bignay|bignáy	<i>noun</i><br><ol><li>bignay (Antidesma bunius)</li></ol>
bigo|bigô	<i>adj</i><br><ol><li>disappointed; frustrated</li><li>failed; unsuccessful; futile</li><li>failed (in an examination)</li><li>missed</li></ol>
bigonya	<i>noun</i><br><ol><li>begonia (flower)</li></ol>
bigote	<i>noun</i><br><ol><li>moustache</li></ol>
bigotilyo	<i>noun</i><br><ol><li>small moustache; thin moustache</li><li>(colloquial, humorous) someone having a small moustache</li></ol>
bigti|ᜊᜒᜄ᜔ᜆᜒ|bigtî|bigtí	<i>adj</i><br><ol><li>strangled; hanged</li></ol><br><i>noun</i><br><ol><li>hanging</li><li>strangulation (with one's hands)</li></ol>
bigtihin|bigtiha|bigtihín|bigti|binigti|binibigti|abigtihin|inabigti|bibigtihin	<i>verb</i><br><ol><li>to strangle with a rope; to hang</li><li>(figuratively) to suppress; to repress</li></ol>
bigtiin|bigtiín|bigti|binigti|binibigti|bibigtiin|bigtia|abigtiin|inabigti	<i>verb</i><br><ol><li>(colloquial) Alternative form of bigtihin: to strangle with a rope; to hang</li><li>(colloquial, figuratively) Alternative form of bigtihin: to suppress; to repress</li></ol>
bigting|bigtíng	<i>noun</i><br><ol><li>tongs; forceps; pliers</li></ol><br><i>adj</i><br><ol><li>tightly tied (of a knot, binding, etc.)</li><li>consumed; exhausted (of food rations)</li></ol>
biguin|abiguin|bigua|binibigo|binigo|bibiguin|inabigo|biguín|bigo	<i>verb</i><br><ol><li>(transitive) to let down; to disappoint</li><li>(transitive) to foil; to prevent from carrying out</li></ol>
bigwas|bigwás	<i>noun</i><br><ol><li>frontal box with the fist; sudden hard blow with the fist</li><li>sudden upward stroke on a fishing rod</li></ol>
bigyan|ikinapagpabigay|ikinapagbibigay|magpapabigay|makipagbigay|binibigyan|ikinapagpapabigay|kabibigay|kakabigay|makikipagpabigay|ikakapagpabigay|kapapagbigay|ipagpapabigay|pinapagbigyan|kapagpapabigay|nagpabigay|nakibigay|pagbibigyan|pagpapabibigyan|pinagpapabibigyan|pinagpabigyan|nakikipagbigay|makipagpabigay|ipagbigay|kapagbibigay|makibigay|pagpabigyan|nakikipagpabigay|pinapabigyan|ikapagpabigay|kapapabigay|ipinagpapabigay|ipinapagbigay|papapagbigyin|papapagbigyan|ipinagbigay|abigyan|magbigay|ikinakapagpabigay|pinapagpabigyan|pabigyan|ikapagpapabigay|⁠kapabibigay|papabigyan|pagbigyan|nakikibigay|pinabigyan|pinagbigyan|ikapagbigay|ipapambigay|magbigáy|nagabigay|pabibigyan|nagbibigay|ipagpabigay|pinagbibigyan|nakipagpabigay|pinapagbigay|kakapabigay|bigyán|ikakapagbigay|pinapapagbigay|bigay|magabigay|inabigyan|ikinapagbigay|ikinakapagbigay|ipinambigay|papagpabigyan|pinabibigyan|papagbigyan|makikipagbigay|ipinagpabigay|ipambigay|magpabigay|nakipagbigay|pinapapagbigyan|magbibigay|nagbigay|ipinapagpabigay|ipapagbigay|binigyan|makikibigay|ipinapambigay|ikapagbibigay|bibigyan|kakapagbigay|papagbigyin|gabigay|nagpapabigay|ipapagpabigay	<i>verb</i><br><ol><li>to give (someone or something)</li></ol>
biha	<i>noun</i><br><ol><li>cigarette butt; cigar butt</li></ol>
bihag|bihág	<i>noun</i><br><ol><li>captive; prisoner</li></ol><br><i>adj</i><br><ol><li>captured; captive</li></ol>
bihasa|bihasá|bihasà|bihasâ	<i>noun</i><br><ol><li>expert; professional</li><li>accustomization; manner of getting used to a certain condition</li><li>act of training or practicing</li></ol><br><i>adj</i><br><ol><li>expert; professional; accomplished</li><li>accustomed to; used to</li><li>cultured; civilized</li></ol>
bihilante	<i>noun</i><br><ol><li>vigilante; watchman; member of a vigilance committee</li></ol><br><i>adj</i><br><ol><li>watchful; vigilant</li></ol>
bihilya	<i>noun</i><br><ol><li>fasting abstinence</li><li>day of fasting</li><li>(uncommon) vigil; eve of a feast day</li></ol>
bihira|bihirà	<i>adj</i><br><ol><li>scarce; rare; unique</li></ol><br><i>adv</i><br><ol><li>hardly; rarely; seldom</li></ol><br><i>noun</i><br><ol><li>(obsolete) act of differentiating</li></ol>
bihis|bihís	<i>noun</i><br><ol><li>change of clothes; dressing up</li><li>manner of clothing; attire</li></ol><br><i>adj</i><br><ol><li>dressed up</li></ol>
bihon	<i>noun</i><br><ol><li>rice vermicelli; bihon (thin, white rice noodles)</li></ol>
biik|biík	<i>noun</i><br><ol><li>piglet; suckling pig</li></ol>
bika|bikâ	<i>adj</i><br><ol><li>forked; formed like an angle</li><li>(mathematics) obtuse</li></ol>
bikariya|bikariyá	<i>noun</i><br><ol><li>(Christianity) vicariate (office and residence of a vicar)</li><li>(Christianity) vicarage (residence of the vicar)</li></ol>
bikarya	<i>noun</i><br><ol><li>(Christianity) assistant mother superior (in a convent of nuns)</li></ol>
bikaryato	<i>noun</i><br><ol><li>(Christianity) vicarage (residence of the vicar)</li></ol>
bikaryo	<i>noun</i><br><ol><li>(Christianity) vicar</li></ol>
bikas|bikás	<i>noun</i><br><ol><li>body form; posture; physique; bearing</li><li>attractive dressiness</li><li>heartleaf hempvine (Mikania cordata)</li></ol>
bikat	<i>noun</i><br><ol><li>scar on the face</li><li>notch; jag (at the side or edge of something)</li><li>(neologism) scar (on trees)</li></ol>
bikig|bikíg	<i>noun</i><br><ol><li>foreign matter stuck in the throat (usually a fish bone)</li></ol>
biko	<i>noun</i><br><ol><li>biko (Philippine sweet rice cake made of coconut milk and brown sugar)</li></ol>
biktima|bíktimá	<i>noun</i><br><ol><li>victim</li></ol>
bila	<i>noun</i><br><ol><li>bamboo splits fastened horizontally along the length of a bamboo fence to reinforce it</li></ol>
bilabila|bilabilá	<i>noun</i><br><ol><li>(western Marinduque) butterfly</li></ol>
bilad|bilád	<i>adj</i><br><ol><li>exposed under the sun (usually for drying)</li><li>(figuratively) exposed for all to see; in the open</li></ol><br><i>noun</i><br><ol><li>act of exposing something under the sun</li></ol>
bilang|biláng	<i>noun</i><br><ol><li>number (counting)</li><li>count; amount</li><li>act of counting</li><li>(Batangas) dowry</li></ol><br><i>prep</i><br><ol><li>as; in the capacity of; in the role of</li><li>for the purpose of; as; by way of</li></ol><br><i>adj</i><br><ol><li>counted</li><li>limited; numbered; of a few number</li></ol>
bilangan|bilang|inabilangan|abilangan|bibilangan|binibilangan|binilangan|bilangán|bilangi	<i>noun</i><br><ol><li>act, time, or place of counting (of ballots, votes, etc.)</li></ol><br><i>verb</i><br><ol><li>to make a count of something (to be given to someone)</li><li>(boxing) to make a long count</li></ol>
bilanggo|bilanggô	<i>noun</i><br><ol><li>prisoner; captive; convict</li><li>(historical) bailiff</li></ol>
bilanggong politikal|bilanggóng polítikál	<i>noun</i><br><ol><li>political prisoner</li></ol>
bilangguan	<i>noun</i><br><ol><li>prison; jail</li></ol>
bilangin|ikabibilang|ipinagpabilang|nagpabilang|bibilangan|ikinakabilang|kakapabilang|makikipagpabilang|abilangin|makibilang|makipagpabilang|kapapabilang|ipabibilang|bumibilang|magpabilang|magpapabilang|pagpabilangan|kabibilang|ikinapagpabilang|ibinibilang|mabilang|ipinapabilang|binibilangan|bibilang|ibinilang|papapagbilangan|pinapagbilangan|nagpapabilang|makikibilang|binilangan|papagpabilangan|ipambilang|kapagpapabilang|abilangan|ibilang|pagpapabibilangan|ipinagpapabilang|pinagbibilangan|nabilang|ipinabibilang|papabilangan|bilangi|binilang|⁠kapabibilang|pinabilang|pagbilangan|inabilang|ipapabilang|pinapabilangan|pinapabilang|nakikipagpabilang|pinagbilangan|nakikibilang|pabibilangin|ipinapambilang|pinapapagbilangan|pinabibilangan|bumilang|ikinakapagpabilang|ipinabilang|pinabilangan|pinapagpabilangan|ipagpabilang|ikinabilang|pinabibilang|pabilangin|ipapagpabilang|papabilangin|nakipagpabilang|ibibilang|pinagpabilangan|ikakabilang|ipapambilang|ikakapagpabilang|bilang|ipabilang|ikapagpapabilang|nakibilang|bilangan|ipagpapabilang|bílangín|pagbibilangan|ipinapagpabilang|pinagpapabibilangan|ipinambilang|ikinabibilang|ikabilang|ikapagpabilang|pabilangan|bibilangin|kakabilang|papagbilangan|inabilangan|binibilang|pabibilangan|ikinapagpapabilang	<i>verb</i><br><ol><li>to count; to number</li></ol><br><i>adj</i><br><ol><li>(mathematics) scalar</li></ol>
bilao|bilaó|bilauo	<i>noun</i><br><ol><li>round and shallow basket tray traditionally made of bamboo splits (used for winnowing rice or carrying food)</li><li>(obsolete) sending of plenty of sweets and alcoholic beverage to the woman and her parents the day before sending the dowry</li><li>(obsolete) superstition of placing scissors on the basket tray to discover the thief</li><li>(obsolete) fright; intimidation</li></ol>
bilaok	<i>noun</i><br><ol><li>something that lodges in the throat or windpipe</li></ol>
bilas|bilás	<i>noun</i><br><ol><li>co-sibling-in-law; co-sister-in-law or co-brother-in-law</li></ol>
bilasa|bilasà|bilasâ	<i>adj</i><br><ol><li>putrescent; putrid (of fish)</li></ol><br><i>noun</i><br><ol><li>putrefaction of fish</li></ol>
bilbil|bilbíl	<i>noun</i><br><ol><li>(anatomy, colloquial) love handle; excess fat on one's lower abdomen</li><li>(anatomy) double chin</li><li>(medicine) edema; dropsy</li></ol>
