Kroasya	<i>name</i><br><ol><li>Croatia</li></ol>
pugot|pugót	<i>noun</i><br><ol><li>black object</li><li>undershirt without sleeves</li></ol>
pugtot|pugtót	<i>noun</i><br><ol><li>rump; buttocks</li></ol>
pula|pulá	<i>adj</i><br><ol><li>red</li></ol>
pulong	<i>noun</i><br><ol><li>word</li></ol>
punay	<i>noun</i><br><ol><li>pigeon</li></ol>
pungag|pungág	<i>adj</i><br><ol><li>harelipped</li></ol>
puro|púro|purô	<i>adj</i><br><ol><li>pure; free from admixture</li></ol><br><i>noun</i><br><ol><li>island</li></ol>
pusod	<i>noun</i><br><ol><li>(anatomy) navel</li></ol>
pusong	<i>adj</i><br><ol><li>idiot; stupid; foolish</li></ol>
puthaw|putháw	<i>noun</i><br><ol><li>iron; steel</li></ol>
putik	<i>noun</i><br><ol><li>rectum; anus</li></ol>
putli|putlî	<i>adj</i><br><ol><li>pure; true</li></ol>
puto|putó	<i>noun</i><br><ol><li>white rice cake</li><li>youngest child; last born child</li></ol>
puyit|puyít	<i>noun</i><br><ol><li>(anatomy) vagina; female sexual organ</li></ol>
repolyo|repolyó	<i>noun</i><br><ol><li>cabbage</li></ol>
sabaw|sabáw	<i>noun</i><br><ol><li>soup; broth</li></ol>
sabon|sabón	<i>noun</i><br><ol><li>soap</li></ol>
sagaad	<i>noun</i><br><ol><li>itchy throat</li></ol>
sagbang|sagbáng	<i>noun</i><br><ol><li>answer; response; reply</li></ol>
sagdon|sagdón	<i>noun</i><br><ol><li>advice; suggestion</li><li>act of giving a piece of advice</li></ol>
saging	<i>noun</i><br><ol><li>banana</li></ol>
sagudida	<i>noun</i><br><ol><li>top (toy)</li></ol>
saka	<i>verb</i><br><ol><li>to ascend, to go up</li></ol>
sakay|sakáy	<i>noun</i><br><ol><li>rider; passenger</li><li>load; cargo; lading</li><li>act of riding on, taking a ride, or boarding a vehicle or the like</li></ol>
sakit|sakít	<i>noun</i><br><ol><li>sickness; disease; malady</li><li>pain</li></ol>
sakob|sakób	<i>noun</i><br><ol><li>inner or interior part</li></ol>
sala-sa|salâ-sâ	<i>noun</i><br><ol><li>bamboo splits</li></ol>
saladang	<i>noun</i><br><ol><li>tray</li></ol>
salag	<i>noun</i><br><ol><li>home or shelter of animals (as of birds' nest)</li></ol>
salambaw|salambáw	<i>noun</i><br><ol><li>a kind of fishnet</li></ol>
salana|salanà	<i>noun</i><br><ol><li>sweet potato leaves</li></ol>
salapi|salapî	<i>noun</i><br><ol><li>money; cash; currency</li></ol>
salatan	<i>noun</i><br><ol><li>south</li></ol>
salbabida	<i>noun</i><br><ol><li>life preserver; life jacket</li></ol>
salikway|salikwáy	<i>noun</i><br><ol><li>act of disowning a child by one's parent or vice-versa</li></ol><br><i>adj</i><br><ol><li>disowned as a child by one's parent or vice-versa</li></ol>
salin|salín	<i>noun</i><br><ol><li>leftover; leftover food</li><li>excess; surplus</li></ol>
salingkapaw|salingkapáw	<i>noun</i><br><ol><li>hypocrite; pretender; impostor</li></ol>
salit	<i>conj</i><br><ol><li>so; therefore</li></ol>
salod	<i>noun</i><br><ol><li>wage; salary</li></ol>
salog|salóg	<i>noun</i><br><ol><li>river; brook</li><li>floor; flooring</li></ol>
samad|samád	<i>noun</i><br><ol><li>wound; injury</li></ol>
sando|sandó	<i>noun</i><br><ol><li>undershirt</li></ol>
sang-an|sang-án	<i>noun</i><br><ol><li>(anatomy) tip of clitoris</li></ol>
sanga|sangá	<i>noun</i><br><ol><li>branch (of a plant)</li></ol>
sanggot|sanggót	<i>noun</i><br><ol><li>scythe; sickle-like cutter</li></ol>
sangkap|sangkáp	<i>noun</i><br><ol><li>ingredient; component; part</li></ol>
sangkay|sangkáy	<i>noun</i><br><ol><li>friend</li></ol>
sangko|sangkô	<i>noun</i><br><ol><li>wisdom tooth</li></ol>
sanla|sanlá	<i>noun</i><br><ol><li>leprosy</li></ol>
sapa|sapâ	<i>noun</i><br><ol><li>brook; rivulet; creek</li></ol>
sapatos	<i>noun</i><br><ol><li>shoe</li></ol>
sapot|sapót	<i>noun</i><br><ol><li>cobweb; snare</li></ol>
sapyo|sapyó	<i>noun</i><br><ol><li>plane (tool)</li></ol>
sarabutan	<i>noun</i><br><ol><li>mind</li></ol>
sarad|sarád	<i>noun</i><br><ol><li>scythe; sickle</li></ol>
sarakab|sarakáb	<i>noun</i><br><ol><li>fish trap</li></ol>
sarakban|sarakbán	<i>noun</i><br><ol><li>entrance; gate</li></ol>
sarakyan|sarakyán	<i>noun</i><br><ol><li>car; automobile; vehicle; carriage</li></ol>
saraming	<i>noun</i><br><ol><li>mirror</li><li>glass</li></ol>
saramok	<i>noun</i><br><ol><li>trouble; fight; quarrel</li></ol>
sawang	<i>noun</i><br><ol><li>town proper</li></ol>
sayaw	<i>noun</i><br><ol><li>dance</li></ol><br><i>verb</i><br><ol><li>to dance</li></ol>
sayod	<i>noun</i><br><ol><li>eyewitness; witness</li><li>act of seeing or witnessing what really is going on</li></ol>
sebada	<i>noun</i><br><ol><li>barley</li></ol>
semana	<i>noun</i><br><ol><li>week</li></ol>
semento	<i>noun</i><br><ol><li>cement</li></ol>
sibuyas	<i>noun</i><br><ol><li>onion</li></ol>
siday	<i>noun</i><br><ol><li>poem</li></ol>
sigin|sigín	<i>noun</i><br><ol><li>fish trap</li></ol>
siha|sihà	<i>noun</i><br><ol><li>space between the fingers or the toes</li></ol>
sikdo|sikdó	<i>noun</i><br><ol><li>hiccup</li></ol>
siko	<i>noun</i><br><ol><li>elbow</li></ol>
sili	<i>noun</i><br><ol><li>(anatomy) the penis</li></ol>
silot|silót	<i>noun</i><br><ol><li>young coconut fruit</li></ol>
sinamay	<i>noun</i><br><ol><li>hemp fiber</li></ol>
singbahan	<i>noun</i><br><ol><li>church</li></ol>
singsing|singsíng	<i>noun</i><br><ol><li>ring</li></ol>
singsingan	<i>noun</i><br><ol><li>(anatomy) ring finger</li></ol>
sinirangan	<i>noun</i><br><ol><li>east</li></ol>
sinturon|sinturón	<i>noun</i><br><ol><li>belt (for clothes)</li></ol>
sip-on|sip-ón	<i>noun</i><br><ol><li>(pathology) common cold</li></ol>
sipol|sipól	<i>noun</i><br><ol><li>knife; table knife</li></ol>
sipres|siprés	<i>noun</i><br><ol><li>cypress</li></ol>
sirom|siróm	<i>noun</i><br><ol><li>twilight; dusk; nightfall</li></ol>
siyahan|siyáhan	<i>adj</i><br><ol><li>first</li></ol><br><i>noun</i><br><ol><li>one (person or object) who is in the first position or place</li></ol><br><i>adv</i><br><ol><li>(ordinal adverbial) first time</li></ol>
siyam|siyám	<i>num</i><br><ol><li>nine</li></ol>
sud-an|sud-án	<i>noun</i><br><ol><li>item of food eaten with rice; viand. Other term used is sura.</li></ol>
sudlay|sudláy	<i>noun</i><br><ol><li>comb</li></ol>
sudlot|sudlót	<i>noun</i><br><ol><li>bedbug</li></ol>
suga|sugâ	<i>noun</i><br><ol><li>lamp; light; torch</li></ol>
sugbong|sugbóng	<i>noun</i><br><ol><li>(anatomy) shoulder</li></ol>
sugo|sugò	<i>noun</i><br><ol><li>messenger; envoy; delegate</li><li>regulation; rule; ordinance; directive; degree</li><li>act of giving orders or commands</li></ol>
suhag|suhág	<i>noun</i><br><ol><li>first-born child</li></ol>
suhay	<i>noun</i><br><ol><li>quarrel; brawl; feud; strife</li></ol>
suhol	<i>noun</i><br><ol><li>salary; wage; stipend</li><li>reward</li><li>act of paying one's salary</li></ol>
suka|sukà	<i>noun</i><br><ol><li>vinegar</li></ol>
sulam	<i>adj</i><br><ol><li>toothless; edentate; edentulous</li></ol>
sulang|suláng	<i>noun</i><br><ol><li>(anatomy) chin</li></ol>
sulo|sulô	<i>noun</i><br><ol><li>torch; flambeau</li></ol>
sumatanon	<i>noun</i><br><ol><li>legend; myth; story</li></ol>
sumpit|sumpít	<i>noun</i><br><ol><li>blowgun</li></ol>
sundang|sundáng	<i>noun</i><br><ol><li>bolo; machete; large, heavy knife</li></ol>
sungay	<i>noun</i><br><ol><li>horn</li></ol>
sungkod|sungkód	<i>noun</i><br><ol><li>cane; walking stick</li></ol>
sungo|sungó	<i>noun</i><br><ol><li>firewood; fuel</li></ol>
suntok|suntók	<i>noun</i><br><ol><li>blow; punch</li></ol>
syahan|syáhan	<i>adj</i><br><ol><li>first</li></ol><br><i>noun</i><br><ol><li>one (person or object) who is in the first position or place</li></ol><br><i>adv</i><br><ol><li>(ordinal adverbial) first time</li></ol>
tabili|tabilí	<i>noun</i><br><ol><li>house lizard (Hemidactylus frenatus)</li></ol>
tadi|tadì	<i>noun</i><br><ol><li>cockspur</li></ol>
tadyaw|tadyáw	<i>noun</i><br><ol><li>earthen jar; jar</li></ol>
takilya|takilyá	<i>noun</i><br><ol><li>box office; ticket office</li></ol>
taklap|takláp	<i>noun</i><br><ol><li>blanket, bedsheet</li></ol><br><i>verb</i><br><ol><li>to blanket someone or something</li></ol>
tako|takô	<i>noun</i><br><ol><li>billiard cue</li></ol>
talinga	<i>noun</i><br><ol><li>(anatomy) ear</li></ol>
taming|tamíng	<i>noun</i><br><ol><li>weapon; arm</li></ol>
tamsi|tamsí	<i>noun</i><br><ol><li>bird</li></ol>
tandayan	<i>noun</i><br><ol><li>leg pillow</li></ol>
tangkod|tangkód	<i>adj</i><br><ol><li>sincere; loyal</li></ol>
tangkogo|tangkogó	<i>noun</i><br><ol><li>(anatomy) nape</li></ol>
tango|tangó	<i>noun</i><br><ol><li>canine tooth</li><li>tusk of animals</li></ol>
taob	<i>noun</i><br><ol><li>high tide</li></ol>
taon	<i>noun</i><br><ol><li>bet; stake; wager</li></ol>
taoy|taóy	<i>noun</i><br><ol><li>rust</li></ol>
taoyon|taoyón	<i>adj</i><br><ol><li>rusty; corrosive</li></ol>
tapal	<i>noun</i><br><ol><li>slap; smack</li></ol>
taplak|taplák	<i>noun</i><br><ol><li>blanket, bedsheet</li></ol><br><i>verb</i><br><ol><li>to blanket someone or something</li></ol>
tarabutab	<i>noun</i><br><ol><li>gossiper; rumormonger</li></ol>
tarambuan	<i>noun</i><br><ol><li>window</li></ol>
tarokanga	<i>noun</i><br><ol><li>gumamela plant</li></ol>
tarong|taróng	<i>noun</i><br><ol><li>the plant Solanum melongena</li><li>the fruit of this plant; aubergine; eggplant</li></ol>
tasik	<i>noun</i><br><ol><li>broth of rice porridge</li></ol>
tatang|tatáng	<i>noun</i><br><ol><li>uncle</li></ol>
tawas	<i>noun</i><br><ol><li>alum</li></ol>
tawo	<i>noun</i><br><ol><li>man; human being</li></ol>
tayuto|tayutô	<i>noun</i><br><ol><li>house lizard (Hemidactylus frenatus)</li></ol>
tekas	<i>noun</i><br><ol><li>robber; bandit</li></ol>
telepono	<i>noun</i><br><ol><li>telephone</li></ol>
tibod|tibód	<i>noun</i><br><ol><li>earthen jar</li></ol>
tiil|tiíl	<i>noun</i><br><ol><li>foot; limb; leg</li></ol>
tikang	<i>prep</i><br><ol><li>from</li></ol>
tikoy	<i>noun</i><br><ol><li>nian gao (a Chinese New Year cake made of glutinous rice flour)</li></ol>
tiktik|tiktík	<i>noun</i><br><ol><li>bat (animal)</li></ol>
timba|timbâ	<i>noun</i><br><ol><li>bucket; pail</li></ol>
tinapay	<i>noun</i><br><ol><li>bread</li></ol>
tindak|tíndak	<i>noun</i><br><ol><li>kick</li></ol>
tingga|tinggâ	<i>noun</i><br><ol><li>lead (metal)</li></ol>
tingog	<i>noun</i><br><ol><li>voice; sound; noise</li></ol>
tipay|tipáy	<i>noun</i><br><ol><li>shell</li></ol>
tiyan|tiyán	<i>noun</i><br><ol><li>(anatomy) stomach; belly; abdomen</li></ol>
tubak|tubák	<i>noun</i><br><ol><li>ant</li></ol>
tubig	<i>noun</i><br><ol><li>water</li></ol>
tubong|tubóng	<i>noun</i><br><ol><li>animal feed; hogwash</li></ol>
tuboy|tubóy	<i>noun</i><br><ol><li>proposal; suggestion</li></ol>
tudlo|tudlô	<i>noun</i><br><ol><li>(anatomy) finger</li></ol>
tuhod	<i>noun</i><br><ol><li>(anatomy) knee</li></ol>
tuig	<i>noun</i><br><ol><li>year</li></ol>
tuigon	<i>adj</i><br><ol><li>yearly</li></ol>
tukib	<i>adj</i><br><ol><li>complete</li></ol>
tukmo|tukmô	<i>noun</i><br><ol><li>pigeon</li></ol>
tuktok	<i>noun</i><br><ol><li>beak</li></ol>
tuktugaok	<i>intj</i><br><ol><li>The cry of a rooster.</li></ol><br><i>noun</i><br><ol><li>The cry of a rooster.</li></ol>
tul-an|tul-án	<i>noun</i><br><ol><li>bone; skeleton</li></ol>
tulay|tuláy	<i>noun</i><br><ol><li>bridge</li></ol>
tulo|tuló	<i>num</i><br><ol><li>three</li></ol>
tun-og|tun-óg	<i>noun</i><br><ol><li>dew</li></ol>
tungaw|tungáw	<i>noun</i><br><ol><li>tick</li></ol>
tuob	<i>adj</i><br><ol><li>airtight</li></ol>
tuog	<i>noun</i><br><ol><li>oak tree</li></ol>
tupra	<i>noun</i><br><ol><li>saliva; sputum</li></ol>
turog	<i>noun</i><br><ol><li>sleep</li></ol>
tuya	<i>noun</i><br><ol><li>giant</li></ol>
tuyaw|tuyáw	<i>noun</i><br><ol><li>crazy, insane</li></ol>
uban	<i>noun</i><br><ol><li>grey hair; white hair</li></ol>
ubas	<i>noun</i><br><ol><li>grape</li></ol>
ubo	<i>noun</i><br><ol><li>cough</li></ol>
uday|udáy	<i>noun</i><br><ol><li>appellation to a young woman</li></ol>
udhanon	<i>adj</i><br><ol><li>daring; bold</li></ol>
uding|udíng	<i>noun</i><br><ol><li>cat</li></ol>
udingon|udingón	<i>adj</i><br><ol><li>crowded with cats</li></ol>
udog|udóg	<i>intj</i><br><ol><li>expression of pity or sympathy to someone</li></ol>
udto|udtó	<i>noun</i><br><ol><li>noon; midday</li></ol>
ug	<i>conj</i><br><ol><li>and</li></ol>
ugangan	<i>noun</i><br><ol><li>parent-in-law</li></ol>
ugaring	<i>conj</i><br><ol><li>although; even though</li></ol>
ugbos|ugbós	<i>noun</i><br><ol><li>sprout; shoot; seedling</li></ol>
uging	<i>noun</i><br><ol><li>intestinal worm; worm</li></ol>
uhataw	<i>noun</i><br><ol><li>bowl; big saucer</li></ol>
uhay|uháy	<i>noun</i><br><ol><li>stem or spike of grains as of rice; rice stalk</li></ol>
uhot	<i>noun</i><br><ol><li>straw; hay</li></ol>
ul-ol|ul-ól	<i>noun</i><br><ol><li>pain; ache</li></ol>
ulalahipan	<i>noun</i><br><ol><li>centipede</li></ol>
ulang	<i>noun</i><br><ol><li>obstacle; obstruction; impediment; hindrance</li></ol>
ulaping|ulapíng	<i>noun</i><br><ol><li>mushroom</li></ol>
ulat	<i>noun</i><br><ol><li>scar; cicatrix</li></ol>
ulin|ulín	<i>noun</i><br><ol><li>(nautical) stern</li></ol>
ulitawo	<i>noun</i><br><ol><li>unmarried man; bachelor</li></ol>
ulitawohay	<i>noun</i><br><ol><li>male teenager</li></ol>
ulo	<i>noun</i><br><ol><li>(anatomy) head</li></ol>
ulod	<i>noun</i><br><ol><li>worm</li></ol>
ulon|ulón	<i>verb</i><br><ol><li>to put or rest the head on a pillow</li></ol>
ulot|ulót	<i>noun</i><br><ol><li>monkey</li></ol>
ulunan|ulúnan	<i>noun</i><br><ol><li>pillow</li></ol>
uma|umá	<i>noun</i><br><ol><li>farm</li></ol>
umagad	<i>noun</i><br><ol><li>child-in-law</li></ol>
umangkon|umangkón	<i>noun</i><br><ol><li>nephew; niece</li></ol>
umpas|umpás	<i>noun</i><br><ol><li>cliff; abyss; ravine</li></ol>
umurokoy	<i>noun</i><br><ol><li>resident; dweller; occupant; tenant</li></ol>
unina	<i>adv</i><br><ol><li>later; soon</li></ol>
unob	<i>adj</i><br><ol><li>natural; native</li></ol>
unod|unód	<i>noun</i><br><ol><li>flesh; meat</li><li>content</li></ol>
unom|unóm	<i>num</i><br><ol><li>six</li></ol>
unos|unós	<i>noun</i><br><ol><li>tempest; typhoon</li></ol>
upa|upá	<i>noun</i><br><ol><li>gift</li><li>chaff of rice grain</li></ol>
upat|úpat	<i>num</i><br><ol><li>four</li></ol>
uran|urán	<i>noun</i><br><ol><li>rain</li></ol>
uray|uráy	<i>adj</i><br><ol><li>pure; genuine; authentic</li></ol>
uring	<i>noun</i><br><ol><li>charcoal</li></ol>
usa|usá	<i>num</i><br><ol><li>one</li></ol>
usbok|usbók	<i>noun</i><br><ol><li>smoke</li></ol>
utan	<i>noun</i><br><ol><li>vegetable</li></ol>
utang	<i>noun</i><br><ol><li>debt</li></ol>
utin	<i>noun</i><br><ol><li>(anatomy) penis</li></ol>
utok	<i>noun</i><br><ol><li>(anatomy) brain (organ)</li></ol>
utot|utót	<i>noun</i><br><ol><li>fart; flatulence</li></ol>
uway|uwáy	<i>noun</i><br><ol><li>rattan</li></ol>
wala|walá	<i>adj</i><br><ol><li>left</li></ol>
walahon	<i>adj</i><br><ol><li>lefthanded</li></ol>
walo|waló	<i>num</i><br><ol><li>eight</li></ol>
waray	<i>pron</i><br><ol><li>nothing</li></ol>
yagid	<i>noun</i><br><ol><li>lover; sweetheart</li></ol>
yahong|yahóng	<i>noun</i><br><ol><li>bowl</li></ol>
yakal|yakál	<i>noun</i><br><ol><li>a kind of timber tree (Hopea plagata)</li><li>hardwood or lumber from Hopea plagata</li></ol>
yana|yanâ	<i>adv</i><br><ol><li>now; at present; today</li><li>since</li></ol>
yanta|yantà	<i>noun</i><br><ol><li>rim</li></ol>
yapad|yapád	<i>adj</i><br><ol><li>flat</li></ol>
yapi|yapî	<i>adj</i><br><ol><li>flattened; compressed or flattened by pressure</li></ol>
yapis|yapís	<i>adj</i><br><ol><li>slender; slim; thin</li></ol>
yarda	<i>noun</i><br><ol><li>yard (distance)</li></ol>
yatik	<i>adj</i><br><ol><li>(colloquial) naughty; disobedient; stubborn</li></ol>
yatot|yatót	<i>noun</i><br><ol><li>rat (animal)</li></ol>
yelo	<i>noun</i><br><ol><li>ice</li></ol>
yinaknan|yinaknán	<i>noun</i><br><ol><li>word; speech; dialect; language</li></ol>
yukot|yukót	<i>num</i><br><ol><li>thousand</li></ol>
yupyopan	<i>noun</i><br><ol><li>(anatomy) nipple; teat</li><li>rubber cap or mouthpiece of baby's bottle</li></ol>
yuta|yutà	<i>noun</i><br><ol><li>soil; land; native land</li></ol>
