pitötu	<i>num</i><br><ol><li>one</li></ol>
復つ|woturu|wotimu|woti|をつ|wotureba|wotitu|復ちば|をちず|復ちず|wotiba|復ちけり|復ちたり|をつれば|woture|復つれば|復ちつ|wotiki|をちば|wotikeri|復ちぬ|復ちよ|をちき|復つれど|復つる|wotitari|wotinu|をちつ|wotiyo|をつる|復つれ|復ち|wotu|をちぬ|復ちき|をつれど|をちけり|をちたり|をつれ|をちよ|をち|復ちむ|をちむ|woturedo|wotizu	<i>verb</i><br><ol><li>to return to an origin or original state, to become young again, to be rejuvenated, to be restored to a youthful state</li><li>to be reborn</li></ol>
心|うら|ko₂ko₂ri|ko₂ko₂ro₂|こころ|ここり|ura	<i>noun</i><br><ol><li>a heart, mind, spirit</li><li>an emotion, feeling</li><li>(regional, Southern Eastern Old Japanese) Same as コ^乙コ^乙ロ^乙 (ko₂ko₂ro₂) above</li><li>heart, inner feelings</li></ol><br><i>prefix</i><br><ol><li>expresses heartfelt feeling</li></ol>
愛|mana|まな	<i>noun</i><br><ol><li>something dear or loved</li></ol>
愛で|めで|me₂de	<i>noun</i><br><ol><li>love, appreciation, dearness</li></ol>
愛での盛り|めでのさかり|me₂de no₂ sakari	<i>noun</i><br><ol><li>the height of love, utmost love</li></ol>
懐|ふつころ	<i>noun</i><br><ol><li>the bosom, the breast</li><li>a breast pocket, particularly the pocket-like space within the front of a kimono above the obi</li><li>a surrounded place, such as deep in the mountains</li><li>one's purse</li><li>one's mind</li></ol>
戀|こひ|ko₁pi₁|ko₁pi₂	<i>noun</i><br><ol><li>love, especially romantic love</li><li>longing, yearning</li><li>(regional, Central Eastern Old Japanese) Same as コ^甲ヒ^乙 (ko₁pi₂) above</li></ol>
戀し|こほしければ|こふしから|くふしかる|kofusikare|ko₁posi|kufusiku|こほしく|くふしく|こひしから|kofisikeredo|戀しく|こほしかりけり|kofosikuba|こほしき|kofisiki|こひしく|kufusikeredo|くふしかりけり|こふしくば|戀し|kofosi|kofusiku|こふしけれ|kofusikereba|くふしかりき|kofisikaru|kofosikare|くふしき|くふしかれ|戀しくば|kofusikari|kufusikuba|kofisikare|kofisiku|くふしけれど|こひしかりけり|kofisikari|kufusi|kofosikereba|こほしくば|こふしからず|こひしかる|kofisikarikeri|こふしかる|こほしけれ|こほしからず|こひしかれ|kofisi|こほし|ko₁pusi|こふしけれど|kofusi|kofusikeredo|こほしかる|kufusikere|こふしかり|こふしく|kufusikara|kufusikaru|こひしけれど|kofusikere|くふし|kufusikereba|戀しからず|こふしかれ|こほしかれ|こふしかりき|こひしければ|ko₁pi₂si|こひしからず|戀しかりき|kofusikariki|戀しかり|くふしくば|kofosikarazu|戀しかれ|kofusikara|kupusi|kofosikarikeri|kufusikariki|kofusikarazu|戀しかりけり|くふしければ|kofusiki|kofosikaru|kofusikuba|こひしかりき|戀しけれ|くふしからず|こほしかりき|こひし|こほしかり|kofisikara|くふしけれ|kofosikeredo|こひしけれ|こふしき|kofisikereba|kofisikarazu|kofisikere|くふしから|kofosikariki|kufusikarikeri|戀しかる|戀しけれど|こひしくば|kufusikarazu|kofusikarikeri|kofisikuba|kofusikaru|戀しから|戀しき|こふしかりけり|kufusikare|くふしかり|こふしければ|kofosiki|kufusikari|kofosikara|こふし|kofosikari|戀しければ|こほしけれど|こほしから|こひしかり|kofisikariki|kofosikere|kofosiku|こひしき|kufusiki	<i>adj</i><br><ol><li>longed for, yearned for</li><li>(regional, Eastern Old Japanese) longed for, yearned for</li><li>(regional, Southern Eastern Old Japanese) longed for, yearned for</li></ol>
我|are|わろ|wanu|wa|わぬ|あ|あれ|わ|ware|waro₂|a|われ	<i>pron</i><br><ol><li>first-person personal pronoun: I, me</li><li>first-person personal pronoun: I, me, oneself</li><li>(regional, Southern Eastern Old Japanese) first person singular pronoun: I, me</li><li>(regional, Northern Eastern Old Japanese) first person personal pronoun: I, me, oneself</li><li>first-person singular pronoun: I, me</li></ol>
手弱女|たわやめ|tawayame₁	<i>noun</i><br><ol><li>a beautiful and tender lady</li></ol>
抱く|むだかば|mudakaba|抱けり|抱きたり|mudakeba|抱け|mudakazu|mudakeri|むだきき|抱き|むだきけり|抱かむ|抱か|mudaku|抱かば|抱けば|むだかず|むだきたり|むだきぬ|mudaka|mudakitari|むだけ|mudakamu|mudakiki|むだけど|むだきつ|むだかむ|mudake|mudakitu|抱かず|mudakedo|抱けど|抱きけり|抱きぬ|mudakinu|むだか|むだけり|むだき|抱きつ|mudakikeri|抱きき|むだく|むだけば|mudaki	<i>verb</i><br><ol><li>to hug, embrace</li></ol>
掘串|ふくし|pukusi	<i>noun</i><br><ol><li>a shovel used to dig or pick vegetables</li></ol>
搖る|よれば|よら|yorazu|yora|yoritari|yore|よらず|搖れば|よらば|yoramu|搖れ|yoreri|よりき|yoru|よらむ|yoredo|搖れど|yori|yorikeri|搖らむ|よれど|yo₂ru|搖り|よりぬ|搖れり|搖らば|よれり|よりつ|搖らず|搖ら|よれ|yoriki|より|よりけり|搖りけり|yoreba|yorinu|搖りつ|よりたり|yoraba|搖りたり|よる|yoritu|搖りぬ|搖りき	<i>noun</i><br><ol><li>to shake, tremble</li></ol>
新たし|aratasikarikeri|あらたしかる|新たしけれど|aratasikere|aratasikeredo|aratasikarazu|新たしかりけり|新たしかり|aratasikuba|あらたしからず|あらたしくば|aratasiki|新たしくば|aratasikariki|新たしけれ|新たしく|新たしき|aratasikereba|あらたしけれ|aratasikara|あらたしき|新たしければ|aratasiku|新たしかれ|あらたしく|あらたしから|aratasi|あらたしかりけり|新たしかりき|新たしから|あらたし|aratasikaru|aratasikare|あらたしければ|新たしからず|あらたしかれ|あらたしけれど|新たしかる|aratasikari|あらたしかりき|あらたしかり	<i>adj</i><br><ol><li>new, novel</li></ol>
新羅|しらき|Siraki₂	<i>name</i><br><ol><li>Silla (ancient Korean kingdom)</li></ol>
日|ひ|ke₂|pi₁|か|け	<i>noun</i><br><ol><li>the sun</li><li>sunlight, sunshine</li><li>daytime, daylight</li><li>a day</li><li>a reference to the imperial family or lineage, thought to be descended from the sun goddess Amaterasu</li><li>(plural only) days</li></ol><br><i>suffix</i><br><ol><li>daytimes</li><li>number of days</li></ol>
日に日に|pi₁ ni pi₁ ni	<i>adv</i><br><ol><li>everyday</li></ol>
日の本の|pi₁ no₂ moto₂ no₂|ひのもとの	<i>phrase</i><br><ol><li>the rising sun, allusion to 大和 (Yamato₂, “ancient Japan”)</li></ol>
日向|Pi₁muka|ひむか	<i>name</i><br><ol><li>Short for 日向國 (Pi₁muka-no₂-kuni): a province in ancient Japan, corresponding to modern Miyazaki Prefecture on the eastern coast of Kyushu</li></ol>
明日|asu|あす	<i>noun</i><br><ol><li>tomorrow</li></ol>
明日香|Asuka|あすか	<i>name</i><br><ol><li>a placename on which is now the village of Asuka in Takaichi District, Nara Prefecture</li></ol>
星|posi|ほし	<i>noun</i><br><ol><li>a star</li></ol>
春日|Kasuga|はるひ|かすが|parupi₁	<i>noun</i><br><ol><li>the spring sun; a day in springtime</li><li>a misty day (or sun) in spring, allusion to 春日 (Kasuga, a placename, see below)</li></ol><br><i>name</i><br><ol><li>a placename in the vicinity that is today part of the city of Nara in Nara Prefecture</li></ol>
時|とき|sada|さだ|to₂ki₁	<i>noun</i><br><ol><li>a time, moment (in time), occasion</li><li>Only used in 時過ぐ (sada sugu): to pass through the prime of life, grow old</li></ol>
時雨|しぐれ|sigure	<i>noun</i><br><ol><li>a rainshower in late autumn or early winter</li></ol>
時雨の雨|sigure no₂ ame₂|しぐれのあめ	<i>noun</i><br><ol><li>a rainshower in late autumn or early winter</li></ol>
曉|あかとき|akato₂ki₁	<i>noun</i><br><ol><li>the dawn, daybreak</li></ol>
曰く|いはく|ipaku	<i>noun</i><br><ol><li>(used adverbially) what a person or source says</li></ol>
月|tuki₂|つき|つく|tuku	<i>noun</i><br><ol><li>the moon</li><li>a month</li><li>a menstrual cycle, menstruation (believed to be caused by the moon)</li><li>(regional, Eastern Old Japanese) the moon</li><li>(regional, Eastern Old Japanese) a month</li></ol>
月夜|tukuyo₁|つくよ	<i>noun</i><br><ol><li>a moonlight night, moonlight evening</li><li>(by extension) the moon</li></ol>
月日|tukupi₁|つきひ|つくひ|tuki₂pi₁	<i>noun</i><br><ol><li>the moon and sun</li><li>time, months, days</li><li>(regional, Northern Eastern Old Japanese) time, months, days</li></ol>
月讀|つくよみ|月夜見|Tukuyo₂mi₁|tukuyo₁mi₁|tukuyo₂mi₁|Tukuyo₁mi₁	<i>noun</i><br><ol><li>a moon god</li><li>(poetic) the Moon</li></ol><br><i>name</i><br><ol><li>Short for 月讀尊, 月讀命 (Tukuyo₂mi₁ no₂ mi₁ko₂to₂): Tsukuyomi, the moon god in Shinto mythology</li></ol>
有馬|Arima|ありま	<i>name</i><br><ol><li>a placename</li></ol>
朝|asa|あさ|asita|あした	<i>noun</i><br><ol><li>the morning, morn</li><li>the morrow, next morning</li></ol>
朝臣|あそみ|aso₂|aso₂mi₁|あそ	<i>noun</i><br><ol><li>(historical) the second-highest of the 八色の姓 (Yakusa no Kabane, “eight hereditary titles promulgated by Emperor Tenmu”)</li></ol>
木|ke₂|け|ki₂|き	<i>noun</i><br><ol><li>a tree or shrub</li><li>wood, timber, lumber</li><li>(regional, Northern Eastern Old Japanese, Southern Eastern Old Japanese) Same as キ^乙 (ki₂) above</li></ol>
木の花|ko₂no₂pana|このはな	<i>noun</i><br><ol><li>flowers blooming on a tree, especially, an elegant label for 櫻の花 (sakura no₂ pana, “cherry blossoms”)</li></ol>
東|あづま|ひむかし|aduma	<i>noun</i><br><ol><li>the east</li><li>the lands east of the 都 (mi₁yako₁, “imperial capital”)</li></ol>
東風|こち|あゆ|ayu	<i>noun</i><br><ol><li>an easterly (wind blowing from the east)</li></ol>
柔ら|やはら|yapara	<i>noun</i><br><ol><li>something fragile, soft, or supple</li></ol>
梅|うめ|ume₂	<i>noun</i><br><ol><li>the Japanese plum or apricot, Prunus mume</li></ol>
梓|あづさ|adusa	<i>noun</i><br><ol><li>the Japanese cherry birch, Betula grossa</li><li>Short for 梓弓 (adusa yumi₁): a bow made from the wood of the Japanese cherry birch</li></ol>
梓弓|あづさゆみ|adusa yumi₁	<i>noun</i><br><ol><li>a bow made from the wood of the Japanese cherry birch (Betula grossa)</li><li>allusion to い (i), いる (iru), はる (paru), or ひく (pi₁ku)</li><li>allusion to もと (moto₂), すゑ (suwe), or つる (turu)</li><li>allusion to よる (yo₁ru)</li><li>allusion to おと (oto₂) or や (ya)</li></ol>
橘|tatibana|たちばな|Tatibana	<i>noun</i><br><ol><li>any raw edible citrus fruit</li><li>Citrus tachibana, a species of green citrus fruit</li></ol><br><i>name</i><br><ol><li>a powerful clan descended from Agata no Inukai no Michiyo and later Tachibana no Moroe</li></ol>
檜|ひ|pi₁	<i>noun</i><br><ol><li>the Japanese cypress, Chamaecyparis obtusa</li></ol>
櫻|さくら|sakura	<i>noun</i><br><ol><li>a cherry tree, especially the Japanese cherry, Prunus serrulata</li></ol>
歲月日|としつきひ|to₂situki₂pi₁	<i>noun</i><br><ol><li>The meaning of this term is uncertain. Possibilities include: a date (time, year, month, and day); years, months, and days; times</li></ol>
死|si|し	<i>noun</i><br><ol><li>death</li></ol>
水無月|みなづき|mi₁naduki₂	<i>noun</i><br><ol><li>the sixth month of the lunar calendar</li></ol>
汝|mi₁masi|mi₂masi|i|いまし|na|な|masi|い|nare|みまし|なれ|si|し|まし|imasi	<i>pron</i><br><ol><li>first-person singular pronoun: I, me</li><li>third-person reflexive pronoun: one, oneself, itself</li><li>second-person singular pronoun: you, thou</li><li>(honorific) second-person singular pronoun: you, thou</li><li>(rare, possibly derogatory) second-person singular pronoun: you, thou</li></ol>
河原|かはら|kapara	<i>noun</i><br><ol><li>a dry riverbed</li></ol>
浪速|Nami₁paya|なみはや	<i>name</i><br><ol><li>Short for 浪速國 (Nami₁paya-no₂-kuni):</li></ol>
浮かむ|うかむ|ukamu	<i>verb</i><br><ol><li>to float</li></ol>
海原|unapara|うのはら|うなはら|uno₂para	<i>noun</i><br><ol><li>a wide ocean</li><li>(regional, Central Eastern Old Japanese) a wide ocean</li></ol>
海松|mi₁ru|みる	<i>noun</i><br><ol><li>the green sea or dead man's fingers, Codium fragile</li></ol>
深海松|ふかみる|pukami₁ru	<i>noun</i><br><ol><li>a seaweed (Codium fragile) growing deep on the seafloor</li></ol>
深海松の|pukami₁ru no₂|ふかみるの	<i>phrase</i><br><ol><li>allusion to 深む (pukamu, “to deepen, intensify”)</li><li>allusion to 見る (mi₁ru, “to look, see”)</li></ol>
淺す|淺せむ|asure|淺せず|asaba|あせば|あせず|asuru|asezu|淺さ|aseyo|asureba|淺せたり|あすれば|淺したり|あせけり|淺すれば|あし|淺せど|aseba|asitu|asikeri|asu|あせよ|淺せり|asenu|あせ|aseri|淺しつ|あさず|淺せき|あさば|あする|あさむ|asekeri|あせき|淺せよ|淺す|ase|淺せつ|あせど|aseki|あしたり|あせぬ|淺せ|asamu|あしき|淺せば|asa|asuredo|asinu|淺する|あしつ|淺さば|あす|淺さず|asetari|asitari|淺すれ|あすれ|asi|淺すれど|あすれど|あしぬ|淺せけり|asedo|asiki|淺しぬ|あしけり|淺さむ|淺しけり|あせたり|あせつ|asemu|asazu|あさ|あせむ|淺し|あせり|淺せぬ|淺しき|asetu	<i>verb</i><br><ol><li>(of a body of water) to dry up, become shallow</li><li>to dry or shallow a body of water</li></ol>
漕ぎ出づ|漕ぎ出でむ|こぎいでず|こぎいづれば|kogiidetu|漕ぎ出でず|kogiidureba|kogiidemu|kogiidezu|漕ぎ出づれば|こぎいでむ|こぎいでけり|漕ぎ出づれ|ko₂gi₁idu|kogiidetari|kogiideba|kogiidure|こぎいづれど|こぎいで|kogiide|kogiidu|こぎいでき|漕ぎ出でつ|漕ぎ出でたり|漕ぎ出づる|漕ぎ出でぬ|漕ぎ出づれど|kogiiduru|こぎいでたり|漕ぎ出でよ|漕ぎ出でば|こぎいづ|こぎいづれ|漕ぎ出でけり|kogiidekeri|こぎいでつ|kogiidenu|kogiiduredo|こぎいでぬ|kogiideyo|こぎいでよ|こぎいでば|漕ぎ出で|こぎいづる|kogiideki|漕ぎ出でき	<i>verb</i><br><ol><li>to propel a boat to sea</li></ol>
漢女|あやめ|ayame	<i>noun</i><br><ol><li>women who came to ancient Japan skilled in the art of weaving textiles such as 綾錦 (ayanishiki)</li></ol>
澪|みを|mi₁wo	<i>noun</i><br><ol><li>a waterway, more specifically, a navigable channel</li></ol>
火|pi₂|ひ|ほ|po|pu|ふ	<i>noun</i><br><ol><li>a fire</li><li>(by extension) a light</li><li>(regional, Central Eastern Old Japanese) a fire</li></ol>
炎|pono₂po|ほのほ	<i>noun</i><br><ol><li>a flame</li></ol>
煤|すす|susu	<i>noun</i><br><ol><li>soot (fine particles of amorphous carbon and tar)</li></ol>
父|sisi|ちち|しし|かそ|kaso₂|ち|ti|titi	<i>noun</i><br><ol><li>one's own father</li><li>(regional, Northern Eastern Old Japanese) one's own father</li><li>(honorific) a term of respect for males</li></ol>
爾|ore|おれ	<i>pron</i><br><ol><li>second person pronoun: you</li></ol>
王|こにきし	<i>noun</i><br><ol><li>an ancient Korean king</li></ol>
甁|かめ|kame₁|kame₂	<i>noun</i><br><ol><li>a vessel made of earthenware, ceramic, or metal, such as a bottle or jar</li></ol>
生ふ|おひよ|ofimu|生ひば|生ひつ|生ふれば|ofiba|おひ|ofureba|ofikeri|おふれ|おふれば|生ひよ|生ふる|ofiyo|おふれど|ofuredo|ofitari|生ひたり|おひけり|おひつ|ofiki|ofu|おひぬ|ofuru|ofi|ofure|生ひけり|ofizu|生ふれ|生ふれど|おひたり|生ひむ|生ひき|おふ|おひき|opu|おひず|生ひぬ|おひば|おふる|ofinu|おひむ|ofitu|生ひず|生ひ	<i>verb</i><br><ol><li>(of plants or trees) to grow large, spring up</li></ol>
生ゆ|payu|はゆ	<i>verb</i><br><ol><li>to grow, sprout</li></ol>
申す|mausa|まをさず|まをしけり|まをさば|mawoseba|まをし|まうし|mawositari|mausitari|mausamu|mawosi|まをせ|申したり|申せど|mawosaba|まをさむ|まをす|まをしたり|まうさ|mausedo|mawositu|まうしき|まをせど|まうせど|mawosikeri|申せ|mawosu|mausinu|申し|まうす|申せば|申しぬ|mauseba|mausiki|mawosazu|mawosinu|まうしつ|まうしぬ|まうせり|申しけり|mawose|mawosedo|申しき|まうしけり|mausitu|まうしたり|まうせば|mawosiki|まをしつ|mausu|mausi|まをせり|mawosa|申さず|申さむ|mause|mauseri|mausikeri|mausaba|申す|まうさず|mausazu|まをさ|まうせ|申さば|mawosamu|まをしき|申しつ|まをしぬ|申せり|mawoseri|まうさば|まうさむ|まをせば|申さ	<i>verb</i><br><ol><li>to say</li><li>to be called</li><li>to ask, request, or give thanks (to a kami or buddha)</li><li>to serve, perform an action for a superior</li><li>(auxiliary) attaches to 連用形 (ren'yōkei, “stem form”) of a verb: to formally or otherwise ceremonially do [verb]</li><li>(rare) Same as まをす (mawosu) above</li></ol>
百濟|くだら|Kudara	<i>name</i><br><ol><li>Baekje (one of the ancient Three Kingdoms of Korea)</li></ol>
相撲|sumapi₁|すまひ|捔力	<i>noun</i><br><ol><li>a competition of power and skill, similar to modern-day sumo</li></ol>
相模|さがむ|Sagamu	<i>name</i><br><ol><li>Short for 相模國 (Sagamu no₂ kuni): Sagamu Province, an old province of Japan, today part of Kanagawa Prefecture</li></ol>
石|いし|isi	<i>noun</i><br><ol><li>a stone</li></ol>
神|み|mi₁|かみ|kami₂	<i>noun</i><br><ol><li>a spirit or an essence present in all things</li><li>a god, deity</li><li>(by extension) an Emperor or Empress regnant of Japan</li><li>an evil spirit, such as a snake or wild beast</li><li>(rare) a god or spirit</li></ol>
神戸|かむべ|kamube₁	<i>noun</i><br><ol><li>under the 律令 (Ritsuryō) system, a shrine in the 封戸 (fuko) household of taxation</li></ol>
神無月|かみなづき|かむなづき|kami₁naduki₂|kamunaduki₂	<i>noun</i><br><ol><li>the tenth month of the lunar calendar</li></ol>
私|watakusi|わたくし	<i>noun</i><br><ol><li>a personal or private matter</li></ol>
私田|わたくしだ|watakusida	<i>noun</i><br><ol><li>a privately-owned ricefield under the 律令 (Ritsuryō) system</li></ol>
秋つ葉|aki₁ tu pa|あきつは	<i>noun</i><br><ol><li>autumn leaves</li></ol>
稻田|いなだ|inada	<i>noun</i><br><ol><li>a rice paddy</li></ol>
笑酒|wegusi|ゑぐし	<i>noun</i><br><ol><li>a liquor that, if drunk, makes one laugh and have fun</li></ol>
箏|ko₂to₂|こと	<i>noun</i><br><ol><li>a Japanese zither derived from the Chinese guzheng</li></ol>
篠原|sino₁para|しのはら	<i>noun</i><br><ol><li>a field of bamboo grass</li></ol>
籠|ko₁|こ	<i>noun</i><br><ol><li>a basket, especially one made of bamboo</li></ol>
紅|kurenawi|くれなゐ	<i>noun</i><br><ol><li>a safflower, Carthamus tinctorius</li></ol>
紅葉|もみち|もみちば|momi₁ti|momi₁tiba	<i>noun</i><br><ol><li>the turning of leaves in autumn</li><li>the turned autumn leaves themselves</li><li>the Japanese maple, Acer palmatum</li><li>turned autumn leaves</li><li>the leaves of the Japanese maple (Acer palmatum)</li></ol>
紅葉つ|もみち|もみたむ|紅葉ちつ|紅葉ちぬ|もみてば|もみたば|momite|momitikeri|もみちぬ|もみて|もみつ|momitamu|紅葉たむ|もみた|紅葉ちき|紅葉てば|momitiki|momiteri|momitedo|もみちけり|momitazu|紅葉ちたり|もみちたり|momitinu|もみてど|momititari|momita|もみちつ|もみてり|momi₁tu|もみちき|紅葉て|紅葉たず|紅葉たば|momititu|momitu|紅葉てり|紅葉ちけり|momitaba|紅葉てど|紅葉ち|紅葉た|momiti|momiteba|もみたず	<i>verb</i><br><ol><li>to turn (color) in autumn, said of leaves</li></ol>
納言|ものまをすつかさ|mono₂mawosu-tukasa	<i>noun</i><br><ol><li>an administrative official in the 太政官 (Opoki₁maturigo₂to₂ no₂ Tukasa) under the 律令 (Ritsuryō) system</li></ol>
紫|murasaki₁|むらさき	<i>noun</i><br><ol><li>the purple or red-root gromwell, Lithospermum erythrorhizon</li><li>the color purple</li></ol>
繁|しじ|sizi|sige₂|しげ	<i>noun</i><br><ol><li>a copse, thicket</li><li>flourish, luxuriance, overgrowth</li><li>large in quantity, tight pack</li></ol>
羽|pa|は	<i>noun</i><br><ol><li>a feather, down, plume</li><li>a wing (of an insect)</li><li>a fletching on an arrow</li></ol>
翼|tubasa|つばさ	<i>noun</i><br><ol><li>a wing (of a bird)</li></ol>
聞こゆ|聞こゆれど|きこゆれば|kikoetari|聞こえぬ|聞こえよ|きこえけり|きこえき|kikoyuredo|kikoemu|kikoekeri|kikoenu|きこえむ|kikoeki|きこえつ|kikoyuru|きこゆる|聞こえたり|きこえば|聞こえつ|きこえ|kikoyu|ki₁ko₂yu|kikoeba|聞こえき|きこえぬ|聞こえむ|聞こえけり|kikoetu|きこえよ|きこえたり|聞こえば|kikoe|聞こえ|kikoezu|聞こゆれば|きこえず|聞こえず|聞こゆる|聞こゆれ|kikoeyo|きこゆれど|kikoyureba|きこゆ|kikoyure|きこゆれ	<i>verb</i><br><ol><li>to be heard</li></ol>
腦|naduki₁|なづき	<i>noun</i><br><ol><li>the brain</li></ol>
若菜|わかな|wakana	<i>noun</i><br><ol><li>young greens or shoots that can be mixed to 羹 (atsumono, “fish and vegetable broth”) or 餅粥 (mochigayu, “rice gruel with mochi”)</li></ol>
菅|すげ|suge₂	<i>noun</i><br><ol><li>a sedge</li></ol>
葦原の中つ國|asipara no₂ nakatukuni	<i>noun</i><br><ol><li>the realm of mortals, i.e. Japan itself (as opposed to the realm of the gods and the realm of the dead)</li></ol>
葦火|あしひ|あしふ|asipu|asipi₂	<i>noun</i><br><ol><li>a bonfire of dried reeds</li><li>(regional, Central Eastern Old Japanese) a bonfire of dried reeds</li></ol>
蓬蔂|itibi₁ko₁|いちびこ	<i>noun</i><br><ol><li>a strawberry</li></ol>
蕃登|boto₂	<i>noun</i><br><ol><li>female genitalia</li></ol>
藤|ふぢ|pudi	<i>noun</i><br><ol><li>a wisteria, especially the Japanese wisteria, Wisteria floribunda</li></ol>
藤原|Pudipara|ふぢはら	<i>name</i><br><ol><li>a powerful clan descended from Nakatomi no Kamatari</li><li>a placename, especially 藤原京 (Fujiwara-kyō) in present-day Kashihara, Nara Prefecture</li></ol>
蛇|へみ|pe₂mi₁	<i>noun</i><br><ol><li>a snake, serpent</li></ol>
蝦夷|えみし|Emi₁si	<i>noun</i><br><ol><li>an ancient ethnic group that once lived on eastern and northeastern Japan and was possibly related to the Ainu people</li></ol>
行方|yukupe₁|ゆくへ	<i>noun</i><br><ol><li>one's whereabouts, direction or destination</li><li>one's outlook, outcome, or future</li></ol>
言靈の幸ふ國|ko₂to₂dama no₂ saki₁papu kuni|ことだまのさきはふくに	<i>noun</i><br><ol><li>an epithet for ancient Japan</li></ol>
足引きの|asi pi₁ki₂ no₂|あしひきの|asipi₁ki₂ no₂|asipi₁ki₁ no₂	<i>phrase</i><br><ol><li>allusion to 山 (yama, “mountain”), words beginning with yama, 峰 (wo, “hilltop, peak”), etc.</li><li>allusion to 岩根 (ipane, “rock”), 木の間 (ko₂no₂ma, “in between trees”), etc.</li></ol>
軍|ikusa|いくさ	<i>noun</i><br><ol><li>archery</li><li>a soldier, troop, warrior; an army</li></ol>
道行き|mi₁tiyuki₁|みちゆき	<i>noun</i><br><ol><li>a travel, journey</li></ol>
都|mi₁yako₁	<i>noun</i><br><ol><li>the place of residence of the emperor, especially a temporary lodging in which the emperor stays during an imperial visit</li><li>(by extension) a capital city</li></ol>
酒|ki₁|き|kusi|sake₂|くし|さけ	<i>noun</i><br><ol><li>any alcoholic drink, especially a rice wine similar to modern-day sake</li></ol>
釋迦|Shaka|しゃか	<i>name</i><br><ol><li>(Buddhism) Śakyamuni</li></ol>
里|さと|sato₁	<i>noun</i><br><ol><li>a village</li><li>a unit of area for regional administration, defined as equal to 50 戸 (ko, “houses”)</li><li>a unit of distance, defined as equal to 300 歩 (bu) or 1500 尺 (shaku)</li><li>one's home of birth</li><li>one's hometown</li></ol>
重なる|重なれば|kasanaritu|かさなりつ|重なれ|重なれり|かさなりぬ|重なりたり|kasanareri|重なり|かさならず|かさなれば|kasanaritari|重なら|かさなれ|kasanarinu|kasanare|かさなり|kasanaru|kasanaraba|重ならず|kasanaramu|かさなれり|kasanareba|kasanari|かさなる|kasanarikeri|重なれど|かさならば|重なりぬ|kasanariki|重ならば|kasanara|かさなら|かさなりけり|かさなりき|kasanaredo|重なりつ|重なりき|かさなりたり|かさなれど|かさならむ|重ならむ|kasanarazu|重なりけり	<i>verb</i><br><ol><li>to link together, connect together</li><li>to line up especially in an orderly fashion</li><li>to pile up, heap up, accumulate</li></ol>
野|の|ぬ|nu|no₁	<i>noun</i><br><ol><li>an area, field</li><li>(regional, Eastern Old Japanese) an area, field</li></ol>
針|はり|paru|pari|はる	<i>noun</i><br><ol><li>a needle used in embroidery</li><li>(regional, Central Eastern Old Japanese) a needle used in embroidery</li></ol>
銀|しろかね|siro₁kane	<i>noun</i><br><ol><li>silver (lustrous, white, metallic element)</li></ol>
鍛|kanuti|かぬち	<i>noun</i><br><ol><li>the forging of metal; also such a person who forges metal: a metalsmith, smith</li></ol>
鎌倉|かまくら|Kamakura	<i>name</i><br><ol><li>a placename on the southeastern part of modern Kanagawa Prefecture</li></ol>
鎌倉山|Kamakura-yama|かまくらやま	<i>name</i><br><ol><li>the mountains around present-day Kamakura, Kanagawa Prefecture; sometimes referring to the vicinity of the present Tsurugaoka Hachimangū Shrine</li></ol>
鏡|kagami₁|かがみ	<i>noun</i><br><ol><li>a mirror</li></ol>
鑑|kagami₁|かがみ	<i>noun</i><br><ol><li>an example, exemplar, model, pattern</li></ol>
門|kadu|かど|かづ|kado₁	<i>noun</i><br><ol><li>a gate, portal</li><li>an entrance, gateway, opening</li><li>(regional, Central Eastern Old Japanese) Same as カド^甲 (kado₁) above</li></ol>
防人|saki₁muri|さきむり|saki₁mori|さきもり	<i>noun</i><br><ol><li>under the 律令 (Ritsuryō) system, soldiers who were dispatched to key locations in northern Kyushu, Iki province, and Tsushima island to prevent invasion of the Japanese mainland</li><li>(regional, Central Eastern Old Japanese) Same as サキ^甲モリ (saki₁mori) above</li></ol>
陶|suwe|すゑ	<i>noun</i><br><ol><li>earthenware, pottery</li></ol>
隠る|namaramu|隠りぬ|かくり|kakuriki|namaritu|namara|隠りつ|komoritari|komoritu|namariki|namaru|komorazu|なまりけり|かくら|かくりき|隠る|kakureri|kakuramu|kakura|かくれり|kakuri|komoriki|なまら|なまらば|こもりぬ|kakurikeri|komoraba|隠れば|かくりつ|なまれ|komora|こもりたり|komorinu|隠れり|komoramu|なまらず|隠れ|こもれり|こもら|kakuritu|komoredo|こもれど|namarazu|かくりたり|こもれば|kakuru|かくる|namare|komoru|かくらむ|かくらず|かくりぬ|ko₂moru|隠り|かくれ|こもりき|なまらむ|かくりけり|namaredo|なまれば|kakuraba|kakurinu|なまりぬ|komoreba|namarinu|namarikeri|こもれ|隠れど|なまりつ|なまり|kakurazu|kakureba|かくらば|隠らず|こもらば|隠らば|隠りき|komori|なまれど|隠りたり|なまりたり|隠ら|隠らむ|kakuredo|こもりけり|こもらむ|namaritari|こもらず|なまりき|かくれど|隠りけり|namareba|かくれば|kakure|こもり|なまる|namareri|kakuritari|namari|namaraba|こもる|こもりつ|komoreri|なまれり|komorikeri|komore	<i>verb</i><br><ol><li>to hide, conceal oneself</li><li>to seclude oneself</li></ol>
隣|to₁nari|となり	<i>noun</i><br><ol><li>a neighbour/neighbor</li></ol>
雌|me₁|め	<i>noun</i><br><ol><li>female (plant or animal)</li></ol>
