Abril|Abríl	<i>name</i><br><ol><li>April</li></ol>
bulakbol|bulakból	<i>noun</i><br><ol><li>truant</li></ol>
bulalayaw	<i>noun</i><br><ol><li>rainbow</li></ol>
bulan	<i>noun</i><br><ol><li>moon (largest natural satellite of planet Earth)</li><li>moon (any substantially sized natural satellite of a planet)</li><li>month (period into which a year is divided)</li></ol>
bullo|bulló	<i>noun</i><br><ol><li>dislocation</li><li>dismemberment</li></ol>
buneng|bunéng	<i>noun</i><br><ol><li>bolo knife</li></ol>
buok|buók	<i>noun</i><br><ol><li>(anatomy) hair</li></ol>
butaka	<i>noun</i><br><ol><li>easy chair</li><li>armchair</li></ol>
buto	<i>noun</i><br><ol><li>(anatomy) penis</li></ol>
buwa	<i>noun</i><br><ol><li>betel nut</li></ol>
daak|daák	<i>noun</i><br><ol><li>expectoration</li></ol>
daan	<i>adj</i><br><ol><li>old; ancient; obsolete</li><li>stale</li></ol>
dado	<i>noun</i><br><ol><li>(gaming) die; dice</li></ol>
daeg|daég	<i>noun</i><br><ol><li>seriousness</li><li>beauty; prettiness</li><li>majesty; nobility</li></ol>
daga|dagá	<i>noun</i><br><ol><li>land; soil; earth</li><li>dagger</li></ol>
dagidi|dagidí	<i>det</i><br><ol><li>those</li></ol><br><i>pron</i><br><ol><li>Plural remote demonstrative: those ones (implies something that existed in the past, is vague, or will exist in the future)</li></ol>
dagidiay|dagidiáy	<i>adv</i><br><ol><li>Oblique distant singular demonstrative: there (far from both speaker and listener)</li></ol>
dagitay|dagitáy	<i>det</i><br><ol><li>those</li></ol><br><i>pron</i><br><ol><li>Plural recent demonstrative: those ones (implies something that have recently happened)</li></ol>
dagsen|dagsén	<i>noun</i><br><ol><li>weight</li></ol>
dagum	<i>noun</i><br><ol><li>needle</li></ol>
dagum-dagum	<i>noun</i><br><ol><li>stinger (pointed portion of an insect)</li></ol>
dagus|dagús	<i>adv</i><br><ol><li>immediately; right away</li></ol><br><i>noun</i><br><ol><li>temporary accommodation</li><li>dormitory</li></ol>
daig	<i>noun</i><br><ol><li>marasmus</li><li>tuberculosis</li></ol>
daing	<i>noun</i><br><ol><li>salted and sundried fish</li></ol>
dakami|dakamí	<i>pron</i><br><ol><li>First-person plural inclusive absolutive personal pronoun: we</li></ol>
dakap|dakáp	<i>adj</i><br><ol><li>sharp; pointed</li></ol>
dakkel|dakkél	<i>adj</i><br><ol><li>big, large</li></ol>
daklis|daklís	<i>noun</i><br><ol><li>dragnet</li></ol>
dakulap	<i>noun</i><br><ol><li>palm (inner, concave part of the hand)</li></ol>
dalan	<i>noun</i><br><ol><li>path, road, street, way</li></ol>
dalayap	<i>noun</i><br><ol><li>key lime (Citrus × aurantiifolia, syn. Citrus lima)</li></ol>
dalem	<i>noun</i><br><ol><li>liver</li></ol>
dam-eg|dam-ég	<i>noun</i><br><ol><li>humidity</li></ol>
dama	<i>noun</i><br><ol><li>(board games) checkers (US); draughts (UK)</li></ol>
damag	<i>noun</i><br><ol><li>news</li></ol>
damdama	<i>adv</i><br><ol><li>later</li></ol>
damortis	<i>noun</i><br><ol><li>Pithecellobium dulce, a species of legume originally from Central America.</li></ol>
danon	<i>verb</i><br><ol><li>to come; to arrive</li></ol>
danum	<i>noun</i><br><ol><li>water</li></ol>
dara	<i>noun</i><br><ol><li>blood</li></ol>
daya|dayá	<i>noun</i><br><ol><li>east</li><li>wedding</li><li>feast</li><li>any occasion involving a feast or reunion</li></ol>
dayag|dayág	<i>noun</i><br><ol><li>A title of respect used when referring to God, the saints, kings, or people of high rank: His/Her/Your/Their Majesty/Excellency</li></ol>
dayaw	<i>noun</i><br><ol><li>honor; respect</li></ol>
daydiay|daydiáy	<i>det</i><br><ol><li>Direct/indirect distant singular demonstrative: that</li></ol><br><i>pron</i><br><ol><li>Direct/direct distant singular demonstrative: that one (far from both speaker and listener)</li></ol>
degdeg|degdég	<i>noun</i><br><ol><li>addition</li></ol>
delikado	<i>adj</i><br><ol><li>weak; sickly</li><li>frail</li></ol>
dengdeng|dengdéng	<i>noun</i><br><ol><li>way of cooking vegetables with salt and fish sauce by boiling</li></ol>
dengngeg|dengngég	<i>noun</i><br><ol><li>ear</li></ol>
deppa|deppá	<i>noun</i><br><ol><li>armspan</li><li>fathom</li></ol>
diding	<i>noun</i><br><ol><li>wall</li></ol>
dies	<i>num</i><br><ol><li>ten</li></ol>
digo|digó	<i>noun</i><br><ol><li>soup</li><li>coconut water</li></ol>
digos	<i>noun</i><br><ol><li>bath</li></ol>
digus	<i>noun</i><br><ol><li>bath</li></ol>
dila	<i>noun</i><br><ol><li>tongue</li><li>arrowhead</li><li>needle or tab on a balance</li><li>clapper; tongue of a bell</li><li>native language</li></ol>
dinardaraan	<i>noun</i><br><ol><li>dinuguan (Filipino savory stew with pig blood)</li></ol>
disinuebe	<i>num</i><br><ol><li>nineteen</li></ol>
disiotso	<i>num</i><br><ol><li>eighteen</li></ol>
disisais	<i>num</i><br><ol><li>sixteen</li></ol>
disisiete	<i>num</i><br><ol><li>seventeen</li></ol>
dominggo	<i>noun</i><br><ol><li>(common) week</li><li>Dominggo</li></ol>
dos	<i>num</i><br><ol><li>two</li></ol>
dose	<i>num</i><br><ol><li>twelve</li></ol>
dua	<i>num</i><br><ol><li>two</li></ol>
duapulo	<i>num</i><br><ol><li>twenty</li></ol>
dudon	<i>noun</i><br><ol><li>locust</li></ol>
dugudog	<i>noun</i><br><ol><li>northeast wind</li></ol>
dukot|dúkot	<i>verb</i><br><ol><li>to pull or draw out something (from a pocket or drawer)</li><li>to pickpocket</li></ol>
duling|dulíng	<i>adj</i><br><ol><li>cross-eyed</li></ol>
dundon|dundón	<i>noun</i><br><ol><li>thrust; push</li></ol>
duog	<i>adj</i><br><ol><li>old</li></ol>
duol	<i>noun</i><br><ol><li>food given to young birds by their mother</li><li>handout</li></ol>
durek	<i>noun</i><br><ol><li>earwax</li></ol>
dutdot	<i>noun</i><br><ol><li>fur</li><li>body hair</li></ol>
duyan	<i>noun</i><br><ol><li>hammock</li></ol>
duyaw	<i>noun</i><br><ol><li>yellow (color)</li></ol>
eleksion|eleksión	<i>noun</i><br><ol><li>election</li></ol>
ennem	<i>num</i><br><ol><li>six</li></ol>
epistomolohia	<i>noun</i><br><ol><li>epistemology</li></ol>
eskoba	<i>noun</i><br><ol><li>brush</li></ol>
eskuela	<i>noun</i><br><ol><li>school</li></ol>
essem|essém	<i>noun</i><br><ol><li>desire</li><li>wish</li></ol>
gabat	<i>noun</i><br><ol><li>debris; flotsam</li><li>straggler; missing or stray animal or person</li></ol>
gabay	<i>noun</i><br><ol><li>delay; lateness; tardiness</li></ol>
gabbi|gabbí	<i>noun</i><br><ol><li>(pathology) mumps</li></ol>
gaddil|gaddíl	<i>noun</i><br><ol><li>scabies; mange</li></ol>
gading	<i>noun</i><br><ol><li>ivory</li></ol>
gagara	<i>noun</i><br><ol><li>aim; objective; intention; purpose</li></ol>
galip	<i>noun</i><br><ol><li>slice</li></ol>
ganagan	<i>noun</i><br><ol><li>fertilizer</li></ol>
garaw	<i>adj</i><br><ol><li>unruly</li></ol>
gasut	<i>num</i><br><ol><li>hundred</li></ol>
gatang	<i>verb</i><br><ol><li>to buy</li></ol>
gatas	<i>noun</i><br><ol><li>milk</li></ol>
gaud	<i>noun</i><br><ol><li>paddle; oar</li></ol>
gayyem|gagayyem|gagayyemna|gayyemyo|gagayyemko|gagayyemyo|gagayyemmo|gayyemmo|gayyemda|gayyemmi|gayyemko|gayyemta|gagayyemta|gayyemtayo|gagayyemda|gayyém|gayyemna|gagayyemtayo|gagayyemmi	<i>noun</i><br><ol><li>friend</li></ol>
giling|gilingen	<i>verb</i><br><ol><li>to grind</li></ol>
ginggined	<i>noun</i><br><ol><li>earthquake</li></ol>
gita	<i>noun</i><br><ol><li>venom</li></ol>
gubat|gubát	<i>noun</i><br><ol><li>war; battle; combat</li></ol>
guddua	<i>noun</i><br><ol><li>half</li></ol>
gumatang|gatang{{{5}}}|actor|gimmatang|gumatgatangto|gimmatgatang|gumatgatang	<i>verb</i><br><ol><li>to buy</li></ol>
gun-od|gun-ód	<i>noun</i><br><ol><li>success</li></ol>
gurigor	<i>noun</i><br><ol><li>fever</li></ol>
gurruod	<i>noun</i><br><ol><li>thunder</li></ol>
gutagot	<i>adj</i><br><ol><li>inconsistent</li></ol>
idiay|idiáy	<i>adv</i><br><ol><li>there (far from both the speaker and the listener)</li></ol>
igaaw	<i>noun</i><br><ol><li>drought</li></ol>
igam	<i>noun</i><br><ol><li>weapon</li></ol>
ikan|ikán	<i>noun</i><br><ol><li>fish (vertebrate animal)</li></ol>
ikgay|ikgáy	<i>noun</i><br><ol><li>egg yolk</li></ol>
ikit	<i>noun</i><br><ol><li>aunt</li></ol>
ili	<i>noun</i><br><ol><li>village</li><li>town</li></ol>
ima	<i>noun</i><br><ol><li>(anatomy) hand (part of the body)</li></ol>
inagosto	<i>adv</i><br><ol><li>Every August.</li></ol>
inapoy|inapóy	<i>noun</i><br><ol><li>cooked rice</li></ol>
inauna|inauná	<i>noun</i><br><ol><li>firstborn child</li></ol>
innem|inném	<i>num</i><br><ol><li>six</li></ol>
inumen|inin-inom|inumento|ininom|inumë́n|inum|in-inumen	<i>noun</i><br><ol><li>beverage; drink</li></ol><br><i>verb</i><br><ol><li>to drink</li></ol>
ipes	<i>noun</i><br><ol><li>cockroach</li></ol>
isbo	<i>noun</i><br><ol><li>urine, pee</li></ol>
isbu	<i>noun</i><br><ol><li>urine</li></ol>
isem	<i>noun</i><br><ol><li>smile</li></ol>
isteng|isténg	<i>adj</i><br><ol><li>(colloquial) drunk</li></ol>
itlog	<i>noun</i><br><ol><li>egg</li></ol>
iwa	<i>noun</i><br><ol><li>slice</li></ol>
iyot	<i>noun</i><br><ol><li>(vulgar) coitus; sexual intercourse</li></ol><br><i>verb</i><br><ol><li>(vulgar) to fuck; to have sex</li></ol>
kaadalan	<i>noun</i><br><ol><li>classmate; fellow disciple</li></ol>
kaaduan|kaaduán	<i>noun</i><br><ol><li>commoner; plebeian</li></ol>
kaanakan	<i>noun</i><br><ol><li>niece</li><li>nephew</li></ol>
kaano	<i>pron</i><br><ol><li>(interrogative) when</li></ol>
kabayo	<i>noun</i><br><ol><li>horse</li></ol>
kabeng|kabéng	<i>noun</i><br><ol><li>homemade wine</li></ol>
kabibiag|kabibiág	<i>noun</i><br><ol><li>biography</li></ol>
kabsat	<i>noun</i><br><ol><li>sibling</li></ol>
kabugaw	<i>noun</i><br><ol><li>variety of the key lime larger than the dalayap (Citrus lima)</li></ol>
kabus|kábus|kábos|kabos	<i>noun</i><br><ol><li>full moon</li></ol>
kabusor	<i>noun</i><br><ol><li>enemy</li></ol>
kaeg|káeg	<i>noun</i><br><ol><li>boast; bravado; swagger</li></ol>
kagaw|kágaw|cagao|cágao	<i>noun</i><br><ol><li>itch mite (Sarcoptes scabiei)</li><li>chicken flea (Ceratophyllus gallinae)</li><li>germ</li></ol>
kain|káin	<i>noun</i><br><ol><li>long skirt</li></ol>
kalamansi|kalamánsi	<i>noun</i><br><ol><li>calamondin; calamansi (Citrus × microcarpa, syn. ×Citrofortunella mitis)</li></ol>
kalangay	<i>noun</i><br><ol><li>Philippine cockatoo (Cacatua haematuropygia)</li></ol>
kalapati	<i>noun</i><br><ol><li>dove</li></ol>
kalendario	<i>noun</i><br><ol><li>calendar</li></ol>
kalgaw|kalgáw	<i>noun</i><br><ol><li>summer</li></ol>
kali|ikali	<i>verb</i><br><ol><li>to dig (to move hard-packed earth out of the way)</li></ol>
kalman|kalmán	<i>adv</i><br><ol><li>yesterday</li></ol>
kamalala	<i>noun</i><br><ol><li>mistress; concubine</li><li>adultery; infidelity</li></ol>
kanen	<i>noun</i><br><ol><li>cooked rice</li></ol>
kannawan	<i>adj</i><br><ol><li>right (direction)</li></ol>
kapas	<i>noun</i><br><ol><li>cotton</li></ol>
kapon|kapón	<i>adj</i><br><ol><li>castrated; sterilized</li></ol><br><i>noun</i><br><ol><li>castrated or sterilized animal or human</li></ol>
karabasa	<i>noun</i><br><ol><li>pumpkin</li></ol>
kararua|kararwa|kararwá	<i>noun</i><br><ol><li>soul</li></ol>
karing	<i>noun</i><br><ol><li>butterflied milkfish marinated in calamondin juice, garlic and soy sauce</li></ol>
kasinsin	<i>noun</i><br><ol><li>cousin</li></ol>
kaspagarigan	<i>noun</i><br><ol><li>example</li></ol>
kasumba	<i>noun</i><br><ol><li>safflower (Carthamus tinctorius)</li></ol>
katam	<i>noun</i><br><ol><li>plane (tool)</li></ol>
katorse	<i>num</i><br><ol><li>fourteen</li></ol>
katos|katós	<i>noun</i><br><ol><li>knock on the head</li></ol>
kawat	<i>noun</i><br><ol><li>anchor</li></ol>
kawayan	<i>noun</i><br><ol><li>bamboo</li></ol>
kawes|kawés	<i>noun</i><br><ol><li>clothes</li></ol>
kawit	<i>noun</i><br><ol><li>hook</li></ol>
kayas|kayás	<i>noun</i><br><ol><li>cliff; precipice</li></ol>
kayat	<i>verb</i><br><ol><li>to like, want, desire, love</li></ol>
kayumanggi	<i>noun</i><br><ol><li>brown</li></ol><br><i>adj</i><br><ol><li>brown</li></ol>
keso	<i>noun</i><br><ol><li>cheese</li></ol>
ket	<i>conj</i><br><ol><li>and</li></ol>
kiday	<i>noun</i><br><ol><li>(anatomy) eyebrow</li></ol>
kigaw	<i>noun</i><br><ol><li>fawn; young deer</li></ol>
kilikili|quiliquili	<i>noun</i><br><ol><li>(anatomy) armpit</li></ol>
kiling|kilíng	<i>noun</i><br><ol><li>common bamboo (Bambusa vulgaris)</li></ol>
kimat	<i>noun</i><br><ol><li>lightning</li></ol>
kinse	<i>num</i><br><ol><li>fifteen</li></ol>
kintsay	<i>noun</i><br><ol><li>Chinese celery</li></ol>
kisame	<i>noun</i><br><ol><li>ceiling</li></ol>
kita|kitkitayo|kitada|kíta|kitkitam|kitami|kitkitana|kitayo|kitkitada|kitam|kitkitatayo|kitata|kitkita|kitana|kitkitata|kitkitami|kitkitak|kitak|kitatayo	<i>noun</i><br><ol><li>kind; class; species</li><li>look; shape; appearance</li><li>salary; wages</li></ol>
koleksion|koleksión	<i>noun</i><br><ol><li>collection</li></ol>
koriente	<i>noun</i><br><ol><li>current; electric current</li><li>(by extension) electricity</li></ol>
krimen	<i>noun</i><br><ol><li>crime</li></ol>
kuarta	<i>noun</i><br><ol><li>money; cash</li></ol>
kuatro	<i>num</i><br><ol><li>four</li></ol>
kudil	<i>noun</i><br><ol><li>(anatomy) skin</li></ol>
kulalanti	<i>noun</i><br><ol><li>firefly</li></ol>
kulambo|kulambó	<i>noun</i><br><ol><li>mosquito net</li></ol>
kulibangbang	<i>noun</i><br><ol><li>butterfly</li></ol>
kurba|kurbá	<i>noun</i><br><ol><li>curve</li></ol>
kurdit|kurdít	<i>noun</i><br><ol><li>letter of the alphabet</li></ol>
kuripot	<i>adj</i><br><ol><li>stingy; niggardly</li></ol>
kutel	<i>noun</i><br><ol><li>leprosy</li></ol>
kutis|kútis	<i>noun</i><br><ol><li>complexion (of one's skin)</li></ol>
kuto	<i>noun</i><br><ol><li>louse (insect)</li></ol>
kuton|kutón	<i>noun</i><br><ol><li>ant</li></ol>
kutsara	<i>noun</i><br><ol><li>spoon</li></ol>
kutsarita	<i>noun</i><br><ol><li>teaspoon</li></ol>
labi	<i>noun</i><br><ol><li>remnant</li></ol>
ladawan	<i>noun</i><br><ol><li>image; picture</li></ol>
lagay	<i>noun</i><br><ol><li>bribe</li></ol>
lakay	<i>noun</i><br><ol><li>old man</li><li>husband</li></ol>
lako	<i>noun</i><br><ol><li>merchandise</li><li>sale (act of selling)</li></ol>
laktaw|laktáw	<i>noun</i><br><ol><li>jump; leap; stride</li></ol>
lalaki	<i>noun</i><br><ol><li>man (male human)</li></ol>
lam-ek	<i>noun</i><br><ol><li>chill (cold feeling)</li></ol>
lames|lamés	<i>noun</i><br><ol><li>freshwater fish</li></ol>
lampara|lámpara	<i>noun</i><br><ol><li>lamp</li></ol>
lampin	<i>noun</i><br><ol><li>diaper</li></ol>
langa|langá	<i>noun</i><br><ol><li>face; features; looks</li></ol>
langit	<i>noun</i><br><ol><li>sky</li></ol>
lansangan	<i>noun</i><br><ol><li>main street of a settlement</li></ol>
lanseta	<i>noun</i><br><ol><li>lancet</li></ol>
lapayag	<i>noun</i><br><ol><li>(anatomy) ear</li></ol>
lasona|lasoná	<i>noun</i><br><ol><li>onion</li></ol>
lasong	<i>noun</i><br><ol><li>big hole; pothole</li></ol>
lateg	<i>noun</i><br><ol><li>(anatomy) testicles with scrotum</li></ol>
lati	<i>noun</i><br><ol><li>rust</li></ol>
latta|lattá	<i>adv</i><br><ol><li>only; just</li></ol>
laud	<i>noun</i><br><ol><li>west</li></ol>
lawas	<i>noun</i><br><ol><li>week</li></ol>
lawin	<i>noun</i><br><ol><li>fishhook; fishing gear</li></ol>
lawwa	<i>noun</i><br><ol><li>spider</li></ol>
laya|layá	<i>noun</i><br><ol><li>ginger</li></ol>
layap|layáp	<i>noun</i><br><ol><li>meteor; shooting star</li></ol>
layos|layós	<i>noun</i><br><ol><li>flood</li></ol>
letsuga	<i>noun</i><br><ol><li>lettuce</li></ol>
libro	<i>noun</i><br><ol><li>book</li></ol>
libsong|libsóng	<i>noun</i><br><ol><li>puddle</li></ol>
lihia|lihía	<i>noun</i><br><ol><li>caustic soda; lye</li></ol>
lima	<i>num</i><br><ol><li>five</li></ol>
lima gasut|limá gasut	<i>num</i><br><ol><li>five hundred</li></ol>
limapulo	<i>num</i><br><ol><li>fifty</li></ol>
lisa	<i>noun</i><br><ol><li>nit</li></ol>
lohika	<i>noun</i><br><ol><li>logic</li></ol>
lona|lóna	<i>noun</i><br><ol><li>canvas</li><li>floor of a boxing ring</li></ol>
lua|luá	<i>noun</i><br><ol><li>tear; teardrop</li></ol>
lubay	<i>noun</i><br><ol><li>earring</li></ol>
lubung|lubong	<i>noun</i><br><ol><li>world</li></ol>
lugan	<i>noun</i><br><ol><li>vehicle</li></ol>
lulonan	<i>noun</i><br><ol><li>fontanelle</li></ol>
lumitteg	<i>verb</i><br><ol><li>to boil</li></ol>
lumot|lúmot	<i>noun</i><br><ol><li>moss (plants of the division Bryophyta)</li></ol>
lungon|lungón	<i>noun</i><br><ol><li>coffin</li></ol>
maadal	<i>adj</i><br><ol><li>able to be studied; able to be learned</li></ol>
mabasa|mabasanto|mabasá|actor|basa|nabasa|mabasbasa|nabasbasa	<i>verb</i><br><ol><li>to wet</li></ol>
mabisin	<i>adj</i><br><ol><li>hungry</li></ol>
madaddan|madaddán	<i>adj</i><br><ol><li>frequent</li></ol>
madket	<i>noun</i><br><ol><li>brown</li></ol><br><i>adj</i><br><ol><li>brown</li></ol>
maladaga	<i>noun</i><br><ol><li>infant</li><li>young (of an animal)</li></ol>
malem	<i>noun</i><br><ol><li>afternoon</li></ol>
mangan	<i>verb</i><br><ol><li>to eat</li></ol>
manong|manang	<i>noun</i><br><ol><li>elder brother; big brother</li><li>respectful term of address or honorific for a young man or boy or any male older than oneself; mister; bro</li></ol>
manta	<i>noun</i><br><ol><li>blanket</li></ol>
mata	<i>noun</i><br><ol><li>eye (organ)</li></ol>
maysa	<i>num</i><br><ol><li>one</li></ol>
met	<i>adv</i><br><ol><li>too; also</li></ol>
naalas	<i>adj</i><br><ol><li>ugly</li></ol>
naalsem|naal-alsem|kaalseman|nakaal-alsem|nag-alsemen|naalsém	<i>adj</i><br><ol><li>sour</li><li>acid</li></ol>
nabaaw	<i>adj</i><br><ol><li>tepid; left to cool (such as rice)</li><li>uncaring</li></ol>
nabanglo|nagbangluen|kabangluen|nakabangbanglo|nabangbanglo|nabangló	<i>adj</i><br><ol><li>fragrant</li></ol>
nabartek|nabarték	<i>adj</i><br><ol><li>drunk</li></ol>
nabasa	<i>adj</i><br><ol><li>wet</li></ol>
nagan	<i>noun</i><br><ol><li>name</li></ol>
nagari	<i>verb</i><br><ol><li>perfective aspect of agari</li></ol>
nagasang|nakagasgasang|kagasangan|naggasang|nagasgasang	<i>adj</i><br><ol><li>spicy</li></ol>
nagguapo	<i>adj</i><br><ol><li>handsome</li></ol>
naimas	<i>adj</i><br><ol><li>tasty; delicious</li><li>pleasurable</li></ol>
naimbag a bigat	<i>intj</i><br><ol><li>good morning</li></ol>
naimbag a malem	<i>phrase</i><br><ol><li>good afternoon</li></ol>
naimbag a rabii	<i>phrase</i><br><ol><li>good evening</li></ol>
naimbag nga aldaw	<i>phrase</i><br><ol><li>good day</li></ol>
nalabbaga	<i>adj</i><br><ol><li>red</li></ol>
nana	<i>noun</i><br><ol><li>pus (fluid found in regions of infection)</li></ol>
nanang	<i>noun</i><br><ol><li>mother</li></ol>
nangisit	<i>adj</i><br><ol><li>black</li></ol>
napait	<i>adj</i><br><ol><li>bitter</li></ol>
napintas	<i>adj</i><br><ol><li>beautiful</li></ol>
narago	<i>adj</i><br><ol><li>ugly</li></ol>
narigat	<i>adj</i><br><ol><li>difficult</li></ol>
narugit	<i>adj</i><br><ol><li>Dirty; untidy; unclean</li></ol>
nasam-it	<i>adj</i><br><ol><li>sweet</li></ol>
nataengan	<i>noun</i><br><ol><li>adult</li></ol><br><i>adj</i><br><ol><li>adult</li></ol>
nataraki	<i>adj</i><br><ol><li>(usually of animals) cute</li></ol>
nateng	<i>noun</i><br><ol><li>vegetable</li></ol>
naulep	<i>adj</i><br><ol><li>cloudy</li></ol>
naulimek	<i>adj</i><br><ol><li>quiet</li></ol>
naulpit|naulpít	<i>adj</i><br><ol><li>cruel; fierce; ferocious; malicious</li></ol>
ngernger	<i>verb</i><br><ol><li>to growl (dogs)</li></ol>
ngilaw	<i>noun</i><br><ol><li>fly (insect)</li></ol>
ngipen	<i>noun</i><br><ol><li>(anatomy) tooth</li></ol>
ngisit	<i>noun</i><br><ol><li>black</li></ol><br><i>adj</i><br><ol><li>black</li></ol>
niog	<i>noun</i><br><ol><li>coco(-nut)</li></ol>
nipa	<i>noun</i><br><ol><li>nipa palm</li></ol>
nuang	<i>noun</i><br><ol><li>carabao; water buffalo</li></ol>
nuebe	<i>num</i><br><ol><li>nine</li></ol>
obispo	<i>noun</i><br><ol><li>(Christianity) bishop</li></ol>
onse	<i>num</i><br><ol><li>eleven</li></ol>
otso	<i>num</i><br><ol><li>eight</li></ol>
padi|papadi	<i>noun</i><br><ol><li>(religion) priest; father</li></ol>
pag-ong|pag-óng	<i>noun</i><br><ol><li>tortoise</li></ol>
pagiwa	<i>noun</i><br><ol><li>knife</li></ol>
pagtayaban	<i>noun</i><br><ol><li>airport</li></ol>
palakol|palakól	<i>noun</i><br><ol><li>axe, ax</li></ol>
palayaw	<i>noun</i><br><ol><li>nickname</li></ol>
palsiit	<i>noun</i><br><ol><li>blowgun</li></ol>
pampam	<i>noun</i><br><ol><li>prostitute; harlot; whore</li></ol>
panaplak	<i>noun</i><br><ol><li>northwest wind</li></ol>
panateng|panaténg	<i>noun</i><br><ol><li>(pathology) cold; flu</li></ol>
panday|pandáy	<i>noun</i><br><ol><li>blacksmith</li></ol>
panio	<i>noun</i><br><ol><li>handkerchief</li></ol>
patatas	<i>noun</i><br><ol><li>potato</li></ol>
pateg|patë́g	<i>noun</i><br><ol><li>price; value</li></ol>
payong	<i>noun</i><br><ol><li>umbrella</li></ol>
peggad	<i>adj</i><br><ol><li>dangerous</li></ol>
perres|perrés	<i>noun</i><br><ol><li>citrus fruit (generic term)</li></ol>
persen|pinerres|persento|përsë́n|perpersen|perres|pinerperres	<i>verb</i><br><ol><li>to press; to squeeze</li></ol>
pili|pilien	<i>verb</i><br><ol><li>To choose</li></ol>
pinggol|pinggól	<i>noun</i><br><ol><li>topknot; bun</li></ol>
pingping	<i>noun</i><br><ol><li>(anatomy) cheek</li></ol>
pirma	<i>noun</i><br><ol><li>signature</li></ol>
pitak	<i>noun</i><br><ol><li>mud</li></ol>
pito|pitó	<i>num</i><br><ol><li>seven</li></ol><br><i>noun</i><br><ol><li>whistle</li></ol>
poro	<i>noun</i><br><ol><li>island</li></ol>
presio	<i>noun</i><br><ol><li>price</li></ol>
pudno|pudnó	<i>noun</i><br><ol><li>truth</li></ol>
pukis	<i>noun</i><br><ol><li>haircut</li><li>way of cutting</li></ol>
pukpok	<i>verb</i><br><ol><li>to hammer</li></ol>
pullo	<i>num</i><br><ol><li>ten</li></ol>
pungan	<i>noun</i><br><ol><li>pillow</li></ol>
puraw	<i>noun</i><br><ol><li>white</li></ol><br><i>adj</i><br><ol><li>white</li></ol>
puro	<i>noun</i><br><ol><li>island (area of land completely surrounded by water)</li></ol>
pusa|puspusa	<i>noun</i><br><ol><li>Domesticated cat.</li></ol>
pusil|pusíl	<i>noun</i><br><ol><li>gun; firearm</li></ol>
puso	<i>noun</i><br><ol><li>(anatomy) heart</li></ol>
pusta|pustá	<i>noun</i><br><ol><li>bet, gamble, stake</li></ol>
puyupoy	<i>noun</i><br><ol><li>southwest wind</li></ol>
rabii|rabií	<i>noun</i><br><ol><li>night; evening</li></ol>
ragadi	<i>noun</i><br><ol><li>saw (tool)</li></ol>
ragsak|ragsák	<i>noun</i><br><ol><li>joy; happiness</li></ol>
rakit	<i>noun</i><br><ol><li>bamboo raft</li></ol>
ramay	<i>noun</i><br><ol><li>(anatomy) finger</li></ol>
ramot|ramót	<i>noun</i><br><ol><li>root of a plant</li></ol>
rang-ay|rang-áy	<i>noun</i><br><ol><li>height</li><li>growth</li></ol>
rara	<i>noun</i><br><ol><li>honeycomb</li></ol>
rigat	<i>noun</i><br><ol><li>difficulty; hardship (as of a task or action)</li><li>poverty</li><li>suffering; affliction</li></ol>
rimat|rimát	<i>noun</i><br><ol><li>twinkle; shine; glitter; sparkle; flash</li></ol>
rupa	<i>noun</i><br><ol><li>face; facade; front</li></ol>
rupak	<i>noun</i><br><ol><li>battle</li></ol>
saba|sabá	<i>noun</i><br><ol><li>banana</li></ol>
sabon|sabón	<i>noun</i><br><ol><li>soap</li></ol>
sabong	<i>noun</i><br><ol><li>flower</li></ol>
sadut|sadút	<i>adj</i><br><ol><li>lazy</li></ol>
sagaysay	<i>noun</i><br><ol><li>comb</li></ol>
sais	<i>num</i><br><ol><li>six</li></ol>
saklolo|saklolo!	<i>intj</i><br><ol><li>help!</li></ol><br><i>noun</i><br><ol><li>help</li></ol>
saksi|saksí	<i>noun</i><br><ol><li>witness</li></ol>
salbabida	<i>noun</i><br><ol><li>life belt; life buoy; life preserver</li></ol>
sangapulo	<i>num</i><br><ol><li>ten</li></ol>
sangapulo ket dua	<i>num</i><br><ol><li>twelve</li></ol>
sangapulo ket innem	<i>num</i><br><ol><li>sixteen</li></ol>
sangapulo ket lima	<i>num</i><br><ol><li>fifteen</li></ol>
sangapulo ket maysa	<i>num</i><br><ol><li>eleven</li></ol>
sangapulo ket pito	<i>num</i><br><ol><li>seventeen</li></ol>
sangapulo ket siam	<i>num</i><br><ol><li>nineteen</li></ol>
sangapulo ket tallo	<i>num</i><br><ol><li>thirteen</li></ol>
sangapulo ket uppat	<i>num</i><br><ol><li>fourteen</li></ol>
sangapulo ket walo	<i>num</i><br><ol><li>eighteen</li></ol>
sangit	<i>noun</i><br><ol><li>cry; weeping</li></ol>
santol	<i>noun</i><br><ol><li>santol</li></ol>
sao	<i>noun</i><br><ol><li>speech</li><li>(linguistics) language</li><li>word</li></ol>
sarut	<i>noun</i><br><ol><li>(pathology) tuberculosis</li></ol>
semana|semána	<i>noun</i><br><ol><li>(rare) week</li><li>(common) Semana Santa</li></ol>
sementerio	<i>noun</i><br><ol><li>cemetery</li></ol>
siak|siák	<i>pron</i><br><ol><li>First-person singular absolutive independent pronoun; I, me</li></ol>
siam|siám	<i>num</i><br><ol><li>nine</li></ol>
