Lebubînî|Lébúbînî́	<i>noun</i><br><ol><li>Tuesday</li></ol>
iphökgani|íphökgáni|típhökgáni	<i>noun</i><br><ol><li>fly</li></ol>
iphûla|íphûla|típhûla	<i>noun</i><br><ol><li>valley</li></ol>
iponto|típónto|ípónto	<i>noun</i><br><ol><li>pound</li></ol>
ipupelo|ípúpélo|típúpélo	<i>noun</i><br><ol><li>womb</li></ol>
ipëkë|ípë́kë|típë́kë	<i>verb</i><br><ol><li>pickaxe</li></ol>
iqalo|íqáló|tíqáló	<i>noun</i><br><ol><li>start, beginning</li></ol>
iqedzello|tíqedzeĺlo|íqedzeĺlo	<i>noun</i><br><ol><li>end (of work)</li></ol>
iqedzo|íqedzó|tíqedzó	<i>noun</i><br><ol><li>end, decision, conclusion</li></ol>
iqhogo|tíqhógo|íqhógo	<i>noun</i><br><ol><li>ankle, shin, calf</li></ol>
iqhwaqhwani|íqhwaqhwáni	<i>noun</i><br><ol><li>frost</li></ol>
iqhûbhû|íqhûbhû́|tíqhûbhû́	<i>noun</i><br><ol><li>loose (boiled) maize</li></ol>
iqokwa|tíqokwá|íqokwá	<i>noun</i><br><ol><li>thatching grass</li></ol>
iqoqotho|tíqóqotho|íqóqotho	<i>noun</i><br><ol><li>larynx</li></ol>
irogo|tírogó|írogó	<i>noun</i><br><ol><li>praise, singing by male initiates</li></ol>
irûdo|tírûdó|írûdó	<i>noun</i><br><ol><li>teaching</li></ol>
isabo|ísábó	<i>noun</i><br><ol><li>fear</li></ol>
isabule|ísábule|tísábule	<i>noun</i><br><ol><li>sword</li></ol>
isale|ísalé	<i>prep</i><br><ol><li>since</li></ol>
isebeto|ísébéto|tísébéto	<i>noun</i><br><ol><li>work</li></ol>
isebo|ísebo	<i>noun</i><br><ol><li>act of rudeness</li></ol>
isheleni|íshéleni|tíshéleni	<i>noun</i><br><ol><li>shilling</li></ol>
ishishana|íshishána|tíshishána	<i>noun</i><br><ol><li>insect, gogga</li></ol>
isikati|ísíkatí|tísíkatí	<i>noun</i><br><ol><li>female cow</li></ol>
isimi|ísímí|tísímí	<i>noun</i><br><ol><li>field</li></ol>
isitshelelo|ísítshételo	<i>noun</i><br><ol><li>protection</li></ol>
iswabo|tíswabo|íswabo	<i>noun</i><br><ol><li>embarrassment</li></ol>
itafule|ítáfule|títáfule	<i>noun</i><br><ol><li>table</li></ol>
itapule|títápule|ítápule	<i>noun</i><br><ol><li>potato</li></ol>
iteko|ítékó|títékó	<i>noun</i><br><ol><li>wedding</li></ol>
iteks|ítéks|títéks	<i>noun</i><br><ol><li>tax</li></ol>
itempeli|ítéḿpeli|títéḿpeli	<i>noun</i><br><ol><li>temple</li></ol>
itfo|ítfó|títfó	<i>noun</i><br><ol><li>thing</li></ol>
itfobhi|títfóbhí|ítfóbhí	<i>noun</i><br><ol><li>girl</li></ol>
itfoga|títfogá|ítfogá	<i>noun</i><br><ol><li>stick</li></ol>
ithapelo|títhápelo|íthápelo	<i>noun</i><br><ol><li>prayer</li></ol>
ithatharîkî|ítháthárîkî|títháthárîkî	<i>noun</i><br><ol><li>tartaric</li></ol>
ithipa|títhipá|íthipá	<i>noun</i><br><ol><li>knife</li></ol>
ithudubulu|títhudubúlu|íthudubúlu	<i>noun</i><br><ol><li>rubbish dump</li></ol>
ithûbha|íthûbha|títhûbha	<i>noun</i><br><ol><li>stick</li></ol>
ithûda|títhûdá|íthûdá	<i>noun</i><br><ol><li>flat place, clearing</li></ol>
ithûdo|íthûdó|títhûdó	<i>noun</i><br><ol><li>teaching</li></ol>
ithûnyo|títhû́nyó|íthû́nyó	<i>noun</i><br><ol><li>shot</li></ol>
ithûso|títhû́só|íthû́só	<i>noun</i><br><ol><li>help</li></ol>
itimitwani|títímítwani|ítímítwani	<i>noun</i><br><ol><li>gland(s) on the face, under the lower jaw</li></ol>
itironi|títiróni|ítiróni	<i>noun</i><br><ol><li>throne</li></ol>
ititjhere|títítjhere|ítítjhere	<i>noun</i><br><ol><li>teacher</li></ol>
itiye|ítíye|títíye	<i>noun</i><br><ol><li>tea</li></ol>
itjhelete|títjhélete|ítjhélete	<i>noun</i><br><ol><li>money</li></ol>
itjhitjhi|títjhitjhí|ítjhitjhí	<i>noun</i><br><ol><li>species of plant with shary, tiny leaves</li></ol>
itjhu|ítjhu	<i>intj</i><br><ol><li>ow! (cry of pain)</li></ol>
itlhagû|ítlhagû́|títlhagû́	<i>noun</i><br><ol><li>kernel of maize</li><li>letter of the alphabet</li></ol>
itlhavu|ítlhavú|títlhavú	<i>noun</i><br><ol><li>kernel of maize</li><li>letter of the alphabet</li></ol>
itlhogo|títlhógo|ítlhógo	<i>noun</i><br><ol><li>nipple</li></ol>
itlholo|ítlholo|títlholo	<i>noun</i><br><ol><li>rabbit</li></ol>
itlhugu|ítlhúgu|títlhúgu	<i>verb</i><br><ol><li>nipple</li></ol>
itlotla|títlotlá|ítlotlá	<i>noun</i><br><ol><li>glory</li></ol>
itolo|ítolo	<i>noun</i><br><ol><li>yesterday</li></ol>
itshaba|títshaba|ítshaba	<i>noun</i><br><ol><li>mountain, hill</li></ol>
itshadzo|ítshadzó|títshadzó	<i>noun</i><br><ol><li>love</li></ol>
itshaga|ítshaga|títshaga|ítshagá|títshagá	<i>noun</i><br><ol><li>pumpkin seed</li><li>melon</li><li>seed</li></ol>
itshebhakalo|ítshebhakálo|títshebhakálo	<i>noun</i><br><ol><li>trustworthiness, honesty</li></ol>
itshegiso|títshegíso|ítshegíso	<i>noun</i><br><ol><li>sale</li></ol>
itshego|ítshegó|títshegó	<i>noun</i><br><ol><li>purchase</li></ol>
itshetsho|ítshétshó|títshétshó	<i>noun</i><br><ol><li>shout, harshness</li></ol>
itshomu|títshomú|ítshomú	<i>noun</i><br><ol><li>folktale, fairytale</li></ol>
itshomû|títshómû́|ítshómû́	<i>noun</i><br><ol><li>folk story</li></ol>
itshuhanyetsu|ítshúhányetsu|títshúhányetsu	<i>noun</i><br><ol><li>suddenness</li></ol>
itshumo|ítshumo|títshumo	<i>noun</i><br><ol><li>folktale, fairytale, story</li></ol>
itshwele|ítshwéle|títshwéle	<i>noun</i><br><ol><li>fishmoth</li></ol>
itshîntshî|títshî́ntshî|ítshî́ntshî	<i>noun</i><br><ol><li>fly</li></ol>
itswejani|títswéjaní|ítswéjaní	<i>noun</i><br><ol><li>girl recently returned from initiate school</li></ol>
itsîyetsî|ítsî́yetsî́|títsî́yetsî́	<i>noun</i><br><ol><li>problem</li></ol>
itsîyonyani|títsî́yonyáni|ítsî́yonyáni	<i>noun</i><br><ol><li>chicken</li></ol>
itûrû|títûrû|ítûrû	<i>noun</i><br><ol><li>thunder</li></ol>
ivanana|ívanána|tívanána	<i>noun</i><br><ol><li>lamb</li></ol>
ivello|ívéllo|tívéllo	<i>noun</i><br><ol><li>watching</li></ol>
ivelo|tívelo|ívelo	<i>noun</i><br><ol><li>place of origin</li></ol>
ivu|ívú|tívú	<i>noun</i><br><ol><li>sheep</li></ol>
ivulo|ívulo|tívulo	<i>noun</i><br><ol><li>opening</li></ol>
ivuno|ívunó|tívunó	<i>noun</i><br><ol><li>harvest</li></ol>
iwotelo|íwótelo	<i>noun</i><br><ol><li>drowsiness</li></ol>
iyapule|íyápule|tíyápule	<i>noun</i><br><ol><li>apple</li></ol>
iyeto|tíyeto|íyeto	<i>noun</i><br><ol><li>deed</li><li>doing, making</li></ol>
iyomo|tíyomó|íyomó	<i>noun</i><br><ol><li>cow</li></ol>
jala	<i>verb</i><br><ol><li>to scatter</li><li>to sow</li></ol>
jatsha	<i>verb</i><br><ol><li>to carry on shoulder</li></ol>
jenisa	<i>verb</i><br><ol><li>to show, to point out</li></ol>
jeta	<i>verb</i><br><ol><li>to tell</li></ol>
jhayiva	<i>verb</i><br><ol><li>to dance (Western style)</li></ol>
jhegokuba|jhégokúbá	<i>conj</i><br><ol><li>just as</li></ol>
jjwala|bujwala|j́jwalá|bújwalá|émájwalá	<i>noun</i><br><ol><li>beer</li></ol>
jjwani|j́jwání	<i>noun</i><br><ol><li>grass</li></ol>
kadze	<i>adv</i><br><ol><li>long time ago</li><li>late</li></ol>
kaka	<i>verb</i><br><ol><li>to defecate</li></ol>
kakalla	<i>verb</i><br><ol><li>to lie on the back</li></ol>
kakgulu|kakgúlú	<i>adv</i><br><ol><li>a lot, very much</li></ol>
kamunadzi|kamúnádzi	<i>adv</i><br><ol><li>nicely</li></ol>
kantshî|kántshî́	<i>conj</i><br><ol><li>however, on the other hand, in contrast</li></ol>
kapa	<i>verb</i><br><ol><li>to chop</li></ol><br><i>conj</i><br><ol><li>or</li></ol>
kapili|kapilí	<i>adv</i><br><ol><li>quickly, soon</li><li>fast</li></ol>
kgama	<i>verb</i><br><ol><li>to milk</li></ol>
kgasa	<i>verb</i><br><ol><li>to spread, to disperse, to scatter, to sprinkle</li></ol>
kgatuka	<i>verb</i><br><ol><li>to stop treading on</li></ol>
kgawukela	<i>verb</i><br><ol><li>to have mercy on</li></ol>
kgayîla	<i>verb</i><br><ol><li>to chop up, to grind</li></ol>
kgedla	<i>verb</i><br><ol><li>to look back (over shoulder)</li></ol>
kghaleka	<i>verb</i><br><ol><li>to fall into a deep sleep</li></ol>
kghalîsela	<i>verb</i><br><ol><li>to show off to</li></ol>
kghaphatseka	<i>verb</i><br><ol><li>to overflow</li></ol>
kghata	<i>verb</i><br><ol><li>to tie up</li></ol>
kgheluka	<i>verb</i><br><ol><li>to turn aside</li><li>to err</li></ol>
kghesa	<i>verb</i><br><ol><li>to despise</li></ol>
kghohomusa	<i>verb</i><br><ol><li>to be proud</li></ol>
kghona	<i>verb</i><br><ol><li>to be able to</li></ol>
kghopo|tikghopo|labakghopo|lokukghopo|sikghopo|lesikghopo|gikghopo|likghopo|ukghopo|letikghopo|lakghopo|lelikghopo|lobukghopo|ikghopo|lokghopo|legikghopo|akghopo|kukghopo|bakghopo|bukghopo|lekghopo	<i>conj</i><br><ol><li>cruel</li></ol>
kghumarela	<i>verb</i><br><ol><li>(transitive) to cling</li></ol>
kghwayîsa	<i>verb</i><br><ol><li>to hunt small animals</li></ol>
kghîba	<i>verb</i><br><ol><li>to dance the young women's dance</li></ol>
kghöhlakala	<i>verb</i><br><ol><li>to be cruel</li></ol>
kghûtsa	<i>verb</i><br><ol><li>to be silent</li></ol>
kgubela	<i>verb</i><br><ol><li>to dance the young men's dance</li></ol>
kgubha	<i>verb</i><br><ol><li>to dig</li></ol>
kgulu|lelikgulu|bhukgulu|lomukgulu|lesikgulu|mhukgulu|ttikgulu|lamakgulu|mhikgulu|letikgulu|sibakgulu|labakgulu|bhakgulu|lobukgulu|ssikgulu|lekgulu|yhikgulu|gimukgulu|lelibakgulu|lamukgulu|lokukgulu|kkukgulu|lhikgulu|lesibakgulu|mhakgulu|umukgulu|lemikgulu|legimukgulu|libakgulu	<i>adj</i><br><ol><li>big</li></ol>
kgweba	<i>verb</i><br><ol><li>to scratch</li></ol>
kha	<i>verb</i><br><ol><li>to draw (water)</li></ol>
khabha	<i>verb</i><br><ol><li>to go, to walk, to move</li><li>to travel</li></ol>
khabhella	<i>verb</i><br><ol><li>to visit</li></ol>
khama	<i>verb</i><br><ol><li>to squeeze, to throttle</li></ol>
khamisa	<i>verb</i><br><ol><li>to yawn, to be open</li></ol>
khamisulla	<i>verb</i><br><ol><li>to open wide</li></ol>
khanya	<i>verb</i><br><ol><li>to shine on</li></ol>
khasa	<i>verb</i><br><ol><li>to crawl on stomach</li></ol>
khatsha	<i>verb</i><br><ol><li>to smear</li><li>to paint (picture, door)</li></ol>
khatshala	<i>verb</i><br><ol><li>to be tired</li></ol>
khatshulla	<i>verb</i><br><ol><li>to refresh</li></ol>
khokha	<i>verb</i><br><ol><li>to take out</li><li>to expel</li></ol>
kholwa	<i>verb</i><br><ol><li>to believe</li></ol>
khubhula	<i>verb</i><br><ol><li>to remember</li></ol>
khubhuta	<i>verb</i><br><ol><li>to remind</li></ol>
khula	<i>verb</i><br><ol><li>to grow up</li></ol>
khulla	<i>verb</i><br><ol><li>to take off</li></ol>
khuluma	<i>verb</i><br><ol><li>to speak, to talk</li></ol>
khutshata	<i>verb</i><br><ol><li>to comfort</li></ol>
kokobetsa	<i>verb</i><br><ol><li>to be lowly, to be humble</li></ol>
kona|koná	<i>pron</i><br><ol><li>it; class 15 absolute pronoun.</li></ol>
kopetsa	<i>verb</i><br><ol><li>to contract (of muscle)</li><li>to quiver</li></ol>
kudla|kúdla	<i>noun</i><br><ol><li>food</li></ol>
kulima|kúlima	<i>noun</i><br><ol><li>cultivation</li></ol>
kusasa|kusásá	<i>adv</i><br><ol><li>tomorrow</li><li>in the future</li></ol>
kutshi|kútshi	<i>conj</i><br><ol><li>that</li></ol>
kwatamisa	<i>verb</i><br><ol><li>to run after someone who is fleeing</li></ol>
kwayela	<i>verb</i><br><ol><li>to put on a lid</li></ol>
kwayulla	<i>verb</i><br><ol><li>to take off sheet (off body, bed)</li><li>to take off lid</li></ol>
kûpûlla	<i>verb</i><br><ol><li>to take off (sheet)</li><li>to unroll</li><li>to take out from under</li></ol>
kûpûlluka	<i>verb</i><br><ol><li>to come off (of sheet)</li></ol>
labha	<i>verb</i><br><ol><li>to become hungry</li></ol>
ladvula	<i>verb</i><br><ol><li>to refuse something</li></ol>
ladza	<i>verb</i><br><ol><li>to fetch</li></ol>
ladzela	<i>verb</i><br><ol><li>to follow</li></ol>
ladzelisa	<i>verb</i><br><ol><li>to put things in a line</li></ol>
ladzella	<i>verb</i><br><ol><li>to pursue</li></ol>
ladzellisa	<i>verb</i><br><ol><li>to line up</li></ol>
lagata	<i>verb</i><br><ol><li>to wish, to desire</li></ol>
lahla	<i>verb</i><br><ol><li>to throw away, to discard</li></ol>
lalla	<i>verb</i><br><ol><li>to look for</li><li>to lay a trap for</li></ol>
lawula	<i>verb</i><br><ol><li>to govern (country)</li><li>to be in charge</li><li>to give direction to</li></ol>
layeta	<i>verb</i><br><ol><li>to send with a message</li></ol>
lebhella	<i>verb</i><br><ol><li>to go down</li></ol>
lebuka	<i>verb</i><br><ol><li>to thank</li></ol>
leketla	<i>verb</i><br><ol><li>to swing</li></ol>
lha|lhá	<i>conj</i><br><ol><li>when</li></ol><br><i>pron</i><br><ol><li>these; class 6 proximal demonstrative.</li></ol>
lhaba|lhába	<i>pron</i><br><ol><li>these; class 2 proximal demonstrative.</li></ol>
lhabaa|lhabáa	<i>pron</i><br><ol><li>those over there, yonder; class 2 remote demonstrative.</li></ol>
lhabani|lhabání	<i>adv</i><br><ol><li>whoever</li></ol>
lhabo|lhábo	<i>pron</i><br><ol><li>those; class 2 distal demonstrative.</li></ol>
lhakekhi|lhakékhí	<i>adv</i><br><ol><li>wherever</li></ol>
lhakha|lhákha	<i>adv</i><br><ol><li>here; proximal demonstrative adverb.</li></ol>
lhakhayaa|lhakháyáa	<i>adv</i><br><ol><li>over there, yonder; remote demonstrative adverb.</li></ol>
lhakho|lhákho	<i>adv</i><br><ol><li>there; distal demonstrative adverb.</li></ol>
lhanini|lhaníní	<i>adv</i><br><ol><li>whenever</li></ol>
lhawaa|lhawáa	<i>pron</i><br><ol><li>those over there, yonder; class 6 remote demonstrative.</li></ol>
lhawo|lháwo	<i>pron</i><br><ol><li>those; class 6 distal demonstrative.</li></ol>
lhe	<i>pron</i><br><ol><li>these; class 4 proximal demonstrative.</li><li>this; class 9 proximal demonstrative.</li></ol>
lhelaa|lheláa	<i>pron</i><br><ol><li>that over there, yonder; class 5 remote demonstrative.</li></ol>
lheli|lhéli	<i>pron</i><br><ol><li>this; class 5 proximal demonstrative.</li></ol>
lhelo|lhélo	<i>pron</i><br><ol><li>that; class 5 distal demonstrative.</li></ol>
lhesaa|lhesáa	<i>pron</i><br><ol><li>that over there, yonder; class 7 remote demonstrative.</li></ol>
lhesi|lhési	<i>pron</i><br><ol><li>this; class 7 proximal demonstrative.</li></ol>
lheso|lhéso	<i>pron</i><br><ol><li>that; class 7 distal demonstrative.</li></ol>
lhetaa|lhetáa	<i>pron</i><br><ol><li>those over there, yonder; class 8 remote demonstrative.</li><li>those over there, yonder; class 10 remote demonstrative.</li></ol>
lheti|lhéti	<i>pron</i><br><ol><li>these; class 8 proximal demonstrative.</li><li>these; class 10 proximal demonstrative.</li></ol>
lheto|lhéto	<i>pron</i><br><ol><li>those; class 8 distal demonstrative.</li><li>those; class 10 distal demonstrative.</li></ol>
lheyaa|lheyáa	<i>pron</i><br><ol><li>those over there, yonder; class 4 remote demonstrative.</li><li>that over there, yonder; class 9 remote demonstrative.</li></ol>
lheyo|lhéyo	<i>pron</i><br><ol><li>those; class 4 distal demonstrative.</li><li>that; class 9 distal demonstrative.</li></ol>
lhobaa|lhobáa	<i>pron</i><br><ol><li>that over there, yonder; class 14 remote demonstrative.</li></ol>
lhobo|lhóbo	<i>pron</i><br><ol><li>that; class 14 distal demonstrative.</li></ol>
lhobu|lhóbu	<i>pron</i><br><ol><li>this; class 14 proximal demonstrative.</li></ol>
lhoko|lhóko	<i>pron</i><br><ol><li>that; class 15 distal demonstrative.</li></ol>
lhoku|lhóku	<i>pron</i><br><ol><li>this; class 15 proximal demonstrative.</li></ol>
lhokwaa|lhokwáa	<i>pron</i><br><ol><li>that over there, yonder; class 15 remote demonstrative.</li></ol>
lhowaa|lhowáa	<i>pron</i><br><ol><li>that over there, yonder; class 1 remote demonstrative.</li><li>that over there, yonder; class 3 remote demonstrative.</li></ol>
lhowo|lhówo	<i>pron</i><br><ol><li>that; class 1 distal demonstrative.</li><li>that; class 3 distal demonstrative.</li></ol>
liJheremani|líJherémani|émáJherémani	<i>noun</i><br><ol><li>German person</li></ol>
liKûla|líKû́la|émáKû́la	<i>noun</i><br><ol><li>(derogatory) Indian person</li></ol>
liTjhayina|émáTjhayína|líTjhayína	<i>noun</i><br><ol><li>Chinese person</li></ol>
libaga|émábaga|líbaga	<i>noun</i><br><ol><li>cause, reason</li></ol>
libala	<i>verb</i><br><ol><li>to forget</li></ol>
libatisa	<i>verb</i><br><ol><li>to delay</li></ol>
libela	<i>verb</i><br><ol><li>to guard, to protect</li></ol>
libele|líbelé|émábéle|líbéle|émábelé	<i>noun</i><br><ol><li>sorghum</li><li>breast</li></ol>
libelo|líbelo	<i>noun</i><br><ol><li>speed</li></ol>
libisi|líbísí	<i>noun</i><br><ol><li>milk</li></ol>
libovu|emabovu	<i>noun</i><br><ol><li>red ochre</li></ol>
libudza|émábudza|líbudza	<i>noun</i><br><ol><li>wall</li></ol>
libîtla|émábîtla|líbîtla	<i>noun</i><br><ol><li>grave</li></ol>
libîto|líbî́tó|émábî́tó	<i>noun</i><br><ol><li>name</li></ol>
libûrû|líbû́rû|émábû́rû	<i>noun</i><br><ol><li>farmer</li></ol>
licici|lícící|émácící	<i>noun</i><br><ol><li>earring</li></ol>
licikici|émácíkíci|lícíkíci	<i>noun</i><br><ol><li>earring</li></ol>
lidlabha|émádlabhá|lídlabhá	<i>noun</i><br><ol><li>ground, flat area</li></ol>
lidlaga|lídlagá|émádlagá	<i>noun</i><br><ol><li>vulture</li></ol>
lidlalo|lídlalo|émádlalo	<i>noun</i><br><ol><li>skin, hide (of a human or animal)</li></ol>
lidvolo|émádvolo|lídvolo	<i>noun</i><br><ol><li>knee</li></ol>
lidza	<i>verb</i><br><ol><li>to wait</li></ol>
lidzakwa|lídzakwá|émádzakwá	<i>noun</i><br><ol><li>drunkard</li></ol>
lifu|lífu|émáfu	<i>noun</i><br><ol><li>cloud</li></ol>
lifîfî|lífîfî	<i>noun</i><br><ol><li>darkness</li></ol>
lifû|lífû́	<i>noun</i><br><ol><li>death</li></ol>
liga	<i>verb</i><br><ol><li>to try, to tempt</li></ol>
ligala|émágala|lígala	<i>noun</i><br><ol><li>branch</li></ol>
ligogo|émágogo|lígogo	<i>noun</i><br><ol><li>skin (of dead animal)</li></ol>
ligogodlelo|lígogódlelo|émágogódlelo	<i>noun</i><br><ol><li>walking stick</li></ol>
ligqabi|lígqabi|émágqabi	<i>noun</i><br><ol><li>leaf</li></ol>
ligqikga|lígqikga|émágqikga	<i>noun</i><br><ol><li>doctor</li></ol>
ligulanyani|lígulanyáni|émágulanyáni	<i>noun</i><br><ol><li>male initiate</li></ol>
ligwinya|lígwinyá|émágwinyá	<i>noun</i><br><ol><li>vetkoek</li></ol>
lihlabatshi|émáhlábatshí|líhlábatshí	<i>noun</i><br><ol><li>sand</li></ol>
lihlagutshi|émáhlagútshi|líhlagútshi	<i>noun</i><br><ol><li>side</li></ol>
lihlaselî|émáhlásélî|líhlásélî	<i>noun</i><br><ol><li>ray of sunlight, sunray</li></ol>
lihlo|líhló|émáhló	<i>noun</i><br><ol><li>eye</li></ol>
lihlobo|líhlobo	<i>noun</i><br><ol><li>summer</li></ol>
lihlogwa|líhlogwá	<i>noun</i><br><ol><li>piece of grass</li></ol>
lihlohonolo|líhlóhónóló	<i>noun</i><br><ol><li>luck, blessing</li></ol>
lihlwaphi|émáhlwaphí|líhlwaphí	<i>noun</i><br><ol><li>door</li></ol>
lijwe|émájwe|líjwe	<i>verb</i><br><ol><li>stone</li></ol>
likgedla|émákgédlá|líkgédlá	<i>noun</i><br><ol><li>shoulder</li></ol>
likgedlo|líkgedlo|émákgedlo	<i>noun</i><br><ol><li>time, turn, chance</li></ol>
likghabûnyani|émákghábû́nyáni|líkghábû́nyáni	<i>noun</i><br><ol><li>servant (small child)</li></ol>
likghala|émákghálá|líkghálá	<i>noun</i><br><ol><li>crab</li></ol>
likghûlo|líkghûlo|émákghûlo	<i>noun</i><br><ol><li>pasture</li></ol>
likguni|émákgúní|líkgúní	<i>noun</i><br><ol><li>firewood</li></ol>
likhala|líkhala|émákhala	<i>noun</i><br><ol><li>aloe plant</li></ol>
likhanya|émákhanyá|líkhanyá	<i>noun</i><br><ol><li>light</li></ol>
likhula|émákhula|líkhula	<i>noun</i><br><ol><li>weed</li></ol>
likhwaba|líkhwába|émákhwába	<i>noun</i><br><ol><li>crow</li></ol>
likhwaphi|líkhwaphí|émákhwaphí	<i>noun</i><br><ol><li>armpit, sole</li></ol>
likwerekwere|émákwérékwere|líkwérékwere	<i>noun</i><br><ol><li>black person from elsewhere than in southern Africa</li></ol>
likwidla|líkwídlá	<i>noun</i><br><ol><li>autumn</li></ol>
lilimi|ĺlímí|llimi|émálímí|lílímí	<i>noun</i><br><ol><li>tongue</li></ol>
lilugo|lílugo	<i>noun</i><br><ol><li>clan</li></ol>
lilîmu|émálî́mú|lílî́mú	<i>noun</i><br><ol><li>cannibal, giant</li></ol>
lima	<i>verb</i><br><ol><li>to farm, cultivate</li><li>to plough</li></ol>
limatî|límatî́|émámatî́	<i>noun</i><br><ol><li>door</li></ol>
limenemene|émáménémene|líménémene	<i>noun</i><br><ol><li>liar</li></ol>
limkela	<i>verb</i><br><ol><li>to watch out for</li></ol>
linaga|émánagá|línagá	<i>noun</i><br><ol><li>horn</li></ol>
line|liné	<i>pron</i><br><ol><li>you, you all; second-person plural absolute pronoun.</li></ol>
lingangajane|émángángájane|língángájane	<i>noun</i><br><ol><li>dried fruit</li></ol>
lingobhe|língobhe|émángobhe	<i>noun</i><br><ol><li>donga</li></ol>
lingolo|língóló|émángóló	<i>noun</i><br><ol><li>letter</li></ol>
linqeba|línqeba|émánqeba	<i>noun</i><br><ol><li>wound</li></ol>
linugu|émánugu|línugu	<i>noun</i><br><ol><li>joint on body</li><li>wrist</li></ol>
linxele|émánxélé|línxélé	<i>noun</i><br><ol><li>left-handed person</li></ol>
linyawu|émányawu|línyawu	<i>noun</i><br><ol><li>foot</li></ol>
liphahla|lípháhlá|émápháhlá	<i>noun</i><br><ol><li>twin</li></ol>
liphaphu|líphaphú|émáphaphú	<i>noun</i><br><ol><li>lung</li></ol>
liphasi|émáphasi|líphasi	<i>noun</i><br><ol><li>earth, ground</li></ol>
liphiko|emaphiko	<i>noun</i><br><ol><li>wing</li></ol>
liphini|émáphíní|líphíní	<i>noun</i><br><ol><li>stirring stick (for beer, papa)</li></ol>
lipiri|lípíri|émápíri	<i>noun</i><br><ol><li>pear</li></ol>
liqa|émáqá|líqá	<i>noun</i><br><ol><li>piece, portion</li></ol>
liqaqa|líqáqá|émáqáqá	<i>noun</i><br><ol><li>skunk</li></ol>
liqaqayilana|émáqáqáyílana|líqáqáyílana	<i>noun</i><br><ol><li>ankle</li></ol>
liqayî|émáqáyî́|líqáyî́	<i>noun</i><br><ol><li>egg</li></ol>
liqhekû|líqhekû|émáqhekû	<i>noun</i><br><ol><li>old man</li></ol>
liqhwa|líqhwa|émáqhwa	<i>noun</i><br><ol><li>snow</li></ol>
liqhwele|émáqhwelé|líqhwelé	<i>noun</i><br><ol><li>piece of string</li></ol>
lirada|émáradá|líradá	<i>noun</i><br><ol><li>noise</li></ol>
lirago|émáragó|lírago|émárago|líragó	<i>noun</i><br><ol><li>ruin</li><li>kraal</li></ol>
liralla|émáráĺla|líráĺla	<i>noun</i><br><ol><li>stony hut</li></ol>
lirama|émárámá|lírámá	<i>noun</i><br><ol><li>cheek</li></ol>
lirantha|líranthá|émáranthá	<i>noun</i><br><ol><li>poor, dirty, ragged person</li></ol>
lirinini|líríníni|émáríníni	<i>noun</i><br><ol><li>gum (of teeth)</li></ol>
lisaga|lísagá|émásagá	<i>noun</i><br><ol><li>cattle kraal</li></ol>
lisedze|émásedze|lísedze	<i>noun</i><br><ol><li>testicle</li></ol>
lisela	<i>verb</i><br><ol><li>to get rid of</li></ol>
lishilishili|líshílíshili|émáshílíshili	<i>noun</i><br><ol><li>watery porridge</li></ol>
lishume|émáshúmé|líshúmé	<i>noun</i><br><ol><li>ten</li><li>the tenth one</li><li>(in the possessive) tenth</li></ol>
lishumi|lobulishumi|alishumi|lelishumi|lokulishumi|legilishumi|lalishumi|ulishumi|lolishumi|kulishumi|lesilishumi|silishumi|lilishumi|gilishumi|tilishumi|bulishumi|lelilishumi|ilishumi|balishumi|labalishumi|letilishumi	<i>conj</i><br><ol><li>ten</li></ol>
liswayë|émáswáyë|líswáyë	<i>noun</i><br><ol><li>stick for punishing someone</li></ol>
lisîba|émásî́bá|lísî́bá	<i>noun</i><br><ol><li>plume, long feather</li></ol>
litfubho|émátfubho|lítfubho	<i>noun</i><br><ol><li>bowel</li><li>intestine</li></ol>
litfwili|émátfwili|lítfwili	<i>noun</i><br><ol><li>dust</li></ol>
lithega|émáthégá|líthégá	<i>noun</i><br><ol><li>waist, hip</li></ol>
lithitho|émáthitho|líthitho	<i>noun</i><br><ol><li>end (of folktale)</li></ol>
litibulu|émátíbulu|lítíbulu	<i>noun</i><br><ol><li>first-born child</li></ol>
litinyani|lítínyani|émátínyani	<i>noun</i><br><ol><li>young offspring of any animal</li></ol>
litipho|émátipho|lítipho	<i>noun</i><br><ol><li>nail</li></ol>
litshabho|émátshabhó|lítshabhó	<i>noun</i><br><ol><li>bone</li></ol>
litshanyelo|émátshányelo|lítshányelo	<i>noun</i><br><ol><li>broom</li></ol>
litshewo|lítshéwó|émátshéwó	<i>noun</i><br><ol><li>name, noun</li></ol>
litsokû|lítsokû́|émátsokû́	<i>noun</i><br><ol><li>ochre</li></ol>
litsuka|lítsuká|émátsuká	<i>noun</i><br><ol><li>red ochre</li></ol>
litsupa|émátsúpá|lítsúpá	<i>noun</i><br><ol><li>clay</li></ol>
litswayî|lítswáyî	<i>noun</i><br><ol><li>salt</li></ol>
litsëtsë|lítsë́tsë|émátsë́tsë	<i>noun</i><br><ol><li>flea</li></ol>
litînyo|lítî́nyó|émátî́nyó	<i>noun</i><br><ol><li>tooth</li></ol>
litûba|lítûba|émátûba	<i>noun</i><br><ol><li>dove</li></ol>
litûlû|lítûlû	<i>noun</i><br><ol><li>sky, heaven</li></ol>
