Baalaay	<i>noun</i><br><ol><li>Monday</li></ol>
ngamuldiilbil	<i>noun</i><br><ol><li>microwave oven</li></ol>
ngana	<i>noun</i><br><ol><li>room</li><li>grass windbreak</li><li>grass hut</li></ol>
nganabidi	<i>noun</i><br><ol><li>hall</li></ol>
ngandabaa	<i>noun</i><br><ol><li>red snake</li></ol>
ngandanganda	<i>adj</i><br><ol><li>shiny</li><li>reflective</li><li>glittering</li></ol>
nganha	<i>pron</i><br><ol><li>me (done to)</li></ol>
nganunda	<i>pron</i><br><ol><li>to me</li><li>at me</li><li>on me</li><li>near me</li></ol>
nganundi	<i>pron</i><br><ol><li>from me</li></ol>
ngarragaa	<i>adj</i><br><ol><li>poor (helpless)</li><li>silly</li><li>oh dear!</li></ol>
ngarriy	<i>verb</i><br><ol><li>sit</li></ol>
ngarugi	<i>verb</i><br><ol><li>drink</li></ol>
ngay	<i>pron</i><br><ol><li>my (to me)</li></ol>
ngaya	<i>pron</i><br><ol><li>I (first person nominative singular pronoun)</li></ol>
ngibaay	<i>particle</i><br><ol><li>strange!</li></ol>
ngiirr	<i>noun</i><br><ol><li>eyebrow</li></ol>
nginaalingu	<i>pron</i><br><ol><li>your-two people</li><li>to you-two people</li></ol>
nginaalingunda	<i>pron</i><br><ol><li>to/at/on you-two people</li></ol>
nginaalingundi	<i>pron</i><br><ol><li>from you-two people</li></ol>
nginaalinya	<i>pron</i><br><ol><li>you two people (done to)</li></ol>
nginaayngundi	<i>pron</i><br><ol><li>from you more than two people</li></ol>
nginda	<i>pron</i><br><ol><li>you</li></ol>
ngindaali	<i>pron</i><br><ol><li>you (two people)</li></ol>
ngindaay	<i>pron</i><br><ol><li>you (more than two people)</li></ol>
nginu	<i>pron</i><br><ol><li>your one person to you one person</li></ol>
nginunda	<i>pron</i><br><ol><li>to/at/on you one person</li></ol>
nginundi	<i>pron</i><br><ol><li>from you one person</li></ol>
nginunha	<i>pron</i><br><ol><li>you one person (done to)</li></ol>
ngiyani	<i>pron</i><br><ol><li>we more than two people (doers)</li></ol>
ngiyaningu	<i>pron</i><br><ol><li>our more than two people</li></ol>
ngiyaningunda	<i>pron</i><br><ol><li>to us (more than two people)</li><li>at us (more than two people)</li><li>on us (more than two people)</li></ol>
ngiyaningundi	<i>pron</i><br><ol><li>from us more than two people</li></ol>
ngiyaninya	<i>pron</i><br><ol><li>us more than two people (done to)</li></ol>
ngulu	<i>noun</i><br><ol><li>face, forehead</li></ol>
nguluurr	<i>noun</i><br><ol><li>tear</li></ol>
ngurran	<i>noun</i><br><ol><li>wild dog, dingo</li></ol>
nguru	<i>pron</i><br><ol><li>he</li><li>she</li></ol>
nguruwi	<i>noun</i><br><ol><li>sweat</li></ol>
nguu	<i>noun</i><br><ol><li>book</li><li>swamp paperback, tea-tree</li><li>he, she (doer/doer to)</li></ol>
nguuwi	<i>noun</i><br><ol><li>sweat</li></ol>
nhalay	<i>pron</i><br><ol><li>this</li></ol>
nhama	<i>pron</i><br><ol><li>that</li></ol>
nhama-dhaay	<i>intj</i><br><ol><li>look out</li></ol>
nhiibi	<i>noun</i><br><ol><li>grey snake</li></ol>
nhurraay	<i>noun</i><br><ol><li>black snake</li></ol>
nhuubala	<i>noun</i><br><ol><li>new</li></ol>
nyii	<i>noun</i><br><ol><li>anus</li></ol>
thalagal	<i>noun</i><br><ol><li>blue-tongue lizard</li></ol>
thalay|dhalay	<i>noun</i><br><ol><li>tongue</li></ol>
tharra	<i>noun</i><br><ol><li>(anatomy) thigh</li></ol>
tharrarr	<i>noun</i><br><ol><li>ribs</li></ol>
tharrawurra	<i>noun</i><br><ol><li>pants, trousers</li></ol>
tharri	<i>noun</i><br><ol><li>an eastern bearded dragon</li></ol>
thawun	<i>noun</i><br><ol><li>earth, ground, dirt</li></ol>
thigaraa	<i>noun</i><br><ol><li>bird</li></ol>
thimba	<i>noun</i><br><ol><li>sheep</li></ol>
thina|dhina	<i>noun</i><br><ol><li>foot</li></ol>
thinawan	<i>noun</i><br><ol><li>emu</li></ol>
thulii	<i>noun</i><br><ol><li>sand goanna</li></ol>
thulu	<i>noun</i><br><ol><li>tree</li><li>stick</li></ol>
thun	<i>noun</i><br><ol><li>penis</li><li>tail</li></ol>
waa	<i>intj</i><br><ol><li>expression of praise</li></ol><br><i>noun</i><br><ol><li>pendant</li></ol>
waabi	<i>noun</i><br><ol><li>maternal grandmother</li><li>mother's mother's brother</li></ol>
waali	<i>verb</i><br><ol><li>throw</li></ol>
waawul	<i>adj</i><br><ol><li>narrow</li></ol>
wadhaagudjaaylwan	<i>noun</i><br><ol><li>birth spirit</li></ol>
wadjiin	<i>noun</i><br><ol><li>a white woman, a European woman</li></ol>
wal	<i>noun</i><br><ol><li>container</li><li>rubbish bin</li></ol>
walarr	<i>noun</i><br><ol><li>shoulder</li></ol>
walgan	<i>noun</i><br><ol><li>aunt</li></ol>
walingay	<i>adj</i><br><ol><li>out of place</li><li>lonely</li><li>sulky</li></ol>
wamba	<i>adj</i><br><ol><li>mad</li><li>crazy</li><li>silly</li><li>stupid</li><li>eccentric</li></ol>
wambanhiiya	<i>noun</i><br><ol><li>cousin</li></ol>
wamu	<i>adj</i><br><ol><li>fat</li></ol>
wan'guy	<i>noun</i><br><ol><li>pademelon wallaby</li></ol>
wan.guy	<i>noun</i><br><ol><li>pademelon wallaby</li></ol>
wanda	<i>noun</i><br><ol><li>white man</li><li>ghost</li><li>spirit</li></ol>
waraba	<i>noun</i><br><ol><li>short necked turtle (Chelodina expansa)</li></ol>
warrul	<i>noun</i><br><ol><li>honey</li></ol>
waygal	<i>noun</i><br><ol><li>woven bag</li></ol>
wii	<i>noun</i><br><ol><li>fire</li><li>firewood</li></ol>
wiigu	<i>noun</i><br><ol><li>toaster</li></ol>
wiiluun	<i>noun</i><br><ol><li>dribble</li></ol>
wiirrali	<i>verb</i><br><ol><li>shave</li><li>shear</li></ol>
wilbaarr	<i>noun</i><br><ol><li>car</li><li>any wheeled vehicle</li><li>cart</li><li>whirlwind spirit</li></ol>
winangali	<i>verb</i><br><ol><li>hear</li><li>listen</li></ol>
winingay	<i>verb</i><br><ol><li>understand</li><li>know</li><li>remember</li></ol>
wiringin	<i>noun</i><br><ol><li>aboriginal doctor</li><li>clever man</li></ol>
wirri	<i>noun</i><br><ol><li>plate</li></ol>
wirribula	<i>noun</i><br><ol><li>goat</li></ol>
wirrilaa	<i>noun</i><br><ol><li>bush turkey - Alectura lathami</li></ol>
wiwurra	<i>num</i><br><ol><li>million (10⁶)</li></ol>
wiyayl	<i>noun</i><br><ol><li>pen</li><li>echidna quill</li></ol>
wubun	<i>noun</i><br><ol><li>blue-tongued skink, Tiliqua scincoides</li></ol>
wuguu	<i>noun</i><br><ol><li>flood</li></ol>
wulbul	<i>noun</i><br><ol><li>plastic</li><li>bendy stick</li><li>stockman whip</li></ol><br><i>adj</i><br><ol><li>plastic</li></ol>
wurrugaa	<i>noun</i><br><ol><li>owner</li></ol>
wurrun	<i>noun</i><br><ol><li>swelling</li></ol>
wurumal	<i>noun</i><br><ol><li>sleepy lizard</li></ol>
wuu	<i>noun</i><br><ol><li>hook</li></ol>
wuurri|wuuna	<i>verb</i><br><ol><li>give</li></ol>
yaadha	<i>noun</i><br><ol><li>day</li></ol>
yaal	<i>noun</i><br><ol><li>lie</li></ol>
yaama	<i>intj</i><br><ol><li>hello</li><li>question word</li></ol>
yabaa	<i>noun</i><br><ol><li>carpet snake, Morelia spilota</li></ol>
yabil	<i>noun</i><br><ol><li>large bark vessel</li></ol>
yabili	<i>verb</i><br><ol><li>kiss</li><li>twist, plait</li></ol>
yadha	<i>noun</i><br><ol><li>movie</li><li>video</li></ol>
yagaay	<i>intj</i><br><ol><li>ouch</li></ol>
yalagiirrmawu	<i>adv</i><br><ol><li>at that time</li><li>then</li></ol>
yaliwunga	<i>adv</i><br><ol><li>always</li></ol>
yaluu	<i>intj</i><br><ol><li>see you later</li></ol>
yambi	<i>noun</i><br><ol><li>old woman</li></ol>
yambuli	<i>noun</i><br><ol><li>old woman</li></ol>
yanay|yananhi|yanaya	<i>verb</i><br><ol><li>go, come, walk</li></ol>
yanggal	<i>noun</i><br><ol><li>vagina</li></ol>
yaraay	<i>noun</i><br><ol><li>the sun</li></ol>
yaray	<i>noun</i><br><ol><li>a sheep's small intestine</li></ol>
yarraaman|yaraman	<i>noun</i><br><ol><li>horse</li></ol>
yarraan	<i>noun</i><br><ol><li>gum tree, Eucalyptus spp.</li></ol>
yarragaa	<i>noun</i><br><ol><li>spring wind</li><li>spring</li></ol>
yarral	<i>noun</i><br><ol><li>stone</li></ol>
yarrangan	<i>noun</i><br><ol><li>A kind of edible grub.</li></ol>
yarray	<i>noun</i><br><ol><li>beard</li></ol>
yarrbun	<i>adj</i><br><ol><li>very tired</li><li>exhausted</li></ol>
yarrin	<i>noun</i><br><ol><li>water current</li></ol>
yarrul	<i>noun</i><br><ol><li>stone</li><li>money</li></ol>
yathaarr	<i>noun</i><br><ol><li>the down of birds</li></ol>
yathala	<i>noun</i><br><ol><li>sharp</li></ol>
yawali	<i>verb</i><br><ol><li>track</li><li>read</li></ol>
yawu	<i>particle</i><br><ol><li>yes</li></ol>
yawurr	<i>noun</i><br><ol><li>A kind of berry.</li></ol>
yaydja	<i>noun</i><br><ol><li>skin cracks</li></ol>
yibaay	<i>noun</i><br><ol><li>A male marriage class or skin group. A yibaay can marry only a gabutha; his sons will be marrii, and his daughters matha.</li></ol>
yibatha	<i>noun</i><br><ol><li>A female marriage class or skin group. A yibatha can marry only a gabi; her sons will be gambu, and her daughters buuthaa.</li></ol>
yibathaa	<i>noun</i><br><ol><li>A female marriage class or skin group. A yibathaa can marry only a gabi; her sons will be gambu, and her daughters buuthaa.</li></ol>
yiilaman	<i>noun</i><br><ol><li>shield</li></ol>
yiili	<i>verb</i><br><ol><li>to bite</li></ol><br><i>noun</i><br><ol><li>angry</li></ol>
yiilinhi	<i>noun</i><br><ol><li>war</li></ol>
yila|ila	<i>adv</i><br><ol><li>soon</li></ol>
yilaathu	<i>adv</i><br><ol><li>now</li><li>today</li></ol>
yilambu	<i>adv</i><br><ol><li>long ago</li></ol>
yiluwidi	<i>noun</i><br><ol><li>blue</li></ol>
yin.ga-gabu	<i>noun</i><br><ol><li>August</li></ol>
yinarr	<i>noun</i><br><ol><li>an Aboriginal woman</li></ol>
yinggil	<i>adj</i><br><ol><li>tired</li><li>lazy</li></ol>
yira	<i>noun</i><br><ol><li>tooth</li></ol>
yithiyan	<i>noun</i><br><ol><li>A small mopoke, Ninox novaeseelandiae</li></ol>
yiyagungawuma	<i>noun</i><br><ol><li>small hailstone</li></ol>
yuga	<i>noun</i><br><ol><li>tear</li></ol>
yugal	<i>noun</i><br><ol><li>song</li></ol>
yugi	<i>verb</i><br><ol><li>to cry</li></ol>
yuguwa	<i>noun</i><br><ol><li>party</li></ol>
yulaali	<i>verb</i><br><ol><li>to tie up</li></ol>
yulay	<i>noun</i><br><ol><li>skin</li></ol>
yuli	<i>num</i><br><ol><li>six</li></ol>
yulu	<i>noun</i><br><ol><li>nail, fingernail, toenail</li><li>claw</li></ol>
yulugi	<i>verb</i><br><ol><li>to play, dance</li><li>gamble</li></ol>
yulumara	<i>noun</i><br><ol><li>fingernail</li></ol>
yuluwirri	<i>noun</i><br><ol><li>rainbow</li></ol>
yurayaa	<i>noun</i><br><ol><li>frog</li></ol>
yurra	<i>noun</i><br><ol><li>hour</li><li>time</li></ol>
yurraamu	<i>noun</i><br><ol><li>alcohol</li></ol>
yurrandaali	<i>noun</i><br><ol><li>a tree goanna</li></ol>
yurrul	<i>noun</i><br><ol><li>scrub</li></ol>
yurrun	<i>noun</i><br><ol><li>scar</li></ol>
yurruun	<i>noun</i><br><ol><li>track, road</li></ol>
yuru	<i>noun</i><br><ol><li>cloud</li></ol>
yuu	<i>noun</i><br><ol><li>dust</li></ol>
yuul	<i>noun</i><br><ol><li>food</li><li>vegetable food, bush tucker</li></ol>
yuularaay	<i>noun</i><br><ol><li>full, satisfied</li></ol>
yuulmal	<i>noun</i><br><ol><li>kitchen</li></ol>
yuulngin	<i>adj</i><br><ol><li>hungry</li></ol>
yuundu	<i>noun</i><br><ol><li>stone axe</li></ol>
yuuruu	<i>noun</i><br><ol><li>rain</li></ol>
