ܐ ܟ ܠ|ʾ k l	<i>root</i><br><ol><li>forming words pertaining to eating</li></ol>
ܗܘܠܢܕܐ|holanda|ܗܘܿܠܵܢܕܵܐ	<i>name</i><br><ol><li>Netherlands: The main constituent country of the Kingdom of the Netherlands, located primarily in northwestern Europe bordering Germany and Belgium.</li><li>Holland: A region of the Netherlands formed by two provinces: North Holland and South Holland.</li></ol>
ܗܘܢܓ ܟܘܢܓ|ܗܘܿܢܓ ܟܘܿܢܓ|hong kong	<i>name</i><br><ol><li>A city in southeastern China, located on an island south east of the Pearl River delta in the South China Sea; formerly owned by the United Kingdom.</li></ol>
ܗܘܦܪܟܝܐ|ܗܹܘܦܲܪܟܝܼܵܐ|hupārkiya	<i>noun</i><br><ol><li>province, prefecture, diocese</li><li>eparchy</li></ol><br><i>name</i><br><ol><li>Commonwealth: A loose confederation of nations based around the former British Empire.</li></ol>
ܗܝ|ܗ̇ܝ|ܐܵܢܝܼ|āya|ܗ̇ܘ|ܗܘ|āwa	<i>pron</i><br><ol><li>(personal) she, it</li><li>(intensive) she herself, it itself</li><li>sometimes used somewhat like a definite article; the</li><li>(demonstrative) that</li></ol>
ܗܝܪ|ܗܘܼܝܸܪܵܐ|huyirran|hayyirī|huyiruḵ|ܗܘܼܝܸܪܝܼ|ܗܲܝܸܪܲܚ|hayyirīton|hayyirun|ܗܘܼܝܸܪܵܟ݂ܝ|ܗܘܼܝܸܪܵܗ̇|ܗܲܝܘܼܪܹܐ|huyirrāḵ|ܗܲܝܸܪ|ܗܲܝܸܪܵܐ|huyirī|ܗܲܝܸܪܸܬ|ܗܲܝܸܪܝܼ|huyirhon|ܗܲܝܸܪܵܢ|ܗܘܼܝܸܪܲܢ|hayyir|huyirrāh|ܗܘܼܝܸܪܵܘܟ݂ܘܿܢ|huyirrēh|ܗܲܝܸܪܸܢ|ܗܲܝܸܪܝܼܬܘܿܢ|ܗܲܝܸܪܘܼܢ|hayyirin|ܗܘܼܝܸܪܘܼܟ݂|huyirrāwḵon|hayyirit|hayyirān|hāyir|hayyiraḥ|hayyirā|hayyirāt|ܗܲܝܸܪܵܬ|ܗܘܼܝܸܪܹܗ|ܗܲܝܸܪܝ|ܗܘܼܝܸܪܗܘܿܢ	<i>verb</i><br><ol><li>to help</li></ol>
ܗܝܪܬܐ|hayyarātē|ܗܲܝܲܪ̈ܵܬ|ܗܲܝܲܪܬܘܼܟ݂|ܗܲܝܲܪܬܲܢ|ܗܲܝܲܪ̈ܵܬܵܟ݂ܝ|hayyartā|hayyartāwḵon|hayyarātāḵ|hayyarāt|hayyarāthon|hayyartī|hayyartuḵ|ܗܲܝܲܪ̈ܵܬܘܼܟ݂|ܗܲܝܲܪ̈ܵܬܵܘܟ݂ܘܿܢ|ܗܲܝܲܪ̈ܵܬܝܼ|hayyartan|ܗܲܝܲܪ̈ܵܬܘܼܗܝ|ܗܲܝܲܪ̈ܵܬܹܐ|ܗܲܝܲܪܬܵܘܟ݂ܘܿܢ|hayyartēh|ܗܲܝܲܪܬܹܗ|ܗܲܝܲܪܬܘܿܗ̇|ܗܲܝܲܪܬܗܘܿܢ|ܗܲܝܲܪ̈ܵܬܘܿܗ̇|ܗܲܝܲܪܬܝܼ|ܗܲܝܲܪܲܬ|hayyarātuh|ܗܲܝܲܪ̈ܝܵܬܹܐ|hayyartoh|ܗܲܝܲܪ̈ܵܬܲܢ|hayyarātāwḵon|hayyarātuḵ|hayyarat|hayyarthon|ܗܲܝܲܪ̈ܵܬܗܘܿܢ|hayyarātan|hayyartāḵ|ܗܲܝܲܪܬܵܐ|hāyārta|hayyarātī|hayyarātoh|ܗܲܝܲܪܬܵܟ݂ܝ	<i>noun</i><br><ol><li>help, aid, assistance, relief</li></ol>
ܗܟ̰|ܗܸܟ̰݊|hič	<i>adv</i><br><ol><li>no, any, nothing</li></ol>
ܗܠܘܙܢܐ|halwaznay|halwaznuh|halwaznēh|halwaznāwḵon|halwaznhon|halwaznoh|ܗܲܠܘܲܙܢܘܼܟ݂|ܗܲܠܘܲܙܢܵܘܟ݂ܘܿܢ|halwaznuḵ|halwaznē|halwazn|ܗܲܠܘܲܙܢܹ̈ܐ|ܗܲܠܘܲܙܢܲܢ|ܗܲܠܘܲܙܢܵܟ݂ܝ̈|ܗܲܠܘܲܙܢܘܿܗ̇|ܗܲܠܘܲܙܢܲܢ̈|ܗܲܠܘܲܙܢ̈ܘܿܗ̇|halwaznā|halwaznan|ܗܲܠܘܲܙܢ|ܗܲܠܘܲܙܢܲܝ̈|ܗܲܠܘܲܙܢܘܼ̈ܗܝ|ܗܲܠܘܲܙܢܝܼ̈|halwaznāḵ|ܗܲܠܘܲܙܢܹܗ|ܗܲܠܘܲܙܢܵܘ̈ܟ݂ܘܿܢ|hālwāzna|halwaznī|ܗܲܠܘܲܙܢܝܼ|ܗܲܠܘܲܙܢܵܟ݂ܝ|ܗܲܠܘܲܙܢܗܘܿܢ|ܗܲܠܘܲܙܢܘܼ̈ܟ݂|ܗܲܠܘܲܙܢܗ̈ܘܿܢ|ܗܲܠܘܲܙܢܵܐ	<i>noun</i><br><ol><li>blackberry: an edible soft fruit consisting of a cluster of soft purple-black drupelets.</li></ol>
ܗܠܝܘܢ|ܗܸܠܝܘܿܢܵܘ̈ܟ݂ܘܿܢ|ܗܸܠܝܘܿܢܹ̈ܗ|ܗܸܠܝܘܿܢ|ܗܸܠܝܘܿܢܗܘܿܢ|hilyonī|ܗܸܠܝܘܿܢܘܿܗ̇|ܗܸܠܝܘܿܢܗ̈ܘܿܢ|ܗܸܠܝܘܿܢܲܢ̈|ܗܸܠܝܘܿܢܘܼܟ݂|hilyonoh|ܗܸܠܝܘܿܢܹ̈ܐ|hilyonē|ܗܸܠܝܘܿܢܝܼ̈|hilyonāwḵon|ܗܸܠܝܘܿܢܵܟ݂ܝ̈|ܗܸܠܝܘܿܢܵܟ݂ܝ|ܗܸܠܝܘܿܢܹܗ|hilyonhon|ܗܸܠܝܘܿܢ̈ܘܿܗ̇|hilyonuḵ|ܗܸܠܝܘܿܢܝܼ|hilyon|ܗܸܠܝܘܿܢܘܼ̈ܟ݂|hilyonēh|ܗܸܠܝܘܿܢܵܘܟ݂ܘܿܢ|hilyonan|ܗܸܠܝܘܿܢܲܢ|hilyonāḵ	<i>noun</i><br><ol><li>asparagus (Asparagus gen. et spp.)</li></ol>
ܗܠܟ|ܗܠܝܼܟ݂ ܠܝܼ|halḵān|hlīḵ luḵ|hlīḵ lī|ܗܘܼܠܸܟ݂ ܠܵܘܟ݂ܘܿܢ|ܗܲܠܟ݂ܵܐ|hālēḵ|halliḵ|ܗܲܠܘܼܟ݂ܹܐ|ܗܠܝܼܟ݂ ܠܵܟ݂ܝ|ܗܠܝܼܟ݂ ܠܹܗ|ܗܠܝܼܟ݂ ܠܘܼܟ݂|ܗܠܘܿܟ݂ܝ|hālḵaḥ|ܗܵܠܟ݂ܲܚ|ܗܠܘܿܟ݂|hlīḵ lāḵ|ܗܲܠܟ݂ܝܼܬܘܿܢ|ܗܘܼܠܸܟ݂ ܠܘܼܟ݂|hlīḵ lāh|huliḵ lī|halḵāt|hloḵun|ܗܠܝܼܟ݂ ܠܵܘܟ݂ܘܿܢ|ܗܵܠܟ݂ܵܢ|ܗܘܼܠܸܟ݂ ܠܵܗ̇|ܗܲܠܟ݂ܲܚ|ܗܲܠܟ݂ܸܬ|ܗܘܼܠܸܟ݂ ܠܲܢ|ܗܵܠܟ݂ܝܼܬܘܿܢ|hālḵīton|ܗܠܝܼܟ݂ ܠܲܢ|hālḵā|ܗܵܠܟ݂ܝܼ|hloḵ|halḵaḥ|ܗܠܵܟ݂ܵܐ|hālḵēt|ܗܲܠܟ݂ܘܼܢ|hālḵāt|ܗܲܠܟ݂ܸܢ|ܗܘܼܠܟ݂ܵܐ|huliḵ lāḵ|ܗܠܝܼܟ݂ܵܐ|halḵī|ܗܵܠܟ݂ܹܢ|ܗܘܼܠܸܟ݂ ܠܝܼ|ܗܠܘܿܟ݂ܘܼܢ|huliḵ lēh|hlīḵ lēh|ܗܲܠܟ݂ܵܢ|ܗܘܼܠܸܟ݂ ܠܹܗ|ܗܲܠܸܟ݂|hlīḵ lhon|ܗܲܠܟ݂ܵܬܝ|halḵun|hlīḵ lāwḵon|ܗܠܝܼܟ݂ ܠܵܗ̇|ܗܲܠܟ݂ܝܼ|huliḵ lhon|ܗܵܠܟ݂ܵܐ|hālḵēn|huliḵ lāwḵon|halḵīton|ܗܠܝܼܟ݂ ܠܗܘܿܢ|hālḵī|ܗܵܠܟ݂ܵܬܝ|ܗܲܠܸܟ݂ܝ|ܗܘܼܠܸܟ݂ ܠܗܘܿܢ|halḵin|ܗܵܠܹܟ݂|huliḵ lāh|halḵit|hālḵān|huliḵ luḵ|hlīḵ lan|ܗܘܼܠܸܟ݂ ܠܵܟ݂ܝ|halḵā|ܗܵܠܟ݂ܹܬ|huliḵ lan	<i>verb</i><br><ol><li>to proceed, go on</li><li>to behave, act</li><li>to walk</li></ol>
ܗܡܙܡ|ܗܲܡܙܸܡ|hamzim|humzim lēh|humzim lāwḵon|hamzimmā|ܗܘܼܡܙܸܡ ܠܝܼ|ܗܲܡܙܘܼܡܹܐ|ܗܲܡܙܸܡܲܚ|hamzimīton|ܗܘܼܡܙܸܡ ܠܹܗ|humzim lāḵ|ܗܲܡܙܸܡܵܢ|ܗܘܼܡܙܸܡ ܠܵܟ݂ܝ|humzim lan|ܗܲܡܙܸܡܸܢ|humzim lāh|hamzimī|hamzimmaḥ|ܗܘܼܡܙܸܡܵܐ|ܗܲܡܙܸܡܵܐ|humzim lhon|hamzimun|ܗܲܡܙܸܡܝܼܬܘܿܢ|hamzimmit|ܗܲܡܙܸܡܘܼܢ|hamzimmān|ܗܘܼܡܙܸܡ ܠܲܢ|ܗܘܼܡܙܸܡ ܠܵܗ̇|ܗܘܼܡܙܸܡ ܠܘܼܟ݂|ܗܲܡܙܸܡܝ|humzim lī|hamzimmin|ܗܘܼܡܙܸܡ ܠܵܘܟ݂ܘܿܢ|ܗܲܡܙܸܡܸܬ|ܗܲܡܙܸܡܝܼ|ܗܲܡܙܸܡܵܬ|humzim luḵ|ܗܘܼܡܙܸܡ ܠܗܘܿܢ|hamzimmāt	<i>verb</i><br><ol><li>to speak, talk</li></ol>
ܗܡܢ|huminnan|ܗܲܡܸܢܘܼܢ|hamminun|ܗܲܡܸܢܝ|ܗܲܡܸܢܵܬ|huminuḵ|hamminaḥ|hamminīton|ܗܲܡܸܢܸܬ|ܗܘܼܡܸܢܗܘܿܢ|hamminān|hamminā|ܗܲܡܸܢ|huminnēh|ܗܘܼܡܸܢܵܘܟ݂ܘܿܢ|huminnāḵ|hamminit|ܗܘܼܡܸܢܵܗ̇|ܗܲܡܸܢܝܼܬܘܿܢ|ܗܲܡܘܼܢܹܐ|hamminī|ܗܘܼܡܸܢܲܢ|hammināt|ܗܲܡܸܢܝܼ|huminnāh|ܗܲܡܸܢܸܢ|ܗܘܼܡܸܢܹܗ|ܗܘܼܡܸܢܘܼܟ݂|ܗܲܡܸܢܵܢ|hammin|huminnāwḵon|ܗܘܼܡܸܢܵܟ݂ܝ|hāmin|huminī|ܗܲܡܸܢܲܚ|ܗܘܼܡܸܢܝܼ|hamminin|ܗܲܡܸܢܵܐ|huminhon|ܗܘܼܡܸܢܵܐ	<i>verb</i><br><ol><li>to believe</li></ol>
ܗܡܫܐ|hamāšā|ܗܲܡܵܫܵܐ	<i>adv</i><br><ol><li>always</li></ol>
ܗܢܕܘ|ܗܸܢܕܘܼ|hindu	<i>name</i><br><ol><li>A country in South Asia. Official name: Republic of India.</li><li>(chiefly historical, proscribed in modern use) An area of land in Southern Asia, traditionally delimited by the Himalayas and the Indus river; the Indian subcontinent.</li></ol>
ܘ ܠ ܕ|w l d	<i>root</i><br><ol><li>forming words pertaining to bearing children and birth</li></ol>
ܘ ܬ ܒ|w t b	<i>root</i><br><ol><li>forming words pertaining to sitting, settling</li></ol>
ܘܠܝܐ|ܘܵܠܝܼܵܐ|walia	<i>name</i><br><ol><li>Wales: (region of the island of Great Britain)</li></ol>
ܘܪܕܐ|wārda|ܘܲܪܕܵܐ|ܘܲܪ̈ܕܹܐ	<i>adj</i><br><ol><li>pink</li></ol><br><i>noun</i><br><ol><li>rose: A typically pink flower, native to north temperate regions and widely grown as an ornamental.</li><li>(colloquial) (by extension) flower</li><li>pink (colour)</li></ol>
ܘܪܩܐ|ܘܲܪܵܩܵܐ|ܘܲܪ̈ܵܩܹܐ|warāqā	<i>noun</i><br><ol><li>paper</li><li>card</li><li>map</li></ol>
ܘܪܩܬܐ|ܘܲܪܵܩܬܘܿܗ̇|warraqtā|ܘܲܪܵܩܬܲܢ|ܘܲܪ̈ܵܩܘܼܟ݂|ܘܲܪܵܩܬܵܐ|ܘܲܪܵܩܬܵܟ݂ܝ|warrāqtāḵ|ܘܲܪܵܩܬܹܗ|warrāqī|warrāquh|ܘܲܪ̈ܵܩܝܼ|ܘܲܪ̈ܵܩܬܲܝ|warrāqan|ܘܲܪ̈ܵܩܗܘܿܢ|warrāqtan|ܘܲܪܵܩܬ|ܘܲܪ̈ܵܩܲܢ|warrāqtā|ܘܲܪܵܩܬܵܘܟ݂ܘܿܢ|warrāqāḵ|warrāqtuḵ|ܘܲܪ̈ܵܩܵܟ݂ܝ|ܘܲܪ̈ܵܩܹܐ|ܘܲܪܵܩܬܗܘܿܢ|warrāqthon|warrāqtoh|ܘܲܪܲܩܬܵܐ|ܘܲܪܵܩܬܝܼ|warrāqē|warrāqtī|warrāqoh|warrāqtēh|warrāqhon|warrāquḵ|ܘܲܪ̈ܵܩܘܿܗ̇|warrāqtāwḵon|warrāqtay|warrāqt|ܘܲܪܵܩܬܘܼܟ݂|ܘܲܪ̈ܵܩܵܘܟ݂ܘܿܢ|warrāqāwḵon|ܘܲܪ̈ܵܩܘܼܗܝ	<i>noun</i><br><ol><li>document</li><li>playing card</li></ol>
ܘܵܪܵܘܘܼܪܕ|wārāwurd	<i>noun</i><br><ol><li>attention</li></ol>
ܙܒܢ|ܙܲܒܢܸܢ|ܙܲܒܢܵܐ|zāḇnaḥ|ܙܲܒܢܸܬ|zāḇnīton|zabnā|ܙܒ݂ܵܢܵܐ|zabnīton|ܙܒ݂ܝܼܢܵܟ݂ܝ|ܙܒ݂ܘܿܢܝ|ܙܒ݂ܝܼܢܘܼܟ݂|zḇīnuḵ|zāḇnān|ܙܒ݂ܘܿܢ|zabnān|zāḇnāt|ܙܵܒ݂ܢܝܼ|zḇīnhon|zubinī|ܙܲܒܢܲܚ|ܙܲܒܘܼܢܹܐ|ܙܘܼܒܸܢܗܘܿܢ|ܙܵܒ݂ܢܝܼܬܘܿܢ|zḇīnēh|ܙܘܼܒܸܢܹܗ|zḇīnan|zāḇnī|zubinnēh|ܙܘܼܒܸܢܵܟ݂ܝ|zabbin|ܙܘܼܒܢܵܐ|zabnī|ܙܒ݂ܝܼܢܲܢ|zabnaḥ|ܙܒ݂ܝܼܢܵܘܟ݂ܘܿܢ|zḇīnāwḵon|ܙܵܒ݂ܢܹܬ|zubinnan|zubinnāḵ|ܙܲܒܢܝܼ|ܙܵܒ݂ܢܵܬ|zḇīnī|zabnit|zubinnāh|ܙܲܒܢܘܼܢ|ܙܲܒܢܵܢ|zabnāt|ܙܘܼܒܸܢܝܼ|ܙܒ݂ܝܼܢܝܼ|ܙܵܒ݂ܢܹܢ|ܙܒ݂ܝܼܢܵܗ̇|zubinnāwḵon|ܙܵܒ݂ܢܵܐ|zāwēn|zāḇēn|zabnin|ܙܵܒ݂ܢܲܚ|zḇon|zāḇnēt|zāḇnā|ܙܘܼܒܸܢܘܼܟ݂|ܙܲܒܢܵܬܝ|ܙܘܼܒܸܢܵܘܟ݂ܘܿܢ|ܙܘܼܒܸܢܲܢ|ܙܲܒܢܝܼܬܘܿܢ|zāḇnēn|zubinhon|ܙܵܒ݂ܹܢ|ܙܲܒܸܢܝ|ܙܲܒܸܢ|ܙܒ݂ܝܼܢܵܐ|ܙܘܼܒܸܢܵܗ̇|zḇīnāḵ|zabnun|ܙܒ݂ܘܿܢܘܼܢ|zubinuḵ|ܙܒ݂ܝܼܢܹܗ|zḇonun|ܙܵܒ݂ܢܵܢ|zḇīnāh|ܙܒ݂ܝܼܢܗܘܿܢ	<i>verb</i><br><ol><li>to buy, purchase</li><li>to sell, vend</li></ol>
ܙܒܢܐ|ܙܲܒ݂ܢܹܗ|ܙܲܒ݂ܢܘܼ̈ܟ݂|ܙܲܒ݂ܢܹ̈ܐ|ܙܲܒ݂ܢ̈ܘܿܗ̇|zaḇnā|ܙܸܒ݂ܢܵܘ̈ܟ݂ܘܿܢ|ܙܲܒ݂ܢܵܟ݂ܝ̈|ܙܸܒ݂ܢܘܼ̈ܗܝ|ziḇnuh|ܙܸܒ݂ܢܵܟ݂ܝ|ziḇnuḵ|ܙܲܒ݂ܢܘܿܗ̇|zaḇnē|ܙܲܒ݂ܢܵܘ̈ܟ݂ܘܿܢ|ziwnā|ܙܸܒ݂ܢܲܢ̈|ܙܸܒ݂ܢܘܼܟ݂|ziḇnē|ܙܸܒ݂ܢܵܐ|ܙܲܒ݂ܢܲܝ̈|ܙܸܒ݂ܢܗ̈ܘܿܢ|ܙܲܒ݂ܢܵܘܟ݂ܘܿܢ|ܙܸܒ݂ܢ̈ܘܿܗ̇|zaḇnay|zaḇnāwḵon|ܙܸܒ݂ܢܝܼ̈|ܙܸܒ݂ܢ|ziḇnhon|zaḇnī|ܙܸܒ݂ܢܗܘܿܢ|ziḇnan|ziḇn|ܙܲܒ݂ܢܲܢ|ܙܲܒ݂ܢ|zaḇn|zaḇnoh|ܙܸܒ݂ܢܹ̈ܐ|zaḇnuḵ|ziḇnay|ܙܸܒ݂ܢܘܼ̈ܟ݂|ܙܲܒ݂ܢܵܟ݂ܝ|ܙܲܒ݂ܢܗܘܿܢ|ܙܲܒ݂ܢܝܼ̈|ܙܸܒ݂ܢܹܗ|zaḇnēh|ziḇnī|ܙܸܒ݂ܢܵܘܟ݂ܘܿܢ|ܙܸܒ݂ܢܲܝ̈|ܙܸܒ݂ܢܲܢ|ܙܲܒ݂ܢܵܐ|zaḇnuh|zaḇnhon|ziḇnoh|ܙܸܒ݂ܢܘܿܗ̇|zaḇnan|zaḇnāḵ|ܙܲܒ݂ܢܲܢ̈|ܙܲܒ݂ܢܗ̈ܘܿܢ|ܙܸܒ݂ܢܝܼ|ܙܸܒ݂ܢܵܟ݂ܝ̈|ziḇnāḵ|ziḇnēh|ܙܲܒ݂ܢܝܼ|ܙܲܒ݂ܢܘܼܟ݂|ziḇnāwḵon|ܙܲܒ݂ܢܘܼ̈ܗܝ|ziḇnā	<i>noun</i><br><ol><li>(uncountable) time (inevitable passing of events)</li><li>(countable) a time (duration of time)</li><li>(by extension) a time (measurement of a quantity of time)</li><li>(grammar) a tense (verb form distinguishing time)</li><li>epoch, era, age</li><li>season</li><li>purchase</li></ol>
ܙܓܘܓܝܬܐ|ܙܓ݂ܘܿܓ݂ܝܝܵܬܲܢ̈|ܙܓ݂ܘܿܓ݂ܝܝܵܬܘܼ̈ܟ݂|zḡoḡītēh|ܙܓ݂ܘܿܓ݂ܝܬܝܼ|ܙܓ݂ܘܿܓ݂ܝܬܘܿܗ̇|ܙܓ݂ܘܿܓ݂ܝܝܵܬ̈|zḡoḡīyātēyuh|zḡoḡīyātan|zḡoḡīta|zḡoḡīyātāwḵon|ܙܓ݂ܘܿܓ݂ܝܬܲܢ|ܙܓ݂ܘܿܓ݂ܝܝܵܬܵܟ݂ܝ̈|zḡoḡītā|zḡoḡīyātē|zḡoḡītuḵ|ܙܓ݂ܘܿܓ݂ܝܝܵܬܹܘܼ̈ܗܝ|ܙܓ݂ܘܿܓ݂ܝܬܵܟ݂ܝ|zḡoḡītan|ܙܓ݂ܘܿܓ݂ܝܝܵܬܝܼ̈|ܙܓ݂ܘܼܓ݂ܝܼܬܵܐ|ܙܓ݂ܘܿܓ݂ܝܝܵܬܵܘ̈ܟ݂ܘܿܢ|zḡoḡītoh|ܙܓ݂ܘܼܓ݂ܝܼܵܬܹ̈ܐ|ܙܓ݂ܘܿܓ݂ܝܝܵܬ̈ܘܿܗ̇|ܙܓ݂ܘܿܓ݂ܝܬܹܗ|zḡoḡīyāthon|zḡoḡītāḵ|zḡoḡīyātuḵ|ܙܓ݂ܘܿܓ݂ܝܬܗܘܿܢ|ܙܓ݂ܘܿܓ݂ܝܝܵܬܹ̈ܐ|zḡoḡīyātoh|zḡoḡīyātī|ܙܓ݂ܘܿܓ݂ܝܝܵܬܗ̈ܘܿܢ|zḡoḡītī|zḡoḡīyāt|zḡoḡīthon|ܙܓ݂ܘܿܓ݂ܝܬܵܐ|zḡoḡyat|ܙܓ݂ܘܿܓ݂ܝܬܵܘܟ݂ܘܿܢ|zḡoḡītāwḵon|ܙܓ݂ܘܿܓ݂ܝܲܬ|ܙܓ݂ܘܿܓ݂ܝܬܘܼܟ݂|zḡoḡīyātāḵ	<i>noun</i><br><ol><li>glass (substance)</li><li>(medicine) eye disease</li></ol>
ܙܕܥ|zdīʿ lhon|zādʿēn|ܙܕܝܼܥ ܠܝܼ|ܙܵܕܥܵܬ|zādʿāt|zdīʿ lāḵ|ܙܕܝܼܥܵܐ|ܙܕܥܹܡܘܼܢ|ܙܵܕܥܝܼܬܘܿܢ|zādʿḥa|ܙܕܝܼܥ ܠܲܢ|ܙܵܕܥܵܢ|zādʿēt|zādʿān|zdīʿ luḵ|zdīʿ lan|zādʿī|ܙܕܝܼܥ ܠܵܟ݂ܝ|zdʿē|zādʿīton|ܙܵܕܥܚܲ|ܙܵܕܥܹܢ|zdīʿ lāwḵon|ܙܵܕܥܹܬ|zdīʿ lī|ܙܕܝܼܥ ܠܵܗ̇|ܙܵܕܥܵܐ|zdīʿ lāh|ܙܵܕܥܝܼ|zdīʿ lēh|ܙܕܝܼܥ ܠܵܘܟ݂ܘܿܢ|ܙܕܝܼܥ ܠܘܼܟ݂|ܙܕܝܼܥ ܠܗܘܿܢ|ܙܕܥܝܼ|ܙܵܕܹܥ|zādʿā|ܙܕܝܼܥ ܠܹܗ|ܙܕܥܹܐ|zādēʿ|zdʿēmun|zdʿī|ܙܕܵܥܵܐ	<i>verb</i><br><ol><li>to fear, to be scared</li></ol>
ܙܘܙܐ|zuzā|({{{pl.abs.}}})|zuzē|ܙܘܼܙܵܘ̈ܟ݂ܘܿܢ|zuzhon|zuze|ܙܘܼܙܵܐ|ܙܘܼܙܹ̈ܗ|ܙܘܼܙܵܟ݂ܝ|ܙܘܼܙܵܘܟ݂ܘܿܢ|zuzēh|ܙܘܼܙܵܟ݂ܝ̈|{{{pl.abs.}}}|zuzāwḵon|zuzoh|zuzuḵ|ܙܘܼܙܝܼ̈|zuzan|ܙܘܼܙ̈ܘܿܗ̇|ܙܘܼ̈ܙܲܢ|ܙܘܼܙܘܼܟ݂|zuzī|ܙܘܼܙܘܿܗ̇|ܙܘܼܙܗ̈ܘܿܢ|zuzāḵ|ܙܘܼܙܹܗ|{{{sg.abs.}}}|ܙܘܼܙܗܘܿܢ|ܙܘܼܙܝܼ|ܙܘܼܙܹ̈ܐ|{{{sg.cstr.}}}|ܙܘܼܙܲܢ|{{{pl.cstr.}}}|({{{sg.abs.}}})|ܙܘܼܙܘܼ̈ܟ݂	<i>noun</i><br><ol><li>coin: a flat disc or piece of metal with an official stamp, used as money.</li><li>(in the plural) money: a current medium of exchange in the form of coins and banknotes; coins and banknotes collectively.</li><li>(numismatics) zuz, drachma, dirhem</li><li>dram (weight)</li><li>dipper, ladle</li></ol>
ܙܘܠܒܢܐ|ܙܘܼܠܒܵܢܲܢ|ܙܘܼܠܒܵܢܘܼܟ݂|ܙܘܼܠܒܵܢܹܗ|zulbānī|ܙܘܼܠܒܵܢܲܢ̈|zulbānay|ܙܘܼܠܒܵܢܵܘ̈ܟ݂ܘܿܢ|zulbānē|ܙܘܼܠܒܵܢܵܘܟ݂ܘܿܢ|ܙܘܼܠܒܵܢܝܼ|ܙܘܼܠܒܵܢܵܟ݂ܝ̈|zulbānuh|zulbānā|zulbānhon|zulbānuḵ|ܙܘܼܠܒܵܢ|ܙܘܼܠܒܵܢܝܼ̈|zulbānāwḵon|zulbānāḵ|zulbānēh|zulbānan|ܙܘܼܠܒܵܢ̈ܘܿܗ̇|ܙܘܼܠܒܵܢܘܼ̈ܟ݂|zulbān|zulbānoh|ܙܘܼܠܒܵܢܵܟ݂ܝ|ܙܘܼܠܒܵܢܲܝ̈|ܙܘܼܠܒܵܢܘܼ̈ܗܝ|ܙܘܼܠܒܵܢܹ̈ܐ|ܙܘܼܠܒܵܢܘܿܗ̇|ܙܘܼܠܒܵܢܗ̈ܘܿܢ|ܙܘܼܠܒܵܢܗܘܿܢ|ܙܘܼܠܒܵܢܵܐ	<i>noun</i><br><ol><li>(anatomy) penis, phallus (male reproductive organ used for copulation and urination)</li></ol>
ܙܘܠܚܙܘܐ|ܙܘܼܠܚܸܙܘܵܐ|ܙܘܼܠܚܸܙܘܵܢܹ̈ܐ|zulḳizwa	<i>noun</i><br><ol><li>video: A short film clip, with or without audio or one of the plethora of user-generated short movies on sites such as YouTube..</li></ol>
ܙܝ|ܙܝܼ|zī	<i>verb</i><br><ol><li>Used to form a present progressive tense with a future aspect.</li><li>(with ܗ݇ܘܵܐ (wā)) Entails a past progressive action that preceded an ensuing occurrence or action in the past.</li></ol>
ܙܝܚ|zuyiḥ lan|ܙܲܝܸܚ|zayḥī|zuyiḥ lāwḵon|zayyiḥ|ܙܘܼܝܸܚ ܠܲܢ|ܙܲܝܸܚܝ|ܙܲܝܚܝܼܬܘܿܢ|ܚܘܼܝܸܚܵܐ|zuyiḥ lēh|zayḥīton|ܙܘܼܝܸܚ ܠܗܘܿܢ|ܙܲܝܚܵܐ|zuyiḥ lāḵ|ܙܘܼܝܸܚ ܠܝܼ|ܙܲܝܚܲܚ|ܙܘܼܝܸܚ ܠܵܟ݂ܝ|ܙܲܝܚܵܢ|zayḥāt|ܙܲܝܚܘܼܢ|zuyiḥ luḵ|ܙܘܼܝܸܚ ܠܘܼܟ݂|zayḥān|zayḥā|zuyiḥ lī|zayiḵ|ܙܘܼܝܸܚ ܠܵܗ̇|zuyiḥ lhon|zayḥin|ܙܲܝܚܸܬ|zayḥit|ܙܲܝܚܵܬܝ|ܙܘܼܝܸܚ ܠܵܘܟ݂ܘܿܢ|zayḥun|ܙܲܝܚܸܢ|zayḥaḥ|ܙܲܝܚܝܼ|ܙܘܼܝܸܚ ܠܹܗ|ܙܲܝܘܼܚܹܐ|zuyiḥ lāh	<i>verb</i><br><ol><li>to celebrate</li></ol>
ܙܝܠܢܕܐ ܚܕܬܐ|zīlanda ḳadta|ܙܝܼܠܵܢܕܵܐ ܚܲܕܬܵܐ	<i>name</i><br><ol><li>New Zealand: A country in Oceania, to the east of Australia (Australiya).</li><li>The islands of New Zealand, especially the North Island, South Island and nearby coastal islands.</li><li>The Realm of New Zealand, including the Cook Islands, Niue, Tokelau and the Ross Dependency.</li></ol>
