Ahadi|Ahad	<i>name</i><br><ol><li>Sunday</li></ol>
buki	<i>noun</i><br><ol><li>a plug, stopper</li></ol>
buku	<i>noun</i><br><ol><li>a hill</li></ol>
bukubuku	<i>noun</i><br><ol><li>an owl</li><li>the knee</li></ol>
bula	<i>noun</i><br><ol><li>a part, piece, component</li></ol>
bulia	<i>noun</i><br><ol><li>a hermaphrodite, waria, banci</li></ol>
bungsalak	<i>noun</i><br><ol><li>the salak palm (Salacca zalacca)</li></ol>
buo|mobuo|nobuo|ibuo|mibuo|yobuo|nibuo|fobuo|tobuo|obuo	<i>verb</i><br><ol><li>(stative) to be fruitful</li></ol>
burede|toburede|noburede|oburede|niburede|yoburede|miburede|foburede|moburede|iburede	<i>verb</i><br><ol><li>(intransitive) to spit</li></ol>
burhaso|noburhaso|toburhaso|moburhaso|niburhaso|miburhaso|foburhaso|iburhaso|yoburhaso|oburhaso	<i>verb</i><br><ol><li>(stative) to be warm</li></ol>
buro	<i>noun</i><br><ol><li>a large shrimp</li></ol>
buroburo	<i>noun</i><br><ol><li>the toddy palm (Borassus flabellifer)</li></ol>
buru|toburu|oburu|noburu|niburu|moburu|foburu|iburu|miburu|yoburu	<i>verb</i><br><ol><li>(stative) to be rough</li></ol>
busa|nibusa|obusa|ibusa|yobusa|nobusa|fobusa|mobusa|tobusa|mibusa	<i>verb</i><br><ol><li>(stative) to be wet</li></ol>
busengi|tobusengi|mobusengi|nobusengi|mibusengi|obusengi|ibusengi|nibusengi|yobusengi|fobusengi	<i>verb</i><br><ol><li>(stative) to be lazy</li></ol>
busu|mibusu|nibusu|ibusu|mobusu|tobusu|obusu|fobusu|nobusu|yobusu	<i>verb</i><br><ol><li>(transitive) to dislike</li></ol>
butu|nobutu|fobutu|obutu|mibutu|yobutu|mobutu|tobutu|ibutu|nibutu	<i>noun</i><br><ol><li>a market</li></ol><br><i>verb</i><br><ol><li>(transitive) to press</li></ol>
butue	<i>noun</i><br><ol><li>a small fishnet</li></ol>
buya	<i>noun</i><br><ol><li>an areca leaf sheath, upih pinang</li></ol>
cabu	<i>det</i><br><ol><li>a little</li></ol><br><i>adv</i><br><ol><li>used to make a request or imperative sentence polite; please</li></ol>
cacabu	<i>noun</i><br><ol><li>a moment</li></ol>
cacu|focacu|icacu|micacu|nocacu|tocacu|nicacu|mocacu|ocacu|yocacu	<i>verb</i><br><ol><li>(transitive) to chop</li></ol>
cafarune|micafarune|icafarune|tocafarune|mocafarune|focafarune|ocafarune|nicafarune|yocafarune|nocafarune	<i>verb</i><br><ol><li>(stative) to be filthy</li></ol>
cafi	<i>noun</i><br><ol><li>a half coconut shell</li></ol>
caga|yocaga|mocaga|nicaga|tocaga|focaga|nocaga|micaga|icaga|ocaga	<i>noun</i><br><ol><li>a branch, twig</li></ol><br><i>verb</i><br><ol><li>(stative) to be branched</li></ol>
cako|nicako|focako|nocako|ocako|icako|tocako|mocako|micako|yocako	<i>verb</i><br><ol><li>(transitive) to strike, hit</li></ol><br><i>noun</i><br><ol><li>an hour</li></ol><br><i>adv</i><br><ol><li>o'clock</li></ol>
calana|چلان	<i>noun</i><br><ol><li>trousers, pants</li></ol>
campada|چمڤادة	<i>noun</i><br><ol><li>the chempedak</li></ol>
cangkir	<i>noun</i><br><ol><li>cup</li></ol>
cidako|چيداکو	<i>noun</i><br><ol><li>a loincloth, particularly one made of bark</li></ol>
ciko|yociko|ociko|mociko|tociko|nociko|iciko|miciko|fociko|niciko	<i>verb</i><br><ol><li>(stative) to be crooked, bent</li></ol>
cipo	<i>noun</i><br><ol><li>the telekung</li></ol>
coklat	<i>noun</i><br><ol><li>chocolate</li><li>brown</li></ol>
cou|nicou|icou|focou|mocou|micou|nocou|tocou|ocou|yocou	<i>verb</i><br><ol><li>(transitive) to serve</li></ol>
cuma	<i>adv</i><br><ol><li>only, merely</li></ol>
dadi|idadi|midadi|nidadi|دادي|odadi|fodadi|modadi|todadi|yodadi|nodadi	<i>verb</i><br><ol><li>(intransitive) to happen, occur, come about</li><li>(transitive) to become</li><li>(auxiliary) to be possible; to be able to, to be capable of</li></ol><br><i>adv</i><br><ol><li>therefore, thus</li></ol>
difutu	<i>adv</i><br><ol><li>tomorrow</li></ol>
difutu lobi|futu lobi	<i>adv</i><br><ol><li>tomorrow night</li></ol>
dofola	<i>noun</i><br><ol><li>the tropical bedbug (Cimex hemipterus)</li></ol>
dogo|idogo|nidogo|todogo|midogo|odogo|yodogo|fodogo|modogo|nodogo	<i>verb</i><br><ol><li>(transitive) to add</li></ol><br><i>conj</i><br><ol><li>in addition to, moreover</li><li>and</li></ol>
doko|دوکو	<i>noun</i><br><ol><li>Areca glandiformis</li></ol>
dokter	<i>noun</i><br><ol><li>doctor, physician</li></ol>
dolosi|دولوسي	<i>noun</i><br><ol><li>certain species of fish, the species Caesio cuning¹ or certain species of the genus Plectorhinchus²</li></ol>
dongodongo	<i>noun</i><br><ol><li>the plant Casearia halmaherensis</li></ol>
dopola	<i>noun</i><br><ol><li>the tropical bedbug (Cimex hemipterus)</li></ol>
dopolo cumu	<i>verb</i><br><ol><li>(intransitive, possessed) to have a headache; for one's head to ache</li></ol>
dowongi|دووڠي|dowong	<i>noun</i><br><ol><li>sand</li><li>beach</li></ol>
dowora|دووراة	<i>noun</i><br><ol><li>Intsia bijuga var. bijuga</li></ol>
duga	<i>adv</i><br><ol><li>only, merely</li></ol>
duko|دوکو	<i>noun</i><br><ol><li>volcano</li><li>a stream of lava; stones released in a volcanic eruption</li></ol>
dumaha|nidumaha|todumaha|idumaha|midumaha|fodumaha|modumaha|odumaha|nodumaha|yodumaha	<i>verb</i><br><ol><li>(transitive, intransitive) to wait</li></ol>
dumdum	<i>noun</i><br><ol><li>moss</li></ol>
dupa	<i>noun</i><br><ol><li>incense</li></ol>
duto	<i>noun</i><br><ol><li>wood</li></ol>
elaela|ئلة ئلة	<i>noun</i><br><ol><li>banana stem</li><li>torch, lantern</li><li>Short for malam elaela.</li></ol>
eli|toeli|yoel|foel|toel|nieli|miel|mieli|oel|noeli|niel|yoeli|ieli|moeli|foeli|noel|iel|el|oeli|moel	<i>verb</i><br><ol><li>(transitive) to remember</li></ol>
elieli|elel	<i>noun</i><br><ol><li>a souvenir</li></ol>
ember	<i>noun</i><br><ol><li>bucket</li></ol>
ena|اين|ma|i	<i>pron</i><br><ol><li>(for non-human groups) third-person plural pronoun, they</li></ol>
fadu|fofadu|tofadu|mifadu|ofadu|mofadu|ifadu|nifadu|yofadu|nofadu	<i>verb</i><br><ol><li>(intransitive) to answer, respond</li></ol>
faduli|fofaduli|nofaduli|mifaduli|tofaduli|ofaduli|yofaduli|nifaduli|mofaduli|ifaduli	<i>verb</i><br><ol><li>(transitive) to care about</li></ol>
faeda|faida	<i>noun</i><br><ol><li>usefulness, benefit</li></ol>
fael	<i>noun</i><br><ol><li>behavior</li></ol>
fafa	<i>noun</i><br><ol><li>the midrib of a palm leaf</li></ol>
fahe|fofahe|notofahe|yofahe|fotofahe|nitofahe|nofahe|tofahe|otofahe|itofahe|yotofahe|motofahe|totofahe|mofahe|ofahe|mitofahe|nifahe|mifahe|ifahe	<i>verb</i><br><ol><li>(intransitive) to leak</li></ol>
fahefahe	<i>noun</i><br><ol><li>a heat rash</li></ol>
fai|yofai|mofai|nifai|tofai|ofai|fofai|nofai|mifai|ifai	<i>verb</i><br><ol><li>(intransitive) to dig</li></ol>
faja|mifaja|yofaja|nofaja|mofaja|ofaja|nifaja|tofaja|ifaja|fofaja	<i>verb</i><br><ol><li>(stative) to be dirty</li></ol>
fajaro|ri|فجارو|to	<i>pron</i><br><ol><li>(formal, feminine) Alternative form of fajaru (“I”)</li></ol>
fajaro ngomi|mi|mia|فجارو ڠومي	<i>pron</i><br><ol><li>(formal, feminine) Alternative form of fajaru ngomi (“we (exclusive)”)</li></ol>
fajaru|ri|فجارو|to	<i>pron</i><br><ol><li>(formal, feminine) first-person singular pronoun, I</li></ol>
fajaru ngomi|mi|mia|فجارو ڠومي	<i>pron</i><br><ol><li>(formal, feminine) first-person plural exclusive pronoun, we</li></ol>
faka|ofaka|yofaka|nofaka|fofaka|nifaka|tofaka|mifaka|mofaka|ifaka	<i>verb</i><br><ol><li>(transitive) to swallow</li><li>(transitive) to drink very quickly, to bolt down</li></ol>
fako|nifako|nofako|mofako|fofako|tofako|yofako|ifako|ofako|mifako	<i>verb</i><br><ol><li>(transitive) to pry</li></ol>
fala	<i>noun</i><br><ol><li>house</li></ol>
falafala	<i>noun</i><br><ol><li>a miniature or model house</li></ol>
falalamo|fallamo	<i>noun</i><br><ol><li>the living room of a house</li></ol>
falalom|فللوم	<i>noun</i><br><ol><li>a slave</li></ol>
falamoi	<i>noun</i><br><ol><li>wife</li></ol>
falo|fofalo|ofalo|mifalo|yofalo|ifalo|nifalo|nofalo|tofalo|mofalo	<i>verb</i><br><ol><li>to collect water with a bucket</li><li>to bail, to remove water with a bucket (from a boat, etc.)</li></ol>
falofalo	<i>noun</i><br><ol><li>ladle</li></ol>
fana	<i>noun</i><br><ol><li>the ridge of a house</li></ol>
fandun|mifandun|yofandun|ofandun|nofandun|mofandun|tofandun|nifandun|fofandun|ifandun	<i>verb</i><br><ol><li>to need</li></ol>
fane|ofane|ifane|nifane|fofane|mofane|mifane|tofane|nofane|فاني|yofane	<i>verb</i><br><ol><li>(intransitive) to come up</li><li>(intransitive) to rise</li><li>(intransitive, of the moon) to wax</li></ol>
faneti|feneti	<i>noun</i><br><ol><li>a safety pin</li></ol>
fangare|ri|فڠاري|to	<i>pron</i><br><ol><li>(formal, masculine) first-person singular pronoun, I</li></ol>
fangare ngomi|mi|mia|فڠاري ڠومي	<i>pron</i><br><ol><li>(formal, masculine) first-person plural exclusive pronoun, we</li></ol>
fangoto|ri	<i>pron</i><br><ol><li>(formal, masculine) first-person singular pronoun, I</li></ol>
fanili	<i>noun</i><br><ol><li>sand</li></ol>
fanyira	<i>noun</i><br><ol><li>a village or kampung chief</li></ol>
fao|nofao|nifao|tofao|mifao|ofao|mofao|ifao|yofao|fofao	<i>verb</i><br><ol><li>(transitive) to pull out</li></ol>
fara|nifara|fofara|ifara|yofara|nofara|tofara|mofara|mifara|ofara	<i>noun</i><br><ol><li>a kind, type, category</li><li>a birthmark</li></ol><br><i>verb</i><br><ol><li>(transitive) to separate</li></ol>
fara ngomi|mi|mia	<i>pron</i><br><ol><li>(formal, mixed gender) first-person plural exclusive pronoun, we</li></ol>
faramadani	<i>noun</i><br><ol><li>a carpet, rug</li></ol>
farfuji	<i>noun</i><br><ol><li>a ramrod</li></ol>
fasik	<i>noun</i><br><ol><li>a thief</li></ol>
fastiu|mofastiu|ipastiu|fofastiu|topastiu|tofastiu|mipastiu|fopastiu|nifastiu|yopastiu|mopastiu|ofastiu|yofastiu|mifastiu|nopastiu|nipastiu|opastiu|pastiu|ifastiu|nofastiu	<i>verb</i><br><ol><li>(stative) to be bored</li></ol>
fati|mofati|mifati|ofati|ifati|nifati|fofati|yofati|nofati|tofati	<i>verb</i><br><ol><li>(transitive) to block, hinder</li></ol>
fato|nofato|nifato|fofato|yofato|ofato|tofato|ifato|mifato|mofato	<i>verb</i><br><ol><li>(transitive) to align, put in a row, put side by side</li><li>(transitive) to order, arrange</li></ol>
fatu	<i>noun</i><br><ol><li>a haft, handle</li></ol>
fea|nifea|tofea|yofea|fofea|nofea|mifea|ofea|mofea|ifea	<i>verb</i><br><ol><li>to open</li></ol>
fela|mofela|ifela|tofela|yofela|mifela|fofela|nofela|nifela|ofela	<i>verb</i><br><ol><li>(intransitive) to open</li><li>(transitive) to open</li></ol>
feno|yofeno|nofeno|fofeno|mifeno|ifeno|tofeno|ofeno|mofeno|nifeno	<i>verb</i><br><ol><li>(transitive) to close, close up, shut, cover</li></ol>
fere|fofere|ofere|فيري|nifere|mofere|yofere|tofere|mifere|ifere|nofere	<i>verb</i><br><ol><li>(intransitive) to ascend</li><li>(intransitive, transitive) to climb</li><li>(intransitive, of the Sultan's palace) to go, go to, enter</li></ol>
fero|ofero|tofero|nofero|mifero|ifero|nifero|yofero|mofero|fofero	<i>verb</i><br><ol><li>(intransitive, of plants, etc.) to grow</li></ol>
fesa|ifesa|nifesa|mofesa|mifesa|fofesa|tofesa|yofesa|nofesa|ofesa	<i>verb</i><br><ol><li>(stative) to be wet</li></ol>
festa|فست|pesta	<i>noun</i><br><ol><li>a party, celebration, feast day</li></ol>
festa sara toca	<i>noun</i><br><ol><li>a Ternatean celebration or ceremony, whereby a new house is inaugurated by burning candles</li></ol>
fetefete	<i>noun</i><br><ol><li>the poison bulb or giant crinum lily (Crinum asiaticum)</li></ol>
feto|tofeto|fofeto|ifeto|mifeto|ofeto|yofeto|nofeto|mofeto|nifeto	<i>verb</i><br><ol><li>(transitive) to complain about</li></ol>
fifi|ofifi|ififi|yofifi|tofifi|mofifi|nofifi|nififi|mififi|fofifi	<i>verb</i><br><ol><li>(transitive) to suck</li></ol>
fika	<i>noun</i><br><ol><li>ash, ashes</li></ol>
fikafika	<i>noun</i><br><ol><li>the color gray</li></ol>
fikir|tofikir|fofikir|yofikir|mofikir|ofikir|nifikir|mifikir|ifikir|nofikir	<i>verb</i><br><ol><li>(intransitive) to think</li></ol>
fiko	<i>noun</i><br><ol><li>the plant Elaeocarpus petiolatus</li></ol>
filutu	<i>noun</i><br><ol><li>a flute</li></ol>
fini	<i>noun</i><br><ol><li>a seed</li></ol>
fira	<i>noun</i><br><ol><li>a sister in relation to a man, a man's sister</li></ol>
firi|nifiri|mofiri|mifiri|tofiri|yofiri|ifiri|ofiri|nofiri|fofiri	<i>verb</i><br><ol><li>(intransitive) to flee, escape</li></ol>
firman	<i>noun</i><br><ol><li>a firman</li><li>a command, order</li></ol>
fis	<i>noun</i><br><ol><li>bicycle</li></ol>
fitake	<i>noun</i><br><ol><li>the tamanu (Calophyllum inophyllum)</li></ol>
fiyau|nofiyau|yofiyau|mofiyau|ifiyau|fofiyau|ofiyau|mifiyau|nifiyau|tofiyau	<i>verb</i><br><ol><li>(transitive) to strew</li></ol>
fodi|nofodi|ofodi|yofodi|tofodi|mofodi|mifodi|nifodi|fofodi|ifodi	<i>verb</i><br><ol><li>(transitive) to buy</li></ol><br><i>adv</i><br><ol><li>most, very</li></ol>
fofau	<i>noun</i><br><ol><li>the tree Albizia saponaria</li></ol>
fofi|fofofi|nifofi|mofofi|ofofi|mifofi|tofofi|nofofi|yofofi|ifofi	<i>verb</i><br><ol><li>(intransitive, of ants, etc.) to creep</li></ol>
fofoheka	<i>noun</i><br><ol><li>a woman</li></ol>
fofoki|ففوکي	<i>noun</i><br><ol><li>the eggplant, aubergine</li></ol>
foforai|mofoforai|tofoforai|fofoforai|ofoforai|ifoforai|nifoforai|mifoforai|nofoforai|yofoforai	<i>verb</i><br><ol><li>(impersonal) to drizzle</li></ol>
fofuru|nifofuru|fofofuru|ofofuru|yofofuru|nofofuru|mifofuru|ifofuru|tofofuru|mofofuru	<i>verb</i><br><ol><li>(stative) to be wild</li></ol>
foheka	<i>noun</i><br><ol><li>wife</li><li>woman</li><li>female</li></ol>
foke	<i>noun</i><br><ol><li>a cockroach</li></ol>
fokifoki	<i>noun</i><br><ol><li>the eggplant, aubergine</li></ol>
foko|tofoko|mofoko|ifoko|mifoko|yofoko|ofoko|nofoko|nifoko|fofoko	<i>verb</i><br><ol><li>(stative) to be pregnant</li></ol>
foloi|tofoloi|nofoloi|fofoloi|ofoloi|mofoloi|yofoloi|nifoloi|mifoloi|ifoloi	<i>verb</i><br><ol><li>(transitive) to exceed</li></ol><br><i>adv</i><br><ol><li>very, exceedingly</li></ol>
forai|oforai|iforai|miforai|yofoforai|mofoforai|niforai|yoforai|tofoforai|moforai|fofoforai|ofoforai|ifoforai|nifoforai|mifoforai|toforai|noforai|foforai|nofoforai	<i>verb</i><br><ol><li>(transitive) to strew</li><li>(impersonal) to drizzle</li></ol>
fores	<i>noun</i><br><ol><li>the living room of a house</li></ol>
foriki|miforiki|oforiki|noforiki|niforiki|iforiki|yoforiki|foforiki|toforiki|moforiki	<i>verb</i><br><ol><li>(transitive) to twist in</li><li>(transitive) to twine</li><li>(transitive) to deceive</li></ol>
foro|noforo|toforo|miforo|iforo|oforo|foforo|moforo|yoforo|niforo	<i>verb</i><br><ol><li>(intransitive, of birds, etc.) to brood</li></ol>
forok	<i>noun</i><br><ol><li>a fork</li></ol>
fororo|mofororo|ofororo|mifororo|fofororo|ifororo|nifororo|yofororo|tofororo|nofororo	<i>verb</i><br><ol><li>(intransitive) to frown</li></ol>
foso|tofoso|yofoso|mofoso|fofoso|nofoso|ifoso|nifoso|ofoso|mifoso	<i>verb</i><br><ol><li>(stative) to be forbidden, taboo</li></ol>
foto	<i>noun</i><br><ol><li>a photograph</li></ol>
foturu|fofoturu|tofoturu|ifoturu|ofoturu|mofoturu|mifoturu|yofoturu|nofoturu|nifoturu	<i>verb</i><br><ol><li>(stative) to be strong</li><li>(stative) to be hard</li></ol>
foufou	<i>noun</i><br><ol><li>the crop or craw of a bird</li></ol>
fugu|mifugu|yofugu|ofugu|mofugu|ifugu|nofugu|nifugu|fofugu|tofugu	<i>verb</i><br><ol><li>(stative) to be hunched</li></ol>
fukafuka|nifukafuka|tofukafuka|mifukafuka|mofukafuka|fofukafuka|ofukafuka|ifukafuka|yofukafuka|nofukafuka	<i>verb</i><br><ol><li>(stative) to be confused, perplexed</li></ol>
fulaja|fofulaja|ifulaja|mifulaja|mofulaja|tofulaja|nofulaja|yofulaja|ofulaja|nifulaja	<i>verb</i><br><ol><li>(stative) to be scattered</li></ol>
fuli	<i>noun</i><br><ol><li>mace (spice obtained from nutmeg)</li></ol>
fuling|ofuling|mifuling|yofuling|mofuling|nifuling|nofuling|ifuling|fofuling|tofuling	<i>verb</i><br><ol><li>(stative) to be dizzy</li></ol>
fuma|fofuma|tofuma|ifuma|nofuma|yofuma|mifuma|nifuma|ofuma|mofuma	<i>verb</i><br><ol><li>(stative) to be stupid</li></ol>
funana	<i>noun</i><br><ol><li>the porcupinefish (family Diodontidae)</li></ol>
fuo	<i>noun</i><br><ol><li>the catjang</li><li>the mung bean (Vigna radiata)</li></ol>
fuo hate|fuohate	<i>noun</i><br><ol><li>the pigeon pea (Cajanus cajan)</li></ol>
furaga|mifuraga|ifuraga|yofuraga|nifuraga|tofuraga|fofuraga|mofuraga|ofuraga|nofuraga	<i>verb</i><br><ol><li>(stative, of hair) to be tousled</li></ol>
furasa|tofurasa|mofurasa|nofurasa|nifurasa|mifurasa|fofurasa|yofurasa|ofurasa|ifurasa	<i>verb</i><br><ol><li>(stative) to be coarse</li></ol>
furu|ifuru|nifofuru|fofofuru|nofuru|tofuru|mifuru|mofuru|ofofuru|yofofuru|nofofuru|nifuru|fofuru|yofuru|ofuru|ifofuru|tofofuru|mifofuru|mofofuru	<i>verb</i><br><ol><li>(stative) to be wild</li></ol>
futa|ifuta|nifuta|mofuta|mifuta|fofuta|ofuta|nofuta|yofuta|tofuta	<i>verb</i><br><ol><li>(stative) to be tangled</li></ol>
futu	<i>noun</i><br><ol><li>night</li></ol>
futu konora	<i>adv</i><br><ol><li>at midnight</li></ol>
futu madaha	<i>adv</i><br><ol><li>in the middle of the night</li></ol>
gagu|togagu|ogagu|igagu|nogagu|yogagu|nigagu|fogagu|mogagu|migagu	<i>noun</i><br><ol><li>the vegetable fern (Diplazium esculentum)</li><li>a stutter</li></ol><br><i>verb</i><br><ol><li>(stative) to be hard, stiff</li></ol>
gaha	<i>adv</i><br><ol><li>five days after today, four days after tomorrow</li></ol>
gamamu madaha|gamam madaha	<i>adv</i><br><ol><li>in the evening</li></ol>
gamu|gam	<i>noun</i><br><ol><li>village</li></ol>
gange	<i>adv</i><br><ol><li>three days after today, two days after tomorrow</li></ol>
gani|gan	<i>noun</i><br><ol><li>head louse</li></ol>
gasi	<i>noun</i><br><ol><li>salt</li></ol>
gate	<i>noun</i><br><ol><li>liver</li><li>heart</li></ol>
gaumedi	<i>noun</i><br><ol><li>cloves (Syzygium aromaticum)</li></ol>
ge	<i>det</i><br><ol><li>(distal) that, those</li></ol><br><i>pron</i><br><ol><li>(demonstrative) this</li></ol>
geresi	<i>noun</i><br><ol><li>yaws, frambesia</li></ol>
gia maragaraga	<i>noun</i><br><ol><li>a digit (a finger or toe)</li></ol>
gila|ogila|fogila|nigila|mogila|yogila|igila|migila|togila|nogila	<i>verb</i><br><ol><li>(stative) to be long</li><li>(intransitive) to elongate, grow</li></ol>
gina	<i>noun</i><br><ol><li>cargo, freight</li></ol>
golfino|yogolfino|migolfino|igolfino|nogolfino|togolfino|fogolfino|mogolfino|nigolfino|ogolfino	<i>verb</i><br><ol><li>(stative) alternative form of kolofino</li></ol>
golocifi|kolocifi|kolcifi|golcifi	<i>noun</i><br><ol><li>fingernail, toenail</li></ol>
golofino|ogolofino|igolofino|mogolofino|migolofino|fogolofino|yogolofino|nigolofino|nogolofino|togolofino	<i>noun</i><br><ol><li>fear</li></ol><br><i>verb</i><br><ol><li>(stative) alternative form of kolofino (“afraid”)</li></ol>
goraka|igoraka|ݢراکا|nogoraka|fogoraka|yogoraka|nigoraka|mogoraka|ogoraka|togoraka|migoraka	<i>noun</i><br><ol><li>ginger</li></ol><br><i>verb</i><br><ol><li>(stative) to be bent over</li></ol>
gosora	<i>noun</i><br><ol><li>nutmeg</li></ol>
guae|ݢواي	<i>noun</i><br><ol><li>mango (Mangifera indica)</li></ol>
gulegule tamelo	<i>noun</i><br><ol><li>a mung bean porridge (symbolizing abundance, cornucopia)</li></ol>
gunange	<i>noun</i><br><ol><li>the green tree ant (Oecophylla smaragdina)</li></ol>
guraci|ݢراچي	<i>noun</i><br><ol><li>gold</li><li>turmeric</li></ol>
guumi|guum	<i>noun</i><br><ol><li>facial hair</li><li>beard, moustache</li></ol>
hai	<i>noun</i><br><ol><li>centipede</li></ol>
haiwan	<i>noun</i><br><ol><li>animal</li><li>insect</li></ol>
hang	<i>adv</i><br><ol><li>not yet</li></ol>
hate|هاتي	<i>noun</i><br><ol><li>tree</li><li>wood</li><li>(by extension) woodwork</li></ol>
hela|ohela|fohela|nihela|nohela|tohela|ihela|yohela|mohela|mihela	<i>verb</i><br><ol><li>(transitive) to pull</li></ol>
hio mada|nohio mada|mohio mada|tohio mada|fohio mada|mihio mada|ohio mada|nihio mada|yohio mada|ihio mada	<i>verb</i><br><ol><li>(intransitive) to whistle</li></ol>
hito	<i>noun</i><br><ol><li>kitchen</li></ol>
hodo|nihodo|ihodo|ohodo|mihodo|tohodo|fohodo|nohodo|mohodo|yohodo	<i>verb</i><br><ol><li>pour</li></ol>
hohe|yohohe|fohohe|mihohe|tohohe|nihohe|mohohe|ihohe|nohohe|ohohe	<i>verb</i><br><ol><li>(intransitive) to laugh</li><li>(intransitive) to smile</li></ol>
hotu|ihotu|mohotu|mihotu|tohotu|nihotu|fohotu|yohotu|ohotu|nohotu	<i>verb</i><br><ol><li>(intransitive) to sleep</li></ol>
iha	<i>adv</i><br><ol><li>four days after today, three days after tomorrow</li></ol>
ingi|ing	<i>noun</i><br><ol><li>tooth</li></ol>
isi	<i>noun</i><br><ol><li>urine</li></ol>
jaga|ojaga|yojaga|ijaga|mojaga|tojaga|nojaga|nijaga|fojaga|mijaga	<i>noun</i><br><ol><li>a tree branch</li></ol><br><i>verb</i><br><ol><li>(transitive) to guard, to keep guard</li></ol><br><i>adv</i><br><ol><li>often</li></ol>
jaha|fojaha|mijaha|tojaha|nijaha|mojaha|yojaha|ijaha|nojaha|جاة|ojaha	<i>noun</i><br><ol><li>an ocean wave</li><li>nasi jaha</li></ol><br><i>verb</i><br><ol><li>(intransitive) to sink</li></ol>
jiko	<i>noun</i><br><ol><li>corner</li><li>(geography) bay, gulf, bight</li><li>elbow</li></ol>
jojo	<i>noun</i><br><ol><li>uncle, aunt (younger sibling of a parent)</li></ol>
jongutu|جڠوت|jingutu	<i>noun</i><br><ol><li>a mat</li><li>(specifically) a sleeping mat</li></ol>
jou|جوو|joou	<i>noun</i><br><ol><li>lord</li><li>sultan</li><li>god</li></ol>
jou ngoni|no|جوو ڠوني|ni	<i>pron</i><br><ol><li>(very formal) second-person singular pronoun, you, my Lord</li></ol>
kabi	<i>noun</i><br><ol><li>goat</li></ol>
kabi ma gosi	<i>noun</i><br><ol><li>looking-glass mangrove (Heritiera littoralis)</li></ol>
kadato|kadatung|کداتو|kadatu	<i>noun</i><br><ol><li>a palace</li><li>(metonymically) the royal court</li></ol>
kaitara	<i>adv</i><br><ol><li>last night, yesterday night</li></ol>
kakus	<i>noun</i><br><ol><li>toilet</li></ol>
kamar	<i>noun</i><br><ol><li>room, chamber</li></ol>
kanang	<i>adv</i><br><ol><li>a while ago</li></ol>
kanang ne	<i>adv</i><br><ol><li>now</li></ol>
kanang nitaika	<i>adv</i><br><ol><li>this morning</li></ol>
kanyigo	<i>adv</i><br><ol><li>yesterday</li></ol>
kanyigo se kanyigo	<i>adv</i><br><ol><li>the day before yesterday</li></ol>
kartas	<i>noun</i><br><ol><li>paper</li></ol>
kas	<i>noun</i><br><ol><li>A cupboard.</li></ol>
kaso	<i>noun</i><br><ol><li>dog (Canis familiaris)</li></ol>
kios	<i>noun</i><br><ol><li>kiosk (a small shop)</li></ol>
kobori|mokobori|ikobori|fokobori|mikobori|nikobori|nokobori|tokobori|yokobori|okobori	<i>verb</i><br><ol><li>(stative) to be curly-haired</li></ol>
kofi	<i>noun</i><br><ol><li>coffee</li></ol>
koi|کوي	<i>noun</i><br><ol><li>banana</li></ol>
kokahu	<i>noun</i><br><ol><li>the water tank used to store fish in a boat</li></ol>
kolfino|yokolfino|tokolfino|fokolfino|nikolfino|mikolfino|okolfino|ikolfino|mokolfino|nokolfino	<i>verb</i><br><ol><li>(stative) alternative form of kolofino (“afraid”)</li></ol>
kolofino|fokolofino|mikolofino|okolofino|nikolofino|mokolofino|ikolofino|tokolofino|کلفينو|yokolofino|nokolofino	<i>verb</i><br><ol><li>(stative) to be afraid</li><li>(stative) to be apprehensive</li><li>(stative) to be alarmed, concerned (out of fear)</li></ol>
kolotidi|koltidi	<i>noun</i><br><ol><li>worm</li></ol>
kore	<i>noun</i><br><ol><li>wind (real or perceived movement of atmospheric air usually caused by convection or differences in air pressure)</li></ol>
kuraci|mokuraci|okuraci|nikuraci|yokuraci|mikuraci|ikuraci|fokuraci|nokuraci|tokuraci	<i>verb</i><br><ol><li>(stative) to be yellow</li></ol>
kurusi	<i>noun</i><br><ol><li>a chair</li></ol>
kusu	<i>noun</i><br><ol><li>alang-alang, kunai grass (Imperata cylindrica)</li></ol>
lako|لاکو	<i>noun</i><br><ol><li>eye</li></ol>
lako bilolo	<i>noun</i><br><ol><li>swollen or puffy eyes</li></ol>
laku	<i>adv</i><br><ol><li>too, too much</li></ol>
lamo|tolamo|milamo|nilamo|molamo|olamo|yolamo|nolamo|لامو|ilamo|folamo	<i>verb</i><br><ol><li>(stative) to be big</li></ol>
lefer	<i>noun</i><br><ol><li>a kind of disease</li></ol>
lekaleka	<i>noun</i><br><ol><li>cassumunar ginger (Zingiber cassumunar)</li></ol>
lele	<i>noun</i><br><ol><li>betel</li></ol>
lemo sangkari|ليمو سڠکاري	<i>noun</i><br><ol><li>Citrus × sinensis, the sweet oranges</li></ol>
ligua	<i>noun</i><br><ol><li>the Burmese rosewood, angsana (Pterocarpus indicus)</li></ol>
lila	<i>noun</i><br><ol><li>the lela, lila</li></ol>
listrik	<i>noun</i><br><ol><li>electricity</li></ol>
lofonita|لوفونيته	<i>noun</i><br><ol><li>daybreak</li><li>dawn</li></ol>
ma	<i>conj</i><br><ol><li>relative clause introducer; which, that</li></ol>
