ሀየል|ሀየላት|häyyäl|and collective	<i>noun</i><br><ol><li>ibex</li></ol>
ክልኤቲ|kəlʾeti|ክልኤቱ|ክልኤተ|kəlʾetu	<i>num</i><br><ol><li>two (2)</li></ol>
ክመ|kəmä	<i>prep</i><br><ol><li>like as</li></ol><br><i>conj</i><br><ol><li>like, as</li><li>but, however, yet</li></ol><br><i>adv</i><br><ol><li>almost, like</li><li>yourself, hisself, itself</li><li>not only _x_but also_y_</li><li>somewhat</li><li>only, just</li></ol>
ክታብ|kətab|ክታባት	<i>noun</i><br><ol><li>book, leaflet, document, chit</li><li>charm, spell, amulet, fetish</li></ol>
ክንፍ|ከነፍ|አከናፍ|kənf	<i>noun</i><br><ol><li>wing, fin (of fish), branch (of tree) , border, edge</li></ol>
ክዳን|kədan|ክዳናት	<i>noun</i><br><ol><li>shelter, cover</li><li>veil, awning</li><li>garment</li><li>covering, sheath, drape</li><li>mantle, cloak</li><li>tunic</li></ol>
ኮር|kor	<i>noun</i><br><ol><li>saddle</li></ol>
ኮከብ|ከዋክብት|kokäb	<i>noun</i><br><ol><li>star</li></ol>
ኮክ|kok	<i>noun</i><br><ol><li>peach, plum</li></ol>
ኵርጅ|kʷərǧ	<i>name</i><br><ol><li>Georgia (in the Caucasus)</li></ol>
ኵናት|ኵያንው|kʷənat	<i>noun</i><br><ol><li>lance, javelin, shorter or generic spear</li><li>sword</li><li>arms</li><li>war</li></ol>
ወልድ|wäld|wəlud|ውሉድ	<i>noun</i><br><ol><li>son, child</li></ol>
ወቅፍ|wäḳf|አውቃፍ	<i>noun</i><br><ol><li>bracelet, armlet</li></ol>
ውሒዝ|ውሒዛት|wəḥiz	<i>noun</i><br><ol><li>river, stream</li></ol>
ውሳጤ|ውሳጥያት|wəsaṭe	<i>noun</i><br><ol><li>the inside (of something), the innermost part, the interior</li><li>chamber, room</li></ol>
ውዕላ|wəʿəla	<i>noun</i><br><ol><li>an antelope or mountain goat</li></ol>
ዐምድ|አዕማድ|ʿämd	<i>noun</i><br><ol><li>column supporting member in a structure</li><li>stylite</li><li>obelisk, pillar</li><li>(nautical) mast</li><li>stele, statue</li><li>scapus, pole of a candlestick</li><li>a column of text</li></ol>
ዐሞን|ʿämon	<i>name</i><br><ol><li>(biblical) Ammon, the Ammonites</li></ol>
ዐሠርቱ|ዐሥሩ|ʿäśru|ʿäśärtu|ዐሠርተ	<i>num</i><br><ol><li>ten (10)</li></ol>
ዐሥሩ|ዐሠርተ|ዐሠርቱ|ʿäśärtu|ʿäśru	<i>num</i><br><ol><li>ten (10)</li></ol>
ዐርክ|ዐርክት|ʿärk|አዕርክት|ʿärəkt|ዐርካት|ዐርካን	<i>noun</i><br><ol><li>friend</li><li>best man</li></ol>
ዐርክት|ዐርክ|ʿärk|አዕርክት|ʿärəkt|ዐርካት|ዐርካን	<i>noun</i><br><ol><li>female friend</li><li>(euphemistic) snake</li></ol>
ዐዋዲ|ʿäwadi	<i>noun</i><br><ol><li>herald</li></ol>
ዓለም|ዓለማት|ʿaläm	<i>noun</i><br><ol><li>universe, world</li></ol>
ዓመት|ʿamät|ዓመታት	<i>noun</i><br><ol><li>year</li><li>era, epoch</li></ol>
ዓም|ʿam	<i>noun</i><br><ol><li>year</li></ol>
ዓዲ|ʿadi	<i>adv</i><br><ol><li>yet, still, even now</li><li>still, further, moreover</li><li>again, once more</li><li>in addition, else</li><li>so many, so much, to such an extent</li><li>however</li><li>rather, instead</li><li>but also, yet also</li></ol>
ዕንጐት|ʿəngʷät|ዕንጐታት	<i>noun</i><br><ol><li>mountain plum (Ximenia americana)</li></ol>
ዕዋዴ|ʿəwade|ዕዋድያት	<i>noun</i><br><ol><li>globe, circuit, revolution</li><li>circle, cycle</li></ol>
ዕጣን|ʿəṭan|ዕጣናት	<i>noun</i><br><ol><li>incense, odorament</li></ol>
ዕፄ|ʿəṣ́e|ዕፄያት	<i>noun</i><br><ol><li>moth; worm</li></ol>
ዕፅ|ʿəṣ́	<i>noun</i><br><ol><li>tree</li></ol>
ዖፍ|አዕዋፋት|አዕዋፍ|ʿof	<i>noun</i><br><ol><li>(Singular and collective) bird</li></ol>
ዘመረ|zämärä	<i>verb</i><br><ol><li>to sing</li><li>to praise with songs, to sing psalms</li></ol>
ዘመን|አዝማን|ዘመናት|zämän	<i>noun</i><br><ol><li>time</li><li>age (of a person)</li><li>age, era, period, century</li><li>time of the year</li><li>season</li></ol>
ዘበጠ|conjugation ይዝብጥ|zäbäṭä	<i>verb</i><br><ol><li>to beat, to hit, to strike, to blow</li><li>to chastise, to beat for punishment etc.</li><li>to beat or strike as on an instrument to play, to pluck (as Serbo-Croatian svírati)</li></ol>
ዘነብ|zänäb|አዝናብ	<i>noun</i><br><ol><li>tail</li></ol>
ዘይት|zäyt	<i>noun</i><br><ol><li>olive tree</li><li>olive</li><li>oil</li></ol>
ዜና|ዜናት|zena	<i>noun</i><br><ol><li>announcement, message, news</li><li>rumor, reputation, fame</li><li>story, narration</li></ol>
ዝእብ|zǝʾb	<i>noun</i><br><ol><li>hyena</li></ol>
ዝክር|zəkr	<i>noun</i><br><ol><li>memory, remembrance, record, mention</li><li>sacrifice, memorial</li><li>commemoration, ode</li><li>grave, sepulcher</li><li>fame, renown</li></ol>
ዝፍት|zəft	<i>noun</i><br><ol><li>pitch, tar, latex, even resin of a pine as well as asphalt</li></ol>
የ	<i>pron</i><br><ol><li>my (bound object pronoun)</li></ol>
ይስሐቅ|yəsḥäḳ	<i>name</i><br><ol><li>Isaac</li></ol>
ዮም|yom	<i>adv</i><br><ol><li>today</li></ol>
ደም|däm|ደማት	<i>noun</i><br><ol><li>blood</li></ol>
ደቂቅና|däḳiḳna	<i>noun</i><br><ol><li>childhood</li></ol>
ደብር|däbr|አድባራት	<i>noun</i><br><ol><li>mountain</li><li>mountain range, hills</li><li>city, metropolis</li><li>boundary, border</li><li>diocese</li><li>monastery, convent</li><li>church</li></ol>
ዲበ|dibä	<i>prep</i><br><ol><li>to, on, for, imminent to, indicates direction, particularly movement over a thing</li><li>on account of, for the sake of</li><li>amongst, in addition to, on top of</li></ol>
ዳንያ|danya	<i>noun</i><br><ol><li>judge</li></ol>
ዳግም|ዳግምት|dagm	<i>num</i><br><ol><li>second (2nd)</li></ol>
ድርዕ|dərʿ	<i>noun</i><br><ol><li>breastplate, coat of mail, harness</li></ol>
ድርገት|dərgät|ድርገታት	<i>noun</i><br><ol><li>union, association, congregation</li><li>order, rank, class</li></ol>
ድብ|ድባት|dǝbb|and collective	<i>noun</i><br><ol><li>bear</li></ol>
ድንግል|ደናግል|dəngəl	<i>noun</i><br><ol><li>virgin (female but also male)</li></ol>
ዶርሆ|dorho|ደዋርህ	<i>noun</i><br><ol><li>chicken</li><li>bird</li></ol>
ገብር|gäbr|አግብርት	<i>noun</i><br><ol><li>servant, slave</li></ol>
ገብገብ|gäbgäb	<i>noun</i><br><ol><li>entrance room, vestibule, atrium</li></ol>
ገቦ|ገበዋት|gäbo	<i>noun</i><br><ol><li>side, flank of the body and other things</li></ol>
ገነት|ገነታት|gännät	<i>noun</i><br><ol><li>garden, park, or any luxuriant stead</li><li>Paradise</li></ol>
ገውዝ|gäwz	<i>noun</i><br><ol><li>walnut</li><li>nut in general (because the walnut isn’t really known in Ethiopia)</li><li>odoriferous substance from hard plant products, perfume</li></ol>
ገይስ|gäys	<i>noun</i><br><ol><li>departure, journey, leave particularly in the morning, verbal noun of ጌሰ (gesä, “to go in the morning”)</li></ol>
ገጽ|ገጻት|gäṣ	<i>noun</i><br><ol><li>(singular and collective) face</li><li>aspect, visage, eyes</li><li>form, appearance, physiognomy, complexion</li><li>presence, countenance</li></ol>
ጊሜ|gime	<i>noun</i><br><ol><li>cloud</li><li>snow, snowy weather</li></ol>
ጋዛ|gaza	<i>name</i><br><ol><li>Gaza</li></ol>
ጌርጌሴዎን|gergesewon	<i>name</i><br><ol><li>(biblical) the Girgashites</li></ol>
ጌሰ|ገይስ|gesä|conjugation ይጊስ	<i>verb</i><br><ol><li>to depart, journey, to go or leave particularly in the morning [+accusative = to]</li></ol>
ጌሰም|gesäm	<i>noun</i><br><ol><li>tomorrow, morrow</li></ol><br><i>adv</i><br><ol><li>tomorrow</li></ol>
ግልባብ|gəlbab	<i>noun</i><br><ol><li>veil</li><li>covering</li></ol>
ግዕዝ|gəʿz	<i>noun</i><br><ol><li>Ge'ez (language)</li></ol>
ጎር|አግዋር|gor	<i>noun</i><br><ol><li>neighbour</li></ol>
ጠሊ|ṭäli|ጠሊት|አጣሊ	<i>noun</i><br><ol><li>goat-child, kid</li><li>goat</li></ol>
ጠራው|ṭäraw	<i>noun</i><br><ol><li>(Astronomy) the Pleiades</li></ol>
ጢሮስ|ṭiros	<i>name</i><br><ol><li>Tyre</li></ol>
ጥንፍ|ጥነፍ|ṭənf	<i>noun</i><br><ol><li>prominence, superstructure</li><li>cornice, crossbeam of a building, joint between pillars etc.</li></ol>
ጸለለ|ṣälälä	<i>verb</i><br><ol><li>to hover, float</li><li>to fly</li></ol>
ጸሊም|ጸላም|ṣälim	<i>adj</i><br><ol><li>black, dark-colored</li><li>dark</li></ol>
ጸልመት|ṣälmät	<i>noun</i><br><ol><li>darkness, shade, shadow, dimness</li></ol>
ጸሐፈ|conjugation ይጽሐፍ|ṣäḥäfä	<i>verb</i><br><ol><li>to write</li></ol>
ጸሓፊ|ṣäḥafi|ጸሐፍ	<i>noun</i><br><ol><li>scribe</li><li>man of letters, scholar</li><li>writer</li><li>author of books</li><li>historian</li></ol>
ጸባኢ|ṣäbaʾi|ጸባእያን	<i>noun</i><br><ol><li>soldier, warrior, fighter</li></ol>
ጸብእ|አጽባእ|አጽባእት|ṣäbʾ	<i>noun</i><br><ol><li>army, armed forces</li><li>host</li><li>war expedition, battle</li></ol>
ጻህቅ|ṣahḳ|ጻህቃት	<i>noun</i><br><ol><li>petition</li><li>lack, dearth, impecuniosity</li><li>study, effort, zeal</li><li>solicitude</li></ol>
ጻጹት|ṣaṣot|ጻጾት|ṣaṣut	<i>noun</i><br><ol><li>gnat</li><li>red ant</li></ol>
ጽላሎት|ṣəlalot	<i>noun</i><br><ol><li>shade</li><li>dimness</li><li>shadow, darkness</li><li>protection</li><li>shade-shelter</li></ol>
ጽሌ|ṣəle	<i>noun</i><br><ol><li>tablet</li></ol>
ጽልመት|ṣəlmät	<i>noun</i><br><ol><li>darkness</li></ol>
ጽሩር|ṣərur	<i>noun</i><br><ol><li>cuirass</li><li>armor</li></ol>
ጽርእ|ṣərʾ	<i>name</i><br><ol><li>Greece</li></ol>
ጽናዔ|ṣənaʿe	<i>noun</i><br><ol><li>constance, firmness</li></ol>
ጽዮን|ṣəyon	<i>name</i><br><ol><li>(biblical) Zion</li></ol>
ጽድቅ|ṣədḳ	<i>noun</i><br><ol><li>law, right, justness</li><li>merit</li><li>innocence, piety, probity, uprightness, virtue, sanctity</li><li>imputed justice, justification</li><li>beneficence, mercy</li><li>restitution, absolution</li><li>wellbeing, health, safety</li><li>truth</li></ol>
ጾላዕ|ጾልዓት|ṣolaʿ	<i>noun</i><br><ol><li>stone, rock, cliff</li></ol>
ፀሓይ|ṣ́äḥay	<i>noun</i><br><ol><li>sun</li></ol>
ፃፄ|ṣ́aṣ́e	<i>noun</i><br><ol><li>moth; worm</li></ol>
ፄወወ|ṣ́ewäwä	<i>verb</i><br><ol><li>to capture, take captive</li><li>to lead off, plunder, loot ( as cattle, goods)</li><li>to lead people into exile</li><li>to conquer, subdue</li></ol>
ፄዋ|ṣ́ewa	<i>noun</i><br><ol><li>exile</li><li>captivity</li></ol>
ፈረስ|አፍራስ|färäs	<i>noun</i><br><ol><li>horse</li></ol>
ፈርየ|färyä	<i>verb</i><br><ol><li>to flower, to emit flowers</li><li>bear fruit</li><li>to come forth (of fruit)</li></ol>
ፈትል|fätl|አፍትልት|አፍታል	<i>noun</i><br><ol><li>thread, yarn, cord</li><li>metallic wire</li><li>lamp-wick</li><li>spiderweb</li></ol>
ፋርስ|fars	<i>name</i><br><ol><li>Persia, the Persians</li><li>Chaldaea, the Chaldaeans</li><li>Assyria, the Assyrians</li></ol>
ፋሲካ|fasika	<i>noun</i><br><ol><li>Easter</li><li>(Beta Israel) Passover, Pesach</li><li>paschal lamb</li></ol>
ፍሬ|fəre	<i>noun</i><br><ol><li>fruit</li><li>seed</li><li>progeny, offspring</li></ol>
ፍቅር|fəḳr	<i>noun</i><br><ol><li>love, fondness</li><li>charity</li><li>hospitality</li><li>agape</li></ol>
’abbasa	<i>romanization</i><br><ol><li>Romanization of አበሰ</li></ol>
