13.	<i>adj</i><br><ol><li>13th</li></ol>
flogmús|flogmýs|flogmúsina|flogmúsarinnar|flogmúsar|flogmúsa|flogmúsin|flogmúsum|flogmúsini|flogmúsunum|flogmýsnum|flogmúsanna|flogmýsnar	<i>noun</i><br><ol><li>bat (Chiroptera)</li></ol>
flogskip|flogskipum|flogfars|flogskipinum|flogskipini|flogskips|flogskipa|flogskipanna|flogfør|flogskipið|flogskipunum|flogskipsins|flogskipi	<i>noun</i><br><ol><li>airplane, fixed-wing aircraft</li></ol>
flogskiparafelag|flogskipfelags|flogskipfeløgum|flogskipfelagsins|flogskipfelagi|flogskipfelaganna|flogskiparafeløg|flogskipfelagnum|flogskipfeløgini|flogskipfelaga|flogskipfelaginum|flogskipfeløgunum|flogskipfelagið|flogskiparafelags|flogskipfeløg|flogskipfelag	<i>noun</i><br><ol><li>pilot union</li></ol>
flogvøllur|flogvallar|flogvøllinum|flogvalla|flogvallanna|flogvøllir|flogvøllin|flogvøllirnar|flogvølli|flogvøllum|flogvallarins|flogvøllurin|flogvøllirnir|flogvøllunum|flogvøll	<i>noun</i><br><ol><li>airfield, airport</li></ol>
flokkur|flokk|flokkin|floks|flokkum|flokkunum|flokkinum|flokkarnar|flokkurin|floksins|flokkar|flokka|flokkanna|flokkarnir|flokki	<i>noun</i><br><ol><li>group, flock</li><li>grade, class (school)</li><li>political party</li><li>(biology, taxonomy) class</li></ol>
floti|flotanna|flotar|flotans|flotarnir|flotarnar|flotum|flota|flotan|flotunum|flotanum|flotin	<i>noun</i><br><ol><li>fleet (all ships of a country)</li><li>herd (e.g. of cattle)</li></ol>
floyta|floytaði|floytti|floytu|floytandi|floytur|floyta|floytir|floyt!|floyti|floytunum|floytaðu|floyttu|floytað|floytar|floyttur|floytt|floytið!|floyturnar|floyta!|floytan|floytuna|floytunnar|floytuni|floytaður|floytum|floytanna	<i>verb</i><br><ol><li>(transitive) to float, cause to float</li><li>(intransitive, swimming) to manage to keep afloat</li><li>(transitive) to douse with liquid, make wet</li><li>(transitive) to manage to lift</li><li>(transitive) to fill, be big enough to wear (a garment)</li><li>to whistle (make a whistling sound with a whistle or with one’s mouth)</li></ol><br><i>noun</i><br><ol><li>(music) flute (musical instrument)</li><li>whistle (device blown to make a whistling sound)</li></ol>
fluga|fluguna|flugum|flugurnar|flugur|flugunum|fluguni|flugunnar|flugu|fluganna|flugan	<i>noun</i><br><ol><li>fly (insect)</li><li>(fishing) fly (a lure resembling an insect)</li></ol>
flugusoppur|flugusops|flugusopp|flugusoppurin|flugusoppinum|flugusoppin|flugusopparnar|flugusoppunum|flugusopparnir|flugusoppi|flugusoppar|flugusopsins|flugusoppa|flugusoppanna|flugusoppum	<i>noun</i><br><ol><li>amanita (Any of very many agaric mushrooms: genus Amanita)</li></ol>
flus|flusum|flusunum|flusið|flusini|flusins|flusanna|flusa|flusinum|flusi	<i>noun</i><br><ol><li>peelings (from a potato or apple)</li><li>(hair, biology) dandruff</li></ol>
flutningur|flutninginum|flutning|flutningsins|flutningin|flutningurin|flutningi|flutnings	<i>noun</i><br><ol><li>transport</li></ol>
flutti	<i>verb</i><br><ol><li>I, you, he, she, it moved; singular past of flyta (to move)</li></ol>
flykra|flykruni|flykru|flykrunnar|flykrur|flykrunum|flykruna|flykranna|flykrum|flykran|flykrurnar	<i>noun</i><br><ol><li>(snow)flake</li></ol>
flysa|flust|flysur|flustur|flysi|flysið!|flysandi|flusti|flustu|flys!	<i>verb</i><br><ol><li>to peel</li></ol>
flyta|flytandi|flyt!|flytur|flytið!|fluttu|flutt|flutti|flyti|fluttur	<i>verb</i><br><ol><li>to move</li></ol>
flóki|flókar|flókunum|flókanum|flókans|flókarnir|flókan|flókanna|flókarnar|flókin|flókum|flóka	<i>noun</i><br><ol><li>bank of fog, mist</li><li>tuft of wool</li></ol>
flóta|flutu|flýtur|flót!|flótið!|flotið|flótandi|flóti|fleytst|fleyt|flotin	<i>verb</i><br><ol><li>to float</li><li>to flow</li></ol>
fløga|fløguni|fløgunnar|fløgu|fløgunum|fløgurnar|fløguna|fløgan|fløgur|fløgum|fløganna	<i>noun</i><br><ol><li>layer on a stack</li><li>thick slice (cheese or sausage)</li><li>compact disk (CD)</li></ol>
fløkja|fløkjunnar|fløkjum|fløkjanna|fløkjan|fløkjunum|fløkjuna|fløkjur|fløkjuni|fløkjurnar|fløkju	<i>noun</i><br><ol><li>chaos, tangle</li><li>inconclusiveness</li></ol>
fløska|fløskurnar|fløskum|fløskuni|fløskur|fløskunum|fløskanna|fl.|fløskan|fløskunnar|fløsku|fløskuna	<i>noun</i><br><ol><li>bottle</li></ol>
fløttur|fløtt|fløttinum|fløttarnar|flatta|fløttar|fløttin|fløttarnir|fløttunum|fløtti|flattar|fløtturin|fløttum|flattanna|flattarins	<i>noun</i><br><ol><li>plain, ground where grass grows</li></ol>
fløvi|fløva|fløvans|fløvanum|fløvin|fløvan	<i>noun</i><br><ol><li>lukewarmth</li><li>(in the plural) love, affection</li></ol>
fløða|fløtt|fløð!|fløddur|fløðandi|fløðið!|fløði|fløðir|fløddi|fløddu	<i>verb</i><br><ol><li>to become high tide</li><li>to flow, to run</li></ol>
flúgva|flogið|flúg!|flúgvi|flýgur|flúgið!|fleyg|fleygst|flúgvandi|flugu|flogin	<i>verb</i><br><ol><li>to fly</li></ol>
flúr|flúrið|flúri|flúrsins|flúrinum|flúrs|flúr	<i>noun</i><br><ol><li>(archaic) (wheat) flour</li><li>fluorine</li></ol>
fokka|fokkunnar|fokkuni|fokku|fokkanna|fokkuna|fokkunum|fokkur|fokkum|fokkan|fokkurnar	<i>noun</i><br><ol><li>(nautical) A jib (triangular sail attached to the forestay of a sailboat, the clew of which reaches back about to the level of the mast).</li></ol>
fokkaður|fokkaðu|fokkaðir|fokkaðan|fokkaðs|fokkaðar|fokkað|fokkaða|fokkaði|fokkaðum|fokkaðari	<i>adj</i><br><ol><li>(colloquial) tired (in need of some rest or sleep), exhausted, fatigued</li></ol>
fokn|foknunum|foknini|foknar|foknanna|foknina|foknum|foknirnar|foknarinnar|fokna|foknir|foknin	<i>noun</i><br><ol><li>antipathy</li><li>timidity</li></ol>
fongsul|fongsla|fongslanna|fongslini|fongslið|fongsuls|fongslinum|fongslum|fongslunum|fongsulsins|fongsli	<i>noun</i><br><ol><li>prison</li></ol>
fonn|fonnini|fannarinnar|fonnina|fonnin|fanna|fannirnar|fonnunum|fonnum|fannar|fannanna|fannir	<i>noun</i><br><ol><li>snowdrift</li><li>bow wash, bow wave</li></ol>
fordómur|fordóms|fordómunum|fordómanna|fordómin|fordómarnir|fordómsins|fordómurin|fordóminum|fordóma|fordómum|fordóm|fordómarnar|fordómar|fordómi	<i>noun</i><br><ol><li>prejudice, bias</li></ol>
foreldur|foreldrunum|foreldrini|foreldra|foreldrum|foreldranna	<i>noun</i><br><ol><li>parents</li></ol>
forelska|forelskandi|forelski|forelskar|forelskaður|forelskað|forelskið!|forelska!|forelskaði|forelskaðu	<i>verb</i><br><ol><li>to fall in love</li></ol>
forhúð|forhúðina|forhúðirnar|forhúðir|forhúðini|forhúðunum|forhúðum|forhúðin|forhúða|forhúðanna|forhúðar|forhúðarinnar	<i>noun</i><br><ol><li>(anatomy) foreskin</li></ol>
forkølaður|forkølaðan|forkølaðir|forkølaðari|forkølaðs|forkølað|forkølaðar|forkølaðum|forkølaða	<i>adj</i><br><ol><li>(pathology) to have a cold</li></ol>
formaður|formenn|formenninar|formonnunum|form.|formannin|formanni|formanninum|formannanna|formenninir|formans|formaðurin|formonnum|formann|formansins|formanna	<i>noun</i><br><ol><li>chairman, head, chief, foreman</li></ol>
formligur|formligari|formligum|formligan|formligs|formligt|formliga|formligar|formlig|formligir	<i>adj</i><br><ol><li>formal</li></ol>
fornavn|fornøvnum|fornavna|fornavninum|fornøvnunum|fornavni|fornavns|fornavnsins|fornøvn|fn.|fornavnanna|fornøvnini|fornavnið	<i>noun</i><br><ol><li>first name, given name</li><li>pronoun</li></ol>
fornfrøði|fornfrøðini|fornfrøðina|fornfrøðinnar|fornfrøðin	<i>noun</i><br><ol><li>archaeology</li></ol>
fornføroyskt|fornføroysks|fornføroyskari|fornføroyska|fornføroyskum|fornføroyskar/ fornføroyskrar|fornføroyska/ fornføroyskra|fornføroyskur|fornføroyskir|fornføroysk|fornføroyskar|fornføroyskan	<i>noun</i><br><ol><li>Old Faroese (language)</li></ol>
fornføroyskur|fornføroysks|fornføroyskari|fornføroyska|fornføroyskum|fornføroyskar/ fornføroyskrar|fornføroyska/ fornføroyskra|fornføroyskir|fornføroysk|fornføroyskar|fornføroyskt|fornføroyskan	<i>adj</i><br><ol><li>pertaining to Old Faroese (fornføroyskt), a form of Old Norse ca. 825-1540 (from the Vikings to the Reformation)</li></ol>
fornur|forna|fornan|fornari|forn|fornir|fornum|fornastur|forns|fornar|fornt	<i>adj</i><br><ol><li>old, ancient</li><li>provident, able to stove something away for a suitable later occasion (e.g. brandy)</li><li>(of land) that has long lain uncultivated</li></ol>
forrit|forritinum|forritið|forritini|forrits|forriti|forritsins|forritunum|forrita|forritum|forritanna	<i>noun</i><br><ol><li>(computing) program</li></ol>
forritsbærur	<i>adj</i><br><ol><li>(computing, electronics) programmable</li></ol>
forseti|forseta|forsetum|forsetan|forsetarnir|forsetar|forsetin|forsetanna|forsetarnar|forsetanum|forsetunum|forsetans	<i>noun</i><br><ol><li>president of a republic</li><li>chairman</li></ol>
forsøgn|forsagnanna|forsøgnin|forsøgnini|forsagnirnar|forsagnarinnar|forsagna|forsøgnina|forsagnar|forsagnum|forsøgnunum|forsagnunum|forsagnir|forsøgnum	<i>noun</i><br><ol><li>forecast, prognosis</li></ol>
fortelja|fortelji|fortaldu|fortel|forteljið!|fortaldur|forteljið|fortaldi|fortel!|fortalt|forteljandi|fortelur	<i>verb</i><br><ol><li>to tell, to narrate, to relate, to recount, to explain</li></ol>
forvitin|forvitnan|forvitnari|forvitna|forvitnir|forvitins|forvitnum|forvitið|forvitnar	<i>adj</i><br><ol><li>curious</li></ol>
forða|forðað|forðaði	<i>verb</i><br><ol><li>to hinder, to prevent</li></ol>
fosfor|fosforinum|fosfors|fosfori|fosforið|fosforsins	<i>noun</i><br><ol><li>phosphorus</li></ol>
fossur|fossin|fossi|fossum|foss|fossa|fossar|fossins|fossinum|fossarnar|fossunum|fossurin|fossanna|fossarnir	<i>noun</i><br><ol><li>waterfall</li></ol>
fostur|fostrinum|fostri|fostrum|fostrunum|fostranna|fostra|fostrini|fostrið|fostursins|fosturs	<i>noun</i><br><ol><li>fosterage, breeding, upbringing</li><li>embryo</li></ol>
fosturtøka|fosturtøkunum|fosturtøkurnar|fosturtøkur|fosturtøkunnar|fosturtøkum|fosturtøku|fosturtøkuna|fosturtøkanna|fosturtøkuni|fosturtøkan	<i>noun</i><br><ol><li>abortion</li></ol>
frakki|frakkin|frakkan|frakkarnir|frakkans|frakkar|frakkum|frakka|frakkanna|frakkunum|frakkanum|frakkarnar	<i>noun</i><br><ol><li>A long coat</li></ol>
fram|fremst|fremri comparative degree of fram|fremri	<i>adv</i><br><ol><li>forward, ahead</li></ol>
frama	<i>noun</i><br><ol><li>indefinite accusative/dative/genitive singular of frami</li></ol>
framburður|framburðum|framburðirnar|framburðirnir|framburð|framburði|framburðinum|framburðanna|framburðurin|framburðar|framburða|framburðir|framburðin|framburðarins|framburðunum	<i>noun</i><br><ol><li>progress</li><li>pronunciation</li></ol>
framførsla|framførsluni|framførslunum|framførslurnar|framførsluna|framførslur|framførslum|framførslanna|framførslunnar|framførslan|framførslu	<i>noun</i><br><ol><li>(theater, film, concert, etc) showing, performance</li></ol>
framhaldandi	<i>adj</i><br><ol><li>continuing, present participle of halda fram (to continue)</li></ol>
frami|framans|framan|framanum|frama|framin	<i>noun</i><br><ol><li>furtherance, benefit</li><li>support</li><li>(kvæði) honour</li></ol>
framleiðsla|framleiðslan|framleiðslanna|framleiðsluni|framleiðslum|framleiðsluna|framleiðslunum|framleiðslu|framleiðslur|framleiðslurnar|framleiðslunnar	<i>noun</i><br><ol><li>production ("the act of producing")</li><li>output ("the result of producing")</li></ol>
framløga|framløgunum|framløguna|framløgu|framløgur|framløgurnar|framløgum|framløguni|framløgunnar|framløganna|framløgan	<i>noun</i><br><ol><li>submission</li><li>(school) presentation</li></ol>
frammanífrá	<i>adv</i><br><ol><li>from in front</li></ol>
framsýning|framsýningunum|framsýningini|framsýninga|framsýningina|framsýninganna|framsýningar|framsýningin|framsýningum|framsýningarinnar|framsýningarnar	<i>noun</i><br><ol><li>(art, music, theater, etc) exhibition, show</li></ol>
framtíð|framtíðini|framtíðin|framtíðina|framtíðar|framtíðarinnar	<i>noun</i><br><ol><li>future</li><li>(grammar) future tense</li></ol>
framvegis	<i>adv</i><br><ol><li>anymore, furthermore, still</li></ol>
franskt|franskar|franskur|franskan|fransks|franska/ franskra|franskari|franska|fronskum|franskar/ franskrar|franskir|fronsk	<i>noun</i><br><ol><li>French (language)</li></ol>
franskur|franskar|franskan|fransks|franska/ franskra|franskari|franska|fronskum|franskt|franskar/ franskrar|franskir|fronsk	<i>adj</i><br><ol><li>French</li></ol>
frata|frati|fratandi|fratið!|fratað|frataðu|frataður|frataði|fratar|frata!	<i>verb</i><br><ol><li>(vulgar) to fart</li></ol>
fregnartænasta|fregnartænastunnar|fregnartænastur|fregnartænastuni|fregnartænastan|fregnartænasturnar|fregnartænastum|fregnartænastu|fregnartænastuna|fregnartænastunum|fregnartænastanna	<i>noun</i><br><ol><li>secret service, intelligence</li></ol>
freista|freistandi|freistaði|freistar|freistið!|freistað|freistaðu|freista!|freistaður|freisti	<i>verb</i><br><ol><li>to tempt</li></ol>
frekur	<i>adj</i><br><ol><li>greedy</li></ol>
frelsa|frels!|frelstur|frelsi|frelsir|frelst|frelsti|frelstu|frelsandi|frelsið!	<i>verb</i><br><ol><li>to save, to deliver (Jesus)</li></ol>
fremja|fremur|framt|fremjandi|fremjið!|fremji|framdur|frem!|framdi|framdu	<i>verb</i><br><ol><li>to do</li></ol>
fremmandafólk|fremmandafólkunum|fremmandafólkið|fremmandafólkinum|fremmandafólks|fremmandafólkum|fremmandafólkini|fremmandafólksins|fremmandafólka|fremmandafólkanna|fremmandafólki	<i>noun</i><br><ol><li>foreigner</li><li>guests</li></ol>
fremmandavitjan|fremmandavitjana|fremmandavitjanarinnar|fremmandavitjanini|fremmandavitjananna|fremmandavitjanin|fremmandavitjanirnar|fremmandavitjanunum|fremmandavitjanir|fremmandavitjanum|fremmandavitjanar|fremmandavitjanina	<i>noun</i><br><ol><li>stream of tourists</li></ol>
fremmandur|fremmandan|fremmand|fremmandir|fremmanda|fremmandar|fremmandum|fremmanda fremmandra|fremmandari|fremmandar/ fremmandrar|fremmant|fremmands	<i>adj</i><br><ol><li>foreign, alien</li></ol>
fremri|fremri comparative degree of fremstur|fremri comparative degree of fram	<i>adj</i><br><ol><li>forefront of, front, forward, anterior, leading</li></ol><br><i>adv</i><br><ol><li>further forward</li></ol>
fremstur|fremst|fremsta/ fremstra|fremsts|fremstari|fremstir|fremstan|fremstum|fremstar/ fremstrar|fremsta|fremstar	<i>adj</i><br><ol><li>foremost, principal superlative degree of fremri</li></ol>
friðarligur|friðarligir|friðarligan|friðarligar|friðarligum|friðarligari|friðarliga|friðarligt|friðarlig|friðarligs	<i>adj</i><br><ol><li>peaceful</li></ol>
friður|friðurin|friðin|friðinum|friðar|friðnum|frið|friðarins|friði	<i>noun</i><br><ol><li>peace</li></ol>
froskmansbúni|froskmansbúnunum|froskmansbúnan|froskmansbúnanna|froskmansbúnum|froskmansbúnans|froskmansbúna|froskmansbúnarnar|froskmansbúnar|froskmansbúnanum|froskmansbúnarnir|froskmansbúnin	<i>noun</i><br><ol><li>diving suit</li></ol>
froskmaður|froskmanninum|froskmenninir|froskmannanna|froskmenn|froskmans|froskmannin|froskmonnunum|froskmanni|froskmenninar|froskmaðurin|froskmonnum|froskmanna|froskmann|froskmansins	<i>noun</i><br><ol><li>frogman</li></ol>
froskur|froskinum|frosksins|frosks|froskin|froska|froskum|froski|froskar|froskanna|froskarnir|froskunum|frosk|froskarnar|froskurin	<i>noun</i><br><ol><li>frog (a small tailless amphibian of the order Anura)</li></ol>
frostmýri|frostmýrini|frostmýrina|frostmýrum|frostmýrunum|frostmýra|frostmýrin|frostmýrar|frostmýrarinnar|frostmýrarnar|frostmýranna	<i>noun</i><br><ol><li>tundra</li></ol>
frukt|fruktin|fruktarinnar|fruktina|fruktar|fruktanna|fruktirnar|fruktum|fruktir|frukta|fruktunum|fruktini	<i>noun</i><br><ol><li>fruit, progeny</li><li>fruit (apple, banana, etc.)</li><li>fruit, harvest</li></ol>
frukttræ|frukttrø|frukttrøini|frukttræsins|frukttræið|frukttræinum|frukttrøum|frukttræs|frukttræi|frukttrøunum|frukttræa|frukttræanna	<i>noun</i><br><ol><li>fruit tree</li></ol>
frumframførsla|frumframførsluni|frumframførslu|frumframførsluna|frumframførslanna|frumframførslan|frumframførslum|frumframførslunnar|frumframførslunum|frumframførslurnar|frumframførslur	<i>noun</i><br><ol><li>(theater, film, concert, etc) premiere, opening night (The first showing of a film, play, piece of music or other form of entertainment.)</li></ol>
fryntligur|fryntligs|fryntligari|fryntligir|fryntlig|fryntligum|fryntliga|fryntligan|fryntligar|fryntligt	<i>adj</i><br><ol><li>friendly</li></ol>
frysta|fryst|frystur|frystandi|frystu|frystir|frystið!|fryst!|frysti	<i>verb</i><br><ol><li>to freeze</li></ol>
fráfaring|fráfaringin|fráfaringarnar|fráfaringina|fráfaringarinnar|fráfaringar|fráfaringum|fráfaringunum|fráfaringa|fráfaringini|fráfaringanna	<i>noun</i><br><ol><li>resignation (from an office)</li><li>departure</li></ol>
frálíkur|frálíkar|frálíkt|frálíka|frálíkir|frálík|frálíkum|frálíkan|frálíkari|frálíks	<i>adj</i><br><ol><li>excellent</li></ol>
frásøgn|frásøgnini|frásagnir|frásøgnin|frásøgnina|frásagnum|frásagnunum|frásagnanna|frásagna|frásagnirnar|frásøgnunum|frásøgnum|frásagnar|frásagnarinnar	<i>noun</i><br><ol><li>reportage</li><li>tale, story, narration</li><li>protocol, record, transcript</li><li>message, announcement</li></ol>
fræ|fræið|fræini|fræum|fræs|fræa|fræsins|fræi|fræunum|fræanna|frænum	<i>noun</i><br><ol><li>a seed of a plant</li></ol>
frægur|frægar|frægt|frægum|fræga|fræg|frægastur|frægir|frægs|frægari|frægan	<i>adj</i><br><ol><li>good, famous, illustrious</li></ol>
frælsi|frælsið|frælsunum|frælsisins|frælsir|frælsinum|frælsnum|frælsanna|frælsini|frælsa|frælsum|frælsis	<i>noun</i><br><ol><li>freedom</li></ol>
frælsir|frælsar|fræls	<i>adj</i><br><ol><li>free, indefinite strong nominative plural masculine of frælsur</li></ol>
frælsur|frælsastur|frælsari|frælst|frælsir|fræslari|fræls|frælsar|frælsan|frælsa|frælsum|frælss	<i>adj</i><br><ol><li>free</li></ol>
frændi|frændum|frændur|frændanum|frændan|frændurnir|frændunum|frændans|frændanna|frænda|frændin|frændurnar	<i>noun</i><br><ol><li>relative</li><li>friend</li></ol>
frætta|frættandi|frætt!|frættir|frættu|frættið!|frætt|frættur|frætti	<i>verb</i><br><ol><li>to come to know something, to hear, to learn (information)</li></ol>
fríggja|fríggji|fríggjaði|fríggjið!|fríggjaðu|fríggja!|fríggjar|fríggjað|fríggjaður|fríggjandi	<i>verb</i><br><ol><li>to flirt</li><li>to woo</li><li>to propose to</li></ol>
fríggjadagur|fríggjadaganna|fríggjadagsins|fríggjadegi|fríggjadagin|fríggjadagar|fríggjadøgunum|fríggjadag|fríggjadaga|fríggjadagurin|fríggjadags|fríggjadøgum|fríggjadagarnar|fríggjadagarnir|fríggjadegnum	<i>noun</i><br><ol><li>Friday</li></ol>
fríggjakvøld|fríggjakvølda|fríggjakvøldinum|fríggjakvøldunum|fríggjakvøldsins|fríggjakvøldanna|fríggjakvøldum|fríggjakvøldini|fríggjakvøldið|fríggjakvøldi|fríggjakvølds	<i>noun</i><br><ol><li>Friday evening</li></ol>
frímerki|frímerkinum|frímerkini|frímerkisins|frímerkjanna|frímerkir|frímerkið|frímerkis|frímerkjum|frímerkjunum|frímerkja	<i>noun</i><br><ol><li>postage stamp</li></ol>
frískur|frísk|fríska/ frískra|frískastur|fríska|frískar|frískari|frískt|frískum|frískar/ frískrar|frískan|frískir|frísks	<i>adj</i><br><ol><li>healthy, well, sane</li><li>fresh, untainted, unspoiled</li><li>quite many</li></ol>
fríur|fríastur|frítt|fríir|fríar|fríum|frí|fríari|frís|frían|fría	<i>adj</i><br><ol><li>free</li></ol>
fríður|fríðs|frítt|fríða|fríðir|fríðar|fríðastur|fríðan|fríðum|fríð|fríðari	<i>adj</i><br><ol><li>beautiful</li></ol>
fróur|fróum|frós|frótt|fró|fróar|fróan|fróari|fróa|fróir	<i>adj</i><br><ol><li>glad</li></ol>
fróðskaparsetur|fróðskaparsetrum|fróðskaparsetursins|fróðskaparsetri|fróðskaparsetranna|fróðskaparseturs|fróðskaparsetrið|fróðskaparsetrinum|fróðskaparsetrunum|fróðskaparsetra|fróðskaparsetrini	<i>noun</i><br><ol><li>college, university</li></ol>
fróður|frótt|fróðari|fróð|fróði|fróða|fróðs|fróðastur|fróðan|fróðar|fróðir|fróðum|fróðu	<i>adj</i><br><ol><li>knowledgeable, well-read, learned, erudite</li></ol>
frøa|frøandi|frøtt|frøir|frøi|frøddu|frøið!|frøddur|frøddi|frø!	<i>verb</i><br><ol><li>to please, to make happy</li></ol>
frøddust	<i>verb</i><br><ol><li>we, you, they were pleased, reflexive plural past tense form of frøa (to please, to make happy)</li></ol>
frøkna|frøknunnar|frøknur|frøknurnar|frøknunum|frøknuni|frøknum|frøknanna|frøknuna|frøknu|frøknan	<i>noun</i><br><ol><li>freckle</li></ol>
frøkun|frøkunarinnar|frøkunina|frøkunir|frøkuna|frøkunini|frøkunin|frøkununum|frøkunirnar|frøkunar|frøkunum|frøkunanna	<i>noun</i><br><ol><li>(rare) Miss, miss (an unmarried woman)</li></ol>
frøði|frøðisins|frøðini|frøðunum|frøðanna|frøðinum|frøðnum|frøðið|frøðis|frøðir|frøðum|frøða	<i>noun</i><br><ol><li>theme for a poem or kvæði</li></ol>
frøðingur|frøðinganna|frøðinga|frøðingunum|frøðingarnar|frøðingurin|frøðingar|frøðingsins|frøðing|frøðingarnir|frøðingi|frøðingin|frøðinginum|frøðings|frøðingum	<i>noun</i><br><ol><li>a scientist, scholar</li></ol>
frúgv|frúgvar|frýrnar|frúnni|frúnna|frúm|frúgvarinnar|frúgvanna|frúgvini|frúgvum|frúgvunum|frúnum|frúgvarnar|frúgvina|frýr|frúgvin|frúgva	<i>noun</i><br><ol><li>dame, lady</li><li>miss</li><li>queen (cards, chess)</li></ol>
fuglafrøði|fuglafrøðina|fuglafrøðini|fuglafrøðinnar|fuglafrøðin	<i>noun</i><br><ol><li>ornithology</li></ol>
fuglaslag|fuglaslags|fuglaslagið|fuglaslaga|fuglaslaganna|fuglaslagi|fuglaslaginum|fuglasløgini|fuglaslagnum|fuglaslagsins|fuglasløgum|fuglasløg|fuglasløgunum	<i>noun</i><br><ol><li>(biology, taxonomy) bird species</li></ol>
fuglasúpan|fuglasúpanarinnar|fuglasúpanini|fuglasúpanina|fuglasúpanar|fuglasúpanin	<i>noun</i><br><ol><li>chicken soup</li></ol>
fuglfirðingur|fuglfirðing|fuglfirðingi|fuglfirðingum|fuglfirðinginum|fuglfirðingurin|fuglfirðingarnir|fuglfirðinga|fuglfirðingar|fuglfirðinganna|fuglfirðings|fuglfirðingin|fuglfirðingsins|fuglfirðingarnar|fuglfirðingunum	<i>noun</i><br><ol><li>person from, or inhabitant of Fuglafjørður</li></ol>
fugloyingur|fugloyingarnir|fugloyingarnar|fugloyingum|fugloyingi|fugloyingin|fugloyinganna|fugloyingurin|fugloyinginum|fugloyingunum|fugloyingsins|fugloyinga|fugloyings|fugloyingar|fugloying	<i>noun</i><br><ol><li>Person from or inhabitant of Fugloy, one of the Faroe Islands</li></ol>
fuglur|fugl|fuglurin|fuglum|fugla|fuglar|fugli|fuglsins|fuglarnir|fuglanna|fuglunum|fuglinum|fuglarnar|fugls|fuglin	<i>noun</i><br><ol><li>bird</li><li>(cards, stýrivolt) two of hearts</li></ol>
fukka|fukkaðu|fukkar|fukkaður|fukkandi|fukki|fukkið!|fukkað|fukka!|fukkaði	<i>verb</i><br><ol><li>(vulgar) to fuck, screw, bang, shag, bonk</li></ol>
fulkobbi|fulkobba|fulkobbans|fulkobbanum|fulkobban|fulkobbunum|fulkobbanna|fulkobbin|fulkobbar|fulkobbum|fulkobbarnir|fulkobbarnar	<i>noun</i><br><ol><li>little auk</li></ol>
fulkubbi|fulkubbum|fulkubbunum|fulkubbar|fulkubban|fulkubbanum|fulkubbanna|fulkubbarnar|fulkubba|fulkubbarnir|fulkubbans|fulkubbin	<i>noun</i><br><ol><li>little auk</li></ol>
fullfíggjaður|fullfíggjaða|fullfíggjaðs|fullfíggjaðir|fullfíggjaðari|fullfíggjaðum|fullfíggjað|fullfíggjaðan|fullfíggjaðar	<i>adj</i><br><ol><li>complete</li></ol>
fullur|fuls|fulla|fullum|fylri|fullar/ fulrar|fullir|fullar|fylstur|fulla fulra|fullan|full|fult|fullari	<i>adj</i><br><ol><li>full</li><li>drunk</li></ol>
fundur|fund|fundi|fundarins|fundirnar|fundum|fundir|funda|fundinum|fundanna|fundin|fundirnir|fundar|fundunum|fundurin	<i>noun</i><br><ol><li>meeting, assembly, congress, conference, session, rally</li><li>find, finding</li></ol>
fura|furuna|furunnar|furanna|furu|furunum|furum|furan|furur|fururnar|furuni	<i>noun</i><br><ol><li>pine (tree)</li></ol>
furutræ|furutrøum|furutræs|furutræsins|furutræi|furutræa|furutræið|furutrøunum|furutrøini|furutrø|furutræanna|furutræinum	<i>noun</i><br><ol><li>pine (a tree of the genus Pinus)</li></ol>
fyl|fyli|fylsins|fylinum|fylini|fyls|fyljunum|fylum|fylunum|fylja|fyljanna|fylið|fyljum	<i>noun</i><br><ol><li>foal</li></ol>
fylgisveinur|fylgisveinanna|fylgisveina|fylgisveinsins|fylgisveinar|fylgisveinurin|fylgisveins|fylgisvein|fylgisveinin|fylgisveinarnar|fylgisveinunum|fylgisveinarnir|fylgisveininum|fylgisveini|fylgisveinum	<i>noun</i><br><ol><li>follower</li><li>satellite</li></ol>
fylgja|fylgjanna|fylgt|fylgjurnar|fylgjan|fylg!|fylgjandi|fylgir|fylgjunum|fylgi|fylgjur|fylgjuni|fylgdur|fylgju|fylgdu|fylgjuna|fylgjum|fylgjunnar|fylgið!|fylgdi	<i>noun</i><br><ol><li>consequence</li><li>companionship</li><li>kind of guardian angel, guardian spirit, tutelary entity, which was held to follow each person or family and the relationship being affixed or bound at the process or ceremony of naming.</li></ol><br><i>verb</i><br><ol><li>to accompany, to follow</li></ol>
fylki|fylkini|fylkið|fylkjanna|fylkisins|fylkinum|fylkis|fylkjum|fylkja|fylkjunum|fylkir	<i>noun</i><br><ol><li>fylke (part of Norway)</li><li>(biology) phylum</li></ol>
fylla|fylti|fyllandi|fyltu|fyltur|fylli|fylt|fyllið!|fyll!|fyllir	<i>verb</i><br><ol><li>to fill</li><li>to have a birthday</li></ol>
fylli|fyllina|fyllini|fyllinnar|fyllin	<i>noun</i><br><ol><li>(biblical) wealth</li></ol>
fyltur lundi	<i>noun</i><br><ol><li>Filled puffin (lundi) with raisin dough, a traditional Faroese meal.</li></ol>
fyri	<i>prep</i><br><ol><li>(with accusative) for, before, at the front of</li><li>(with dative) for, in front of</li></ol><br><i>adv</i><br><ol><li>in front, before</li></ol>
