Angelond|Angelondes|Angelonde	<i>name</i><br><ol><li>England</li></ol>
noma|namum|nama|nomum|nomena|namem|namena|nomem	<i>noun</i><br><ol><li>name</li></ol>
nose|nosem|noson|nosa|nosena|nosum	<i>noun</i><br><ol><li>nose</li></ol>
noth|nōth	<i>noun</i><br><ol><li>courage, daring</li></ol>
ofkerva	<i>verb</i><br><ol><li>to cut off</li></ol>
oflethia	<i>verb</i><br><ol><li>to cut off</li></ol>
ofnima	<i>verb</i><br><ol><li>to take off</li></ol>
ofstela	<i>verb</i><br><ol><li>to steal</li></ol>
omma	<i>noun</i><br><ol><li>spirit</li></ol>
on	<i>prep</i><br><ol><li>on</li></ol>
one	<i>prep</i><br><ol><li>except</li></ol>
onespreka	<i>verb</i><br><ol><li>to contest</li></ol>
onfalla	<i>verb</i><br><ol><li>to claim</li></ol>
ongost	<i>noun</i><br><ol><li>fear, anxiety</li></ol>
or|ōr	<i>adj</i><br><ol><li>Old West Frisian form of ōther</li></ol>
os|ōs	<i>noun</i><br><ol><li>Alternative reconstruction of *ōse</li></ol>
ose|ōse	<i>noun</i><br><ol><li>eyelet</li></ol>
other|ōther	<i>adj</i><br><ol><li>other</li><li>second</li></ol>
overfiuchta	<i>verb</i><br><ol><li>to contest</li></ol>
overledza	<i>verb</i><br><ol><li>to treat</li></ol>
overskera	<i>verb</i><br><ol><li>to cut beyond the mark</li></ol>
pal|pāl	<i>noun</i><br><ol><li>pole</li></ol>
paschatid|paschatīdum|paschatīdem|paschatīd|paschatīda|paschatīdena|paschatīde	<i>noun</i><br><ol><li>Eastertime</li></ol>
paus|pāusum|pāuses|pāusa|pāuse|pāusem|pāusar|pāus	<i>noun</i><br><ol><li>pope</li></ol>
pel|pēl	<i>noun</i><br><ol><li>pole</li></ol>
rad|rād	<i>adj</i><br><ol><li>red</li></ol>
ramia	<i>verb</i><br><ol><li>to found</li></ol>
rap|rāp	<i>noun</i><br><ol><li>rope</li></ol>
renna|runna|rennande|erenned|rannest|runnen|rannst|renden|renned|rendest|rennest|rennath|rennen|renne|rennst|renneth|rann|runne|rinna|erunnen|rende|renn|rennth	<i>verb</i><br><ol><li>to run</li></ol>
resta|reste|restst|erested|restth|restath|restande|resteth|resten|restest|rested	<i>verb</i><br><ol><li>to rest</li></ol>
riuchta	<i>verb</i><br><ol><li>to make</li></ol>
rotia	<i>verb</i><br><ol><li>to decay</li></ol>
sa|sā	<i>conj</i><br><ol><li>so</li><li>as</li><li>or</li></ol>
salt|saltum|saltem|salta|saltes|salte	<i>noun</i><br><ol><li>salt</li></ol><br><i>adj</i><br><ol><li>salty, salted</li></ol>
sanna	<i>verb</i><br><ol><li>to contradict</li></ol>
sannigia	<i>verb</i><br><ol><li>to contradict</li></ol>
saver|sever|sāver|sēver	<i>noun</i><br><ol><li>spittle, saliva</li></ol>
se	<i>pron</i><br><ol><li>she</li><li>they</li></ol>
sefte|seft|sēft|sēfte	<i>adj</i><br><ol><li>soft</li></ol><br><i>adv</i><br><ol><li>softly</li></ol>
seka|esēked|sēkth|sēken|sēkst|sēkde|sēkest|sēkdest|sēke|sēkande|sēketh|sēkath|sēkden|sēked|sēka	<i>verb</i><br><ol><li>to seek</li></ol>
sele|sēle	<i>noun</i><br><ol><li>soul, life</li></ol>
serk	<i>noun</i><br><ol><li>gravestone</li></ol>
setta	<i>verb</i><br><ol><li>(transitive) to set</li></ol>
sex	<i>num</i><br><ol><li>six.</li></ol>
sexta	<i>adj</i><br><ol><li>sixth</li></ol>
sexte	<i>adj</i><br><ol><li>sixth</li></ol>
sextendeste	<i>adj</i><br><ol><li>sixteenth</li></ol>
sith|sīth	<i>noun</i><br><ol><li>companion</li></ol>
siugun|siūgun	<i>num</i><br><ol><li>seven.</li></ol>
skaria	<i>verb</i><br><ol><li>to credit</li></ol>
skeld|skild	<i>noun</i><br><ol><li>shield</li><li>guilt</li></ol>
skelta	<i>noun</i><br><ol><li>Clipping of skeltata.</li></ol>
skeltata	<i>noun</i><br><ol><li>legal magistrate</li></ol>
skep|skēp	<i>noun</i><br><ol><li>sheep</li></ol>
skera|skereth|skerande|skēren|skerest|skere|skēre|skarest|skar|skerth|eskeren|sker|skeren|skerath|skerst|skarst	<i>verb</i><br><ol><li>to cut, shear</li></ol>
skerda	<i>verb</i><br><ol><li>to cut</li></ol>
sketha|skētheth|skēthed|skēthande|skette|eskēthed|skēthath|skēthst|skēthe|skēthen|skētha|skēthth|sketten|skettest|skēthest	<i>verb</i><br><ol><li>to separate</li><li>to divorce</li></ol>
sketta	<i>verb</i><br><ol><li>to still</li></ol>
skiata|skiuteth|skiātath|skiāta|skāt|skiutest|esketen|skiātande|skiutst|skete|sketen|skiāt|skātest|skiāten|skiāteth|skātst|skiutth|skiāte	<i>verb</i><br><ol><li>to shoot</li></ol>
skifta|skifteth|skiftst|eskifted|skiften|skifte|skiftth|skiftath|skiftest|skifted|skiftande	<i>verb</i><br><ol><li>to divide</li><li>to order</li></ol>
skriva|skrīvst|skriven|skrīveth|skrīvest|skrīva|skrīvath|skrīven|eskriven|skrīve|skrēf|skrēfst|skrīv|skrīvande|skrive|skrīvth|skrēfest	<i>verb</i><br><ol><li>to write</li></ol>
skutta	<i>verb</i><br><ol><li>to contest</li></ol>
sluta|slūtath|slūtest|slūte|slūten|slātest|slūt|slūtst|slūtth|slete|slūtande|esleten|sleten|slūteth|slāt|slātst|slūta	<i>verb</i><br><ol><li>to lock</li></ol>
smel	<i>adj</i><br><ol><li>small</li></ol>
smitta	<i>verb</i><br><ol><li>to stain</li></ol>
snithia	<i>verb</i><br><ol><li>to cut</li></ol>
sogende	<i>adj</i><br><ol><li>seventh</li></ol>
sogentendeste	<i>adj</i><br><ol><li>seventeenth</li></ol>
somnath	<i>noun</i><br><ol><li>a gathering</li></ol>
son|sōn	<i>adv</i><br><ol><li>soon</li></ol>
soth|sōth	<i>adj</i><br><ol><li>to which one is entitled</li></ol>
spon|spōn	<i>noun</i><br><ol><li>chip, splinter</li><li>spoon</li></ol>
spreka|sprak|sprekande|spreketh|sprakst|sprēke|sprekth|spreken|spreke|sprek|sprekest|sprekath|sprakest|sprekst|sprēken|espreken	<i>verb</i><br><ol><li>to speak, state, say</li></ol>
stallia	<i>verb</i><br><ol><li>to found</li><li>to fix, set in place</li><li>to guarantee</li></ol>
standa	<i>verb</i><br><ol><li>to stand</li></ol>
stedda	<i>verb</i><br><ol><li>to contest</li></ol>
stef	<i>noun</i><br><ol><li>staff, rod</li></ol>
steka	<i>verb</i><br><ol><li>to stick</li></ol>
stela	<i>verb</i><br><ol><li>to steal</li></ol>
sten|stēn	<i>noun</i><br><ol><li>stone</li></ol>
sterk	<i>adj</i><br><ol><li>strong</li></ol>
sterva	<i>verb</i><br><ol><li>to die</li></ol>
stiapfeder|stiāpfederes|stiāpfedera|stiāpfederum|stiāpfedrum|stiāpfedere|stiāpfeder|stiāpfedrem|stiāpfederem	<i>noun</i><br><ol><li>stepfather</li></ol>
stith|stīth	<i>adj</i><br><ol><li>strong</li></ol>
straffia	<i>verb</i><br><ol><li>to contest</li></ol>
strete	<i>noun</i><br><ol><li>street</li></ol>
sunne	<i>noun</i><br><ol><li>sun</li></ol>
suth|sūth	<i>noun</i><br><ol><li>south</li></ol>
swag|swāg	<i>noun</i><br><ol><li>pasture</li></ol>
swan|swanar|swanan	<i>noun</i><br><ol><li>swan</li></ol>
swella|swall|swullen|swelle|swellth|swellest|swallest|swell|eswullen|swallst|swellath|swellen|swulle|swellst|swellande|swelleth	<i>verb</i><br><ol><li>to swell</li></ol>
swera|swōren|swerande|swerth|swōre|swerest|swōrst|sweren|swōrest|swere|swereth|swer|swerath|swōr|swerst|esweren	<i>verb</i><br><ol><li>(transitive, intransitive) to swear</li></ol>
swesbed|swēsbeddes|swēsbeddem|swēsbedde|swēsbeddum|swēsbedda|swēsbed	<i>noun</i><br><ol><li>incest</li></ol>
swima	<i>verb</i><br><ol><li>to swim</li></ol>
swithe|swīthe	<i>adv</i><br><ol><li>very</li></ol>
taker|tāker	<i>noun</i><br><ol><li>brother-in-law</li></ol>
tane|tāne	<i>noun</i><br><ol><li>(anatomy) toe</li></ol>
tasta	<i>verb</i><br><ol><li>(transitive) to feel, sense, touch</li></ol>
tefle|teflon|teflena|tefla|teflum|teflem	<i>noun</i><br><ol><li>table</li></ol>
tegotha|tegothena|tegothem|tegothum	<i>noun</i><br><ol><li>tax, tithe</li></ol>
tegothere|tegothera|tegotheres|tegotherem|tegotherum|tegotherar	<i>noun</i><br><ol><li>tax collector</li></ol>
tei|tēi	<i>adj</i><br><ol><li>tough</li></ol>
teken|tēkena|tēkenum|tēkenes|tēkenem|tēkene|tēken	<i>noun</i><br><ol><li>sign</li></ol>
tera	<i>verb</i><br><ol><li>to consume</li></ol>
thek	<i>noun</i><br><ol><li>roof</li><li>(specifically) thatched roof</li></ol>
therm	<i>noun</i><br><ol><li>intestine</li></ol>
thi|thī	<i>article</i><br><ol><li>that</li><li>the</li></ol>
thiaf|thiāf|thiāva|thiāvum|thiāvs|thiāvar|thiāvem|thiāv	<i>noun</i><br><ol><li>thief</li></ol>
thochte|thōchte	<i>noun</i><br><ol><li>thought</li></ol>
thre|thrim|thria|thrē|thrira|thriu|thrium|threm	<i>num</i><br><ol><li>three</li></ol>
thredda	<i>adj</i><br><ol><li>third</li></ol>
thredde	<i>adj</i><br><ol><li>third</li></ol>
thredtendeste	<i>adj</i><br><ol><li>thirteenth</li></ol>
thu|ūs|jūwer|hiū|wī|hit|jī|him|ūser|mīn|hiā|hire|sīn|hirem|hiāre|hira|hiāra|hiārem|ik|thī|thīn|jū|hī|jō|thū|mi|hine|hiō|mī	<i>pron</i><br><ol><li>thou, you (singular)</li></ol>
thuma|thūma	<i>noun</i><br><ol><li>thumb</li></ol>
thuner	<i>noun</i><br><ol><li>thunder</li></ol>
thunresdei|thunresdegem|thunresdeis|thunresdegar|thunresdega|thunresdegum	<i>noun</i><br><ol><li>Thursday</li></ol>
thwong	<i>noun</i><br><ol><li>force</li></ol>
tian|tiān	<i>num</i><br><ol><li>ten</li></ol>
tiande	<i>adj</i><br><ol><li>tenth</li></ol>
tief|tiēf	<i>noun</i><br><ol><li>Old West Frisian form of thiāf</li></ol>
tiuna|tiūned|tiūnth|tiūna|tiūnde|tiūnst|tiūnest|tiūnande|tiona|tiōna|tiūneth|tiūnen|tiūne|etiūned|tiūnden|tiūndest|tiūnath	<i>verb</i><br><ol><li>to claim</li></ol>
tohakia	<i>verb</i><br><ol><li>to cut</li></ol>
tokerva	<i>verb</i><br><ol><li>to cut to piece</li></ol>
toth|tōtha|tōthem|tōth|tōthes|tēth|tōthum|tōthe	<i>noun</i><br><ol><li>tooth</li></ol>
trast|trāst	<i>noun</i><br><ol><li>support, encouragement</li></ol>
tsietel|sthitilar|sthitilum|tsietelar|sthitila|tsietelum|sthitile|sthitiles|sthitilem|tsieteles|tsietele|tsietela|sthitil|tsietelem	<i>noun</i><br><ol><li>kettle</li></ol>
tuelefte	<i>adj</i><br><ol><li>twelfth</li></ol>
tunge|tungan|tungu|tunga	<i>noun</i><br><ol><li>tongue</li><li>language</li></ol>
tusk|tuska|tuskem|tuske|tuskes|tuskum|tuskar	<i>noun</i><br><ol><li>tooth</li></ol>
twene|twēr|twīra|twēne|twēra|twen|twām|twer|twēn|twā	<i>num</i><br><ol><li>two</li></ol>
urieva	<i>verb</i><br><ol><li>to forgive</li></ol>
urjeta	<i>verb</i><br><ol><li>to forget</li></ol>
urjeva	<i>verb</i><br><ol><li>to forgive</li></ol>
urkuma	<i>verb</i><br><ol><li>to convict</li></ol>
urweddia	<i>verb</i><br><ol><li>to stake</li></ol>
wach|wach!|wāch	<i>noun</i><br><ol><li>wall</li><li>(anatomy) abdominal wall</li></ol><br><i>intj</i><br><ol><li>woe!</li></ol>
wakia|wakade|wakast|ewakad|wakie|wakien|wakad|wakande|wakiath|waka|wakadest|wakaden|wakath	<i>verb</i><br><ol><li>to wake</li></ol>
wasande|wāsande	<i>noun</i><br><ol><li>(anatomy) trachea, windpipe</li></ol>
wedenesdei|wedenesdega|wedenesdegar|wedenesdeis|wedenesdegem|wedenesdegum	<i>noun</i><br><ol><li>Wednesday</li></ol>
wena	<i>verb</i><br><ol><li>(intransitive) to think</li><li>(intransitive) to hope, ween</li></ol>
werpa|wurpen|werpen|warpest|werpst|ewurpen|werp|werpath|werpest|wurpe|werpande|werpe|warpst|werpth|werpeth|warp	<i>verb</i><br><ol><li>to throw</li></ol>
wertha	<i>verb</i><br><ol><li>to become</li></ol>
wesa|sēn|ben|send|wese|wēsa|was|sē|bist|bem|wēren|wēron|wesset|wesande|wēre|wesen|is|ewesen|wesath	<i>verb</i><br><ol><li>to be</li></ol><br><i>noun</i><br><ol><li>orphan</li></ol>
weter	<i>noun</i><br><ol><li>water</li></ol>
wi|ūs|jūwer|hiū|wī|hit|jī|him|ūser|mīn|hiā|hire|sīn|hirem|hiāre|hira|hiāra|hiārem|ik|thī|thīn|jū|hī|jō|thū|mi|hine|hiō|mī	<i>pron</i><br><ol><li>we</li></ol>
wif|wīf|wiif	<i>noun</i><br><ol><li>woman</li><li>wife</li></ol>
willa	<i>verb</i><br><ol><li>want</li></ol>
wirza	<i>verb</i><br><ol><li>to deal</li></ol>
witherbringa	<i>verb</i><br><ol><li>To bring back</li></ol>
withersedza	<i>verb</i><br><ol><li>to contradict</li></ol>
witsing	<i>noun</i><br><ol><li>Viking</li></ol>
wlemma	<i>verb</i><br><ol><li>to contest</li></ol>
wrak|wrāk	<i>adj</i><br><ol><li>crooked</li></ol>
wringa	<i>verb</i><br><ol><li>to wring; twist</li></ol>
wunia|wuna|wunadest|wunien|wunaden|wunast|wunade|wunie|wunad|wuniath|wunande|wunath|ewunad	<i>verb</i><br><ol><li>to reside, dwell</li><li>to stay, remain</li><li>to live in, inhabit</li></ol>
