alimbawa|alimbawà	<i>noun</i><br><ol><li>example</li></ol>
tamoro|tamorô	<i>noun</i><br><ol><li>(anatomy) forefinger</li></ol>
tana|taná	<i>adv</i><br><ol><li>only</li></ol>
tanaman	<i>noun</i><br><ol><li>plant</li></ol>
tango|tangô	<i>noun</i><br><ol><li>nod</li></ol>
tanso|tansô	<i>noun</i><br><ol><li>copper; brass</li></ol>
taon|taón	<i>noun</i><br><ol><li>year</li></ol>
taoy|taóy	<i>noun</i><br><ol><li>rust</li></ol>
tapal	<i>noun</i><br><ol><li>patch</li></ol>
tapik|tapík	<i>noun</i><br><ol><li>pat; tap</li></ol>
tari|tarì	<i>noun</i><br><ol><li>spur</li></ol>
tarom|taróm	<i>noun</i><br><ol><li>blade</li></ol>
tatay	<i>noun</i><br><ol><li>father</li></ol>
tatyaw	<i>noun</i><br><ol><li>cock; rooster</li></ol>
taway	<i>noun</i><br><ol><li>taste</li></ol>
tawil	<i>noun</i><br><ol><li>heritage</li></ol>
tawo	<i>noun</i><br><ol><li>person; human being</li></ol>
tawtawo	<i>noun</i><br><ol><li>people (as a group)</li></ol>
taya|tayâ	<i>noun</i><br><ol><li>bet</li></ol>
tayakotok	<i>noun</i><br><ol><li>drizzle</li></ol>
tayi	<i>noun</i><br><ol><li>seam; stitch</li></ol>
taynop	<i>noun</i><br><ol><li>dream</li></ol>
taytay	<i>noun</i><br><ol><li>bridge</li></ol>
tikala|tikalâ	<i>noun</i><br><ol><li>chain</li></ol>
timol	<i>noun</i><br><ol><li>flea</li></ol>
tina|tinà	<i>noun</i><br><ol><li>dye</li></ol>
tinabon	<i>noun</i><br><ol><li>tomb</li></ol>
tinanda|tinandâ	<i>noun</i><br><ol><li>knowledge</li></ol>
tinapay	<i>noun</i><br><ol><li>bread</li></ol>
tindawan	<i>noun</i><br><ol><li>store; shop</li></ol>
tingga|tinggâ	<i>noun</i><br><ol><li>lead (metal)</li></ol>
tingkapan	<i>noun</i><br><ol><li>job; vocation</li></ol>
tiok|tiók	<i>noun</i><br><ol><li>hiccup</li></ol>
tobling	<i>noun</i><br><ol><li>furrow</li></ol>
toktok	<i>noun</i><br><ol><li>peak; summit</li></ol>
tolok|tolók	<i>adj</i><br><ol><li>deaf</li></ol><br><i>noun</i><br><ol><li>noise</li></ol>
tomangoy|tomangóy	<i>verb</i><br><ol><li>to swim</li></ol>
tomibaw	<i>verb</i><br><ol><li>to visit</li></ol>
toon|toón	<i>noun</i><br><ol><li>(anatomy) nape</li></ol>
toor	<i>noun</i><br><ol><li>(anatomy) knee</li></ol>
topa	<i>noun</i><br><ol><li>sheep</li></ol>
tori	<i>noun</i><br><ol><li>tower</li></ol>
totolyan	<i>noun</i><br><ol><li>(anatomy) ear</li></ol>
toyot	<i>noun</i><br><ol><li>footprint</li></ol>
trangkaso	<i>noun</i><br><ol><li>(pathology) influenza; flu</li></ol>
trapo	<i>noun</i><br><ol><li>rug</li></ol>
trigo	<i>noun</i><br><ol><li>wheat</li></ol>
tripolanti	<i>noun</i><br><ol><li>crew</li></ol>
tsa	<i>noun</i><br><ol><li>tea</li></ol>
tsismis	<i>noun</i><br><ol><li>gossip</li></ol>
tyan	<i>noun</i><br><ol><li>(anatomy) abdomen</li></ol>
wakay|wakáy	<i>noun</i><br><ol><li>vine</li></ol>
walong|walóng	<i>noun</i><br><ol><li>(anatomy) forehead</li></ol>
wanan|wanán	<i>adj</i><br><ol><li>right (direction)</li></ol>
wawali	<i>noun</i><br><ol><li>advice; counsel</li></ol>
wili|wilí	<i>adj</i><br><ol><li>left (direction)</li></ol>
yabi|yabí	<i>noun</i><br><ol><li>evening; night</li></ol>
yamot|yamót	<i>noun</i><br><ol><li>root (of a plant)</li></ol>
yamtok	<i>noun</i><br><ol><li>rattan</li></ol>
yangat	<i>noun</i><br><ol><li>dirt</li></ol>
yaong|yaóng	<i>noun</i><br><ol><li>bowl</li></ol>
yapon|yapón	<i>adj</i><br><ol><li>first</li></ol>
yatok|yatók	<i>noun</i><br><ol><li>sap</li></ol>
yawi	<i>noun</i><br><ol><li>key</li></ol>
yawo|yawò	<i>noun</i><br><ol><li>dart</li></ol>
yilo	<i>noun</i><br><ol><li>ice</li></ol>
yobil	<i>noun</i><br><ol><li>rope; string</li></ol>
yogyog	<i>noun</i><br><ol><li>tremor</li></ol>
yokib	<i>noun</i><br><ol><li>cave</li></ol>
yopi|yopì	<i>noun</i><br><ol><li>dent</li></ol>
