.	<i>punct</i><br><ol><li>Used to mark ordinal numbers, pronounced -garren.</li></ol>
arotz|arotzenganantz|arotzarenganako|arotzez|arotzekin|arotzek|arotzen|arotzarentzat|arotzarengandik|arotzik|arotzak|arotzarengana|arotzenganaino|arotzentzat|arotzaren|arotzei|arotzengan|arotzarekin|arotzarengatik|arotza|arotzengandik|arotzi|arotzarenganantz|arotzengana|arotzengatik|arotzarengan|arotzari|arotzarenganaino|aroztzat|arotzenganako|arotzaz	<i>noun</i><br><ol><li>(Biscayan, Gipuzkoan, Navarrese) carpenter</li><li>(Navarro-Lapurdian, Souletin) smith, ironsmith</li></ol>
aroztegi|aroztegiri|aroztegiek|aroztegitik|aroztegiren|aroztegiei|aroztegietako|aroztegietatik|aroztegiraino|aroztegirako|aroztegirentzat|aroztegiarekin|aroztegiaren|aroztegiaz|aroztegirekin|aroztegiengatik|aroztegitzat|aroztegirengatik|aroztegietara|aroztegitako|aroztegitaraino|aroztegietarako|aroztegian|aroztegirik|aroztegietan|aroztegitarako|aroztegitara|aroztegira|aroztegientzat|aroztegiarentzat|aroztegiari|aroztegiekin|aroztegitatik|aroztegiak|aroztegitarantz|aroztegik|aroztegirantz|aroztegiko|aroztegien|aroztegiarengatik|aroztegietarantz|aroztegia|aroztegiez|aroztegiz|aroztegietaraino|aroztegitan	<i>noun</i><br><ol><li>(Biscayan, Gipuzkoan, Navarrese) carpentry</li><li>(Navarro-Lapurdian, Souletin) ironworker's shop or workshop</li></ol>
arpoi|arpoitarako|arpoiren|arpoitara|arpoiaren|arpoitako|arpoirentzat|arpoirik|arpoietaraino|arpoitik|arpoian|arpoirantz|arpoietarantz|arpoirengatik|arpoirekin|arpoitatik|arpoietan|arpoitzat|arpoiarekin|arpoiek|arpoiarengatik|arpoiz|arpoitan|arpoiak|arpoiko|arpoira|arpoietarako|arpoien|arpoietako|arpoietara|arpoiekin|arpoiez|arpoiari|arpoitaraino|arpoiengatik|arpoiarentzat|arpoiri|arpoiei|arpoiraino|arpoia|arpoik|arpoientzat|arpoitarantz|arpoirako|arpoiaz|arpoietatik	<i>noun</i><br><ol><li>harpoon</li></ol>
arra	<i>noun</i><br><ol><li>span</li></ol>
arrain|arrainarengandik|arraintzat|arrainarengatik|arrainenganako|arrainengana|arrainik|arrainei|arrainez|arrainenganantz|arrainaz|arrainarenganako|arrainarengan|arrainengan|arraini|arrainenganaino|arrainarenganantz|arrainengatik|arrainarentzat|arrainarekin|arraina|arrainengandik|arrainak|arrainari|arrainarenganaino|arrainek|arrainaren|arrainarengana|arrainekin|arrainen|arrainentzat	<i>noun</i><br><ol><li>fish</li></ol>
arrakasta|arrakastarako|arrakastatarako|arrakastetaraino|arrakastarentzat|arrakastei|arrakastentzat|arrakastatatik|arrakastara|arrakastetara|arrakastataraino|arrakastatik|arrakastaz|arrakastatako|arrakastatara|arrakasten|arrakastaraino|arrakastetatik|arrakastez|arrakastak|arrakastarekin|arrakastako|arrakastengatik|arrakastarengatik|arrakastetarantz|arrakastari|arrakastetako|arrakastarantz|arrakastekin|arrakastatzat|arrakastaren|arrakastatan|arrakastatarantz|arrakastarik|arrakastan|arrakastetan|arrakastetarako|arrakastek	<i>noun</i><br><ol><li>success</li></ol>
arrano|arranok|arranorentzat|arranoenganako|arranoen|arranoarengatik|arranoenganantz|arranori|arranoarenganako|arranoz|arranoentzat|arranoarenganaino|arranoarengan|arranoengatik|arranoarengana|arranorengatik|arranorekin|arranorik|arranorengandik|arranoarenganantz|arranoren|arranoak|arranorenganako|arranoari|arranoarekin|arranoengandik|arranoaz|arranotzat|arranorenganantz|arranoei|arranorengana|arranoa|arranorengan|arranorenganaino|arranoarengandik|arranoek|arranoaren|arranoarentzat|arranoenganaino|arranoekin|arranoengan|arranoez|arranoengana	<i>noun</i><br><ol><li>eagle</li></ol>
arranotegi|arranotegitan|arranotegietako|arranotegirekin|arranotegirako|arranotegirentzat|arranotegietarako|arranotegiarekin|arranotegia|arranotegitara|arranotegitik|arranotegitaraino|arranotegirik|arranotegiri|arranotegietatik|arranotegietara|arranotegitarako|arranotegitzat|arranotegiko|arranotegiarentzat|arranotegirengatik|arranotegiak|arranotegietaraino|arranotegiez|arranotegiekin|arranotegiarengatik|arranotegira|arranotegitarantz|arranotegiari|arranotegientzat|arranotegien|arranotegiraino|arranotegitatik|arranotegiek|arranotegietarantz|arranotegik|arranotegiaz|arranotegitako|arranotegiengatik|arranotegiz|arranotegian|arranotegiren|arranotegiaren|arranotegirantz|arranotegiei|arranotegietan	<i>noun</i><br><ol><li>eyrie</li></ol>
arrantzale|arrantzaleen|arrantzaleengandik|arrantzaletzat|arrantzalearen|arrantzaleak|arrantzalearentzat|arrantzaleengatik|arrantzalearenganantz|arrantzalearenganako|arrantzaleaz|arrantzaleenganaino|arrantzalearengana|arrantzaleek|arrantzalerengana|arrantzaleez|arrantzalerik|arrantzaleei|arrantzalearenganaino|arrantzaleari|arrantzalearengatik|arrantzalerenganako|arrantzaleenganantz|arrantzalearengan|arrantzaleekin|arrantzalerengan|arrantzalearekin|arrantzalerengatik|arrantzalerenganantz|arrantzalek|arrantzalerentzat|arrantzalearengandik|arrantzaleengan|arrantzalerengandik|arrantzalez|arrantzalerekin|arrantzalea|arrantzaleengana|arrantzalerenganaino|arrantzaleentzat|arrantzaleenganako|arrantzaleri|arrantzaleren	<i>noun</i><br><ol><li>fisherman</li></ol>
arratoi|arratoiengandik|arratoiz|arratoirengatik|arratoiren|arratoiarentzat|arratoitzat|arratoiri|arratoienganako|arratoiek|arratoiarengatik|arratoiari|arratoiengan|arratoirekin|arratoiaz|arratoiez|arratoirentzat|arratoiarengana|arratoiengatik|arratoiarekin|arratoirenganaino|arratoiarenganaino|arratoienganantz|arratoirengan|arratoiei|arratoiengana|arratoien|arratoienganaino|arratoirik|arratoiarengan|arratoiekin|arratoia|arratoik|arratoiak|arratoiaren|arratoirenganako|arratoiarenganantz|arratoientzat|arratoirenganantz|arratoirengandik|arratoirengana|arratoiarengandik|arratoiarenganako	<i>noun</i><br><ol><li>rat</li></ol>
arratsalde|arratsaldetako|arratsalderantz|arratsaldeaz|arratsaldeetarako|arratsalderekin|arratsaldearengatik|arratsaldetik|arratsalderen|arratsaldez|arratsalderaino|arratsaldeen|arratsaldean|arratsaldeetarantz|arratsaldetan|arratsaldeetatik|arratsaldeentzat|arratsaldeetako|arratsaldetatik|arratsalderentzat|arratsaldera|arratsaldeei|arratsaldetarantz|arratsaldetaraino|arratsalderik|arratsaldea|arratsaldearekin|arratsaldeengatik|arratsaldeez|arratsaldeko|arratsaldeetaraino|arratsaldeekin|arratsaldeetan|arratsalderi|arratsalderengatik|arratsaldearen|arratsaldeetara|arratsaldek|arratsaldeari|arratsaldeek|arratsaldetarako|arratsaldetzat|arratsaldeak|arratsaldetara|arratsaldearentzat|arratsalderako	<i>noun</i><br><ol><li>afternoon, dusk</li></ol>
arraun|arraunera|arraunen|arrauneraino|arraunerantz|arraunetaraino|arraunetako|arraunekin|arrauna|arraunetatik|arraunez|arraunaz|arraunaren|arraunetara|arraunek|arraunentzat|arraunetan|arrauneko|arrauni|arraunarentzat|arraunetarako|arraunerako|arraunetik|arraunarekin|arraunak|arraunetarantz|arraunean|arraunengatik|arraunei|arrauntzat|arraunik|arraunarengatik|arraunari	<i>noun</i><br><ol><li>oar (lever used to propel a boat)</li><li>(sports) rowing</li></ol>
arrautza|arrautzetarako|arrautzari|arrautzan|arrautzetara|arrautzarantz|arrautzatarako|arrautzarentzat|arrautzetan|arrautzetatik|arrautzaren|arrautzara|arrautzarengatik|arrautzataraino|arrautzaraino|arrautzatzat|arrautzek|arrautzatarantz|arrautzaz|arrautzei|arrautzako|arrautzatik|arrautzarako|arrautzetaraino|arrautzen|arrautzarik|arrautzengatik|arrautzatan|arrautzez|arrautzarekin|arrautzatatik|arrautzetako|arrautzekin|arrautzentzat|arrautzak|arrautzatako|arrautzatara|arrautzetarantz	<i>noun</i><br><ol><li>egg</li></ol>
arreba|arrebek|arrebarengana|arrebengan|arrebarenganaino|arrebaz|arrebenganako|arrebarengan|arrebenganantz|arrebak|arrebengatik|arrebenganaino|arrebarentzat|arrebez|arrebarekin|arrebarengandik|arrebarengatik|arrebengandik|arrebengana|arrebarenganantz|arrebentzat|arrebarik|arrebatzat|arrebekin|arrebaren|arrebarenganako|arrebari|arreben|arrebei	<i>noun</i><br><ol><li>sister (of a male)</li></ol>
arriskatu|arriskatzen|arriskatze|arriska|arriskatuko	<i>verb</i><br><ol><li>to risk, take a risk</li></ol>
arroda|arrodatatik|arrodatzat|arrodaraino|arrodarantz|arrodaren|arrodetarantz|arrodari|arrodekin|arrodetatik|arrodarentzat|arrodez|arrodak|arrodatan|arrodataraino|arrodei|arrodarekin|arrodengatik|arrodentzat|arrodek|arrodara|arrodatako|arrodetara|arrodetarako|arrodetaraino|arrodarik|arrodaz|arrodarengatik|arrodetan|arrodatarantz|arrodatara|arrodatarako|arrodan|arroden|arrodarako|arrodatik|arrodako|arrodetako	<i>noun</i><br><ol><li>wheel</li></ol>
arrosa	<i>noun</i><br><ol><li>rose</li></ol>
arrunt|arruntekin|arruntengana|arruntetarantz|arruntek|arruntetara|arruntei|arruntarekin|arruntarengandik|arruntaz|arruntean|arruntetako|arrunteko|arrunterako|arruntetan|arruntegi|arruntenganantz|arruntenganaino|arrunt-tzat|arruntago|arruntarentzat|arruntera|arruntetatik|arruntenganako|arruntengatik|arruntengan|arruntarenganantz|arruntetarako|arruntetaraino|arruntarengan|arruntari|arrunta|arrunti|arruntik|arruntarengana|arrunten|arruntentzat|arruntetik|arruntengandik|arrunteraino|arruntez|arrunterantz|arruntarengatik|arruntaren|arruntak|arruntarenganako|arruntarenganaino	<i>adj</i><br><ol><li>common, widespread, commonplace</li><li>ordinary, everyday</li><li>simple, straightforward</li><li>vulgar, coarse</li></ol>
artaburu|artaburuarenganaino|artabururenganantz|artaburuen|artaburuarengan|artaburuetarantz|artaburuari|artaburuetatik|artaburuz|artaburuenganantz|artaburuetako|artabururik|artaburutarantz|artaburuaren|artabururengatik|artaburutan|artaburuarenganako|artaburuarengatik|artaburutatik|artaburuko|artabururenganako|artaburuarentzat|artaburuarenganantz|artaburuarengana|artabururantz|artaburuenganako|artabururako|artabururentzat|artabururenganaino|artaburua|artaburuekin|artaburuek|artaburuetan|artaburuaz|artaburuak|artaburutara|artabururekin|artaburuengana|artaburuetaraino|artabururengandik|artabururi|artaburuarengandik|artaburutik|artaburuez|artaburuei|artabururengan|artaburutarako|artaburuengatik|artabururen|artaburuarekin|artaburuetara|artaburutzat|artaburuengandik|artaburuetarako|artaburuk|artaburuengan|artaburuentzat|artaburuenganaino|artabururengana|artaburutako|artaburura|artaburuan|artabururaino|artaburutaraino	<i>noun</i><br><ol><li>(inanimate) cob (of corn)</li><li>(animate) stupid, fool</li></ol>
artalde|artaldearentzat|artaldeaz|artaldearenganantz|artalderenganako|artalderik|artaldeak|artaldearenganaino|artaldearengana|artaldeen|artaldeenganako|artaldearen|artaldeengana|artaldeengatik|artalderengan|artaldeenganaino|artaldetzat|artaldearekin|artalderenganantz|artaldeenganantz|artalderengatik|artalderen|artaldeek|artaldeengan|artaldearengan|artaldea|artaldeei|artaldek|artalderentzat|artaldeez|artalderengandik|artalderekin|artalderengana|artaldearengatik|artaldeengandik|artaldeentzat|artaldez|artalderenganaino|artaldeari|artalderi|artaldeekin|artaldearengandik|artaldearenganako	<i>noun</i><br><ol><li>flock of sheep</li><li>christian community</li></ol>
arte|arteak|arteetan|arterako|arteengatik|arteekin|artea|arteen|arteetaraino|artetako|arteri|arterekin|artearekin|arterik|artetarako|artetaraino|arterengatik|artetik|arterantz|arteez|arteetara|arterentzat|arteetarantz|arteetarako|arteentzat|arteetako|artetatik|arte|arteren|artearentzat|arteko|artetan|case|artez|artetarantz|artean|arteetatik|arteaz|arteek|arteei|artek|arteraino|artearen|artera|artetara|artetzat|arteari|artearengatik	<i>noun</i><br><ol><li>oak (especially the evergreen oak)</li><li>space in between</li><li>interval</li></ol><br><i>postp</i><br><ol><li>between</li><li>until</li></ol>
artile|artilearen|artilerako|artilearekin|artileetan|artiletara|artiletaraino|artileetako|artilerengatik|artileaz|artilerik|artileetarantz|artileko|artiletzat|artileek|artiletan|artileetaraino|artilearentzat|artileez|artileari|artilean|artileraino|artilerantz|artilerekin|artileekin|artileak|artileen|artileengatik|artilek|artilerentzat|artileren|artilea|artilez|artiletarantz|artilera|artiletako|artileri|artilearengatik|artiletarako|artileetarako|artileetara|artiletatik|artileentzat|artileetatik|artiletik|artileei	<i>noun</i><br><ol><li>wool</li></ol>
artizar|artizarraz|artizarretarantz|artizarretik|artizartzat|artizarrez|artizarren|artizarrarengatik|artizarraren|artizarrarekin|artizarretara|artizarreko|artizarri|artizarrengatik|artizarra|artizarrari|artizarrei|artizarretaraino|artizarrerantz|artizarrekin|artizarrek|artizarrarentzat|artizarreraino|artizarretatik|artizarrik|artizarrentzat|artizarretako|artizarretarako|artizarrak|artizarrera|artizarrerako|artizarretan|artizarrean	<i>noun</i><br><ol><li>(astronomy) morning star, evening star (the planet Venus)</li></ol>
arto|artoengatik|artoarentzat|artoetako|artorekin|artotzat|artotan|artoaz|artoetaraino|artori|artoren|artoz|artoan|artotatik|artoarengatik|artorengatik|artoekin|artoraino|artotara|artoentzat|artoarekin|artotik|artoak|artok|artora|artoetatik|artorako|artorantz|artoek|artotarantz|artoei|artoetara|artoez|artorik|artorentzat|artotarako|artoetan|artoari|artoetarantz|artotaraino|artotako|artoetarako|artoen|artoko|artoaren|artoa	<i>noun</i><br><ol><li>corn, maize</li></ol>
artseniko|artsenikoarengatik|artsenikorik|artsenikoari|artsenikoz|artsenikoaz|artsenikoa|artsenikoaren|artsenikotzat|artsenikoarentzat|artsenikoak|artsenikoan|artsenikoarekin	<i>noun</i><br><ol><li>arsenic</li></ol>
artxipelago|artxipelagotako|artxipelagoetarantz|artxipelagori|artxipelagoek|artxipelagoarentzat|artxipelagotzat|artxipelagotatik|artxipelagorik|artxipelagoak|artxipelagoetako|artxipelagorentzat|artxipelagoen|artxipelagoentzat|artxipelagoraino|artxipelagorekin|artxipelagoei|artxipelagoarekin|artxipelagotara|artxipelagotarantz|artxipelagoarengatik|artxipelagoren|artxipelagoetaraino|artxipelagoetatik|artxipelagoaz|artxipelagoaren|artxipelagoekin|artxipelagoko|artxipelagoa|artxipelagoetara|artxipelagorako|artxipelagora|artxipelagorantz|artxipelagotarako|artxipelagoan|artxipelagoari|artxipelagoez|artxipelagoetan|artxipelagotaraino|artxipelagorengatik|artxipelagotan|artxipelagoetarako|artxipelagoz|artxipelagotik|artxipelagok|artxipelagoengatik	<i>noun</i><br><ol><li>archipelago</li></ol>
artzain|artzainarenganantz|artzainengandik|artzainarentzat|artzaina|artzainengatik|artzainengana|artzainenganako|artzainen|artzainaz|artzaintzat|artzainengan|artzainarengatik|artzainak|artzainarenganaino|artzainenganaino|artzainarengan|artzainentzat|artzainik|artzainekin|artzainez|artzainei|artzainarekin|artzaini|artzainari|artzainek|artzainarengandik|artzainarenganako|artzainenganantz|artzainarengana|artzainaren	<i>noun</i><br><ol><li>shepherd</li><li>priest</li></ol>
artzain-txakur|artzain-txakurrei|artzain-txakurrarengandik|artzain-txakurrengan|artzain-txakurrarekin|artzain-txakurrarenganantz|artzain-txakurrez|artzain-txakurrekin|artzain-txakurtzat|artzain-txakurrenganaino|artzain-txakurrarengana|artzain-txakurrenganantz|artzain-txakurrarengan|artzain-txakurrik|artzain-txakurren|artzain-txakurrengandik|artzain-txakurrari|artzain-txakurrengana|artzain-txakurrek|artzain-txakurrentzat|artzain-txakurrenganako|artzain-txakurrak|artzain-txakurrengatik|artzain-txakurraz|artzain-txakurrarentzat|artzain-txakurrarengatik|artzain-txakurrarenganaino|artzain-txakurri|artzain-txakurraren|artzain-txakurrarenganako|artzain-txakurra	<i>noun</i><br><ol><li>sheepdog</li></ol>
asaba	<i>noun</i><br><ol><li>grandfather</li></ol>
asaldatu|asaldatze|asaldatzen|asaldatuko|asalda	<i>verb</i><br><ol><li>to disturb, trouble, upset</li><li>to be disturbed, be troubled</li><li>to rebel, rise up against</li></ol>
askatasun|askatasunez|askatasunen|askatasuna|askatasunetan|askatasunaren|askatasunera|askatasunetara|askatasunari|askatasunentzat|askatasunetik|askatasunetaraino|askatasunerantz|askatasunean|askatasuni|askatasunengatik|askatasunek|askatasunarekin|askatasunik|askatasuntzat|askatasunetatik|askatasunaz|askatasunak|askatasunarentzat|askatasunerako|askatasuneko|askatasunetarantz|askatasunei|askatasunetarako|askatasunekin|askatasuneraino|askatasunarengatik|askatasunetako	<i>noun</i><br><ol><li>freedom, liberty</li></ol>
aske|askeetaraino|askeetan|askerengan|askeenganantz|askearentzat|askeetako|askearengandik|asketik|askeegi|askearengan|askerantz|asketarako|askearekin|asketatik|askerekin|askearen|askerentzat|askeengatik|askerengandik|askeaz|askez|askeei|asketan|asketaraino|asketara|askeengandik|askearengana|askerengatik|askeez|asketzat|askeen|askeari|askeengan|askea|askearenganako|askeri|askerik|askeak|askeetarantz|askera|askeraino|askeren|askeko|askeenganako|askerako|askean|asketarantz|askerenganako|askeetarako|askeago|askeentzat|askeetara|askearengatik|askearenganaino|asketako|askerengana|askearenganantz|askerenganantz|askeetatik|askerenganaino|askeengana|askeekin|askeenganaino|askeek|askek	<i>adj</i><br><ol><li>free, independent</li><li>(mathematics) independent</li></ol><br><i>adv</i><br><ol><li>freely</li></ol>
asko|gehiegi|gehiago	<i>adj</i><br><ol><li>a lot of, many, much</li></ol><br><i>adv</i><br><ol><li>much, a lot</li></ol>
asmatu|asmatuko|asma|asmatze|asmatzen	<i>verb</i><br><ol><li>to imagine, think up, figure out</li><li>to invent</li><li>to guess, suspect</li></ol>
aste|asterengatik|astea|asteek|asteetan|astetaraino|astean|astetzat|astearengatik|asteetarako|asteengatik|astearentzat|asteetarantz|asteentzat|asteetatik|astetarako|asterik|asteen|astearekin|asterentzat|asteetara|astetatik|asteekin|asteetaraino|asterantz|astez|asteren|asterako|astetik|asteri|asteez|astetako|asteei|asteetako|asteari|asteko|asteak|asterekin|astek|astera|asteraino|astearen|astetarantz|astetara|asteaz|astetan	<i>noun</i><br><ol><li>week</li></ol>
astearte|astearterentzat|asteartez|asteartera|astearteez|astearteetarantz|astearterantz|astearterako|asteartea|astearterekin|astearteengatik|asteartetarantz|asteartetatik|asteartetzat|asteartetik|astearterik|astearteren|asteartetako|astearteari|astearteetaraino|asteartearentzat|astearteetara|astearteetarako|astearteaz|astearteri|asteartean|astearteek|asteartearen|asteartetarako|astearteraino|astearterengatik|astearteetatik|asteartetara|astearteak|asteartetan|asteartek|astearteei|asteartearengatik|asteartetaraino|asteartearekin|astearteetan|astearteekin|astearteentzat|astearteko|astearteen|astearteetako	<i>noun</i><br><ol><li>Tuesday</li></ol>
asteazken|asteazkeni|asteazkenetatik|asteazkenarentzat|asteazkentzat|asteazkenetako|asteazkenerako|asteazkenetarantz|asteazkenerantz|asteazkenik|asteazkenak|asteazkenari|asteazkenaren|asteazkenez|asteazkenetik|asteazkenaz|asteazkenetan|asteazkenekin|asteazkenetara|asteazkenengatik|asteazkeneraino|asteazkenetaraino|asteazkenean|asteazkenetarako|asteazkenera|asteazkenentzat|asteazkenek|asteazkena|asteazkeneko|asteazkenen|asteazkenei|asteazkenarekin|asteazkenarengatik	<i>noun</i><br><ol><li>Wednesday</li></ol>
astebukaera|astebukaeretarako|astebukaeratatik|astebukaerako|astebukaeratako|astebukaerarako|astebukaeren|astebukaerez|astebukaerek|astebukaeratarantz|astebukaerei|astebukaeraren|astebukaeretan|astebukaeraz|astebukaerara|astebukaeran|astebukaerarekin|astebukaerekin|astebukaeretaraino|astebukaeratik|astebukaerarentzat|astebukaerengatik|astebukaerak|astebukaeretarantz|astebukaeratarako|astebukaeretatik|astebukaeretara|astebukaerarantz|astebukaeratzat|astebukaerarengatik|astebukaerentzat|astebukaeraraino|astebukaeratan|astebukaeratara|astebukaerarik|astebukaerari|astebukaerataraino|astebukaeretako	<i>noun</i><br><ol><li>weekend</li></ol>
asteburu|asteburutako|asteburuekin|asteburutarako|astebururengatik|asteburura|asteburuez|asteburutik|asteburuko|asteburuetako|asteburuaren|astebururantz|asteburuarengatik|asteburuetarantz|asteburutan|asteburutaraino|asteburuetatik|asteburuen|astebururik|asteburutara|asteburuetaraino|asteburua|asteburutzat|asteburuei|asteburuan|asteburuarentzat|astebururi|asteburuz|astebururako|asteburuk|asteburutatik|astebururen|asteburuentzat|asteburuetan|asteburuengatik|asteburuetara|asteburuek|asteburuarekin|asteburuari|astebururekin|astebururentzat|asteburutarantz|asteburuetarako|asteburuak|astebururaino|asteburuaz	<i>noun</i><br><ol><li>weekend</li></ol>
astelehen|astelehenari|astelehenetatik|astelehenarentzat|astelehenetarantz|astelehenek|astelehenentzat|asteleheneko|astelehenen|astelehenez|astelehenerantz|astelehenarengatik|astelehenetara|astelehenak|astelehenik|astelehentzat|astelehenengatik|astelehenekin|asteleheneraino|astelehenetaraino|astelehenaz|astelehenarekin|astelehenera|asteleheni|astelehenetarako|astelehenerako|astelehenaren|astelehenetako|astelehenetik|astelehena|astelehenei|astelehenetan|astelehenean	<i>noun</i><br><ol><li>Monday</li></ol>
asteroide|asteroideetarantz|asteroideetatik|asteroidean|asteroiderengatik|asteroidera|asteroideei|asteroideez|asteroideekin|asteroideak|asteroidearekin|asteroideentzat|asteroideaz|asteroiderako|asteroidetako|asteroideen|asteroidetzat|asteroidearengatik|asteroidearen|asteroidetarantz|asteroiderentzat|asteroideren|asteroideri|asteroidetan|asteroideetara|asteroideko|asteroideari|asteroideraino|asteroideetako|asteroideetaraino|asteroiderekin|asteroidea|asteroidetaraino|asteroideek|asteroideengatik|asteroidetik|asteroidek|asteroidetarako|asteroideetarako|asteroideetan|asteroidetatik|asteroiderik|asteroidetara|asteroidearentzat|asteroiderantz|asteroidez	<i>noun</i><br><ol><li>(astronomy) asteroid</li></ol>
astindu|astintze|astintzen|astinduko|astin	<i>verb</i><br><ol><li>to shake, shake up, inflate</li><li>to beat</li></ol>
asto|astorengatik|astoarengana|astoaz|astoenganaino|astoekin|astoenganako|astoz|astoarenganantz|astoek|astorik|astoengan|astoarengandik|astoen|astoarengan|astoenganantz|astorenganantz|astorekin|astoaren|astoarenganako|astoarentzat|astorengana|astoarekin|astoarengatik|astok|astoei|astoentzat|astoengandik|astorengan|astoengatik|astorengandik|astoengana|astoari|astorentzat|astoren|astotzat|astoa|astoak|astorenganaino|astorenganako|astoez|astori|astoarenganaino	<i>noun</i><br><ol><li>donkey</li></ol>
astrofisika	<i>noun</i><br><ol><li>astrophysics</li></ol>
astrofisikari|astrofisikariei|astrofisikariarekin|astrofisikariarenganantz|astrofisikarirengandik|astrofisikarirengatik|astrofisikariarengandik|astrofisikariengatik|astrofisikaritzat|astrofisikariarengan|astrofisikariez|astrofisikarienganako|astrofisikarirentzat|astrofisikariekin|astrofisikarirengan|astrofisikariaren|astrofisikarirengana|astrofisikarienganaino|astrofisikariengandik|astrofisikariaz|astrofisikarirenganaino|astrofisikaria|astrofisikarik|astrofisikariengan|astrofisikariarenganako|astrofisikarirenganako|astrofisikarirekin|astrofisikariarentzat|astrofisikariarengana|astrofisikariarengatik|astrofisikarirenganantz|astrofisikariren|astrofisikarientzat|astrofisikariek|astrofisikaririk|astrofisikariari|astrofisikariz|astrofisikarienganantz|astrofisikariri|astrofisikarien|astrofisikariarenganaino|astrofisikariak|astrofisikariengana	<i>noun</i><br><ol><li>astrophysicist</li></ol>
astronomia|astronomiatzat|astronomiatatik|astronomietako|astronomiaren|astronomiatarantz|astronomiek|astronomiaraino|astronomiatarako|astronomiengatik|astronomietaraino|astronomiaz|astronomiei|astronomiataraino|astronomiari|astronomiatako|astronomiarik|astronomiarantz|astronomietatik|astronomiez|astronomientzat|astronomiatik|astronomietarantz|astronomiatara|astronomiekin|astronomiak|astronomiako|astronomietan|astronomian|astronomien|astronomiatan|astronomietarako|astronomiarako|astronomiarengatik|astronomiarekin|astronomiarentzat|astronomiara|astronomietara	<i>noun</i><br><ol><li>astronomy</li></ol>
astronomo|astronomoak|astronomoarenganantz|astronomoarengandik|astronomorenganako|astronomoengandik|astronomoenganantz|astronomoren|astronomoa|astronomoarentzat|astronomoenganako|astronomoek|astronomoarenganaino|astronomoarengatik|astronomorik|astronomoenganaino|astronomoaz|astronomorengatik|astronomoari|astronomoen|astronomok|astronomoengatik|astronomoaren|astronomoarengana|astronomoez|astronomorekin|astronomorentzat|astronomorengandik|astronomorenganantz|astronomoarenganako|astronomoarekin|astronomoei|astronomorengan|astronomoz|astronomoentzat|astronomori|astronomoekin|astronomoengana|astronomoengan|astronomorenganaino|astronomotzat|astronomorengana|astronomoarengan	<i>noun</i><br><ol><li>astronomer</li></ol>
asturiera|asturieratzat|asturieraren|asturierarengatik|asturierarentzat|asturieran|asturierari|asturierarik|asturieraz|asturierak|asturierarekin	<i>noun</i><br><ol><li>The Asturian language</li></ol>
asun|asunez|asunak|asunetaraino|asunetako|asunengatik|asunerako|asunerantz|asunetatik|asunarentzat|asuntzat|asunik|asunei|asuna|asunaren|asunean|asunetik|asunarekin|asuneko|asunera|asuni|asunen|asunekin|asunetara|asunentzat|asunetarantz|asunek|asunaz|asunarengatik|asunari|asunetan|asuneraino|asunetarako	<i>noun</i><br><ol><li>nettle (stinging herb of genus Urtica)</li></ol>
ataraxia	<i>noun</i><br><ol><li>ataraxia</li></ol>
atari|atarietarako|atarikoentzat|atarik|ataritaraino|atarikotarako|atarikotara|atarikora|atarietako|atarirako|atarikoen|atarikoarekin|atarikoekin|atarikorako|atarikorengatik|atarikoko|atarikoan|atariarengatik|atarirengatik|atarikori|atariez|atarikoraino|atarikoak|atarikoaren|atarikoetaraino|atarikoek|atarikoari|atariri|atarietarantz|atariraino|atarikoez|atarikotarantz|atarietan|atariak|atarikoetara|atarikoarentzat|ataritan|ataritako|atariarentzat|atariaren|atarirantz|ataritzat|atarikoetan|atarikotik|atariren|atarikoengatik|atarikotan|atarikorentzat|atarikoarengatik|atariko|atarietara|atarikoei|atarikoetatik|atarientzat|atarikok|atarietaraino|ataritarako|atarikoz|atarikoa|atarikorantz|atarikoetako|atarikotako|atarirekin|atariengatik|atariek|atariaz|atarikorekin|atarikotaraino|ataririk|atarikotzat|atarian|atarietatik|atarikorik|atarikotatik|atariz|ataritarantz|ataritik|atarikoetarako|atarirentzat|ataritara|atarien|ataria|atariarekin|atariekin|atarikoren|atariei|atarikoetarantz|atariari|atarikoaz|atarira|ataritatik	<i>noun</i><br><ol><li>gateway, doorway, portal</li><li>introduction, beginning</li><li>threshold (lower limit)</li><li>(Internet) portal</li></ol>
atariko|atarikoraino|atarikorik|atarikoak|atarikoaren|atarikoetaraino|atarikoentzat|atarikoengatik|atarikoek|atarikotatik|atarikotan|atarikoari|atarikorentzat|atarikoarengatik|atarikotarako|atarikotara|atarikora|atarikoetarako|atarikoen|atarikoez|atarikoarekin|atarikotarantz|atarikoei|atarikoekin|atarikok|atarikoetatik|atarikoetara|atarikorako|atarikorengatik|atarikoz|atarikoko|atarikoan|atarikoren|atarikoa|atarikorantz|atarikoarentzat|atarikoetako|atarikotako|atarikoetarantz|atarikori|atarikoaz|atarikorekin|atarikotaraino|atarikoetan|atarikotzat|atarikotik	<i>adj</i><br><ol><li>introductory, preliminary</li></ol><br><i>noun</i><br><ol><li>introduction, preliminary</li></ol>
