'eee	<i>particle</i><br><ol><li>yes</li></ol>
eeka'tümü	<i>verb</i><br><ol><li>(intransitive, patientive) to run</li></ol>
eese|ñöödö|mö'kü|^Y ñö'dö|kanno|mööyö|möönü|eesemjo|^Y möñö|mödö|^Y nñanno|yöötö|möötö|^Y e'dö|unwaa|sadö|iyö|möntö|mökkü|maadö|mönsemjo|mö'dö|^Y mönö|aneeseja|ñanno|makkamo|mönse|inña|ma'kamo|edö|eese|^Y iiyö|eetö	<i>adv</i><br><ol><li>here (in this division or unit of land, or on this side of a geographical feature)</li></ol>
eesemjo|ñöödö|mö'kü|^Y ñö'dö|kanno|mööyö|möönü|eesemjo|^Y möñö|mödö|^Y nñanno|yöötö|möötö|^Y e'dö|unwaa|sadö|iyö|möntö|mökkü|maadö|mönsemjo|mö'dö|^Y mönö|aneeseja|ñanno|makkamo|mönse|inña|ma'kamo|edö|eese|^Y iiyö|eetö	<i>adv</i><br><ol><li>here (on this shore, on this side of a watercourse)</li></ol>
eetamincha	<i>verb</i><br><ol><li>(intransitive, patientive) to get tired, to tire</li></ol>
eetö|ñöödö|mö'kü|^Y ñö'dö|kanno|mööyö|möönü|eesemjo|^Y möñö|mödö|^Y nñanno|yöötö|möötö|^Y e'dö|unwaa|sadö|iyö|möntö|mökkü|maadö|mönsemjo|mö'dö|^Y mönö|aneeseja|ñanno|makkamo|mönse|inña|ma'kamo|edö|eese|^Y iiyö|eetö	<i>adv</i><br><ol><li>here (where the speaker is)</li></ol>
ei|weichü	<i>verb</i><br><ol><li>(intransitive) to be</li></ol>
eicha	<i>verb</i><br><ol><li>(transitive) to comb</li></ol>
eima	<i>verb</i><br><ol><li>(transitive) to smoke (tobacco)</li></ol>
ej	<i>intj</i><br><ol><li>whoops</li></ol>
eja'ka	<i>verb</i><br><ol><li>(intransitive, patientive) to go out, to come out, to leave, to exit</li></ol>
ejamü|wejannö	<i>verb</i><br><ol><li>(intransitive, patientive) to increase in population, to grow as a community, to multiply</li></ol>
ejema	<i>verb</i><br><ol><li>(transitive) to buy</li><li>(transitive) to pay</li></ol>
ejemajo	<i>verb</i><br><ol><li>(transitive) to sell</li></ol>
eju'ta	<i>verb</i><br><ol><li>(De'kwana dialect, transitive) to set a handle in an axe, broom, etc.</li><li>(De'kwana dialect, transitive) to set an arrow to a bow</li></ol>
ejui	<i>verb</i><br><ol><li>(intransitive) to fatten up, to get fatter</li></ol>
ejukka|eju'kwa	<i>verb</i><br><ol><li>(intransitive, patientive) to fall</li><li>(intransitive, patientive) to be(come) wrecked, to founder, to sink</li></ol>
ejumü	<i>verb</i><br><ol><li>(intransitive, patientive) to get tangled up, to become entangled</li></ol>
ejutö	<i>verb</i><br><ol><li>(Ye'kwana dialect, transitive) to set a handle in an axe, broom, etc.</li><li>(Ye'kwana dialect, transitive) to set an arrow to a bow</li></ol>
ejö|ö'kö'de|ö'tökö	<i>verb</i><br><ol><li>(intransitive, agentive) to come</li></ol>
eka'ta	<i>verb</i><br><ol><li>(intransitive, patientive) to drip</li></ol>
ekamjiyaka	<i>verb</i><br><ol><li>(intransitive, patientive) to change</li></ol>
ekamma'jo	<i>verb</i><br><ol><li>(Ye'kwana dialect, transitive) to ask, to inquire</li></ol>
ekammajo	<i>verb</i><br><ol><li>(De'kwana dialect, transitive) to ask, to inquire</li></ol>
ekanta'ñö	<i>verb</i><br><ol><li>(De'kwana dialect, intransitive, patientive) to sing</li></ol>
ekanöjü	<i>verb</i><br><ol><li>(Ye'kwana dialect, transitive) to believe</li></ol>
ekanüjü	<i>verb</i><br><ol><li>(De'kwana dialect, transitive) to believe</li></ol>
ekauwü	<i>verb</i><br><ol><li>(transitive) to distribute (yuca, sand, powder, etc.) equally, to apportion, to dole out</li></ol>
ekku'ka	<i>verb</i><br><ol><li>(transitive) to squeeze, to express</li></ol>
ekkudö	<i>verb</i><br><ol><li>(transitive) to wet, to make wet</li></ol>
eku	<i>verb</i><br><ol><li>(transitive) to have sex with</li></ol>
ekunaka	<i>verb</i><br><ol><li>(transitive) to break or remove (a person or animal’s) legs</li></ol>
ema	<i>verb</i><br><ol><li>(transitive) to lose</li><li>(transitive) to throw</li><li>(transitive) to kill</li></ol>
emaicha	<i>verb</i><br><ol><li>(transitive) to miss (a stroke or shot)</li></ol>
emamü	<i>verb</i><br><ol><li>(transitive) to paint</li></ol>
emannöjü	<i>verb</i><br><ol><li>(transitive) to go hunting with dogs</li></ol>
emeka	<i>verb</i><br><ol><li>(transitive) to have children one after the other</li></ol>
emi'chü	<i>verb</i><br><ol><li>(transitive) to take (dogs) hunting</li></ol>
emjaka	<i>verb</i><br><ol><li>(transitive) to wake (someone) up</li></ol>
emjannö	<i>verb</i><br><ol><li>(transitive) to light, to ignite</li></ol>
emomü	<i>verb</i><br><ol><li>(transitive) to put in, to insert</li></ol>
ene	<i>verb</i><br><ol><li>(transitive) to see</li></ol>
enejenka	<i>verb</i><br><ol><li>(intransitive, patientive) to grow</li></ol>
enejo	<i>verb</i><br><ol><li>(transitive) to point out, to show</li></ol>
enejü	<i>verb</i><br><ol><li>(transitive) to bring</li></ol>
enema	<i>verb</i><br><ol><li>(transitive) to abide by (a ritual prohibition)</li></ol>
enkaima	<i>verb</i><br><ol><li>(transitive) to rub smooth, to make smooth or flat</li></ol>
enku	<i>verb</i><br><ol><li>to drink</li></ol>
enku'tö	<i>verb</i><br><ol><li>(Ye'kwana dialect, transitive) to tell (a lie), to lie</li></ol>
enkutö	<i>verb</i><br><ol><li>(De'kwana dialect, transitive) to tell (a lie), to lie</li></ol>
ennaka	<i>verb</i><br><ol><li>(intransitive, patientive) to return, to come back</li></ol>
ennicha	<i>verb</i><br><ol><li>(transitive) to soak, to steep, to wet</li></ol>
ennu|wennunö	<i>verb</i><br><ol><li>(intransitive, patientive) to be born</li><li>(intransitive, patientive) to birth, to give birth</li></ol>
ennujaicho	<i>noun</i><br><ol><li>fetus</li></ol>
entatü	<i>verb</i><br><ol><li>(intransitive) to wash one’s mouth</li></ol>
enwa	<i>verb</i><br><ol><li>(transitive) to make dance</li></ol>
enü	<i>verb</i><br><ol><li>(transitive) to take</li></ol>
eseicha	<i>verb</i><br><ol><li>(intransitive) to spout, to gush</li></ol>
eshi	<i>verb</i><br><ol><li>(intransitive) to tear, to slash, to scratch</li></ol>
eshichako	<i>verb</i><br><ol><li>to break</li><li>to be weak</li></ol>
eta	<i>verb</i><br><ol><li>(transitive) to hear, to listen</li></ol>
etaja	<i>verb</i><br><ol><li>(transitive) to step on, to tread on</li><li>(transitive) to kick</li></ol>
etana	<i>noun</i><br><ol><li>(now vulgar) cross-cousin (of either sex)</li></ol>
etanta'ñö	<i>verb</i><br><ol><li>(Ye'kwana dialect, intransitive, patientive) to sing</li></ol>
ettömujo	<i>noun</i><br><ol><li>chin</li><li>beard</li></ol>
etüma	<i>verb</i><br><ol><li>(transitive) to leave behind</li><li>(transitive) to anger</li></ol>
ewa'tö	<i>verb</i><br><ol><li>(transitive) to hang (a hammock)</li></ol>
ewanaka	<i>verb</i><br><ol><li>(transitive) to save, to rescue</li></ol>
ewontö	<i>noun</i><br><ol><li>(intransitive, patientive) to put on clothes, to get dressed</li></ol>
ewü|^Y üwü|ewü|nña|küwü|^Y ömödö|amödö|tüwü|tünwanno|önwanno|künwanno	<i>pron</i><br><ol><li>(Ye'kwana dialect) the first-person singular pronoun; I, me.</li></ol>
ewüttü	<i>noun</i><br><ol><li>front-grade possessed form of öwattö</li></ol>
ewüttütö	<i>verb</i><br><ol><li>(transitive) to put into someone’s home or some animal’s den</li></ol>
i'jo'tü	<i>noun</i><br><ol><li>feathers, hair</li></ol>
i'moi	<i>noun</i><br><ol><li>egg</li></ol>
i'sha	<i>verb</i><br><ol><li>(De'kwana dialect, transitive) to peel</li></ol>
i'shaa	<i>verb</i><br><ol><li>(Ye'kwana dialect, transitive) to peel</li></ol>
i'yu	<i>verb</i><br><ol><li>(transitive) to smoke (apply smoke to, for example food)</li></ol>
i'yötö	<i>verb</i><br><ol><li>(transitive) to cross (something)</li></ol>
iiyö|ñöödö|mö'kü|^Y ñö'dö|kanno|mööyö|möönü|eesemjo|^Y möñö|mödö|^Y nñanno|yöötö|möötö|^Y e'dö|unwaa|sadö|iyö|möntö|mökkü|maadö|mönsemjo|mö'dö|^Y mönö|aneeseja|ñanno|makkamo|mönse|inña|ma'kamo|edö|eese|^Y iiyö|eetö	<i>pron</i><br><ol><li>(De'kwana dialect) The inanimate distal demonstrative pronoun; that, those.</li></ol>
ijatode'a	<i>num</i><br><ol><li>(Ye'kwana dialect) five</li></ol>
imuntajaicho	<i>noun</i><br><ol><li>girl in early puberty, before menarche</li></ol>
inchatü	<i>verb</i><br><ol><li>to wash someone else’s mouth</li></ol>
inchomo	<i>noun</i><br><ol><li>elder; mature or old man</li></ol>
inchomo'kö	<i>noun</i><br><ol><li>elder; mature or old man</li></ol>
inchü'dö	<i>verb</i><br><ol><li>(transitive) to tie (together)</li></ol>
inña|ñöödö|mö'kü|^Y ñö'dö|kanno|mööyö|möönü|eesemjo|^Y möñö|mödö|^Y nñanno|yöötö|möötö|^Y e'dö|unwaa|sadö|iyö|möntö|mökkü|maadö|mönsemjo|mö'dö|^Y mönö|aneeseja|ñanno|makkamo|mönse|inña|ma'kamo|edö|eese|^Y iiyö|eetö	<i>adv</i><br><ol><li>there (at a different location from the speaker)</li></ol>
inñaju'tajö	<i>noun</i><br><ol><li>ladder, scaffolding</li></ol>
inñataje	<i>adv</i><br><ol><li>being beautiful, pretty</li></ol>
inño	<i>noun</i><br><ol><li>husband</li></ol>
inñü'tö	<i>verb</i><br><ol><li>(transitive) to give a child his or her first beads</li></ol>
ishi	<i>verb</i><br><ol><li>(transitive) to tear, to slash, to scratch</li></ol>
iwi	<i>noun</i><br><ol><li>the Amazonian brown brocket, Mazama nemorivaga</li></ol>
iye	<i>noun</i><br><ol><li>wood, stick of wood</li><li>tree</li></ol>
iyö|ñöödö|mö'kü|^Y ñö'dö|kanno|mööyö|möönü|eesemjo|^Y möñö|mödö|^Y nñanno|yöötö|möötö|^Y e'dö|unwaa|sadö|iyö|möntö|mökkü|maadö|mönsemjo|mö'dö|^Y mönö|aneeseja|ñanno|makkamo|mönse|inña|ma'kamo|edö|eese|^Y iiyö|eetö	<i>pron</i><br><ol><li>(Ye'kwana dialect) The inanimate invisible demonstrative pronoun; that, those (that I can’t see).</li></ol>
iñso	<i>adv</i><br><ol><li>much, many, a lot</li></ol>
ja	<i>noun</i><br><ol><li>grandchild</li><li>sibling’s grandchild; grandnephew or grandniece</li></ol>
ja'dötöme	<i>adv</i><br><ol><li>across (it)</li></ol>
ja'ji	<i>noun</i><br><ol><li>(De'kwana dialect) fishnet (net for fishing)</li></ol>
ja'ka	<i>verb</i><br><ol><li>(transitive) to take out, to bring out (into the sun)</li></ol>
ja'se	<i>noun</i><br><ol><li>(in relation to a man) sister’s daughter, sororal niece</li><li>(in relation to a woman) brother’s daughter, fraternal niece</li><li>father’s brother’s daughter’s daughter</li><li>mother’s sister’s daughter’s daughter</li><li>father’s sister’s son’s daughter</li><li>mother’s brother’s son’s daughter</li><li>great-granddaughter</li><li>sibling’s great-granddaughter, great-grandniece</li></ol>
ja'ta	<i>noun</i><br><ol><li>(De'kwana dialect) village, community</li></ol>
jaanö	<i>noun</i><br><ol><li>(De'kwana dialect) hunting trap covered with leaves</li></ol>
jaase	<i>noun</i><br><ol><li>(in relation to a man) sister’s daughter, sororal niece</li><li>(in relation to a woman) brother’s daughter, fraternal niece</li><li>father’s brother’s daughter’s daughter</li><li>mother’s sister’s daughter’s daughter</li><li>father’s sister’s son’s daughter</li><li>mother’s brother’s son’s daughter</li><li>great-granddaughter</li><li>sibling’s great-granddaughter, great-grandniece</li></ol>
jaawi|jawi	<i>noun</i><br><ol><li>the black curassow, Crax alector</li></ol>
jache'tu	<i>noun</i><br><ol><li>the green acouchi, Myoprocta pratti</li></ol>
jadaanü|ödüya'kö	<i>noun</i><br><ol><li>daughter-in-law</li></ol>
jadadü	<i>noun</i><br><ol><li>a vine used in barbasco fishing, possibly Swartzia leptopetala</li></ol>
jadankana|jadankaana	<i>noun</i><br><ol><li>large bowl, vat, pot</li></ol>
jade'mu	<i>noun</i><br><ol><li>(Ye'kwana dialect) the giant anteater, Myrmecophaga tridactyla</li></ol>
jademu	<i>noun</i><br><ol><li>(Ye'kwana dialect) Alternative form of jade'mu (“giant anteater”)</li></ol>
jadi	<i>noun</i><br><ol><li>white clay</li></ol>
jadometa	<i>noun</i><br><ol><li>the silver mylossoma, Mylossoma duriventris</li></ol>
jadudu	<i>noun</i><br><ol><li>banana or plantain (Musa × paradisiaca)</li></ol>
jaduma	<i>noun</i><br><ol><li>dove</li></ol>
jadüi|ödümö	<i>noun</i><br><ol><li>younger sister</li><li>younger female parallel cousin</li></ol>
jai	<i>noun</i><br><ol><li>older sister</li><li>older female parallel cousin</li></ol>
jaimedü	<i>noun</i><br><ol><li>female cross-cousin (of a woman)</li><li>sister-in-law (of a woman)</li></ol>
jaja'di	<i>noun</i><br><ol><li>the southern naked-tailed armadillo, Cabassous unicinctus</li></ol>
jajeda	<i>noun</i><br><ol><li>paper</li></ol>
jaji	<i>noun</i><br><ol><li>(Ye'kwana dialect) fishnet (net for fishing)</li></ol>
jakiya	<i>noun</i><br><ol><li>the collared peccary, Dicotyles tajacu</li></ol>
jakudimü'tü	<i>noun</i><br><ol><li>thread</li></ol>
jana	<i>noun</i><br><ol><li>ear</li></ol>
jana'kwa	<i>noun</i><br><ol><li>conch shell horn</li></ol>
janasede	<i>noun</i><br><ol><li>earring</li></ol>
jannü	<i>noun</i><br><ol><li>(De'kwana dialect) son-in-law</li></ol>
janö	<i>noun</i><br><ol><li>(Ye'kwana dialect) hunting trap covered with leaves</li></ol>
janü	<i>noun</i><br><ol><li>(Ye'kwana dialect) son-in-law</li></ol>
jassa	<i>noun</i><br><ol><li>friend, companion</li></ol>
jata	<i>noun</i><br><ol><li>(Ye'kwana dialect) village, community</li></ol>
jatu|jaatu	<i>noun</i><br><ol><li>the Muscovy duck, Cairina moschata</li><li>the whistling duck, Dendrocygna sp.</li></ol>
jañudu	<i>noun</i><br><ol><li>A Spanish-speaker, sometimes in particular a malevolent settler or slaver in contrast with the more benevolent yadanawi.</li></ol>
je'de	<i>noun</i><br><ol><li>the yellow-spotted river turtle, Podocnemis unifilis</li></ol>
je'dü	<i>noun</i><br><ol><li>(De'kwana dialect) face</li></ol>
je'kai	<i>noun</i><br><ol><li>forehead</li></ol>
jedü	<i>noun</i><br><ol><li>(Ye'kwana dialect) face</li></ol>
jeena	<i>noun</i><br><ol><li>(De'kwana dialect) paddle for rowing</li></ol>
jeetü	<i>noun</i><br><ol><li>(De'kwana dialect) thigh, leg</li></ol>
jejenchö	<i>noun</i><br><ol><li>wind</li></ol>
jekude	<i>noun</i><br><ol><li>mirror</li></ol>
jena	<i>noun</i><br><ol><li>(Ye'kwana dialect) paddle for rowing</li></ol>
jenamma	<i>adv</i><br><ol><li>tomorrow</li></ol>
jetü	<i>noun</i><br><ol><li>(Ye'kwana dialect) thigh, leg</li></ol>
jeyeichö	<i>noun</i><br><ol><li>cush-cush, a kind of yam, Dioscorea trifida</li></ol>
jho'jo	<i>verb</i><br><ol><li>(intransitive) to smell</li></ol>
jhootü	<i>noun</i><br><ol><li>(De'kwana dialect) intestines</li></ol>
jhumma|jumma	<i>verb</i><br><ol><li>(transitive) to want, to desire</li><li>(transitive) to love</li></ol>
jhunu|junu	<i>noun</i><br><ol><li>muscle, flesh</li></ol>
jhöttü	<i>noun</i><br><ol><li>(Ye'kwana dialect) intestines</li></ol>
ji	<i>noun</i><br><ol><li>older brother (of a woman)</li><li>older male parallel cousin (of a woman)</li></ol>
ji'jö	<i>noun</i><br><ol><li>skin</li></ol>
jicha	<i>noun</i><br><ol><li>the squirrel cuckoo, Piaya cayana</li></ol>
jiichu	<i>noun</i><br><ol><li>(De'kwana dialect) flute</li></ol>
jiichü	<i>noun</i><br><ol><li>(Ye'kwana dialect) flute</li></ol>
jiidi	<i>adv</i><br><ol><li>(Ye'kwana dialect) while standing or walking, while upright</li></ol>
jima	<i>verb</i><br><ol><li>(transitive) to throw water</li></ol>
jimmö	<i>noun</i><br><ol><li>family, relatives</li></ol>
jinñamo	<i>noun</i><br><ol><li>wife</li></ol>
jiyana	<i>noun</i><br><ol><li>the gray-lined hawk, Buteo nitidus</li></ol>
jo	<i>postp</i><br><ol><li>(with following directional suffix -nno) indicates a point of origin</li></ol>
jode	<i>noun</i><br><ol><li>(Ye'kwana dialect) lower leg, shin, calf</li></ol>
jode'kashi	<i>noun</i><br><ol><li>barrier made of shin-high pales with ropes strung between them</li></ol>
jode'sa	<i>verb</i><br><ol><li>(transitive) to match up, to pair up</li></ol>
joduje	<i>adv</i><br><ol><li>hard, strongly</li></ol>
jodü	<i>noun</i><br><ol><li>smell, scent</li></ol>
jojudu	<i>noun</i><br><ol><li>(Ye'kwana dialect) wall</li></ol>
jomi	<i>noun</i><br><ol><li>chili pepper, Capsicum frutescens</li><li>spice, hot sauce</li></ol>
jonü	<i>noun</i><br><ol><li>(in relation to a man) sister’s son, sororal nephew</li><li>(in relation to a woman) brother’s son, fraternal nephew</li><li>father’s brother’s daughter’s son</li><li>mother’s sister’s daughter’s son</li><li>father’s sister’s son’s son</li><li>mother’s brother’s son’s son</li><li>great-grandson</li><li>sibling’s great-grandson, great-grandnephew</li><li>navel, belly button</li><li>(often in the past possessed form) afterbirth; placenta and umbilical cord</li></ol>
jonü'kö	<i>noun</i><br><ol><li>(diminutive) nephew</li></ol>
joode	<i>noun</i><br><ol><li>(De'kwana dialect) lower leg, shin, calf</li></ol>
jooje	<i>adv</i><br><ol><li>(De'kwana dialect) much, a lot, many</li></ol>
ju'jö	<i>noun</i><br><ol><li>head</li></ol>
judume	<i>adv</i><br><ol><li>being black</li></ol>
judunku	<i>noun</i><br><ol><li>Dutch or more generally northern European person</li></ol>
juduwe	<i>noun</i><br><ol><li>rubber</li></ol>
juu	<i>noun</i><br><ol><li>hair (of the head)</li></ol>
juushiije	<i>adv</i><br><ol><li>being fat, thick, stout</li></ol>
juuwaiye	<i>adv</i><br><ol><li>down the river, downriver</li></ol>
juuwakadö	<i>adv</i><br><ol><li>(Ye'kwana dialect) in the direction of the current</li></ol>
jö'judu	<i>noun</i><br><ol><li>(De'kwana dialect) wall</li></ol>
jö-jö-jö	<i>noun</i><br><ol><li>singing, la la la</li></ol>
jödemu	<i>noun</i><br><ol><li>(De'kwana dialect) the giant anteater, Myrmecophaga tridactyla</li></ol>
jönümü	<i>verb</i><br><ol><li>(intransitive) to swim</li></ol>
jöönö	<i>noun</i><br><ol><li>the great tinamou, Tinamus major</li></ol>
jü'jö	<i>noun</i><br><ol><li>the German cockroach, Blattella germanica</li></ol>
jü'wakadö	<i>adv</i><br><ol><li>(De'kwana dialect) in the direction of the current</li></ol>
jüdodo	<i>noun</i><br><ol><li>yard, field, patio</li><li>street</li></ol>
jüdojo	<i>adv</i><br><ol><li>outside</li></ol>
jüdödö	<i>noun</i><br><ol><li>yard, field, patio</li><li>street</li></ol>
jüdü'kwa	<i>noun</i><br><ol><li>the white-tailed deer, Odocoileus virginianus</li></ol>
jüdüi	<i>adv</i><br><ol><li>(De'kwana dialect) while standing or walking, while upright</li></ol>
jüjö	<i>noun</i><br><ol><li>pip, stone (seed inside fruits)</li></ol>
jümü	<i>noun</i><br><ol><li>(Ye'kwana dialect) neck</li></ol>
jütadi	<i>noun</i><br><ol><li>comal, smooth flat griddle or pan used to cook cassava bread</li></ol>
jüttaa	<i>verb</i><br><ol><li>(intransitive, patientive, of a man) to wed a wife, to get married</li></ol>
jüwai	<i>noun</i><br><ol><li>shaman</li></ol>
jüwaicha	<i>verb</i><br><ol><li>(intransitive, patientive) to acquire knowledge or shamanic powers</li></ol>
jüü	<i>noun</i><br><ol><li>mountain, tepui</li></ol>
jüümü	<i>noun</i><br><ol><li>(De'kwana dialect) neck</li></ol>
ka	<i>particle</i><br><ol><li>Forms a polar (yes/no) question.</li></ol>
ka'dau	<i>noun</i><br><ol><li>the black caracara, Daptrius ater, or red-throated caracara, Ibycter americanus</li></ol>
ka'dutu	<i>noun</i><br><ol><li>cloud</li></ol>
ka'sai	<i>noun</i><br><ol><li>(Ye'kwana dialect) piranha</li></ol>
ka'shai	<i>noun</i><br><ol><li>(De'kwana dialect) piranha</li></ol>
ka'tükü	<i>noun</i><br><ol><li>wrinkle</li></ol>
ka'ya	<i>particle</i><br><ol><li>possibly</li></ol>
kaado	<i>adv</i><br><ol><li>being tasty, sweet</li></ol>
kaaji	<i>noun</i><br><ol><li>ayahuasca, the vine Banisteriopsis caapi</li><li>ayahuasca, the hallucinogen prepared from this vine</li></ol>
kaatü	<i>noun</i><br><ol><li>(De'kwana dialect) fat, grease</li></ol>
kadaiwa	<i>noun</i><br><ol><li>non-indigenous Brazilian</li></ol>
kadakadadi	<i>noun</i><br><ol><li>the king vulture, Sarcoramphus papa</li><li>the turkey vulture, Cathartes aura</li></ol>
kadaota	<i>noun</i><br><ol><li>common bean, Phaseolus vulgaris</li></ol>
kademedu	<i>noun</i><br><ol><li>thunder and lightning</li></ol>
kadi'ña	<i>noun</i><br><ol><li>Carib person</li></ol>
kadimani	<i>noun</i><br><ol><li>the sorva or cow tree, Couma macrocarpa, whose sap or resin is used to repair canoes and affix metal teeth to yuca graters</li><li>a kind of brindled catfish somewhat larger than the aadajadaduwa</li></ol>
kadiyu	<i>noun</i><br><ol><li>the Brazilian squirrel, Sciurus aestuans</li></ol>
kaduwai	<i>noun</i><br><ol><li>the scarlet macaw, Ara macao</li></ol>
kaichai	<i>noun</i><br><ol><li>the blue-headed parrot, Pionus menstruus</li></ol>
kajau	<i>noun</i><br><ol><li>the greater long-nosed armadillo, Dasypus kappleri</li></ol>
kajichaana	<i>noun</i><br><ol><li>cacique, chief or head of a community</li></ol>
kaju	<i>noun</i><br><ol><li>sky</li><li>(Maquiritari mythology, usually suffixed with -nña) the mythological Sky or Heaven, an invisible sky beyond the visible sky divided into eight houses</li></ol>
kajunña	<i>adv</i><br><ol><li>(Maquiritari mythology) in the mythological Sky or Heaven, an invisible sky beyond the visible sky where Wanadi lives, divided into eight houses or villages and visited by shamans on their initiatory journey</li></ol>
kajuwadödö	<i>noun</i><br><ol><li>supports of the sky, horizon</li></ol>
kajököimö	<i>noun</i><br><ol><li>the boa constrictor, Boa constrictor</li></ol>
kakao	<i>noun</i><br><ol><li>cacao, Theobroma cacao or Herrania mariae</li></ol>
kamjiyaka	<i>verb</i><br><ol><li>(transitive) to change</li></ol>
kamju	<i>noun</i><br><ol><li>field</li></ol>
kana	<i>noun</i><br><ol><li>a kind of fish (Amazon brycon, Brycon amazonicus)</li></ol>
kanaimö	<i>noun</i><br><ol><li>person turned into a monstrous or animal form and seized with a murderous rage</li><li>the practices, mode of killing, magic, etc. used by such a person</li></ol>
kankudu	<i>noun</i><br><ol><li>calabash, fruit or gourd of the calabash tree (Crescentia cujete)</li></ol>
kanköi	<i>noun</i><br><ol><li>mouth of a river</li></ol>
kanno|ñöödö|mö'kü|^Y ñö'dö|kanno|mööyö|möönü|eesemjo|^Y möñö|mödö|^Y nñanno|yöötö|möötö|^Y e'dö|unwaa|sadö|iyö|möntö|mökkü|maadö|mönsemjo|mö'dö|^Y mönö|aneeseja|ñanno|makkamo|mönse|inña|ma'kamo|edö|eese|^Y iiyö|eetö	<i>pron</i><br><ol><li>(Ye'kwana dialect) The animate plural medial demonstrative pronoun; these, those.</li><li>(De'kwana dialect) The animate plural proximal demonstrative pronoun; these.</li></ol>
kanowa	<i>noun</i><br><ol><li>canoe</li></ol>
kanwa	<i>noun</i><br><ol><li>woven rectangular basket with a telescoping lid, commonly associated with shamans and used to store ritual objects</li></ol>
kanö	<i>noun</i><br><ol><li>a tall cane, Ischnosiphon sp., from which the least sturdy and most flexible basketry strips are made</li></ol>
kasuna	<i>noun</i><br><ol><li>trousers, pants</li></ol>
katü	<i>noun</i><br><ol><li>(Ye'kwana dialect) fat, grease</li></ol>
kawadi	<i>noun</i><br><ol><li>the red brocket deer, Mazama americana</li></ol>
kawadiimö	<i>noun</i><br><ol><li>(De'kwana dialect) the cougar or puma, Puma concolor</li></ol>
kawadimö	<i>noun</i><br><ol><li>(Ye'kwana dialect) the cougar or puma, Puma concolor</li></ol>
kawai	<i>noun</i><br><ol><li>tobacco, Nicotiana tabacum</li></ol>
kawanadu	<i>noun</i><br><ol><li>the Guianan cock-of-the-rock, Rupicola rupicola</li></ol>
kawatamadi	<i>noun</i><br><ol><li>the green anaconda, Eunectes murinus</li></ol>
kawau	<i>noun</i><br><ol><li>the star-fingered toad, Pipa pipa</li></ol>
kawö	<i>adv</i><br><ol><li>being high up, above</li></ol>
kayuwai	<i>noun</i><br><ol><li>the neotropic cormorant, Phalacrocorax brasilianus</li></ol>
keene	<i>particle</i><br><ol><li>contrastive particle</li></ol>
keme	<i>noun</i><br><ol><li>firepit, fireplace, stove</li></ol>
kemetö	<i>verb</i><br><ol><li>(transitive) to light, ignite, kindle</li></ol>
kenü	<i>noun</i><br><ol><li>river mouth or confluence</li></ol>
ketü	<i>verb</i><br><ol><li>(intransitive) to sleep at dawn</li></ol>
kidishu	<i>noun</i><br><ol><li>the Brazilian porcupine, Coendou prehensilis</li></ol>
kimma	<i>verb</i><br><ol><li>(transitive) to cause, prompt, provoke</li><li>(transitive) to boast, to brag</li></ol>
kiyede	<i>noun</i><br><ol><li>(Ye'kwana dialect) manioc, cassava, yuca, Manihot esculenta</li></ol>
kiyede weja'kadü	<i>noun</i><br><ol><li>public ceremonial chant (ödemi) sung by women during the audaajö edemi'jüdü festival while removing the yuca stored in the village roundhouse for future planting in their gardens</li></ol>
ko'ka|ko'kwa	<i>verb</i><br><ol><li>(transitive) to wash (something other than a human or human body part)</li></ol>
ko'momü	<i>verb</i><br><ol><li>(Ye'kwana dialect, intransitive, patientive) to draw towards evening, to grow late, to advesperate</li></ol>
ko'momüdü	<i>noun</i><br><ol><li>(Ye'kwana dialect) evening, night</li></ol>
koijai	<i>noun</i><br><ol><li>night</li></ol>
koijai ekato	<i>noun</i><br><ol><li>Synonym of nuunö ekato (“moon spirit, shadow cast by the moon”).</li></ol>
koiñadö	<i>adv</i><br><ol><li>yesterday</li></ol>
kokko	<i>noun</i><br><ol><li>container to fetch water</li></ol>
komomü	<i>verb</i><br><ol><li>(De'kwana dialect, intransitive, patientive) to draw towards evening, to grow late, to advesperate</li></ol>
komomüdü	<i>noun</i><br><ol><li>(De'kwana dialect) evening, night</li></ol>
komootü	<i>verb</i><br><ol><li>(intransitive, patientive) to boil</li></ol>
komu	<i>noun</i><br><ol><li>(Ye'kwana dialect) oldest child (of a man), where ‘child’ has the scope of nne (sons, daughters, children of a brother or sister of the same sex, etc.)</li><li>(Ye'kwana dialect) son-in-law (of a man)</li></ol>
komuusa'kö	<i>noun</i><br><ol><li>(Ye'kwana dialect) son-in-law (of a woman)</li></ol>
kone'da	<i>adv</i><br><ol><li>being bad, evil</li></ol>
kone'ma	<i>verb</i><br><ol><li>(transitive) to damage, harm, hurt</li></ol>
koneka	<i>verb</i><br><ol><li>(transitive) to fix, to repair</li><li>(transitive) to solve, to settle, to straighten out</li></ol>
konemjünü	<i>noun</i><br><ol><li>badness, ugliness, problematicness</li></ol>
konkwö	<i>noun</i><br><ol><li>(Ye'kwana dialect, diminutive) son-in-law of a man</li></ol>
konoi	<i>noun</i><br><ol><li>a kind of tiny fish</li></ol>
konojawö	<i>noun</i><br><ol><li>the rainy season, roughly June to August, when cashews are gathered and significant trips and meetings are carried out</li></ol>
konojo	<i>noun</i><br><ol><li>rain</li></ol>
