Aaden	<i>noun</i><br><ol><li>harvest</li></ol>
Kannienken|Knientje|Kenientje|Knientjene|Kannienkene|Knientjes|Kenientjene	<i>noun</i><br><ol><li>rabbit</li></ol>
Kaptain	<i>noun</i><br><ol><li>captain</li></ol>
Kat|Katte	<i>noun</i><br><ol><li>cat (Felis catus)</li></ol>
Katteker|Kattekere	<i>noun</i><br><ol><li>squirrel</li></ol>
Katule|Katulen	<i>noun</i><br><ol><li>strigid</li></ol>
Keelde	<i>noun</i><br><ol><li>cold</li></ol>
Keeuwe	<i>noun</i><br><ol><li>(anatomy) chin</li></ol>
Kening|Keninge	<i>noun</i><br><ol><li>king</li></ol>
Kiepe	<i>noun</i><br><ol><li>basket</li></ol>
Kieviet|Kieviete	<i>noun</i><br><ol><li>northern lapwing (Vanellus vanellus)</li></ol>
Kleeuwer	<i>noun</i><br><ol><li>(botany) clover</li></ol>
Kloai	<i>noun</i><br><ol><li>clay</li></ol>
Kloang	<i>noun</i><br><ol><li>sound</li><li>noise</li></ol>
Klodere	<i>noun</i><br><ol><li>clothing</li></ol>
Klokke	<i>noun</i><br><ol><li>bell</li><li>clock</li></ol>
Klood|Kloode	<i>noun</i><br><ol><li>cloth</li><li>garment; dress</li></ol>
Klöär	<i>noun</i><br><ol><li>colour</li></ol>
Kniebel|Kniebele	<i>noun</i><br><ol><li>knee</li><li>degree of kinship</li></ol>
Knoke|Knoken	<i>noun</i><br><ol><li>bone</li></ol>
Knächt	<i>noun</i><br><ol><li>servant</li></ol>
Koafje	<i>noun</i><br><ol><li>coffee</li></ol>
Koai	<i>noun</i><br><ol><li>key</li></ol>
Koaigat	<i>noun</i><br><ol><li>keyhole</li></ol>
Koarel	<i>noun</i><br><ol><li>corn, grain</li></ol>
Koater	<i>noun</i><br><ol><li>tomcat</li></ol>
Komer|Komere	<i>noun</i><br><ol><li>room, chamber</li></ol>
Koolich|Koolwere	<i>noun</i><br><ol><li>calf (animal)</li></ol>
Koolmeeske|Koolmeesken	<i>noun</i><br><ol><li>coal tit (Periparus ater)</li></ol>
Koomer	<i>noun</i><br><ol><li>room, chamber</li></ol>
Koomere	<i>noun</i><br><ol><li>A room</li></ol>
Kop|Koppe	<i>noun</i><br><ol><li>head</li><li>heads</li></ol>
Koper	<i>noun</i><br><ol><li>copper</li></ol>
Kopful	<i>noun</i><br><ol><li>a cup; cupful</li></ol>
Kouke|Kouken	<i>noun</i><br><ol><li>(Romelse, Skäddel) cake, pie</li></ol>
Koum|Koume	<i>noun</i><br><ol><li>comb</li></ol>
Kreepel	<i>noun</i><br><ol><li>cripple</li></ol>
Kriech	<i>noun</i><br><ol><li>war</li></ol>
Krikhanne|Krikhannen	<i>noun</i><br><ol><li>moorhen (Gallinula chloropus)</li></ol>
Kristendum	<i>noun</i><br><ol><li>Christendom</li></ol>
Kroam	<i>noun</i><br><ol><li>stall; booth</li><li>crib; childbed</li><li>stuff; junk; clutter</li></ol>
Kroan|Kroane	<i>noun</i><br><ol><li>crane (bird)</li></ol>
Kroankenhuus	<i>noun</i><br><ol><li>hospital</li></ol>
Kruuke	<i>noun</i><br><ol><li>jug; jar; pitcher</li></ol>
Krääps	<i>noun</i><br><ol><li>(zoology) crab</li></ol>
Krüüs	<i>noun</i><br><ol><li>cross</li></ol>
Ku|Bäiste	<i>noun</i><br><ol><li>cow</li></ol>
Kudderhone|Kudderhonen	<i>noun</i><br><ol><li>black grouse (Lyrurus tetrix)</li></ol>
Kufúgel|Kufúgele	<i>noun</i><br><ol><li>yellowhammer (Emberiza citrinella)</li></ol>
Kukuuk|Kukuke	<i>noun</i><br><ol><li>cuckoo</li></ol>
Kus|Kusse	<i>noun</i><br><ol><li>kiss</li></ol>
Kwalm	<i>noun</i><br><ol><li>vapour; smoke</li><li>fog</li></ol>
Kwoal	<i>noun</i><br><ol><li>pain; agony; torment; anguish</li></ol>
Käize|Käizen	<i>noun</i><br><ol><li>molar</li></ol>
Käizedokter|Käizedoktere	<i>noun</i><br><ol><li>dentist</li></ol>
Kääle	<i>noun</i><br><ol><li>(anatomy) throat</li></ol>
Käärel	<i>noun</i><br><ol><li>man</li><li>guy; fellow</li><li>husband</li></ol>
König|Köönich|Köänige|Köänig	<i>noun</i><br><ol><li>king</li></ol>
Köäkene	<i>noun</i><br><ol><li>kitchen</li><li>cooking; cuisine</li></ol>
Köönigin	<i>noun</i><br><ol><li>queen</li></ol>
Kúke|Kuuke|Kuuken|Kúken	<i>noun</i><br><ol><li>Strukelje form of Kouke</li></ol>
Laddere|Laadere	<i>noun</i><br><ol><li>ladder</li></ol>
Lai|Loai	<i>noun</i><br><ol><li>lightning</li></ol>
Leeder	<i>noun</i><br><ol><li>leather</li></ol>
Leeken	<i>noun</i><br><ol><li>sheet</li><li>bedsheet</li></ol>
Leeuwe|Leeuwen	<i>noun</i><br><ol><li>lion (Panthera leo)</li></ol>
Leeuwerke|Leeuwerken	<i>noun</i><br><ol><li>Skäddel form of Läiverke</li></ol>
Lid|Líede|Líedere	<i>noun</i><br><ol><li>limb</li><li>joint</li><li>generation</li><li>link (in a chain)</li><li>lid</li></ol>
Lieke	<i>noun</i><br><ol><li>A dead body; corpse</li></ol>
Liene|Lienen	<i>noun</i><br><ol><li>line, cord</li><li>rope, cord</li><li>rein (steer for horses)</li></ol>
Lieuw	<i>noun</i><br><ol><li>(anatomy) body</li></ol>
Limpe	<i>noun</i><br><ol><li>trickery; cunning</li></ol>
Lippe	<i>noun</i><br><ol><li>(anatomy) lip</li></ol>
Ljoote	<i>noun</i><br><ol><li>love</li></ol>
Ljoowe	<i>noun</i><br><ol><li>love</li></ol>
Ljuude	<i>noun</i><br><ol><li>people (plural)</li></ol>
Loangewiele	<i>noun</i><br><ol><li>boredom</li><li>free time</li></ol>
Loge|Logen	<i>noun</i><br><ol><li>lye</li><li>brine</li></ol>
Lood	<i>noun</i><br><ol><li>lead (metal)</li></ol>
Loon	<i>noun</i><br><ol><li>reward; prize</li><li>recompense; wages; pay</li><li>salary; hire</li></ol>
Loum|Loumere	<i>noun</i><br><ol><li>lamb</li></ol>
Lound|Loundere|Lounde	<i>noun</i><br><ol><li>land</li><li>country</li></ol>
Lucht|Ljoacht	<i>noun</i><br><ol><li>light</li><li>atmosphere</li><li>sky; the heavens</li></ol>
Luft	<i>noun</i><br><ol><li>air (gas)</li></ol>
Luks	<i>noun</i><br><ol><li>(zoology) lynx (cat)</li></ol>
Lunge|Lungen	<i>noun</i><br><ol><li>lung</li></ol>
Läiverke|Läiverken	<i>noun</i><br><ol><li>(Romelse, Strukelje) lark</li></ol>
Líene|Líenen	<i>noun</i><br><ol><li>armrest</li><li>backrest</li></ol>
Líeuwer|Lieuwer	<i>noun</i><br><ol><li>liver</li></ol>
Löägene	<i>noun</i><br><ol><li>lie, falsehood</li></ol>
Lúus|Luze	<i>noun</i><br><ol><li>louse</li></ol>
Lünik|Lünikke	<i>noun</i><br><ol><li>sparrow</li></ol>
Lüüntje|Lüüntjene	<i>noun</i><br><ol><li>finch</li></ol>
Maiden|Maidene	<i>noun</i><br><ol><li>girl, lass</li><li>virgin, maiden</li></ol>
Malve	<i>noun</i><br><ol><li>marshmallow</li></ol>
Mama	<i>noun</i><br><ol><li>mother, mama</li></ol>
Marsk	<i>noun</i><br><ol><li>marsh</li></ol>
Mask	<i>noun</i><br><ol><li>mixture; mash</li></ol>
Meede	<i>noun</i><br><ol><li>mead</li></ol>
Meel	<i>noun</i><br><ol><li>flour</li></ol>
Meente|Meenten	<i>noun</i><br><ol><li>municipality</li><li>community</li></ol>
Meerte	<i>noun</i><br><ol><li>March</li></ol>
Meeske|Meesken	<i>noun</i><br><ol><li>tit (bird of the family Paridae)</li></ol>
Middel	<i>noun</i><br><ol><li>middle</li></ol>
Middelfinger|Middelfingere	<i>noun</i><br><ol><li>middle finger</li></ol>
Middewíek|Midwiek|Midwíeke|Middewíeke|Middewiek|Midwíek	<i>noun</i><br><ol><li>Wednesday</li></ol>
Midnoacht	<i>noun</i><br><ol><li>midnight</li></ol>
Miegelke	<i>noun</i><br><ol><li>(zoology) ant (insect)</li></ol>
Miele	<i>noun</i><br><ol><li>mile</li></ol>
Milte	<i>noun</i><br><ol><li>spleen</li></ol>
Miskmask	<i>noun</i><br><ol><li>hodgepodge; mishmash</li></ol>
Mjuks	<i>noun</i><br><ol><li>manure</li></ol>
Moage	<i>noun</i><br><ol><li>(anatomy) stomach; maw</li></ol>
Moal	<i>noun</i><br><ol><li>time; occasion</li><li>scar</li></ol>
Moalk|Molk	<i>noun</i><br><ol><li>milk</li></ol>
Moalkku|Moalkbäiste	<i>noun</i><br><ol><li>dairy cow, milk cow</li></ol>
Moalt	<i>noun</i><br><ol><li>malt</li></ol>
Moanske|Moanskene	<i>noun</i><br><ol><li>human</li><li>woman</li><li>wife</li><li>female</li></ol>
Moanskhaid	<i>noun</i><br><ol><li>(uncountable) humanity, mankind</li></ol>
Moas	<i>noun</i><br><ol><li>moss</li></ol>
Mon|Monljuude|Monljude	<i>noun</i><br><ol><li>man</li><li>husband</li><li>human being</li></ol>
Moone	<i>noun</i><br><ol><li>mane (hair)</li></ol>
Moort	<i>noun</i><br><ol><li>murder</li></ol>
Moud	<i>noun</i><br><ol><li>courage</li></ol>
Mouer|Mouere	<i>noun</i><br><ol><li>Strukelje form of Múur</li></ol>
Mound|Mounde	<i>noun</i><br><ol><li>month</li></ol>
Moundai|Moundege	<i>noun</i><br><ol><li>Monday</li></ol>
Moune|Mounen	<i>name</i><br><ol><li>the Moon</li></ol><br><i>noun</i><br><ol><li>moon</li></ol>
Mudde	<i>noun</i><br><ol><li>mud</li></ol>
Muster	<i>noun</i><br><ol><li>mustard</li></ol>
Muule	<i>noun</i><br><ol><li>mouth</li><li>muzzle</li></ol>
Muzebuk|Muzebukke	<i>noun</i><br><ol><li>male mouse</li><li>(humorous) tiny male</li></ol>
Mäiden	<i>noun</i><br><ol><li>morning</li></ol>
Mäme|Määme|Mämen	<i>noun</i><br><ol><li>mum, mummy</li></ol>
Märe|Mären	<i>noun</i><br><ol><li>mare</li></ol>
Mäske	<i>noun</i><br><ol><li>mesh</li></ol>
Mäsken	<i>noun</i><br><ol><li>(metal) brass</li></ol>
Mäster	<i>noun</i><br><ol><li>master; lord</li><li>boss</li><li>teacher; instructor; professor</li></ol>
Määge	<i>noun</i><br><ol><li>midge</li><li>mosquito</li></ol>
Määlne|Määlnen	<i>noun</i><br><ol><li>mill</li></ol>
Möie	<i>noun</i><br><ol><li>aunt</li></ol>
Múur|Muur|Múre	<i>noun</i><br><ol><li>(Romelse, Skäddel) mother</li><li>(Romelse, Skäddel) queen bee</li></ol>
Múurhoungst|Múurhoungste	<i>noun</i><br><ol><li>mare</li></ol>
Múus|Muze	<i>noun</i><br><ol><li>mouse</li></ol>
Nachtigal|Nachtigalle	<i>noun</i><br><ol><li>nightingale (Luscinia megarhynchos)</li></ol>
Nail	<i>noun</i><br><ol><li>(anatomy) nail</li></ol>
Neder	<i>noun</i><br><ol><li>viper</li></ol>
Nib	<i>noun</i><br><ol><li>snout; muzzle</li><li>spout; nozzle</li></ol>
Nichte|Nichten	<i>noun</i><br><ol><li>niece</li><li>female cousin</li></ol>
Niederlounde	<i>name</i><br><ol><li>The Netherlands</li></ol>
Njúre|Njúren|Njuure|Njuuren	<i>noun</i><br><ol><li>kidney</li></ol>
Noaber	<i>noun</i><br><ol><li>neighbour</li></ol>
Noacht	<i>noun</i><br><ol><li>night</li></ol>
Noachtegoal|Noachtegoale	<i>noun</i><br><ol><li>nightingale (Luscinia megarhynchos)</li></ol>
Nome|Nomen|Noomen|Noome	<i>noun</i><br><ol><li>name</li></ol>
Nood|Need	<i>noun</i><br><ol><li>worry</li><li>emergency</li><li>awe, respect</li><li>effort, difficulty</li><li>financial trouble</li><li>dung, feces</li></ol>
Noose	<i>noun</i><br><ol><li>(anatomy) nose</li><li>(of a needle) eye; eyelet</li></ol>
Noudaaste	<i>noun</i><br><ol><li>northeast</li></ol>
Noude	<i>noun</i><br><ol><li>(Romelse, Skäddel) north</li></ol>
Noudwääste	<i>noun</i><br><ol><li>northwest</li></ol>
Nudde	<i>noun</i><br><ol><li>Strukelje form of Noude</li></ol>
Nuute	<i>noun</i><br><ol><li>nut</li></ol>
Näkke	<i>noun</i><br><ol><li>(anatomy) nape of the neck</li></ol>
Näp|Näppe|Nepe	<i>noun</i><br><ol><li>bowl; goblet</li></ol>
Nät|Nätte	<i>noun</i><br><ol><li>net</li></ol>
Nääst|Nääste	<i>noun</i><br><ol><li>nest</li></ol>
Oadel	<i>noun</i><br><ol><li>nobility</li></ol>
Oadeldum	<i>noun</i><br><ol><li>(The) nobility</li></ol>
Oadeler	<i>noun</i><br><ol><li>eagle (bird)</li></ol>
Oadler|Oadlere	<i>noun</i><br><ol><li>eagle</li></ol>
Oai|Oaiere	<i>noun</i><br><ol><li>egg</li></ol>
Oailound|Ailounde|Oailounde|Ailoundere|Ailound|Oailoundere	<i>noun</i><br><ol><li>island</li></ol>
Oaindum	<i>noun</i><br><ol><li>property; ownership; possession</li></ol>
Oakse	<i>noun</i><br><ol><li>axis</li><li>axle</li></ol>
Oaler	<i>noun</i><br><ol><li>age; eld</li></ol>
Oalter	<i>noun</i><br><ol><li>age</li></ol>
Oangst	<i>noun</i><br><ol><li>angst; anxiety; worry; dread</li></ol>
Oanker	<i>noun</i><br><ol><li>anchor</li></ol>
Oante|Oanden|Oanten|Oande	<i>noun</i><br><ol><li>duck</li></ol>
Oantwoud	<i>noun</i><br><ol><li>answer (response given in reply)</li></ol>
Oap	<i>noun</i><br><ol><li>kiss</li></ol>
Oape|Oapen	<i>noun</i><br><ol><li>ape, monkey</li></ol>
Oarbaid	<i>noun</i><br><ol><li>work; labour</li></ol>
Oard	<i>noun</i><br><ol><li>kind; sort</li></ol>
Oargel	<i>noun</i><br><ol><li>organ (musical instrument)</li></ol>
Oas	<i>noun</i><br><ol><li>carrion (dead flesh)</li></ol>
Oasfreeter	<i>noun</i><br><ol><li>scavenger</li></ol>
Oceoan	<i>noun</i><br><ol><li>ocean</li></ol>
Oge|Ogene|Ooge|Oogene	<i>noun</i><br><ol><li>eye</li></ol>
Omme	<i>noun</i><br><ol><li>breath</li></ol>
Ongel	<i>noun</i><br><ol><li>fishhook</li><li>fishing pole</li></ol>
Onkel	<i>noun</i><br><ol><li>(anatomy) ankle</li></ol>
Oogenlid|Oogenliede	<i>noun</i><br><ol><li>(anatomy) eyelid</li></ol>
Oogenwulst	<i>noun</i><br><ol><li>A swelling of the eye; eye-bulge</li></ol>
Oom|Ooms|Ome	<i>noun</i><br><ol><li>uncle</li><li>brother-in-law</li><li>unmarried brother; bachelor</li><li>A moment of lucidness before one's death.</li></ol>
Oor|Ore	<i>noun</i><br><ol><li>ear</li></ol>
Oose	<i>noun</i><br><ol><li>eyelet, eye; loop, loophole</li></ol>
Oostfräislound	<i>name</i><br><ol><li>Synonym of Aastfräislound</li></ol>
Otter|Ottere	<i>noun</i><br><ol><li>otter</li></ol>
Oue|Ouen	<i>noun</i><br><ol><li>ewe (female sheep)</li></ol>
Oufal	<i>noun</i><br><ol><li>offal, waste</li></ol>
Oufoart	<i>noun</i><br><ol><li>departure</li></ol>
Ougend	<i>noun</i><br><ol><li>oven</li></ol>
Ouhong	<i>noun</i><br><ol><li>slope; incline</li></ol>
Oulje	<i>noun</i><br><ol><li>oil</li></ol>
Ouskeed	<i>noun</i><br><ol><li>A parting; farewell</li></ol>
Paad|Poade	<i>noun</i><br><ol><li>(Romelse, Strukelje) path</li></ol>
Paaswoud|Paaswoude	<i>noun</i><br><ol><li>password</li></ol>
Pad	<i>noun</i><br><ol><li>Skäddel form of Paad</li></ol>
Papa	<i>noun</i><br><ol><li>father, papa</li></ol>
Peel|Pele	<i>noun</i><br><ol><li>pillow</li><li>stake</li><li>pillory</li></ol>
Pere|Peren|Peere|Peeren	<i>noun</i><br><ol><li>pear</li></ol>
Petrieshanne|Petrieshannen	<i>noun</i><br><ol><li>partridge</li></ol>
Piekele	<i>noun</i><br><ol><li>pickle, gherkin</li><li>brine</li></ol>
Piene	<i>noun</i><br><ol><li>pain</li></ol>
Piep|Piepen|Piepe	<i>noun</i><br><ol><li>kiss, smooch</li></ol>
Piepe|Piepen	<i>noun</i><br><ol><li>pipe (for smoking)</li><li>pipe (waterpipe)</li><li>pipe (steampipe)</li><li>gutter (natural canal)</li><li>spout (of a kettle or pot)</li><li>leg (of a pair of pants)</li><li>(anatomy) tubular bone</li></ol>
Pieper	<i>noun</i><br><ol><li>pepper (spice)</li></ol>
Pink|Pinke	<i>noun</i><br><ol><li>little finger</li></ol>
Plicht	<i>noun</i><br><ol><li>duty; responsibility; obligation</li></ol>
Poage	<i>noun</i><br><ol><li>(zoology) frog</li></ol>
Poark	<i>noun</i><br><ol><li>park</li><li>ballpark</li></ol>
Poor	<i>noun</i><br><ol><li>pair; couple</li></ol>
Pot	<i>noun</i><br><ol><li>pot (a vessel used for cooking food)</li></ol>
Potlikker|Potlikkere	<i>noun</i><br><ol><li>forefinger, index finger</li></ol>
Potääske	<i>noun</i><br><ol><li>potash</li></ol>
Profeet|Profete	<i>noun</i><br><ol><li>prophet</li></ol>
Provinsje|Provinsjene	<i>noun</i><br><ol><li>province</li></ol>
Pudde	<i>noun</i><br><ol><li>(zoology) toad</li><li>(zoology) newt</li></ol>
Pännich	<i>noun</i><br><ol><li>penny</li></ol>
Púul|Púle	<i>noun</i><br><ol><li>bolster, filled with hay</li></ol>
Púus|Puus|Puusjene|Púusjene	<i>noun</i><br><ol><li>cat (Felis catus)</li></ol>
Raier|Raiere	<i>noun</i><br><ol><li>heron</li></ol>
Reger|Regere|Reeger	<i>noun</i><br><ol><li>grey heron (Ardea cinerea)</li></ol>
Rekenjen	<i>noun</i><br><ol><li>mathematics</li></ol>
Riekdum	<i>noun</i><br><ol><li>The state or condition of being rich; wealth; richness; affluence</li></ol>
Rien	<i>noun</i><br><ol><li>rain</li></ol>
Rienbooge	<i>noun</i><br><ol><li>rainbow</li></ol>
Rienskuur	<i>noun</i><br><ol><li>rainshower</li></ol>
Ringeldúve|Ringeldúven	<i>noun</i><br><ol><li>wood pigeon (Columba palumbus)</li></ol>
Ringfinger|Ringfingere	<i>noun</i><br><ol><li>ring finger</li></ol>
Roage	<i>noun</i><br><ol><li>rye</li></ol>
Roagebrood|Roagebrode	<i>noun</i><br><ol><li>rye bread</li></ol>
Roave|Roaven	<i>noun</i><br><ol><li>raven (Corvus corax)</li></ol>
Rok	<i>noun</i><br><ol><li>skirt</li></ol>
Rom	<i>noun</i><br><ol><li>ram (male sheep)</li></ol>
Romelse|Roomelse	<i>name</i><br><ol><li>Ramsloh (a municipality of Saterland, Germany)</li></ol>
Roof|Rove	<i>noun</i><br><ol><li>robbery</li></ol>
Room	<i>noun</i><br><ol><li>cream</li></ol>
Roome	<i>noun</i><br><ol><li>frame</li></ol>
Roop|Rope	<i>noun</i><br><ol><li>rope, cord</li></ol>
Rotte|Rotten	<i>noun</i><br><ol><li>rat</li></ol>
Rouk|Rouke	<i>noun</i><br><ol><li>crow, raven</li></ol>
Rubbe|Rubben	<i>noun</i><br><ol><li>seal</li><li>(figuratively) noisy person</li><li>(figuratively) naughty child</li></ol>
Ruum	<i>noun</i><br><ol><li>room; space</li></ol>
Ruumte	<i>noun</i><br><ol><li>space; roominess; spaciousness</li></ol>
Ruur	<i>noun</i><br><ol><li>(nautical) rudder</li><li>(nautical) oar</li><li>(nautical, figuratively) helm</li></ol>
Räi	<i>noun</i><br><ol><li>(zoology) deer; roe</li></ol>
Räid	<i>noun</i><br><ol><li>advice, counsel</li><li>council</li></ol>
Räier|Räiere	<i>noun</i><br><ol><li>heifer</li></ol>
Räit	<i>noun</i><br><ol><li>reed</li></ol>
Rääch	<i>noun</i><br><ol><li>(anatomy) back</li><li>ridge</li></ol>
Rääske	<i>noun</i><br><ol><li>(botany) bulrush</li></ol>
Saalt	<i>noun</i><br><ol><li>Skäddel and Strukelje form of Soalt</li></ol>
Sail|Saile	<i>noun</i><br><ol><li>sail</li></ol>
Sailboot	<i>noun</i><br><ol><li>(nautical) sailboat</li></ol>
Sap|Sappe	<i>noun</i><br><ol><li>sap</li></ol>
Sapkouke|Sapkouken	<i>noun</i><br><ol><li>liquorice (candy)</li></ol>
Sats	<i>noun</i><br><ol><li>sentence</li></ol>
Schoarte	<i>noun</i><br><ol><li>apron</li></ol>
See|Säi|Seeë	<i>noun</i><br><ol><li>sea</li></ol>
Seedelsbierich	<i>name</i><br><ol><li>Sedelsberg (a village in Saterland, Germany)</li></ol>
Seeke	<i>noun</i><br><ol><li>cause; affair; matter; thing</li></ol>
Seele	<i>noun</i><br><ol><li>soul</li></ol>
Seelter	<i>noun</i><br><ol><li>Saterland Frisian person</li></ol>
Seelterlound	<i>name</i><br><ol><li>Saterland (a municipality of Lower Saxony, Germany, where Saterland Frisian is spoken)</li></ol>
Seeltersk	<i>name</i><br><ol><li>Saterland Frisian language</li></ol>
Seemeeske|Seemeesken	<i>noun</i><br><ol><li>gull</li></ol>
Seepe	<i>noun</i><br><ol><li>soap</li></ol>
Seer	<i>noun</i><br><ol><li>sore</li></ol>
Seetel	<i>noun</i><br><ol><li>boiler; kettle; pot</li></ol>
Sidde	<i>noun</i><br><ol><li>custom; usage; way</li></ol>
Siede	<i>noun</i><br><ol><li>side</li></ol>
Siel	<i>noun</i><br><ol><li>goal; aim; target; objective; purpose</li></ol>
Siene	<i>noun</i><br><ol><li>(anatomy) sinew; tendon</li><li>chord; string</li></ol>
Siepe	<i>noun</i><br><ol><li>creek; burn</li></ol>
Siepel	<i>noun</i><br><ol><li>(botany) onion</li></ol>
Sierup	<i>noun</i><br><ol><li>syrup</li></ol>
Sieuwe	<i>noun</i><br><ol><li>sieve</li></ol>
Sigaare	<i>noun</i><br><ol><li>cigar</li></ol>
Sjunger|Sjungerske|Sjungere|Sjungersken	<i>noun</i><br><ol><li>(male) singer</li></ol>
Sjungerske|Sjungere|Sjungersken|Sjunger	<i>noun</i><br><ol><li>female singer</li></ol>
Skaad	<i>noun</i><br><ol><li>shadow</li><li>shade</li></ol>
Skats	<i>noun</i><br><ol><li>treasure; hoard</li><li>darling; sweetheart</li></ol>
Skeeld	<i>noun</i><br><ol><li>fault; blame; guilt</li></ol>
Skeper|Skeeper|Skepere	<i>noun</i><br><ol><li>shepherd</li></ol>
Skiet	<i>noun</i><br><ol><li>feces; dung; excrement; manure</li><li>filth; muck</li></ol>
Skinke|Skinken	<i>noun</i><br><ol><li>ham</li></ol>
Skip|Skiepe|Schip|Schiepe	<i>noun</i><br><ol><li>ship</li></ol>
Skjou	<i>noun</i><br><ol><li>shyness</li></ol>
Skoomte	<i>noun</i><br><ol><li>shame</li></ol>
Skoote	<i>noun</i><br><ol><li>(nautical) sheet; sail</li></ol>
Skou	<i>noun</i><br><ol><li>shoe</li></ol>
Skoule|Skoulen	<i>noun</i><br><ol><li>school</li></ol>
Skounde	<i>noun</i><br><ol><li>shame, disgrace</li></ol>
Skruuwe	<i>noun</i><br><ol><li>screw (mechanical)</li></ol>
Skuft	<i>noun</i><br><ol><li>wretch; cad; villain; scoundrel</li></ol>
Skuum	<i>noun</i><br><ol><li>foam; froth</li><li>lather; suds</li></ol>
Skuur	<i>noun</i><br><ol><li>shower; rainshower</li><li>gust; squall</li></ol>
Skäddel|Schäddel	<i>name</i><br><ol><li>Scharrel (a village in Saterland, Germany)</li></ol>
Skäip|Skäipe	<i>noun</i><br><ol><li>sheep</li></ol>
Skät	<i>noun</i><br><ol><li>estimation; estimate; appraisal; valuation; rating</li></ol>
Skíere|Skíeren	<i>noun</i><br><ol><li>scissors</li></ol>
Sliem	<i>noun</i><br><ol><li>mucus; slime; phlegm</li></ol>
Sloange|Sloangen|Slangen|Slange	<i>noun</i><br><ol><li>snake</li></ol>
Sloot	<i>noun</i><br><ol><li>ditch</li><li>trench</li></ol>
Släip	<i>noun</i><br><ol><li>sleep</li></ol>
Släägel	<i>noun</i><br><ol><li>stick; drumstick</li><li>mallet</li><li>sledgehammer</li></ol>
Smoacht	<i>noun</i><br><ol><li>hunger</li></ol>
Snee	<i>noun</i><br><ol><li>snow</li></ol>
Sneeuwende|Sneeuwenden	<i>noun</i><br><ol><li>Skäddel form of Snäivende</li></ol>
Snouk|Snouke	<i>noun</i><br><ol><li>pike (fish)</li></ol>
Snurboart|Snurboarte	<i>noun</i><br><ol><li>moustache</li></ol>
Snäivende|Snäiwende|Snäivenden	<i>noun</i><br><ol><li>(Romelse, Strukelje) Saturday</li></ol>
Soadel	<i>noun</i><br><ol><li>saddle</li></ol>
Soage	<i>noun</i><br><ol><li>saw (cutting tool)</li></ol>
Soaks	<i>noun</i><br><ol><li>knife</li></ol>
Soal	<i>noun</i><br><ol><li>a large room or hall</li></ol>
Soalt	<i>noun</i><br><ol><li>(Romelse) salt</li></ol>
Soaltrouk|Soaltrouke	<i>noun</i><br><ol><li>hooded crow (Corvus cornix)</li></ol>
Soang	<i>noun</i><br><ol><li>singing</li><li>song, melody</li></ol>
Sokke	<i>noun</i><br><ol><li>sock</li></ol>
Songbouk	<i>noun</i><br><ol><li>songbook</li></ol>
Sooke	<i>noun</i><br><ol><li>(anatomy) cheek</li></ol>
Soom|Some	<i>noun</i><br><ol><li>hem, seam (sewn edge of a garment)</li></ol>
Soppe	<i>noun</i><br><ol><li>soup</li></ol>
Sound	<i>noun</i><br><ol><li>sand</li></ol>
Speer	<i>noun</i><br><ol><li>spear</li></ol>
Spitsmúus|Spitsmuze	<i>noun</i><br><ol><li>shrew</li></ol>
Spoade	<i>noun</i><br><ol><li>spade</li></ol>
Spoas	<i>noun</i><br><ol><li>fun</li></ol>
Spon	<i>noun</i><br><ol><li>(of animals) team; pair; yoke</li></ol>
Spoorke	<i>noun</i><br><ol><li>spark</li></ol>
Spoule	<i>noun</i><br><ol><li>spool</li></ol>
Spoune	<i>noun</i><br><ol><li>(of wood) chip; flake; shaving</li></ol>
Spreeker|Spreekers	<i>noun</i><br><ol><li>One who speaks; speaker</li></ol>
Sproake	<i>noun</i><br><ol><li>speech (the faculty of speaking)</li><li>language</li></ol>
Spräie|Spräien	<i>noun</i><br><ol><li>sparrow</li></ol>
Spächt	<i>noun</i><br><ol><li>(zoology) woodpecker</li></ol>
Späk	<i>noun</i><br><ol><li>bacon</li></ol>
Stap	<i>noun</i><br><ol><li>step; footstep</li><li>stride; gait; pace</li></ol>
Stede|Steden	<i>noun</i><br><ol><li>place, location</li><li>farm, farmstead</li></ol>
Steede	<i>noun</i><br><ol><li>place; stead</li></ol>
Steen|Stene	<i>noun</i><br><ol><li>stone, rock</li></ol>
Steenpiepe|Steenpiepen	<i>noun</i><br><ol><li>A short whistle made of lime; a clay whistle.</li></ol>
Stiern	<i>noun</i><br><ol><li>star</li></ol>
Stierne	<i>noun</i><br><ol><li>(anatomy) forehead</li></ol>
Stik	<i>noun</i><br><ol><li>fire</li></ol>
Stoank	<i>noun</i><br><ol><li>stink; stench; smell</li></ol>
Stoark|Stoarke	<i>noun</i><br><ol><li>stork</li></ol>
Stoarm	<i>noun</i><br><ol><li>storm</li></ol>
Stok|Stokke	<i>noun</i><br><ol><li>stick, staff</li><li>stock, supply</li><li>A unit of length of about 3.30 meter</li><li>(card games) deck; pile of undealt cards</li></ol>
Stom|Stomme	<i>noun</i><br><ol><li>stem, trunk</li><li>tribe, family</li></ol>
Stomboom|Stombome	<i>noun</i><br><ol><li>family tree; genealogy</li></ol>
Stoom	<i>noun</i><br><ol><li>steam</li></ol>
Stoul	<i>noun</i><br><ol><li>chair</li></ol>
Strand	<i>noun</i><br><ol><li>beach, shore, strand</li></ol>
