Abril|Abríl	<i>name</i><br><ol><li>April</li></ol>
hipli	<i>noun</i><br><ol><li>shelter; refuge</li></ol>
hipon	<i>noun</i><br><ol><li>(Daet) shrimp</li><li>(Daet) prawn</li></ol>
hirahay	<i>noun</i><br><ol><li>repair; fix</li></ol>
hirak	<i>noun</i><br><ol><li>compassion; pity; woe; mercy</li></ol>
hiram	<i>noun</i><br><ol><li>preservation by salting</li></ol>
hirarom	<i>noun</i><br><ol><li>a tuck</li></ol>
hiras|hirás	<i>noun</i><br><ol><li>division of land</li></ol>
hiro|hirò	<i>noun</i><br><ol><li>movement; motion</li><li>jerk (sudden motion)</li><li>fidget, restlessness</li></ol>
hirog	<i>noun</i><br><ol><li>(anatomy) side of the body</li></ol>
hiron	<i>noun</i><br><ol><li>a tether; a hitch</li></ol>
hiruon|hirúon	<i>verb</i><br><ol><li>to move</li></ol>
hita|hità	<i>noun</i><br><ol><li>(anatomy) groin</li></ol>
hito|hitò	<i>noun</i><br><ol><li>catfish (freshwater)</li></ol>
hiwas	<i>noun</i><br><ol><li>width</li></ol>
hoben	<i>adj</i><br><ol><li>young; junior</li></ol>
hobenes	<i>noun</i><br><ol><li>youth</li></ol>
huba|hubà	<i>adj</i><br><ol><li>naked; nude</li><li>stripped (of one's clothes)</li></ol>
hubad	<i>adj</i><br><ol><li>untied; undone (on a knot)</li></ol>
hubag|hubág	<i>noun</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) swelling</li></ol>
hubal|hubál	<i>adj</i><br><ol><li>unripe (of a fruit)</li></ol>
hubas	<i>verb</i><br><ol><li>To subside.</li><li>To ebb.</li><li>(liquids) To drop in level or volume due to leakage or evaporation.</li><li>(cooking) To reduce liquid by boiling.</li><li>(cash, resource) To deplete.</li></ol>
hubog|hubóg	<i>adj</i><br><ol><li>(Sorsogon) drunk; inebriated</li><li>(Sorsogon) intoxicated (on alcohol)</li></ol>
hudong	<i>noun</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) poison</li></ol>
hudongon|hudungon	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to poison</li></ol>
hudyan|hudyán	<i>adj</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) last; final</li><li>(Tabaco–Legazpi–Sorsogon) late; tardy</li></ol>
hudyanan	<i>noun</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) back; rear; hind</li></ol>
hugak|hugák	<i>noun</i><br><ol><li>laziness</li></ol>
hugakon|hugakón	<i>adj</i><br><ol><li>lazy; indolent; slothful</li></ol>
hugas	<i>verb</i><br><ol><li>to wash</li></ol>
hugay	<i>noun</i><br><ol><li>(Naga) comb</li></ol>
hugayon	<i>verb</i><br><ol><li>(Naga) to comb</li></ol>
hugot|hugót	<i>verb</i><br><ol><li>(suicide) to strangle</li></ol>
hukag|ukag	<i>noun</i><br><ol><li>stir</li></ol>
hukagon	<i>verb</i><br><ol><li>to stir</li></ol>
hukbo|hukbô	<i>noun</i><br><ol><li>army; troops</li></ol>
hukol	<i>noun</i><br><ol><li>(Partido, Tabaco, Legazpi) wave; undulation</li></ol>
hukom|hukóm	<i>noun</i><br><ol><li>(law) judge</li></ol>
hukragong	<i>noun</i><br><ol><li>snore</li></ol>
hula|húla	<i>noun</i><br><ol><li>prediction; guess; forecast</li></ol>
hulahon	<i>verb</i><br><ol><li>to predict; to forecast</li></ol>
hulay	<i>noun</i><br><ol><li>old woman who has never been married</li></ol>
huli|húli	<i>conj</i><br><ol><li>because</li></ol>
huli ta	<i>conj</i><br><ol><li>because</li></ol>
hulog	<i>verb</i><br><ol><li>to drop something</li><li>to fall</li></ol>
hultok	<i>adj</i><br><ol><li>(angry register, Sorsogon) drunk; intoxicated</li></ol>
huma|humâ	<i>noun</i><br><ol><li>threat; menace</li></ol>
huna|hunà	<i>noun</i><br><ol><li>opinion; judgement</li></ol>
hunas|hunás	<i>noun</i><br><ol><li>low tide; ebb tide</li></ol>
hungit	<i>verb</i><br><ol><li>to spoon-feed</li><li>to stuff something in one's mouth</li></ol>
huraw	<i>noun</i><br><ol><li>anticipation for the rain to stop</li></ol>
huri|hurí	<i>adj</i><br><ol><li>(Naga) last; final</li><li>(Naga) late; tardy</li></ol>
hurib	<i>noun</i><br><ol><li>payment to a mistress or concubine</li></ol>
hurihan	<i>noun</i><br><ol><li>(Naga) back; rear; hind</li></ol>
huring-huding|huríng-hudíng	<i>noun</i><br><ol><li>hearsay</li></ol>
huro-huro	<i>noun</i><br><ol><li>groan</li></ol>
huron	<i>verb</i><br><ol><li>(Tabaco, Legazpi) to converse; to talk; discuss (to each other)</li></ol>
huronan|hurunan	<i>noun</i><br><ol><li>(Tabaco, Legazpi) conversation; talk; discussion</li></ol><br><i>verb</i><br><ol><li>(Tabaco, Legazpi) to converse; to talk; to discuss (to each other)</li></ol>
hururon	<i>noun</i><br><ol><li>(Tabaco, Legazpi) conversation; discussion</li></ol>
husgado	<i>noun</i><br><ol><li>(law) court</li></ol>
hutok	<i>noun</i><br><ol><li>(anatomy) brain</li></ol>
huwad|huwád	<i>noun</i><br><ol><li>copy; imitation</li></ol>
huwadon	<i>verb</i><br><ol><li>to copy; to duplicate</li></ol>
huwes|huwés	<i>noun</i><br><ol><li>(law) judge</li></ol>
huyo|huyò	<i>noun</i><br><ol><li>rattan</li></ol>
huyom	<i>noun</i><br><ol><li>smile; grin</li></ol>
huyoman	<i>verb</i><br><ol><li>to smile, to grin at someone</li></ol>
huyop|huyóp	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to blow (to produce an air current)</li></ol>
i-apon|i-apón	<i>verb</i><br><ol><li>(Naga) to throw away; to dispose; to discard</li></ol>
i-isog|i-isóg	<i>verb</i><br><ol><li>to move over</li></ol>
i-ugsod	<i>verb</i><br><ol><li>to push; to nudge</li></ol>
i-uli|i-ulî	<i>verb</i><br><ol><li>to return an item to its original holder</li><li>(Tabaco–Legazpi–Sorsogon) to return; to go home</li></ol>
i-usnga|i-usngá	<i>verb</i><br><ol><li>(dated) to (tell a) joke</li></ol>
iba|ibà|ibá	<i>noun</i><br><ol><li>bilimbi, Averrhoa bilimbi</li><li>the others; the rest (other people)</li></ol><br><i>adj</i><br><ol><li>different; distinct</li><li>included; inclosed; incorporated</li></ol>
ibalik|ibalík	<i>verb</i><br><ol><li>to return something</li></ol>
ibasol	<i>verb</i><br><ol><li>to regret</li></ol>
ibayle	<i>verb</i><br><ol><li>(Naga, Tabaco, Legazpi) to dance</li></ol>
ibon	<i>noun</i><br><ol><li>(Daet) bird</li></ol>
ibong	<i>noun</i><br><ol><li>other side</li></ol>
ibos|íbos	<i>noun</i><br><ol><li>suman; rice cake</li></ol>
ibusol	<i>verb</i><br><ol><li>to push</li></ol>
ido|idò	<i>noun</i><br><ol><li>dog</li><li>(Legazpi) puppy</li></ol>
idto|idtó	<i>pron</i><br><ol><li>(Naga) it; that; those (far from both the speaker and the listener)</li></ol>
iduros	<i>verb</i><br><ol><li>(Naga) to get carried away by the wind</li></ol>
igad|ígad	<i>verb</i><br><ol><li>(vulgar, angry register) to sit down; to take a seat</li></ol>
igdi|igdí	<i>adv</i><br><ol><li>(location, dialectal) here</li></ol>
igo	<i>adj</i><br><ol><li>fit; proper; suitable</li></ol>
igwa|ugwa|ugwá|igwá	<i>verb</i><br><ol><li>there is; there's</li><li>to have</li></ol>
igwa ka nang aki	<i>phrase</i><br><ol><li>do you have children?</li></ol>
ihangin	<i>verb</i><br><ol><li>(Daet) to get carried away by the wind</li></ol>
ihi|ihì	<i>noun</i><br><ol><li>urine; pee</li></ol>
ihiron	<i>verb</i><br><ol><li>to tether; to hitch; to tie an animal to any erected post</li></ol>
ihudyan	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to place last</li></ol>
ihuri	<i>verb</i><br><ol><li>(Naga) to place last</li></ol>
ika|iká	<i>pron</i><br><ol><li>you (exclusive singular)</li></ol>
ikaag	<i>verb</i><br><ol><li>to put or place something on or in a certain place</li></ol>
ikim|ikím	<i>noun</i><br><ol><li>manner of holding or carrying something by tucking under one's arm</li></ol>
ikimon|ikimón	<i>verb</i><br><ol><li>to hold or carry something by tucking under one's arm</li></ol>
ikit|ikít	<i>verb</i><br><ol><li>to compulsively steal; to shoplift</li><li>(by extension) to steal</li></ol>
ikog	<i>noun</i><br><ol><li>tail</li></ol>
ikos|ikós	<i>noun</i><br><ol><li>cat</li></ol>
iksan	<i>noun</i><br><ol><li>(Tabaco–Legazpi–Sorsogon, anatomy) waist</li><li>(Tabaco–Legazpi–Sorsogon) waistline</li></ol>
ikurahaw	<i>verb</i><br><ol><li>(Naga) to shout; to yell; to scream</li></ol>
ilaag	<i>verb</i><br><ol><li>to put or place something on or in a certain place</li></ol>
ilakaw|ilakáw	<i>verb</i><br><ol><li>to take a walk</li></ol>
ilaw	<i>noun</i><br><ol><li>light</li><li>lamp</li></ol>
ilawig|ilawíg	<i>verb</i><br><ol><li>to tether; to hitch; to tie an animal to any erected post</li></ol>
ilawod	<i>adj</i><br><ol><li>outskirts</li><li>downstream</li></ol>
iling|ilíng	<i>noun</i><br><ol><li>the coleto (Sarcops calvus); a starling species</li><li>Nonstandard form of hiling (“manner of looking, seeing”).</li></ol>
ilo	<i>noun</i><br><ol><li>orphan</li></ol>
ilubong	<i>verb</i><br><ol><li>to bury</li></ol>
ilunad	<i>verb</i><br><ol><li>to embark; to ride</li><li>to mount anything before riding</li></ol>
ilusiyon|ilusiyón|ilusyon|ilusyón	<i>noun</i><br><ol><li>illusion</li><li>(Naga) a lover</li></ol>
ilusiyonan|ilusyonan|ilusiyunan|ilusyunan	<i>verb</i><br><ol><li>(Naga) to court</li></ol>
imbitar	<i>verb</i><br><ol><li>to invite</li></ol>
imbitasiyon|imbitasyon	<i>noun</i><br><ol><li>invitation; invite</li></ol>
imbong	<i>noun</i><br><ol><li>lukewarmth; tepidity</li></ol>
imot	<i>noun</i><br><ol><li>stinginess; miserliness</li></ol>
impakto	<i>noun</i><br><ol><li>impact</li><li>collision</li><li>(folklore) monster</li></ol>
ina|ama|inà|inâ|amâ	<i>noun</i><br><ol><li>mother (female (human) who parents a child, gives birth to a baby, or is pregnant)</li></ol><br><i>verb</i><br><ol><li>to subtract, to decrease (in number)</li><li>to lessen</li></ol>
inaan|ináan|ina-an	<i>verb</i><br><ol><li>to subtract; to decrease</li><li>to lessen</li></ol>
inaon|amaon|amàon|inàon	<i>noun</i><br><ol><li>aunt</li></ol>
inda	<i>phrase</i><br><ol><li>I don't know</li></ol>
independensiya|independensya	<i>noun</i><br><ol><li>independence</li></ol>
independiyente|independyente	<i>adj</i><br><ol><li>independent</li></ol>
ini	<i>det</i><br><ol><li>this</li><li>these</li></ol>
init	<i>noun</i><br><ol><li>heat; warmth</li></ol>
inodoro	<i>noun</i><br><ol><li>toilet</li></ol>
inom	<i>verb</i><br><ol><li>to drink.</li><li>to consume alcoholic beverage.</li></ol>
inot	<i>num</i><br><ol><li>first</li></ol>
instruksiyon|instruksyon|instruksiyones	<i>noun</i><br><ol><li>instruction; teaching</li></ol>
insulto	<i>noun</i><br><ol><li>insult</li></ol>
intensiyon|intensiyón|intensyón|intensyon	<i>noun</i><br><ol><li>intention</li></ol>
intindi	<i>noun</i><br><ol><li>understanding; comprehension</li></ol>
intindihon	<i>verb</i><br><ol><li>to understand; to comprehend</li></ol>
inulnan|inulnán	<i>noun</i><br><ol><li>(anatomy) placenta</li></ol>
inumon|inumón|inúmon	<i>noun</i><br><ol><li>a drink, beverage, any drinkable source</li></ol><br><i>verb</i><br><ol><li>to drink</li></ol>
inutil	<i>adj</i><br><ol><li>useless</li><li>hopeless</li></ol>
ipabakal	<i>verb</i><br><ol><li>to sell; to deal in (on a negotiation)</li></ol>
ipadalan	<i>verb</i><br><ol><li>(Naga) to present; to display (a movie/show)</li></ol>
ipahiling	<i>noun</i><br><ol><li>to show; to exhibit</li><li>(Tabaco–Legazpi–Sorsogon) to present; to display (a movie, series etc.)</li></ol>
iparos	<i>verb</i><br><ol><li>(Partido, Tabaco–Legazpi–Sorsogon) to get carried away by the wind</li></ol>
ipis	<i>noun</i><br><ol><li>cockroach</li></ol>
ipo	<i>adj</i><br><ol><li>scarce</li></ol>
ipot|ipót	<i>noun</i><br><ol><li>droppings (of birds and other small animals)</li></ol>
ipremiyo	<i>verb</i><br><ol><li>to reward</li></ol>
iprobar|iprobár	<i>verb</i><br><ol><li>to test out; to experiment</li><li>to refute</li></ol>
ipuli|ipulî	<i>verb</i><br><ol><li>(Naga) to return; to go home</li></ol>
ipuwersa	<i>verb</i><br><ol><li>to force; to persuade; to compel</li></ol>
iram	<i>noun</i><br><ol><li>slowness</li></ol>
iram-iram	<i>adj</i><br><ol><li>slow</li></ol>
irarom	<i>adv</i><br><ol><li>underneath, below</li></ol><br><i>noun</i><br><ol><li>underneath; bottom</li></ol>
iraya	<i>adj</i><br><ol><li>upstream; upriver</li></ol>
iris|irís	<i>noun</i><br><ol><li>(anatomy) side of the body</li></ol>
iristoriyahan|iristoryahan	<i>noun</i><br><ol><li>(dialectal, Sorsogon) conversation; discussion</li></ol>
irok	<i>verb</i><br><ol><li>(literary) to reside; to live in; to stay in; to dwell; to inhabit</li></ol>
isay|irisay	<i>pron</i><br><ol><li>(literary, interrogative, subjective) who</li></ol>
isayaw	<i>verb</i><br><ol><li>(formal, Daet, Partido, Sorsogon) to dance</li></ol>
isda	<i>noun</i><br><ol><li>(Daet) fish</li></ol>
isi	<i>verb</i><br><ol><li>to search</li><li>to remind; to prompt</li></ol>
isihon	<i>verb</i><br><ol><li>to search</li></ol>
isip	<i>noun</i><br><ol><li>mind</li><li>opinion; judgement</li></ol>
isipon	<i>verb</i><br><ol><li>to think</li></ol>
isira|isirâ	<i>noun</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) viand (any dish of meat, fish or vegetables, eaten with cooked rice)</li></ol>
isla	<i>noun</i><br><ol><li>island</li></ol>
isog|isóg|ísog|ngisog	<i>noun</i><br><ol><li>bravery; courage</li><li>fierceness; ferocity</li><li>violence; cruelty</li></ol><br><i>adj</i><br><ol><li>(dialectal, Sorsogon) angry</li></ol><br><i>verb</i><br><ol><li>to move over</li></ol>
isogan|isugan	<i>verb</i><br><ol><li>(dialectal, Sorsogon) to berate; to scold</li></ol>
isogon|ngisogon|isugon|ngisugon	<i>adj</i><br><ol><li>(dialectal, Sorsogon) intensified form of isog</li></ol>
istar	<i>verb</i><br><ol><li>to reside; to live in; to stay in; to dwell; to inhabit</li></ol>
istaran	<i>noun</i><br><ol><li>residence; habitat</li><li>address</li></ol>
istoriya|istorya	<i>noun</i><br><ol><li>story</li><li>history</li></ol>
istoriyahan|istoryahan	<i>noun</i><br><ol><li>storytelling</li><li>narration; narrative</li></ol><br><i>verb</i><br><ol><li>to chat (with someone)</li><li>to tell a story</li><li>(dialectal, Sorsogon) to converse; to talk; to discuss (to each other)</li></ol>
istoriyahanan|istoryahanan	<i>noun</i><br><ol><li>(Sorsogon) conversation; talk; discussion</li></ol><br><i>verb</i><br><ol><li>(Sorsogon) to converse; to talk; to discuss (to each other)</li></ol>
isuka	<i>verb</i><br><ol><li>to vomit, to puke</li></ol>
isuno|isunò	<i>verb</i><br><ol><li>to ride (on the back of a motorcycle, horse, etc.)</li></ol>
isurat	<i>verb</i><br><ol><li>to write</li></ol>
isuriyaw	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to shout; to yell; to scream</li></ol>
itaas	<i>adj</i><br><ol><li>upstairs</li></ol><br><i>adv</i><br><ol><li>above</li></ol>
itago|itagò	<i>verb</i><br><ol><li>to hide, to conceal</li></ol>
itaid	<i>verb</i><br><ol><li>(Naga) to place beside</li></ol>
itaning	<i>verb</i><br><ol><li>(Partido, Tabaco–Legazpi–Sorsogon) to place beside</li></ol>
itanom|itanóm	<i>verb</i><br><ol><li>to plant</li></ol>
itao|itào	<i>verb</i><br><ol><li>to give</li></ol>
itapil|itápil	<i>verb</i><br><ol><li>(Legazpi) to throw away; to dispose; to discard</li></ol>
itapok	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to throw away; to dispose; to discard</li></ol>
itik	<i>noun</i><br><ol><li>duck</li></ol>
itinda	<i>verb</i><br><ol><li>to sell</li></ol>
itlog	<i>noun</i><br><ol><li>(Daet) egg</li><li>(Daet, anatomy, euphemistic) testicles</li></ol>
ito|itó	<i>pron</i><br><ol><li>(Daet, Tabaco–Legazpi–Sorsogon) it; that, those (near the person spoken to, but away from the speaker)</li></ol>
itok	<i>noun</i><br><ol><li>spin</li></ol>
itom|itóm	<i>adj</i><br><ol><li>black</li><li>(of an object) absorbing all light and reflecting none; dark and hueless</li></ol>
itoon|itóon|itó-on|ito-on	<i>adv</i><br><ol><li>(formal, location) over there (both far from the speaker and the listener)</li></ol>
itsura	<i>noun</i><br><ol><li>appearance; looks; feature; visage</li></ol>
itukdo|itukdô	<i>verb</i><br><ol><li>(Naga) to teach; to tutor; to coach</li><li>(Naga) to point out; to indicate; to designate (by extending the index finger)</li></ol>
ituldang	<i>verb</i><br><ol><li>to push</li></ol>
itulod	<i>verb</i><br><ol><li>to push</li></ol>
ituro|iturô	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to teach; to tutor; to coach</li><li>(Tabaco–Legazpi–Sorsogon) to point out; to indicate; to designate (by extending the index finger)</li></ol>
iwal	<i>noun</i><br><ol><li>a fight; a physical confrontation</li><li>a quarrel; a heated argument; a squabble</li></ol>
iyan|'yan|iyán|yan	<i>pron</i><br><ol><li>that, it (near the person spoken to, but away from the speaker)</li></ol>
iyo|iyó	<i>particle</i><br><ol><li>yes</li></ol>
iyo na	<i>adj</i><br><ol><li>(affirmative reply) done</li></ol>
jakol	<i>verb</i><br><ol><li>(colloquial, somewhat vulgar) To masturbate.</li></ol>
kaag|kàag	<i>verb</i><br><ol><li>to put or place something on or in a certain place</li></ol>
kaagan	<i>noun</i><br><ol><li>container</li></ol>
kaakian	<i>noun</i><br><ol><li>(in the plural) children</li></ol>
kaaldawan	<i>noun</i><br><ol><li>birthday</li></ol>
kaaliwasan	<i>noun</i><br><ol><li>neglect; neglectfulness</li></ol>
kaanggotan|kaanggutan	<i>noun</i><br><ol><li>(Naga) anger; wrath; rage</li></ol>
kaaraman	<i>noun</i><br><ol><li>knowledge</li></ol>
kaatubang	<i>noun</i><br><ol><li>person in front of one's self</li></ol>
kaba|kabá	<i>noun</i><br><ol><li>fright</li></ol>
kababan|kabàban	<i>noun</i><br><ol><li>lowland, valley</li></ol>
kababanwa	<i>noun</i><br><ol><li>fellow resident of the same town or province</li><li>countrymen; countryfolk; compatriot</li></ol>
kabakab	<i>noun</i><br><ol><li>toad</li><li>idiot; simpleton</li></ol>
kabalang	<i>noun</i><br><ol><li>ape</li><li>monkey</li></ol>
kabaldian	<i>noun</i><br><ol><li>disgust</li></ol>
kabanga|kabangâ	<i>adj</i><br><ol><li>half, consisting of a half</li></ol>
kabangisan	<i>noun</i><br><ol><li>violence; cruelty; brutality; wickedness</li></ol>
kabantogan|kabantógan	<i>noun</i><br><ol><li>fame</li></ol>
kabanwaan	<i>noun</i><br><ol><li>fellow resident of the same town or province</li><li>countrymen; countryfolk; compatriot</li></ol>
kabaong|kabáong	<i>noun</i><br><ol><li>coffin</li></ol>
kabas-an|kabas-án	<i>noun</i><br><ol><li>(Partido, Sorsogon) lowlands, valley</li><li>(Sorsogon) paddy; farmland</li></ol>
kabasan|kabàsan	<i>noun</i><br><ol><li>(Naga) lowlands, valley</li><li>(Tabaco, Legazpi) paddy; farmland</li></ol>
kabayle	<i>noun</i><br><ol><li>(Naga, Tabaco, Legazpi) a dance partner</li></ol>
kabayo	<i>noun</i><br><ol><li>horse</li></ol>
kabig	<i>noun</i><br><ol><li>manner of raking with one's hand(s)</li></ol>
kabinian	<i>noun</i><br><ol><li>modesty, charm</li></ol>
kabisto	<i>noun</i><br><ol><li>acquaintance</li></ol>
kabit	<i>verb</i><br><ol><li>to fasten; to attach; to clasp</li><li>to hold up; to support</li><li>(informal) to pass by the skin of your teeth</li><li>(slang) to dance with</li></ol>
kabkab	<i>noun</i><br><ol><li>hand fan</li></ol>
kabo	<i>noun</i><br><ol><li>(military) corporal</li><li>(informal) friend; buddy</li></ol>
kabohan	<i>noun</i><br><ol><li>companion</li></ol>
kabubuldan	<i>noun</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) highland; mountains</li></ol>
kabuhayan	<i>noun</i><br><ol><li>existence</li></ol>
kabukidan	<i>noun</i><br><ol><li>(Naga) highland; mountains</li></ol>
kabulodan|kabuludan	<i>noun</i><br><ol><li>mountain range</li><li>hill range</li></ol>
kada	<i>det</i><br><ol><li>each; every</li></ol>
kadagitan	<i>noun</i><br><ol><li>(Tabaco, Legazpi) anger; wrath; rage</li></ol>
kadahoman|kadahuman	<i>noun</i><br><ol><li>(Partido) beauty; splendor</li></ol>
kadaklan|kadakulan|kadakolan	<i>noun</i><br><ol><li>majority; plurality</li></ol>
kadakol|kadákol	<i>adj</i><br><ol><li>Synonym of dakol</li></ol><br><i>det</i><br><ol><li>Synonym of dakol</li></ol>
kadalian	<i>noun</i><br><ol><li>quickness; hurrying; rush</li><li>(Naga) easiness; simpleness; effortlessness</li></ol>
kadiit|kadìit	<i>adj</i><br><ol><li>Synonym of diit</li></ol><br><i>pron</i><br><ol><li>Synonym of diit</li></ol>
kadikit|kadikít	<i>adj</i><br><ol><li>Synonym of dikit</li></ol><br><i>pron</i><br><ol><li>Synonym of dikit</li></ol>
kadipisilan	<i>noun</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) difficulty; hardship; complexity</li></ol>
kadlagan|kadlagán	<i>noun</i><br><ol><li>forest; jungle; woods</li></ol>
kadugian|kadugìan	<i>noun</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) muddiness</li></ol>
kadurog	<i>noun</i><br><ol><li>sexual partner</li></ol>
kag-ataman	<i>noun</i><br><ol><li>caretaker</li><li>pet owner</li></ol>
kagabatan	<i>noun</i><br><ol><li>heaviness</li><li>grievousness</li></ol>
kagan|kagán	<i>noun</i><br><ol><li>(hematology, cytology) platelet</li></ol>
kaganan	<i>noun</i><br><ol><li>container</li></ol>
kagat|kagát	<i>noun</i><br><ol><li>a bite</li></ol>
kagaw	<i>noun</i><br><ol><li>scratching (relief for an itch)</li></ol>
kagayonan|kagayunan	<i>noun</i><br><ol><li>beauty; splendor</li></ol>
kaginhawahan	<i>noun</i><br><ol><li>comfortability</li></ol>
kagkag|kagkág	<i>noun</i><br><ol><li>rake (garden tool)</li></ol>
kagrogaring	<i>noun</i><br><ol><li>owner</li></ol>
kagsadiri	<i>noun</i><br><ol><li>owner</li></ol>
kagsurat	<i>noun</i><br><ol><li>writer; author</li></ol>
kagulkol	<i>noun</i><br><ol><li>(anatomy) Adam's apple</li></ol>
kagustohan|kagustuhan	<i>noun</i><br><ol><li>(Naga) desire; wish; want; liking; fondness</li></ol>
kagutoman|kagutuman	<i>noun</i><br><ol><li>(Naga) hunger; famine</li></ol>
kahadian|kahadían	<i>noun</i><br><ol><li>kingdom</li></ol>
kahalopan	<i>noun</i><br><ol><li>gluttony, voracity</li></ol>
kaharanihan	<i>noun</i><br><ol><li>nearness; closeness</li><li>convergence</li><li>proximity</li></ol>
kahibogan|kahìbogan|kahìbugan|kahibugan	<i>noun</i><br><ol><li>thickness</li></ol>
kahidapan	<i>noun</i><br><ol><li>(Daet) difficulty; hardship; complexity</li><li>(Daet) poverty</li></ol>
kahimanwa	<i>noun</i><br><ol><li>fellow resident of the same town or province</li><li>countrymen; countryfolk</li></ol>
kahimpisan	<i>noun</i><br><ol><li>thinness</li></ol>
kahingawan	<i>noun</i><br><ol><li>sobriety; hangover</li></ol>
kahirak	<i>adj</i><br><ol><li>sad; miserable; pathetic; wretched</li></ol>
kahirasan	<i>noun</i><br><ol><li>share of divided land</li></ol>
kahoy	<i>noun</i><br><ol><li>tree</li><li>wood</li><li>timber</li></ol>
kahugakan|kahugákan	<i>noun</i><br><ol><li>laziness</li></ol>
kahuron	<i>noun</i><br><ol><li>(Tabaco, Legazpi) The person whom the speaker is talking to.</li></ol>
kaiba|kairiba	<i>noun</i><br><ol><li>companion</li></ol>
kaibahan	<i>noun</i><br><ol><li>companion</li><li>difference</li></ol>
kaidto|kaidtó|kadto|ka'dtó	<i>adv</i><br><ol><li>(Naga, temporal location) back then, at that time</li></ol><br><i>pron</i><br><ol><li>(Naga) that; those (far from the addressee)</li></ol>
kailusiyon|kailusyon	<i>noun</i><br><ol><li>Synonym of ilusiyon (“lover”).</li></ol>
kailusiyonan|kailusyunan|kailusyonan|kailusiyunan	<i>noun</i><br><ol><li>Synonym of ilusiyon (“illusion”).</li></ol>
kain	<i>verb</i><br><ol><li>(Daet) to eat; to dine</li><li>(Daet) to feed; to give (someone or something) food to eat</li><li>(Daet) to eat tape (of a cassette player, etc.)</li></ol>
kaipo|kaípo	<i>noun</i><br><ol><li>need; necessity</li></ol>
kaipohan|kaipuhan	<i>adj</i><br><ol><li>necessary</li></ol>
kaisipan	<i>noun</i><br><ol><li>thought</li></ol>
kaisogan|kaisugan	<i>noun</i><br><ol><li>bravery; courage</li><li>ferocity; fierceness; violence; cruelty</li><li>(dialectal, Sorsogon) anger; wrath; rage</li></ol>
kaistoriyahan|kaistoryahan	<i>noun</i><br><ol><li>(dialectal, Sorsogon) The person whom the speaker is talking to.</li></ol>
kaito|kaitó	<i>adv</i><br><ol><li>(formal, Daet, Tabaco–Legazpi–Sorsogon) back then, at that time. (temporal location)</li></ol><br><i>pron</i><br><ol><li>(formal, Daet, Tabaco–Legazpi–Sorsogon) that; those (far from the addressee)</li></ol>
kaiwal|kaíwal	<i>noun</i><br><ol><li>enemy</li><li>someone to argue with, quarrel with</li></ol>
kakagan	<i>noun</i><br><ol><li>container</li></ol>
kakahoyan	<i>noun</i><br><ol><li>forest; jungle; grove; thicket</li></ol>
kakan|kakán	<i>verb</i><br><ol><li>(Naga) to eat; to dine</li><li>(Naga) to feed or give (someone or something) food to eat</li><li>(Naga) to eat a tape (of a cassette player, etc.)</li></ol>
kakanan	<i>noun</i><br><ol><li>(Naga) dining room; eating place</li></ol>
kakanon|kakanón|kakánon	<i>noun</i><br><ol><li>(Naga) food</li></ol><br><i>verb</i><br><ol><li>(Naga) to eat</li></ol>
kakaskasan	<i>noun</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) speed; velocity</li></ol>
kakaw|kakáw	<i>noun</i><br><ol><li>cacao (tree, fruit, seed)</li></ol>
kakawat	<i>noun</i><br><ol><li>playmate</li></ol>
kakundian	<i>noun</i><br><ol><li>defect, impairment, imperfection</li></ol>
kakurihan	<i>noun</i><br><ol><li>violence; cruelty</li><li>grievousness</li></ol>
kalabidong|kalabidóng	<i>noun</i><br><ol><li>a species of medium-sized bat</li></ol>
kalabogan	<i>noun</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) blurriness; fuzziness; obscureness; turbidness</li></ol>
kalaboyan|kalabuyan	<i>noun</i><br><ol><li>(Naga) muddiness</li></ol>
kalag|kalág	<i>noun</i><br><ol><li>a ghost; a spirit; a soul</li></ol>
kalagakaga|kalagàkagà	<i>verb</i><br><ol><li>to boil (cooking)</li></ol>
kalagon|kalagón	<i>verb</i><br><ol><li>to haunt (by a ghost)</li></ol>
kalainan	<i>noun</i><br><ol><li>difference</li></ol>
kalalawgon	<i>noun</i><br><ol><li>(Naga) lookalike</li></ol>
kalamansi|kalamansî	<i>noun</i><br><ol><li>(Daet) calamondin; calamansi (Citrus × microcarpa, syn. ×Citrofortunella mitis)</li></ol>
kalapokan|kalapukan	<i>noun</i><br><ol><li>(dialect) muddiness</li></ol>
