'-d-š	<i>root</i><br><ol><li>Related to newness.</li></ol>
damāqum|𒄿𒁕𒄠𒈪𒂵|𒀉𒈪𒆪|niddamiq|tadmiqī|𒇷𒀉𒈪𒅅|𒀉𒁕𒄠𒆪|dimqī|idmiqū|idmiq|𒋫𒁕𒄠𒈪𒅅|𒀀𒀜𒁕𒈪𒅅|𒁕𒈪𒆪𒌝|𒉌𒁕𒄠𒈪𒅅|iddamiq|dāmiqum|nidammiq|𒀀𒁕𒄠𒈪𒅅|tadmiq|𒀉𒈪𒂵|idmiqā|𒋫𒀜𒁕𒈪𒅅|𒋫𒀜𒁕𒄠𒂵|𒁲𒅎𒂵|iddamqā|𒇷𒀉𒈪𒂵|𒋫𒁕𒄠𒈪𒆠|idammiqū|taddamiq|𒁲𒈪𒅅|lidmiqū|𒉌𒀉𒁕𒈪𒅅|idammiq|ludmiq|i nidmiq|dimiq|𒁕𒄠𒆪𒌝|𒁕𒈠𒆪𒌝|𒄿𒁕𒄠𒈪𒅅|𒋫𒁕𒄠𒈪𒂵|dimqā|tadammiqī|adammiq|𒇻𒌓𒈪𒅅|𒁲𒅎𒆠|lidmiqā|𒄿𒉌𒀉𒈪𒅅|𒀀𒀜𒈪𒅅|taddamqī|𒉌𒀉𒈪𒅅|damqum|idammiqā|𒀉𒁕𒈪𒅅|tadammiqā|taddamqā|lidmiq|𒀉𒁕𒄠𒂵|𒋫𒀜𒈪𒅅|𒋫𒀜𒈪𒂵|𒋫𒀜𒈪𒆠|𒀉𒈪𒅅|𒋫𒀜𒁕𒄠𒆠|iddamqū|𒄿𒁕𒄠𒈪𒆪|tadmiqā|tadammiq|addamiq|admiq|𒇷𒀉𒈪𒆪|nidmiq	<i>verb</i><br><ol><li>to be good, better, improve, prosper, have success, have a good luck</li></ol>
danniš	<i>adv</i><br><ol><li>very, greatly</li><li>severely</li></ol>
dannum|dannātum|dannūtum|dannatum	<i>adj</i><br><ol><li>strong, solid, fortified</li><li>powerful, mighty</li><li>fierce, savage</li><li>difficult, severe</li><li>urgent</li></ol>
danānum|iddannū|tadnin|dinnī|𒉌𒀉𒁕𒉌𒅔|tadanninī|𒀉𒁕𒀭𒈾|iddanin|𒁲𒅔𒉌|𒀀𒀜𒁕𒉌𒅔|𒀉𒉌𒅔|lidnin|𒋫𒀜𒉌𒅔|𒋫𒁕𒀭𒉌𒉌|𒄿𒁕𒀭𒉌𒉡|niddanin|lidninū|tadanninā|𒉌𒀉𒉌𒅔|𒇷𒀉𒉌𒉡|𒋫𒀜𒉌𒈾|idnin|𒀉𒉌𒈾|dinin|lidninā|𒀀𒀜𒉌𒅔|taddannā|iddannā|ludnin|tadninī|idanninū|𒄿𒉌𒀉𒉌𒅔|𒁲𒉌𒅔|idninū|nidnin|𒀉𒁕𒀭𒉡|taddanin|i nidnin|𒋫𒀜𒁕𒀭𒉌|𒁕𒈾𒉡𒌝|𒁕𒉌𒉡𒌝|𒉌𒁕𒀭𒉌𒅔|idanninā|idannin|𒇷𒀉𒉌𒈾|dannum|𒁲𒅔𒈾|nidannin|𒋫𒀜𒁕𒉌𒅔|adnin|𒋫𒀜𒉌𒉌|adannin|addanin|𒀉𒁕𒉌𒅔|𒀉𒉌𒉡|𒁕𒀭𒉡𒌝|𒋫𒁕𒀭𒉌𒈾|𒄿𒁕𒀭𒉌𒈾|𒄿𒁕𒀭𒉌𒅔|𒋫𒁕𒀭𒉌𒅔|𒇷𒀉𒉌𒅔|dinnā|taddannī|dāninum|𒇻𒌓𒉌𒅔|tadannin|𒋫𒀜𒁕𒀭𒈾|idninā|tadninā|𒀀𒁕𒀭𒉌𒅔	<i>verb</i><br><ol><li>to become strong</li><li>to be hard, severe, tough, threatening</li></ol>
darārum|𒋫𒀜𒁕𒅈𒊑|adrur|idrur|lidrur|𒄿𒉌𒀉𒊒𒌨|tadarrarī|𒉌𒀉𒁕𒊏𒅈|i nidrur|𒋫𒁕𒅈𒊏𒊏|idarrarū|iddarrū|𒄿𒁕𒅈𒊏𒊏|𒀉𒊒𒊏|𒇷𒀉𒊒𒊏|niddarar|ludrur|tadrurī|𒋫𒀜𒊒𒌨|𒋫𒀜𒁕𒅈𒊏|taddarrā|durrā|𒉌𒁕𒅈𒊏𒅈|𒄿𒁕𒅈𒊏𒊒|𒁕𒊑𒊒𒌝|tadarrar|taddarrī|idrurā|darrum|𒉌𒀉𒊒𒌨|𒁺𒌨𒊏|addarar|𒀉𒊒𒊒|𒀉𒁕𒅈𒊒|taddarar|lidrurā|adarrar|𒄿𒁕𒅈𒊏𒅈|𒋫𒁕𒅈𒊏𒊑|𒇷𒀉𒊒𒌨|𒇷𒀉𒊒𒊒|𒀉𒊒𒌨|tadrurā|𒀀𒀜𒁕𒊏𒅈|nidrur|tadarrarā|iddarrā|lidrurū|dārirum|𒁺𒌨𒊑|𒀀𒁕𒅈𒊏𒅈|durrī|𒋫𒀜𒊒𒊑|nidarrar|𒀉𒁕𒅈𒊏|idarrarā|tadrur|idarrar|𒋫𒀜𒊒𒊏|durur|𒋫𒁕𒅈𒊏𒅈|𒇻𒌓𒊒𒌨|𒁺𒊒𒌨|idrurū|𒁕𒅈𒊒𒌝|𒀉𒁕𒊏𒅈|iddarar|𒁕𒊏𒊒𒌝|𒋫𒀜𒁕𒊏𒅈|𒀀𒀜𒊒𒌨	<i>noun</i><br><ol><li>to be free (of a task), move about freely, run off</li></ol>
dayyānum|da-a-a-nu-um|dayyānū|𒁕𒀀𒀀𒉡𒌝|da-a-a-nam|dayyānam|𒁕𒀀𒀀𒉆	<i>noun</i><br><ol><li>judge</li></ol>
dayyānī|𒁕𒀀𒀀𒉌|da-a-a-ni	<i>noun</i><br><ol><li>accusative and genitive plural of dayyānum</li></ol>
dišpum|dišip	<i>noun</i><br><ol><li>honey</li><li>(date) syrup</li></ol>
dāmum|dāmū|dām|dāmi	<i>noun</i><br><ol><li>blood</li><li>(Standard Babylonian) lineage</li><li>red wine</li></ol>
dārum|state dār|dāri|dārū|dār	<i>noun</i><br><ol><li>(rare) perpetuity, continuum, permanence</li><li>generation, lifetime (60~70 years, the life span of a human being)</li></ol>
dīnum|dīni|di-nu-um|dīn|dīnim|𒁲𒉏|dīnātum|di-nim|𒁲𒉡𒌝	<i>noun</i><br><ol><li>(law) decision, judgment, verdict</li><li>(law) case, lawsuit, claim, hearing</li><li>(law) law, article of law</li></ol>
dūrum|dūrānū|dūri|dūr	<i>noun</i><br><ol><li>city wall, fortification wall</li></ol>
ebbūbum|ebbūbū	<i>noun</i><br><ol><li>flute, pipe</li></ol>
edēšum|iddiš|𒉌𒁲𒅖|nītediš|𒋼𒀉𒁲𒅖|𒀉𒁲𒅖|ītediš|tētediš|𒋼𒋼𒀉𒅆|tētedšī|𒄿𒋼𒁲𒅖|𒋼𒁲𒊭|ētediš|īdišā|lūdiš|𒋼𒋼𒁲𒅖|tēdišā|𒂊𒋼𒁲𒅖|𒋼𒁲𒅖|iddišā|𒋼𒋼𒀉𒊭|𒄿𒁲𒅖|ēdiš|𒀉𒁲𒋗|līdišū|tētedšā|𒀉𒁲𒊭|edšā|līdiš|īdišū|𒂊𒀉𒋗𒌝|𒄿𒁲𒋗|𒄿𒋼𒀉𒊭|𒋼𒁲𒅆|𒄿𒁲𒊭|𒂊𒁲𒅖|𒂊𒀉𒅆|īdiš|iddišū|ediš|eddiš|𒇻𒁲𒅖|ītedšā|edšum|edšī|nīdiš|𒋼𒀉𒁲𒅆|𒇷𒁲𒊭|ēdišum|ītedšū|teddiš|niddiš|līdišā|𒂊𒁲𒋗𒌝|teddišī|𒋼𒀉𒁲𒊭|tēdiš|𒄿𒉌𒁲𒅖|𒂊𒀉𒊭|𒉌𒀉𒁲𒅖|𒇷𒁲𒅖|i nīdiš|tēdišī|teddišā|𒇷𒁲𒋗|𒄿𒋼𒀉𒋗|𒉌𒋼𒁲𒅖|𒂊𒀉𒁲𒅖	<i>verb</i><br><ol><li>to be new, fresh, renewed</li></ol>
egertu|egerātu	<i>noun</i><br><ol><li>letter</li><li>tablet</li></ol>
eleppum|eleppētum|elep|eleppa	<i>noun</i><br><ol><li>ship, boat</li></ol>
eli|e-li|form elī|𒂊𒇷	<i>prep</i><br><ol><li>on, above, over, upon</li><li>towards</li><li>against</li><li>beyond, more than</li></ol>
eliš	<i>adv</i><br><ol><li>up, on top, on high</li><li>upward, upstream</li><li>in addition, in excess</li><li>outwardly, loudly</li></ol>
ellum|elletum|ellētum|ellūtum	<i>adj</i><br><ol><li>clean, pure, holy</li><li>free (as social class)</li></ol><br><i>noun</i><br><ol><li>sesame oil of a specific quality, a good sesame oil</li></ol>
elum	<i>noun</i><br><ol><li>(Old Babylonian, Standard Babylonian, rare) top, upper side</li></ol>
elûm|eliātum|īli|illi|elûtum|elītum|eli|īteli	<i>adj</i><br><ol><li>upper</li><li>tall, high</li><li>exalted, proud</li></ol><br><i>verb</i><br><ol><li>to be high, raised up</li><li>to go up, ascend, move upwards</li><li>to come up, arrive</li><li>(mathematics) to be the result</li></ol>
elēpum|𒋼𒇷𒁉|𒂊𒂖𒁉|𒋼𒋼𒇷𒅁|𒂊𒇷𒅁|𒋼𒇷𒉺|illipū|ītelpā|elpum|𒅋𒇷𒉺|𒋼𒇷𒅁|ētelip|𒋼𒋼𒂖𒉺|ītelip|𒇷𒇷𒅁|elip|illip|tellipā|illipā|𒂊𒂖𒁍𒌝|𒋼𒋼𒂖𒁉|tētelpī|i nīlip|𒄿𒋼𒂖𒁍|elpā|𒂊𒇷𒁍𒌝|nīlip|ītelpū|𒄿𒋼𒂖𒉺|𒋼𒂖𒇷𒅁|ellip|𒄿𒋼𒇷𒅁|𒂊𒂖𒉺|tētelip|𒅋𒇷𒁍|𒇷𒇷𒉺|𒇷𒇷𒁍|līlipū|𒄿𒉌𒇷𒅁|𒂊𒋼𒇷𒅁|ēlipum|elpī|īlip|𒉌𒇷𒅁|līlipā|𒄿𒇷𒅁|tēlipā|𒄿𒇷𒉺|īlipā|𒋼𒂖𒇷𒉺|𒇻𒇷𒅁|tellipī|𒂊𒂖𒇷𒅁|tētelpā|𒅋𒇷𒅁|nītelip|īlipū|𒄿𒇷𒁍|tellip|𒉌𒋼𒇷𒅁|ēlip|tēlip|tēlipī|lūlip|nillip|𒉌𒅋𒇷𒅁|līlip|𒋼𒂖𒇷𒁉	<i>verb</i><br><ol><li>to sprout, grow</li></ol>
emūqum|emūqān|emūqātum|emūqū	<i>noun</i><br><ol><li>strength, power, force, ability</li><li>armed forces</li><li>value</li></ol>
enzu	<i>noun</i><br><ol><li>Non-mimated form of enzum</li></ol>
enzum|enzētum	<i>noun</i><br><ol><li>she-goat</li><li>goat (as a generic term)</li><li>(astronomy) Lyra (constellation)</li></ol>
eperum|eperū	<i>noun</i><br><ol><li>dust</li><li>soil, earth (for building work)</li></ol>
epûm|epûtum|ītepi|epiātum|īpi|ippi|epītum|epi	<i>adj</i><br><ol><li>baked</li></ol><br><i>verb</i><br><ol><li>to bake</li></ol>
epēšum|ītepeš|epuš|īpuš|ītepuš|ippeš|ippuš	<i>verb</i><br><ol><li>(intransitive) to act, behave, procede, be(come) active</li><li>(transitive) to do, make, build, manufacture</li><li>(transitive) to do, carry out, excercise (a function), used mainly in idiomatic phrases.</li></ol>
eqlum|eqlētum|eqel	<i>noun</i><br><ol><li>field, cultivated field</li><li>terrain, land, region</li></ol>
erbet|free form erbûm|erbe|erba|free form erbettum	<i>num</i><br><ol><li>four, 4</li></ol>
erbum|erbû|erib|erebum	<i>noun</i><br><ol><li>locust</li></ol>
ergilum|irgilum|ergilū	<i>noun</i><br><ol><li>a type of locust</li></ol>
errēšum|errēšū	<i>noun</i><br><ol><li>cultivator, tenant farmer</li></ol>
erēšum|irrišā|𒂊𒅕𒊭|𒄿𒋼𒅕𒋗|𒋼𒊑𒅆|𒋼𒅕𒊑𒊭|𒇷𒊑𒅖|eršā|īteršā|līrišā|𒅕𒊑𒋗|tērišī|𒂊𒊑𒋗𒌝|tēteršī|𒇻𒊑𒅖|𒋼𒅕𒊑𒅆|terrišā|𒂊𒅕𒊑𒅖|𒂊𒊑𒅖|ērišum|īteriš|irrišū|līriš|𒂊𒅕𒅆|ēteriš|𒋼𒊑𒊭|līrišū|tēteriš|eršī|𒂊𒅕𒋗𒌝|eršum|irriš|𒋼𒋼𒊑𒅖|𒅕𒊑𒅖|𒇷𒊑𒋗|𒄿𒊑𒋗|𒇷𒊑𒊭|𒄿𒋼𒅕𒊭|tērišā|𒅕𒊑𒊭|nīteriš|𒄿𒋼𒊑𒅖|īrišū|𒋼𒋼𒅕𒅆|𒄿𒊑𒅖|𒋼𒋼𒅕𒊭|īrišā|nirriš|īteršū|𒋼𒊑𒅖|lūriš|𒋼𒅕𒊑𒅖|nīriš|īriš|eriš|𒂊𒋼𒊑𒅖|tēteršā|𒉌𒊑𒅖|tēriš|erriš|ēriš|𒉌𒋼𒊑𒅖|i nīriš|terriš|𒄿𒊑𒊭|𒉌𒅕𒊑𒅖|𒄿𒉌𒊑𒅖|terrišī	<i>verb</i><br><ol><li>to sow, plant, plough and seed</li><li>to cultivate (a field)</li></ol>
eršum|eršētum|ereš	<i>noun</i><br><ol><li>bed</li></ol>
erṣetum|𒂊𒅕𒍢𒀉|erṣetān|𒂊𒅕𒍢𒋫𒀭|erṣetīn|𒂊𒅕𒍢𒁴|𒅕𒍢𒂊𒌈|er-ṣe-e-tum|𒂊𒅕𒍢𒋾𒅔|erṣet|erṣētum|𒂊𒅕𒍢𒌓|erṣetim|erṣētim|erṣetam|𒂊𒅕𒍢𒌈	<i>noun</i><br><ol><li>earth, land</li><li>underworld</li><li>ground</li><li>territory</li></ol>
esēpum|tēsipī|𒇷𒋛𒅁|𒄿𒉌𒋛𒅁|tēsipā|tētesip|𒄿𒋼𒄑𒉺|𒉌𒋼𒋛𒅁|𒉌𒋛𒅁|𒋼𒋼𒋛𒅁|nītesip|𒋼𒋛𒁉|espī|𒋼𒋛𒉺|issipū|𒋼𒋼𒄑𒉺|īsipū|issipā|ēsip|𒄑𒋛𒅁|𒇻𒋛𒅁|īsip|tessip|𒋼𒋼𒄑𒁉|tētespī|𒄿𒋼𒋛𒅁|nissip|𒂊𒄑𒉺|tētespā|espā|𒄿𒋼𒄑𒁍|𒂊𒋛𒅁|i nīsip|𒇷𒋛𒁍|ētesip|ītespū|ēsipum|līsipū|𒋼𒄑𒋛𒉺|tessipā|𒇷𒋛𒉺|𒋼𒋛𒅁|līsip|𒂊𒄑𒋛𒅁|𒄿𒋛𒅁|essip|tēsip|nīsip|𒂊𒄑𒁉|līsipā|ītesip|ītespā|lūsip|issip|𒋼𒄑𒋛𒁉|𒉌𒄑𒋛𒅁|tessipī|𒂊𒋼𒋛𒅁|𒄑𒋛𒁍|espum|esip|𒂊𒋛𒁍𒌝|𒄿𒋛𒉺|𒋼𒄑𒋛𒅁|īsipā|𒄑𒋛𒉺|𒂊𒄑𒁍𒌝|𒄿𒋛𒁍	<i>verb</i><br><ol><li>to gather up, collect, scrape together, decant</li></ol>
ezēbum|ēzib|𒋼𒋼𒄑𒁀|𒄿𒋼𒄑𒁀|ītezbā|tezzibā|ītezbū|ezbum|𒋼𒍣𒁉|īzibā|nizzib|𒇷𒍣𒁍|tētezbī|𒋼𒄑𒍣𒁉|līzibū|𒄑𒍣𒁀|𒋼𒋼𒄑𒁉|𒇻𒍣𒅁|𒄿𒋼𒄑𒁍|nītezib|𒋼𒍣𒅁|𒄑𒍣𒁍|īzibū|nīzib|𒄿𒋼𒍣𒅁|𒄿𒍣𒁍|līzib|tētezbā|tezzibī|𒂊𒍣𒅁|ezzib|𒋼𒍣𒁀|izzibā|lūzib|𒂊𒄑𒁉|i nīzib|𒂊𒄑𒍣𒅁|ezbā|izzib|tēzib|𒄑𒍣𒅁|𒉌𒋼𒍣𒅁|izzibū|𒂊𒋼𒍣𒅁|𒄿𒉌𒍣𒅁|𒉌𒄑𒍣𒅁|līzibā|ētezib|𒄿𒍣𒁀|𒄿𒍣𒅁|tezzib|tēzibā|𒋼𒋼𒍣𒅁|tēzibī|𒉌𒍣𒅁|𒋼𒄑𒍣𒁀|𒂊𒄑𒁀|𒂊𒍣𒁍𒌝|īzib|ītezib|𒋼𒄑𒍣𒅁|tētezib|ezbī|𒇷𒍣𒅁|ezib|𒂊𒄑𒁍𒌝|𒇷𒍣𒁀|ēzibum	<i>verb</i><br><ol><li>to abandon, neglect</li><li>to divorce</li><li>to entrust, leave (with someone)</li><li>to lend money</li><li>to make out (legal documents)</li></ol>
ešeret|ešer|ešrum|free form ešerum|free form ešertum	<i>num</i><br><ol><li>ten, 10</li></ol>
eššum|eššetum|edištum|eššātum|eššūtum	<i>adj</i><br><ol><li>new, fresh</li></ol>
eṣemtum|𒂊𒍢𒅎𒌈|𒂊𒄑𒈨𒌈|𒂊𒍢𒅎𒋾|𒂊𒍢𒅎𒋫𒀭|𒂊𒍢𒅎𒋾𒅔|𒂊𒄑𒈨𒁴|eṣmētim|eṣemti|eṣemtam|eṣemtīn|eṣmētum|𒂊𒍢𒅎𒁴|eṣemtān|𒂊𒍢𒅎𒌓|eṣemtim	<i>noun</i><br><ol><li>bone</li><li>frame of the body, skeleton</li></ol>
eṭlum|eṭlūtum	<i>noun</i><br><ol><li>young man, youth</li></ol>
gallûm|gallû	<i>noun</i><br><ol><li>gallu demon</li></ol>
gammalu|gammalû	<i>noun</i><br><ol><li>camel</li></ol>
gamārum|nigtamar|𒇷𒅅𒈬𒌨|𒋫𒂵𒄠𒈠𒊏|igmurā|tagmurā|i nigmur|gumrī|𒋫𒀝𒈬𒌨|agtamar|𒉌𒅅𒋫𒈠𒅈|𒋫𒀝𒌓𒊑|𒉌𒂵𒄠𒈠𒅈|𒄿𒉌𒅅𒈬𒌨|𒇷𒅅𒈬𒊏|𒀀𒀝𒋫𒈠𒅈|igammarā|agammar|tagmur|gamrum|nigammar|𒀀𒂵𒄠𒈠𒅈|tagtamrā|𒅅𒌓𒊏|igtamar|𒂵𒈠𒊒𒌝|𒄖𒈬𒌨|tagmurī|𒄿𒂵𒄠𒈠𒅈|tagammarā|nigmur|𒅅𒌓𒊒|𒅅𒈬𒌨|lugmur|𒋫𒀝𒈬𒊏|gumrā|igtamrā|𒉌𒅅𒈬𒌨|agmur|𒄿𒂵𒄠𒈠𒊏|igammarū|𒋫𒀝𒌓𒊏|ligmurā|𒄿𒂵𒄠𒈠𒊒|𒋫𒀝𒈬𒊑|𒅅𒈬𒊒|gāmirum|𒂵𒈪𒊒𒌝|𒄖𒌝𒊑|igmur|igammar|𒋫𒂵𒄠𒈠𒊑|igtamrū|tagtamrī|𒋫𒀝𒋫𒈠𒅈|tagammar|igmurū|𒀀𒀝𒈬𒌨|ligmurū|𒅅𒈬𒊏|tagammarī|𒂵𒄠𒊒𒌝|𒇷𒅅𒈬𒊒|𒇻𒊌𒈬𒌨|ligmur|tagtamar|𒋫𒂵𒄠𒈠𒅈|𒅅𒋫𒈠𒅈|𒄖𒌝𒊏|gumur	<i>noun</i><br><ol><li>completeness, finality</li><li>end</li></ol><br><i>verb</i><br><ol><li>to bring to an end, annihilate</li><li>to use up</li><li>to encompass, control</li><li>(ina with infinitive) to finish (doing something)</li><li>to come to an end</li><li>(in hendiadys) to do something completely</li></ol>
gigurû	<i>noun</i><br><ol><li>name of the cuneiform sign 𒌋 (Winkelhaken)</li></ol>
gišimmarum|gišimmarātum	<i>noun</i><br><ol><li>date palm</li></ol>
gulgullu	<i>noun</i><br><ol><li>Non-mimated form of gulgullum</li></ol>
gulgullum|gulgullū|gulgullātum|gulgul	<i>noun</i><br><ol><li>skull</li><li>(Neo-Babylonian) container shaped like a human skull</li></ol>
guḫlum	<i>noun</i><br><ol><li>kohl, antimony paste (used as eye paint)</li></ol>
gūdu|gūdānu	<i>noun</i><br><ol><li>leather bag, waterskin</li></ol>
gūrum	<i>noun</i><br><ol><li>foliage/leaves of reed and papyrus plants</li></ol>
idum|idū|idi|idān|idātum	<i>noun</i><br><ol><li>arm</li><li>side, edge, border</li><li>handle of an instrument</li><li>(measurement) span, fathom</li><li>bracelet</li><li>wing</li><li>strength</li></ol>
idīnum	<i>noun</i><br><ol><li>(Standard Babylonian) desert, steppe, plain</li><li>(Old Assyrian) meaning unclear</li></ol>
igārum|igārū|igārātum	<i>noun</i><br><ol><li>wall (of a building, house, garden)</li><li>side of a ship</li></ol>
ikkarum|ikkarātum	<i>noun</i><br><ol><li>farmer, ploughman</li></ol>
ilkum|ilkātum|ilkū|ilik	<i>noun</i><br><ol><li>ilkum-service, i.e. work or service performed for the state or king, generally on a field or garden, by someone who has received the land in tenure</li><li>part of the harvest of the land as payment</li><li>the ilkum field itself</li><li>the holder of the ilkum field</li></ol>
iltum|iltim|ilātim|𒄿𒆷𒀜|𒅋𒋫𒀭|𒅋𒌓|𒄿𒆷𒌈|ilat|𒅋𒁴|iltam|iltīn|𒅋𒌈|𒅋𒋾𒅔|iltān|ilātum|𒄿𒆷𒁴	<i>noun</i><br><ol><li>goddess</li></ol>
ilum|ilīn|il|ilān|𒄿𒅆|𒅋|ilānū|i-lum|ilu|ilū|ilim|𒄿𒇴|ilam|𒄿𒇷𒅔|𒄿𒆷𒀭|𒄿𒇷|𒄿𒇻|𒄿𒈝|i-lu|ilī	<i>noun</i><br><ol><li>god, deity</li></ol>
immerum|immerū|immerātum	<i>noun</i><br><ol><li>sheep, ram</li></ol>
imnum	<i>noun</i><br><ol><li>right side</li><li>right hand</li></ol>
imērum|imērū	<i>noun</i><br><ol><li>donkey</li><li>homer ( a unity of capacity equal to 12 or 18 sūtum (“seah”))</li></ol>
ina|𒅔|i-na|in|𒄿𒈾	<i>prep</i><br><ol><li>(place) in, on, onto</li><li>(time) on, at</li><li>(time) during</li><li>among</li><li>from, out of</li><li>(instrumental) with, by means of</li><li>(material) of, out of, with</li><li>(causal) because of, as a result of</li><li>(with subjunctive) so long as</li></ol>
inanna	<i>adv</i><br><ol><li>now, just now, nowadays</li></ol>
inbum|inbū|inib	<i>noun</i><br><ol><li>fruit, flower</li><li>fruit tree</li><li>offspring, child</li><li>sexual attractiveness and power, sex appeal</li></ol>
inūma	<i>prep</i><br><ol><li>at the time of</li></ol><br><i>conj</i><br><ol><li>when, after, while</li></ol>
inūmīšu	<i>adv</i><br><ol><li>in those days, at that time, then</li></ol>
itti|it-ti|𒀉𒋾	<i>prep</i><br><ol><li>with</li><li>(to receive, buy, etc.) from</li></ol>
išarum|išarū	<i>noun</i><br><ol><li>(anatomy) penis, phallus</li></ol>
išdum|išdātum|išid|išdān	<i>noun</i><br><ol><li>base, foundation, bottom</li><li>(of persons) discipline</li><li>lower extremities</li><li>administration, organization of a government</li></ol>
ištu	<i>prep</i><br><ol><li>(place) from, out of</li><li>(place) down from</li><li>(time) since, after</li></ol><br><i>conj</i><br><ol><li>(time) since, after</li><li>(time) when, as soon as</li><li>(causal) since, because</li></ol>
ištānum|Neo-Assyrian	<i>noun</i><br><ol><li>north</li><li>north wind</li></ol>
ištēn|free form ištētum|free form ištēnum|išteat|ištēt	<i>num</i><br><ol><li>one, 1</li><li>a, an (indefinite article), single, individual, each</li></ol>
išātum|išātātum	<i>noun</i><br><ol><li>fire</li></ol>
iṣum|iṣṣū|iṣi	<i>noun</i><br><ol><li>tree</li><li>wood, lumber, timber</li></ol>
iṣṣūrum|iṣṣūrū|iṣṣūrātum	<i>noun</i><br><ol><li>bird</li><li>poultry</li><li>(extispicy) a part of the liver</li></ol>
kabattum	<i>noun</i><br><ol><li>innards</li><li>liver</li><li>(transferred sense) mood, temper, humour, mind, intention (used in parallelism with 𒊮 (libbum))</li></ol>
kabsum|Neo-Assyrian|Neo-Babylonian|kabsū	<i>noun</i><br><ol><li>young male sheep</li></ol>
kabtum|kabtātum|kabtūtum|kabittum	<i>adj</i><br><ol><li>heavy, dense, abundant, substantial</li><li>severe, serious, dangerous</li><li>honoured, important, influential, venerable</li><li>(nominalised) important person, VIP</li></ol>
kabātum|aktabit|taktabtā|takbitā|𒄿𒅗𒀊𒁉𒋫|𒋫𒅗𒀊𒁉𒋫|𒋫𒀝𒋫𒁉𒀉|kibit|𒅗𒁉𒌈|𒀀𒀝𒁉𒀉|𒋫𒅗𒀊𒁉𒋾|taktabtī|nikbit|i nikbit|𒅗𒀊𒌈|𒋫𒀝𒁉𒋫|𒇷𒅅𒁉𒋫|ikbitā|iktabit|𒋫𒀝𒁉𒀉|kibtā|takabbitā|nikabbit|akabbit|takbit|kibtī|𒅅𒋫𒁉𒀉|kābitum|likbitū|𒅅𒋫𒀊𒌅|iktabtā|𒉌𒅅𒁉𒀉|𒋫𒀝𒋫𒀊𒋫|𒇷𒅅𒁉𒌅|lukbit|ikabbit|ikbit|taktabit|𒋫𒀝𒁉𒋾|𒅅𒁉𒀉|𒅅𒁉𒌅|𒅗𒁀𒌈|ikabbitā|takabbitī|niktabit|𒀀𒅗𒀊𒁉𒀉|𒄿𒅗𒀊𒁉𒀉|𒄿𒅗𒀊𒁉𒌅|likbit|𒉌𒅗𒀊𒁉𒀉|𒇻𒊌𒁉𒀉|iktabtū|𒄿𒉌𒅅𒁉𒀉|𒅅𒋫𒀊𒋫|𒀀𒀝𒋫𒁉𒀉|𒆠𒅁𒋾|takabbit|𒉌𒅅𒋫𒁉𒀉|𒆠𒅁𒋫|𒅅𒁉𒋫|ikbitū|takbitī|𒋫𒀝𒋫𒀊𒋾|𒇷𒅅𒁉𒀉|kabtum|akbit|𒋫𒅗𒀊𒁉𒀉|𒆠𒁉𒀉|ikabbitū|likbitā	<i>verb</i><br><ol><li>to be/become heavy, fat</li><li>to be/become important, honoured</li><li>to be/become difficult, painful</li></ol>
kakkabum|kakkabū	<i>noun</i><br><ol><li>star</li><li>meteor, falling star</li><li>star-shaped object/formation</li></ol>
kakkum|kak|kakkū|kakka|kakki	<i>noun</i><br><ol><li>weapon</li><li>(extispicy) a distinctive and portentive mark on the liver</li></ol>
kalbu	<i>noun</i><br><ol><li>Non-mimated form of kalbum</li></ol>
kalbum|kalbatum|kalab|kalbū	<i>noun</i><br><ol><li>dog</li><li>dog figurine</li><li>(astronomy, with determinative 𒀯) Hercules (the constellation)</li></ol>
kalûm|kalî|kalâ|kalû|kal|kala|kali	<i>noun</i><br><ol><li>all, totality, entirety, whole</li></ol>
kandum|kandānu	<i>noun</i><br><ol><li>(Neo-Babylonian) a kandu jar, a container of earthenware or silver, mainly for wine</li></ol>
kankum|kankūtum|kankū|kaniktum|kankātum	<i>adj</i><br><ol><li>verbal adjective of kanākum: sealed, under seal</li></ol><br><i>noun</i><br><ol><li>seal</li><li>sealed document</li></ol>
