Ala	<i>name</i><br><ol><li>God</li></ol>
kàtuguni	<i>conj</i><br><ol><li>because</li></ol>
kába	<i>noun</i><br><ol><li>stone, rock</li></ol>
kálo	<i>noun</i><br><ol><li>month</li></ol>
kènde	<i>noun</i><br><ol><li>sorghum</li></ol>
kòlon	<i>noun</i><br><ol><li>cowry (formerly used as money)</li><li>divination using cowry shells</li><li>mortar (tool for grinding)</li></ol>
kòlonkala	<i>noun</i><br><ol><li>pestle</li></ol>
kólon	<i>adj</i><br><ol><li>used, worn</li><li>useless</li><li>bad, violent</li><li>empty</li><li>naked</li></ol>
kósɔ̀n	<i>postp</i><br><ol><li>due to, because of, for</li></ol>
kóya	<i>noun</i><br><ol><li>Manilkara</li></ol>
kùntigi	<i>noun</i><br><ol><li>chief, leader, superior</li></ol>
kɔli	<i>noun</i><br><ol><li>misery</li></ol>
kɔlɔ	<i>noun</i><br><ol><li>A kind of nut (esp. shea nut).</li></ol>
kɔlɛ	<i>noun</i><br><ol><li>race (contest)</li></ol>
kɔnɔ|kɔ́nɔ	<i>noun</i><br><ol><li>stomach</li></ol><br><i>postp</i><br><ol><li>inside</li><li>during, for (an amount of time)</li></ol>
kɔra	<i>noun</i><br><ol><li>kora, traditional 21 stringed harp played by griots</li></ol>
kɔrɔ	<i>noun</i><br><ol><li>meaning</li></ol><br><i>postp</i><br><ol><li>under</li></ol>
kɔrɔmuso	<i>noun</i><br><ol><li>older sister</li></ol>
kɔɔri	<i>noun</i><br><ol><li>cotton, Gossypium hirsutum</li></ol>
kɔ̀gɔji	<i>noun</i><br><ol><li>sea, ocean</li></ol>
kɔ̀gɔjida	<i>noun</i><br><ol><li>coast, shore</li></ol>
kɔ̀nɔ	<i>noun</i><br><ol><li>bird</li></ol>
kɔ̀nɔntɔn	<i>num</i><br><ol><li>nine</li></ol>
kɔ̀rɔ	<i>noun</i><br><ol><li>older brother</li></ol>
kɔ́kàn	<i>postp</i><br><ol><li>from outside</li><li>from the other side of, from across</li></ol>
kɔ́ra	<i>noun</i><br><ol><li>kora, harp-lute</li></ol>
kɔ́rɔn	<i>noun</i><br><ol><li>east</li></ol>
kɛ	<i>verb</i><br><ol><li>(Transitive) to do</li><li>to put</li><li>(Intransitive) to happen</li><li>to spend (time)</li><li>to become</li></ol>
kɛlɛ	<i>noun</i><br><ol><li>quarrel</li><li>fight, combat, battle, war</li></ol><br><i>verb</i><br><ol><li>to combat, fight, battle</li></ol>
kɛlɛbolo	<i>noun</i><br><ol><li>army</li></ol>
kɛn	<i>noun</i><br><ol><li>fat</li></ol>
kɛnɛ	<i>noun</i><br><ol><li>light</li></ol>
kɛnɛba	<i>noun</i><br><ol><li>a plain</li></ol>
kɛnɛma	<i>adv</i><br><ol><li>outside, outdoors</li></ol>
kɛnɛya	<i>noun</i><br><ol><li>health</li></ol><br><i>verb</i><br><ol><li>(transitive) to heal</li></ol>
kɛnɛyali	<i>noun</i><br><ol><li>healing</li></ol>
kɛrɛ	<i>noun</i><br><ol><li>side</li></ol>
kɛɲɛ	<i>verb</i><br><ol><li>(transitive) to prevent</li><li>to compare</li><li>(intransitive) to fail</li></ol>
la	<i>postp</i><br><ol><li>postposition marking location</li></ol>
laada	<i>noun</i><br><ol><li>custom, tradition</li><li>menstruation, period</li></ol>
laadi	<i>verb</i><br><ol><li>(transitive) to advise, counsel</li></ol>
laadilikan	<i>noun</i><br><ol><li>advice</li></ol>
labalo	<i>verb</i><br><ol><li>(transitive) to feed</li></ol>
labɛnni	<i>noun</i><br><ol><li>preparation</li></ol>
ladamu	<i>verb</i><br><ol><li>raise to child</li></ol>
lajɛ	<i>verb</i><br><ol><li>(Transitive) to look at, watch</li><li>to try</li></ol>
lajɛba	<i>noun</i><br><ol><li>meeting</li></ol>
lajɛli	<i>noun</i><br><ol><li>meeting</li></ol>
lamini	<i>noun</i><br><ol><li>environs, surrounding area</li><li>frame</li></ol><br><i>verb</i><br><ol><li>(transitive) to surround</li></ol>
lankolon	<i>adj</i><br><ol><li>empty</li><li>naked</li></ol>
lasigiden	<i>noun</i><br><ol><li>representative</li><li>ambassador</li></ol>
lasɔmi	<i>verb</i><br><ol><li>(transitive) to warn</li></ol>
lábi	<i>verb</i><br><ol><li>to replace, substitute, relieve, take over for</li></ol>
lábilali	<i>noun</i><br><ol><li>permission</li><li>leave, authorization to leave</li><li>acquittal</li></ol>
lábìla	<i>verb</i><br><ol><li>to let go, give leave, send on paid leave</li><li>to permit, liberate</li></ol>
lábìn	<i>verb</i><br><ol><li>to cause to fall, turn over, overturn</li></ol>
lábònya	<i>verb</i><br><ol><li>to enlarge, make big</li><li>to exaggerate</li><li>to honor</li></ol>
lábɔ	<i>verb</i><br><ol><li>to make come out</li><li>to clean out</li><li>to invade, infiltrate, penetrate</li><li>to suite, agree, be convenient for, suffice</li><li>to aide, replace</li><li>to be tired</li></ol>
lábɛ̀n	<i>verb</i><br><ol><li>to prepare</li><li>to repair</li><li>to get dressed</li></ol>
lácɛ̀ɲɛ	<i>verb</i><br><ol><li>to embellish, make more beautiful</li></ol>
ládumuni	<i>verb</i><br><ol><li>(transitive, causative) to feed, give food</li></ol>
ládège	<i>verb</i><br><ol><li>to imitate, copy</li></ol>
lájɛ	<i>verb</i><br><ol><li>to look, examine</li><li>to try</li></ol>
lárawe	<i>verb</i><br><ol><li>to search, feel, grope</li><li>to undress</li><li>to examine (of a doctor)</li><li>to reprimand</li></ol>
lásà	<i>verb</i><br><ol><li>to cause to die</li><li>to extinguish</li><li>to prevent, hinder</li></ol>
ma	<i>noun</i><br><ol><li>sea cow</li></ol><br><i>verb</i><br><ol><li>(verbal auxiliary) marks an action which is not accomplished</li></ol>
maana	<i>noun</i><br><ol><li>story, explanation</li></ol>
mabɛn	<i>noun</i><br><ol><li>arrangement</li><li>grammar</li></ol>
mago	<i>noun</i><br><ol><li>need</li></ol>
majamu	<i>verb</i><br><ol><li>(transitive) to praise</li></ol>
makari	<i>noun</i><br><ol><li>mercy</li></ol>
makɔnɔ	<i>verb</i><br><ol><li>(transitive) to wait for</li></ol>
manje	<i>noun</i><br><ol><li>papaya</li></ol>
mansa	<i>noun</i><br><ol><li>parent, ancestor</li></ol>
mara	<i>noun</i><br><ol><li>guard</li><li>region, province</li><li>(administrative division) circle</li><li>savings, reserves</li><li>kingdom</li></ol><br><i>verb</i><br><ol><li>(transitive) to guard, keep, take care of</li><li>to manage, govern</li><li>to keep, raise (poultry)</li></ol>
marali	<i>noun</i><br><ol><li>protection</li><li>colonisation</li></ol>
marifa	<i>noun</i><br><ol><li>gun</li></ol>
masa	<i>noun</i><br><ol><li>king</li></ol>
masaden	<i>noun</i><br><ol><li>prince</li></ol>
masaku	<i>noun</i><br><ol><li>sweet potato</li></ol>
masaya	<i>noun</i><br><ol><li>kingdom</li></ol>
mburu	<i>noun</i><br><ol><li>bread</li></ol>
minisiriɲɛmɔgɔ	<i>noun</i><br><ol><li>prime minister</li></ol>
minkɛ	<i>conj</i><br><ol><li>when</li></ol>
misali	<i>noun</i><br><ol><li>example</li></ol>
misi	<i>noun</i><br><ol><li>cow</li></ol>
misidaba	<i>noun</i><br><ol><li>ox-plow</li></ol>
mpan	<i>noun</i><br><ol><li>sword</li></ol>
munna	<i>adv</i><br><ol><li>why?</li></ol>
muso	<i>noun</i><br><ol><li>woman</li><li>wife</li></ol>
màli	<i>noun</i><br><ol><li>hippopotamus</li></ol>
màra	<i>noun</i><br><ol><li>region, province, kingdom</li></ol>
màsa	<i>noun</i><br><ol><li>king, chief</li></ol>
mìn	<i>verb</i><br><ol><li>to drink, absorb</li><li>to suck, nurse</li><li>to smoke</li><li>to kiss</li><li>to quench one's thirst</li><li>to be courageous</li></ol>
mùgan	<i>num</i><br><ol><li>twenty</li></ol>
mɔgɔ|mɔgɔw|mɔ̀gɔ	<i>noun</i><br><ol><li>person, man</li><li>someone</li></ol>
mɔgɔkɔrɔba	<i>noun</i><br><ol><li>adult</li></ol>
mɛn	<i>verb</i><br><ol><li>to hear</li><li>to understand</li></ol>
n	<i>pron</i><br><ol><li>I</li></ol>
na|nana	<i>noun</i><br><ol><li>stew</li></ol><br><i>particle</i><br><ol><li>auxiliary marker for future tense</li></ol>
nafolo|nafolow	<i>noun</i><br><ol><li>riches, wealth, treasure</li></ol>
naji	<i>noun</i><br><ol><li>sauce, soup</li></ol>
nakɔ	<i>noun</i><br><ol><li>garden, plot of land for growing vegetables</li></ol>
namasa	<i>noun</i><br><ol><li>banana</li></ol>
nanbara	<i>noun</i><br><ol><li>dishonesty, injustice</li></ol>
nbuuru	<i>noun</i><br><ol><li>bread</li></ol>
nbuurufunun	<i>noun</i><br><ol><li>yeast</li></ol>
ncɔgɔn	<i>noun</i><br><ol><li>yam</li></ol>
ndoro	<i>noun</i><br><ol><li>dough, paste</li></ol>
nfirinfirin	<i>noun</i><br><ol><li>butterfly</li></ol>
ngɔn	<i>noun</i><br><ol><li>baboon</li></ol>
ngɔni	<i>noun</i><br><ol><li>ngoni, a traditional lute played by griots</li></ol>
ngɔnɔ	<i>noun</i><br><ol><li>dew</li></ol>
ni	<i>noun</i><br><ol><li>soul, life, spirit</li></ol><br><i>conj</i><br><ol><li>if</li><li>when</li></ol>
ninnu	<i>adj</i><br><ol><li>these</li></ol>
nka	<i>conj</i><br><ol><li>but</li></ol>
nkolonnin	<i>noun</i><br><ol><li>antelope</li></ol>
nkɔli	<i>noun</i><br><ol><li>(anatomy) The hind leg of a grasshopper.</li></ol>
nkɔsɔn	<i>noun</i><br><ol><li>scorpion</li></ol>
nkɔyɔ	<i>noun</i><br><ol><li>bitter tomato, african eggplant, Solanum aethiopicum</li></ol>
nkɛɛrɛn	<i>noun</i><br><ol><li>cricket</li></ol>
npan	<i>noun</i><br><ol><li>sword</li></ol>
npogotigi|npògotigi	<i>noun</i><br><ol><li>young girl, virgin</li></ol>
npògo	<i>noun</i><br><ol><li>female underwear, a garment which covers the pudendum muliebre</li></ol>
nsana	<i>noun</i><br><ol><li>proverb</li></ol>
nsaransaranin	<i>noun</i><br><ol><li>small fish</li></ol>
nsiranɛgɛ|nsìranɛgɛ	<i>noun</i><br><ol><li>bronze</li></ol>
nsáajɛ	<i>noun</i><br><ol><li>Vachellia seyal (gum arabic tree, shittim wood, thirty thorn, whistling tree)</li></ol>
nsɛrɛ	<i>noun</i><br><ol><li>watermelon</li></ol>
ntilen	<i>noun</i><br><ol><li>giraffe</li></ol>
ntomi	<i>noun</i><br><ol><li>(botany) tamarind (Tamarindus indica)</li></ol>
ntori	<i>noun</i><br><ol><li>frog, toad</li></ol>
ntura	<i>noun</i><br><ol><li>bull</li></ol>
ntɔn	<i>noun</i><br><ol><li>cricket</li></ol>
nugu	<i>noun</i><br><ol><li>(anatomy) intestine</li></ol>
numu	<i>noun</i><br><ol><li>blacksmith</li></ol>
nun|nún	<i>noun</i><br><ol><li>(anatomy) nose</li></ol>
nya	<i>noun</i><br><ol><li>(anatomy) eye</li></ol>
nàfa	<i>noun</i><br><ol><li>usefulness, importance</li></ol><br><i>verb</i><br><ol><li>(transitive) to be useful to</li></ol>
nàra	<i>noun</i><br><ol><li>sandy earth</li></ol>
nàsira	<i>noun</i><br><ol><li>means, way</li><li>path by which one comes</li></ol>
náamu	<i>noun</i><br><ol><li>turban of an Imam</li><li>rule, custom</li></ol>
náani	<i>num</i><br><ol><li>four</li></ol>
nákɔ	<i>noun</i><br><ol><li>garden</li></ol>
núnwo	<i>noun</i><br><ol><li>(Anatomy) nostril</li></ol>
nɔnɔ	<i>noun</i><br><ol><li>milk</li></ol>
nɔɔrɔ	<i>noun</i><br><ol><li>glory</li></ol>
nɔ́nɔ	<i>noun</i><br><ol><li>milk</li></ol>
nɛgɛ	<i>noun</i><br><ol><li>iron, metal</li></ol>
nɛgɛdaga	<i>noun</i><br><ol><li>iron cooking pot</li></ol>
nɛgɛso	<i>noun</i><br><ol><li>bicycle</li></ol>
nɛn	<i>noun</i><br><ol><li>tongue</li></ol>
nɛrɛ	<i>noun</i><br><ol><li>African locust bean (Parkia biglobosa)</li></ol>
nɛ́gɛn	<i>verb</i><br><ol><li>to delude, lure, flatter</li><li>to fool, trick</li></ol><br><i>noun</i><br><ol><li>flattery, deceit</li></ol>
nɛ́gɛnɛgɛ	<i>verb</i><br><ol><li>to taste</li></ol>
olu	<i>pron</i><br><ol><li>(emphatic) they, them</li></ol>
pan	<i>verb</i><br><ol><li>to fly</li><li>to jump</li></ol>
peresidan	<i>noun</i><br><ol><li>president</li></ol>
sabali	<i>noun</i><br><ol><li>patience</li><li>calm</li></ol>
sagasi	<i>noun</i><br><ol><li>wool</li></ol>
sama|sàmá	<i>noun</i><br><ol><li>gift</li><li>elephant</li></ol><br><i>verb</i><br><ol><li>to bring a gift (after a voyage)</li><li>to pull</li></ol>
samiya	<i>noun</i><br><ol><li>rainy season</li></ol>
sanfɛ|sánfɛ̀	<i>postp</i><br><ol><li>above, on</li></ol>
sanga|sánga	<i>noun</i><br><ol><li>mourning</li><li>time, moment</li><li>minute</li><li>success</li></ol>
sanji	<i>noun</i><br><ol><li>rain</li></ol>
sankolo	<i>noun</i><br><ol><li>sky</li></ol>
sanni	<i>noun</i><br><ol><li>shopping</li></ol>
sanpɛrɛn	<i>noun</i><br><ol><li>lightening</li></ol>
sara	<i>noun</i><br><ol><li>charm (object with magic powers)</li></ol>
saraka	<i>noun</i><br><ol><li>alms</li><li>sacrifice</li><li>remedy</li></ol>
sariya	<i>noun</i><br><ol><li>law, rule, ruling</li></ol>
saya	<i>noun</i><br><ol><li>death</li></ol>
saɲɔ|sàɲɔ	<i>noun</i><br><ol><li>pearl millet, Pennisetum glaucum</li></ol>
sebaaya	<i>noun</i><br><ol><li>power, means</li></ol>
sebe|sèbé	<i>noun</i><br><ol><li>African fan palm, Borassus aethiopum</li></ol>
seere	<i>noun</i><br><ol><li>witness</li></ol>
seko|sekoart	<i>noun</i><br><ol><li>as much as possible, the maximum</li></ol>
seleke	<i>noun</i><br><ol><li>angle</li><li>corner</li></ol>
senfɛ	<i>postp</i><br><ol><li>during, in the course of, while</li></ol>
senuma	<i>adj</i><br><ol><li>holy, sacred</li></ol>
shinye	<i>noun</i><br><ol><li>time</li></ol>
sigida	<i>noun</i><br><ol><li>district</li></ol>
sigiyɔrɔ	<i>noun</i><br><ol><li>residence, domicile</li></ol>
sini	<i>noun</i><br><ol><li>tomorrow</li><li>the future</li></ol>
sinin	<i>noun</i><br><ol><li>tomorrow</li></ol>
sira	<i>noun</i><br><ol><li>baobab</li></ol>
situlu	<i>noun</i><br><ol><li>shea butter</li></ol>
siya	<i>noun</i><br><ol><li>tribe, race, ethnic group</li></ol>
so	<i>noun</i><br><ol><li>horse</li><li>house, home</li></ol>
sogoba	<i>noun</i><br><ol><li>elephant</li></ol>
soso	<i>noun</i><br><ol><li>mosquito</li></ol>
sugandi	<i>verb</i><br><ol><li>(Transitive) to choose</li><li>to elect</li></ol>
sugandili	<i>noun</i><br><ol><li>election</li></ol>
sun	<i>noun</i><br><ol><li>trunk (of tree)</li><li>fasting (during the month of Ramadan)</li><li>to fast</li></ol>
suruku	<i>noun</i><br><ol><li>hyena</li></ol>
sàba	<i>num</i><br><ol><li>three</li></ol>
sàban	<i>noun</i><br><ol><li>Saba senegalensis</li></ol>
sába	<i>noun</i><br><ol><li>side (of people or animals)</li><li>flank</li></ol>
sábanan	<i>adj</i><br><ol><li>third</li></ol>
sán	<i>noun</i><br><ol><li>sky, heaven, above</li><li>rain</li><li>thunder, lightning</li></ol>
sánfin	<i>noun</i><br><ol><li>raincloud</li></ol>
sánfiɲɛ	<i>noun</i><br><ol><li>storm</li></ol>
sánfɛfɛn	<i>noun</i><br><ol><li>bird</li><li>anything in the air, on high, above</li></ol>
sánfɛla	<i>noun</i><br><ol><li>top</li></ol>
sèɡin	<i>num</i><br><ol><li>eight</li></ol>
sìgida	<i>noun</i><br><ol><li>locality, village</li><li>housing</li><li>situation of a place</li><li>group, category</li><li>part of a discourse, chapter of a book</li></ol>
sìgidolo	<i>noun</i><br><ol><li>Venus, the morning star</li></ol>
síran	<i>noun</i><br><ol><li>fear</li></ol><br><i>verb</i><br><ol><li>to fear, have fear, be scared of</li></ol>
sògo	<i>noun</i><br><ol><li>meat</li><li>game</li><li>flesh, body</li></ol>
sòku	<i>noun</i><br><ol><li>a bowed string instrument, similar to a violin</li></ol>
sòkɛ	<i>noun</i><br><ol><li>stallion</li></ol>
sójɔla	<i>noun</i><br><ol><li>mason, housebuilder</li></ol>
sùman	<i>noun</i><br><ol><li>harvest, subsistence crops</li><li>food, meal</li></ol>
sùmangosi	<i>noun</i><br><ol><li>threshing</li></ol>
sɔgɔma|sɔ̀gɔmà	<i>noun</i><br><ol><li>morning</li></ol>
sɔgɔsɔgɔ	<i>noun</i><br><ol><li>cough</li></ol>
sɔrɔdasi	<i>noun</i><br><ol><li>soldier</li></ol>
sɔsɔli	<i>noun</i><br><ol><li>argument, debate</li></ol>
sɔ̀mɔ	<i>noun</i><br><ol><li>cashew tree, Anacardium occidentale</li></ol>
sɔ̀ngɔ	<i>noun</i><br><ol><li>price, value</li></ol>
sɛ	<i>noun</i><br><ol><li>chicken, hen</li></ol>
sɛfan	<i>noun</i><br><ol><li>egg</li></ol>
sɛnɛ	<i>noun</i><br><ol><li>agriculture, farming</li></ol>
sɛsi	<i>noun</i><br><ol><li>chair</li></ol>
sɛ́bɛn	<i>verb</i><br><ol><li>(transitive) to write</li></ol><br><i>noun</i><br><ol><li>document, letter, paper</li><li>amulette</li></ol>
tiga|tìgá	<i>noun</i><br><ol><li>peanut</li></ol>
tigɛ	<i>verb</i><br><ol><li>(transitive) to break, cut</li><li>to harvest</li><li>to cross</li></ol>
tile|tìlé	<i>noun</i><br><ol><li>sun</li><li>day, daytime, the heat of the day</li><li>epoch, era</li></ol>
tilema	<i>noun</i><br><ol><li>dry season</li></ol>
to	<i>noun</i><br><ol><li>stiff porridge</li></ol>
tu	<i>noun</i><br><ol><li>forest; thicket</li></ol><br><i>verb</i><br><ol><li>to spit (out)</li></ol>
tufin	<i>noun</i><br><ol><li>Acacia ataxacantha (now Senegalia ataxacantha, flame thorn)</li><li>Acacia pennata (now Senegalia pennata subsp. pennata)</li></ol>
tun	<i>adv</i><br><ol><li>again</li></ol>
turu	<i>verb</i><br><ol><li>(transitive) to plant</li><li>to replant, transplant</li></ol>
tàafe	<i>noun</i><br><ol><li>loincloth</li></ol>
tàasi	<i>verb</i><br><ol><li>to reflect upon, consider</li></ol>
tàfo	<i>noun</i><br><ol><li>a type of charm, amulet, talisman, gri-gri</li></ol>
tàga	<i>noun</i><br><ol><li>molar</li></ol>
táa	<i>verb</i><br><ol><li>to go, leave</li><li>to carry off</li></ol><br><i>noun</i><br><ol><li>departure</li></ol>
táabaa	<i>noun</i><br><ol><li>one who goes, leaves</li><li>the deceased</li></ol>
táafan	<i>noun</i><br><ol><li>direction</li><li>sense</li></ol>
táala	<i>noun</i><br><ol><li>one who leaves</li></ol>
táalan	<i>noun</i><br><ol><li>that which makes (something) go, that which comes with</li><li>necessity</li><li>habit, tendency</li><li>condition</li></ol>
táaran	<i>noun</i><br><ol><li>gutter</li></ol>
tìɲɛ	<i>noun</i><br><ol><li>truth</li><li>reason</li></ol>
tùn	<i>verb</i><br><ol><li>Forms the imperfect tense</li><li>Forms the past perfect tense</li></ol>
túlo	<i>noun</i><br><ol><li>ear</li></ol>
tɔn	<i>noun</i><br><ol><li>nape (back part of the neck)</li></ol>
tɔ̀gɔ̀tɔ̀gɔ̀nin	<i>noun</i><br><ol><li>dysentery</li></ol>
tɛ	<i>verb</i><br><ol><li>there is not, it is not</li><li>not, (is) not</li></ol>
tɛmɛ	<i>noun</i><br><ol><li>sieve, screen</li><li>zebu bull</li><li>an oversight, omission, something forgotten</li></ol><br><i>verb</i><br><ol><li>to pass</li><li>to surpass, exceed</li></ol>
u	<i>pron</i><br><ol><li>they</li></ol>
wa	<i>particle</i><br><ol><li>final interrogative particle on a yes/no question</li></ol>
walima	<i>conj</i><br><ol><li>or</li></ol>
waraba	<i>noun</i><br><ol><li>lion</li></ol>
warijɛ	<i>noun</i><br><ol><li>silver</li></ol>
wele	<i>verb</i><br><ol><li>to call</li><li>to invite</li></ol>
woro	<i>noun</i><br><ol><li>thigh</li></ol>
wotoro	<i>noun</i><br><ol><li>cart, carriage</li></ol>
wula	<i>noun</i><br><ol><li>afternoon, between 2pm and sunset</li></ol>
wulu|wùlu	<i>noun</i><br><ol><li>dog</li></ol>
wòro	<i>noun</i><br><ol><li>kola nut</li></ol>
wólo	<i>noun</i><br><ol><li>procreation</li><li>family</li></ol><br><i>verb</i><br><ol><li>to give birth, deliver, engender</li><li>to form into an ear (of millet)</li><li>to be born</li><li>(transitive) to bring to the world (a child)</li><li>(transitive) to deliver (a child)</li></ol>
wólonwula	<i>num</i><br><ol><li>seven</li></ol>
wólonwulanan	<i>adj</i><br><ol><li>seventh</li></ol>
wɔlɔ	<i>noun</i><br><ol><li>partridge</li></ol>
wɔlɔsɔ|wɔ̀lɔsɔ	<i>noun</i><br><ol><li>sickle</li></ol>
wɔsiji	<i>noun</i><br><ol><li>sweat</li></ol>
wɔ́ɔrɔ	<i>num</i><br><ol><li>six</li></ol>
wɛrɛ	<i>adj</i><br><ol><li>another, different</li></ol><br><i>noun</i><br><ol><li>cow enclosure</li></ol>
yaani	<i>conj</i><br><ol><li>before</li></ol>
yaasa	<i>conj</i><br><ol><li>so that, in order that</li></ol>
yan	<i>adv</i><br><ol><li>here</li></ol>
ye	<i>postp</i><br><ol><li>at, towards</li><li>for</li><li>with</li></ol><br><i>verb</i><br><ol><li>(verbal auxiliary for transitive verbs) marks an action which is accomplished</li><li>(transitive) to see</li></ol>
yen	<i>adv</i><br><ol><li>there</li></ol>
yàfa	<i>noun</i><br><ol><li>forgiveness</li><li>amnesty</li></ol><br><i>verb</i><br><ol><li>(transitive) to forgive</li><li>(intransitive) to forgive</li></ol>
yànfan	<i>noun</i><br><ol><li>this side</li></ol>
yóya	<i>noun</i><br><ol><li>war</li></ol>
yɔrɔ	<i>noun</i><br><ol><li>place</li></ol>
yɛlɛma	<i>verb</i><br><ol><li>(transitive) to change, transform, turn</li></ol>
yɛlɛnyɛlɛnnan	<i>noun</i><br><ol><li>ladder, stairs, staircase</li></ol>
yɛrɛ	<i>adj</i><br><ol><li>self, one's self, own</li></ol>
àlikaama	<i>noun</i><br><ol><li>wheat</li></ol>
àlisilamɛ	<i>noun</i><br><ol><li>Muslim</li></ol>
ŋana	<i>adj</i><br><ol><li>tough</li></ol>
ŋaniya	<i>noun</i><br><ol><li>resolution, decision, intention</li></ol>
ŋɔmɔ	<i>noun</i><br><ol><li>bark (exterior covering of a tree)</li></ol>
ɲaami	<i>verb</i><br><ol><li>(Transitive) to mix, confuse, trouble</li></ol>
ɲaamɛ	<i>noun</i><br><ol><li>camel, dromedary</li></ol>
ɲin	<i>noun</i><br><ol><li>tooth</li></ol>
ɲùman	<i>noun</i><br><ol><li>good</li><li>beautiful, handsome</li><li>useful</li><li>a good deed</li></ol>
ɲɔ	<i>noun</i><br><ol><li>millet, sorghum</li></ol>
ɲɔgɔmɛ	<i>noun</i><br><ol><li>camel</li></ol>
ɲɔgɔn|ɲɔ̀gɔn|ɲɔ́gɔn	<i>pron</i><br><ol><li>(reflexive) one another</li></ol><br><i>noun</i><br><ol><li>the same, like, equal</li><li>approximation, estimate</li><li>associate, partner</li></ol>
ɲɛ|ɲɛ́	<i>noun</i><br><ol><li>eye</li><li>sight</li><li>color</li></ol><br><i>postp</i><br><ol><li>before, ahead of</li></ol><br><i>verb</i><br><ol><li>(intransitive) to be good</li></ol>
ɲɛda	<i>noun</i><br><ol><li>face</li></ol>
ɲɛmɔgɔ	<i>noun</i><br><ol><li>leader, boss</li></ol>
ɲɛ́-ji	<i>noun</i><br><ol><li>tears</li></ol>
