cakā́ra	<i>romanization</i><br><ol><li>Romanization of चकार</li></ol>
क्रुञ्च्|kruñc	<i>root</i><br><ol><li>to curve or make curved</li><li>to be crooked, move crookedly</li><li>to shrink</li><li>to make small, lessen</li><li>to go towards, approach</li></ol><br><i>noun</i><br><ol><li>a kind of snipe, curlew</li><li>name of a rishi</li></ol>
क्रुद्ध|क्रुद्धाम्|क्रुद्धम्|क्रुद्धानाम्|क्रुद्धाः|क्रुद्धा|a-stem|क्रुद्धायाम्|क्रुद्धेन|क्रुद्धाभ्याम्|क्रुद्धया|क्रुद्धायै|क्रुद्धान्|क्रुद्धेभ्यः|क्रुद्धेभिः1|क्रुद्धैः|क्रुद्धौ|kruddhá|क्रुद्धः|क्रुद्धानि|क्रुद्धा1|क्रुद्धयोः|क्रुद्धाभिः|क्रुद्धाभ्यः|ā-stem|क्रुद्धासः1|क्रुद्धाय|क्रुद्धस्य|क्रुद्धायाः|क्रुद्धे|क्रुद्धासु|क्रुद्धात्|क्रुद्धेषु	<i>adj</i><br><ol><li>irritated, provoked, angry (with locative, dative or genitive or with उपरि (upari) or प्रति (prati))</li></ol>
क्रुध्|krudh	<i>root</i><br><ol><li>to become angry, be wrathful</li></ol>
क्रुध्यति|क्रुध्|krúdhyati	<i>verb</i><br><ol><li>to become angry</li></ol>
क्रूर|a-stem|क्रूरः|क्रूरौ|क्रूरान्|क्रूरेभ्यः|क्रूरेण|क्रूराय|क्रूरैः|krūrá|क्रूरायाम्|क्रूरस्य|क्रूराणाम्|क्रूरयोः|क्रूरया|क्रूरायाः|क्रूरे|क्रूरेषु|क्रूराभिः|ā-stem|क्रूराः|क्रूराभ्याम्|क्रूराणि|क्रूरात्|क्रूरायै|क्रूरासु|क्रूरा|क्रूराभ्यः|क्रूराम्|क्रूरम्	<i>adj</i><br><ol><li>bloody, raw</li><li>wounded, hurt, sore</li><li>cruel, harsh, formidable</li></ol>
क्रेतृ|क्रेत्रोः|क्रेतारम्|kretṛ|ṛ-stem|क्रेतृभिः|क्रेतृभ्याम्|क्रेतुः|क्रेतरि|क्रेत्रे|क्रेतारौ|क्रेतारः|क्रेतॄणाम्|क्रेतः|क्रेतृभ्यः|क्रेतारा1|क्रेतृषु|क्रेत्रा|kretā|क्रेता|क्रेतॄन्	<i>noun</i><br><ol><li>buyer, purchaser</li></ol>
क्रोध|क्रोधाय|a-stem|क्रोधम्|क्रोधाः|क्रोधौ|โกฺรธ|क्रोधेषु|kródha|क्रोधेन|क्रोधयोः|क्रोधेभ्यः|क्रोधः|क्रोधस्य|क्रोधात्|क्रोधानाम्|क्रोधाभ्याम्|क्रोधान्|ಕ್ರೋಧ|क्रोधे|क्रोधासः1|क्रोधेभिः1|क्रोधैः	<i>noun</i><br><ol><li>anger, wrath</li></ol>
क्रोधन|krodhana	<i>adj</i><br><ol><li>inclined to wrath, passionate, angry</li></ol><br><i>noun</i><br><ol><li>the 59th year in the sixty years' बृहस्पति cycle</li><li>name of a son of कौशिक and pupil of गर्ग</li><li>name of a son of अ-युत and father of देवातिथि</li><li>name of a शाक्त author of मन्त्रs</li><li>name of one of the mothers in स्कन्द's retinue</li><li>name of a योगिनी</li><li>‘the being angry, anger’, only ifc. स-क्र्° (q.v.)</li></ol>
क्रोधनीय|krodhanīya	<i>adj</i><br><ol><li>anything which may produce anger, provocative.</li></ol>
क्रोश|क्रोशयोः|क्रोशे|क्रोशः|a-stem|क्रोशेषु|क्रोशम्|क्रोशानि|króśa|क्रोशासः1|क्रोशा1|क्रोशाय|क्रोशेभ्यः|क्रोशान्|क्रोशौ|क्रोशेन|क्रोशैः|क्रोशानाम्|क्रोशाः|क्रोशेभिः1|क्रोशात्|क्रोशस्य|क्रोशाभ्याम्	<i>noun</i><br><ol><li>cry, yell, shriek, shout</li><li>"the range of the voice in calling or hallooing", a measure of distance (an Indian league, commonly called a Kos = 1000 daṇḍas = 4000 hastas = 1÷4 yojana; according to others = 2000 daṇḍas = 8000 hastas = 1 gavyūti)</li></ol><br><i>name</i><br><ol><li>name of different sāmans</li></ol>
क्रोष्टृ|kroṣṭṛ	<i>noun</i><br><ol><li>fox, jackal</li></ol><br><i>adj</i><br><ol><li>weeping, lamenting</li></ol>
क्रौर्य|kraurya	<i>noun</i><br><ol><li>cruelty</li></ol>
क्लन्द्|क्लन्द् 1 P|kland|क्लन्द् 1 A	<i>root</i><br><ol><li>to be confused, confounded or troubled</li><li>to grieve</li><li>to call out.</li><li>to cry, lament, weep.</li></ol>
क्लान्त|क्लान्तासु|क्लान्तम्|क्लान्ताः|a-stem|क्लान्तासः1|क्लान्तस्य|क्लान्तायाम्|क्लान्तैः|क्लान्ताभिः|क्लान्तेन|क्लान्ताम्|क्लान्तायै|क्लान्तः|क्लान्तान्|क्लान्तायाः|क्लान्ता|क्लान्तयोः|क्लान्ताभ्याम्|क्लान्तेषु|क्लान्तौ|क्लान्ता1|क्लान्तानि|ā-stem|क्लान्तात्|क्लान्ताय|klānta|क्लान्तेभ्यः|क्लान्तानाम्|क्लान्तया|क्लान्तेभिः1|क्लान्ते|क्लान्ताभ्यः	<i>adj</i><br><ol><li>tired, fatigued, exhausted, languishing, wearied</li><li>withered, faded, dried up</li><li>thin, emaciated</li></ol>
क्लान्तमनस्|क्लान्तमनसीः1|क्लान्तमनस्यौ|क्लान्तमनसे|क्लान्तमनाम्1|क्लान्तमनोभिः|क्लान्तमनोभ्याम्|क्लान्तमनसी1|क्लान्तमनस्याः|क्लान्तमनसीम्|क्लान्तमनसः|क्लान्तमनसा|क्लान्तमनसीनाम्|क्लान्तमनस्यः|क्लान्तमनसीभिः|क्लान्तमनसि|क्लान्तमनसम्|क्लान्तमनस्योः|क्लान्तमनसीभ्यः|क्लान्तमनसोः|क्लान्तमनांसि|क्लान्तमनसाम्|क्लान्तमनसौ|क्लान्तमनसीषु|क्लान्तमनःसु|क्लान्तमनसीभ्याम्|klāntamanas|क्लान्तमनाः|क्लान्तमनस्यै|ī-stem|क्लान्तमनसा1|क्लान्तमनस्याम्|क्लान्तमनसी|क्लान्तमनस्या|as-stem|क्लान्तमनोभ्यः|क्लान्तमनाः1|क्लान्तमनः|क्लान्तमनसीः	<i>adj</i><br><ol><li>languid, low-spirited</li></ol>
क्लान्ति|klānti|क्लान्तीनाम्|क्लान्तेः|क्लान्तयः|क्लान्तिभ्याम्|क्लान्तिभ्यः|क्लान्तये|क्लान्त्ये1|क्लान्तिम्|क्लान्त्यै2|क्लान्त्या|क्लान्त्याः2|क्लान्तिः|क्लान्तिभिः|क्लान्तौ|क्लान्ती|क्लान्तीः|i-stem|क्लान्त्याम्2|क्लान्ते|क्लान्त्योः|क्लान्तिषु	<i>noun</i><br><ol><li>tiredness, languor, exhaustion, fatigue</li></ol>
क्लिन्द्|क्लिन्द् 1 A|klind	<i>root</i><br><ol><li>to lament</li></ol>
क्लिश्|kliś	<i>root</i><br><ol><li>to torment, trouble, molest, cause pain, afflict.</li></ol>
क्लेश|kleśa	<i>noun</i><br><ol><li>pain, affliction, distress, pain from disease, anguish</li></ol>
क्लैब्य|klaibya	<i>noun</i><br><ol><li>impotence, timidness, faintheartedness, cowardice, weakness</li></ol>
क्लोमन्|क्लोमभ्याम्|क्लोमनी|क्लोमभिः|क्लोमानौ|क्लोमसु|क्लोमानि|क्लोम्नाम्|क्लोम्ना|क्लोमभ्यः|क्लोमानम्|क्लोम्नः|क्लोम्ने|klóman|क्लोमनि|an-stem|क्लोम्नि|क्लोमाना1|क्लोम्नोः|क्लोम|क्लोमानः|क्लोमा|क्लोम्नी	<i>noun</i><br><ol><li>the right lung</li><li>(in the plural) the lungs</li></ol>
क्वथते|क्वथ्|kváthate	<i>verb</i><br><ol><li>to boil, decoct, infuse, simmer</li><li>to heat</li><li>to digest</li><li>to ferment (?)</li></ol>
क्वथन|kváthana	<i>noun</i><br><ol><li>boiling</li><li>decocting</li></ol>
क्वथित|kvathitá	<i>noun</i><br><ol><li>boiled, decocted, stewed</li><li>a decoction</li><li>a spirituous liquor</li></ol>
क्वाथ|क्वाथात्|क्वाथेषु|a-stem|क्वाथयोः|क्वाथेन|क्वाथानाम्|क्वाथाय|kvāthá|क्वाथम्|क्वाथाभ्याम्|क्वाथे|क्वाथः|क्वाथैः|क्वाथासः1|क्वाथाः|क्वाथेभ्यः|क्वाथान्|क्वाथस्य|क्वाथौ|क्वाथेभिः1	<i>noun</i><br><ol><li>boiling</li><li>decoction of medicinal herbs</li><li>the mixture of the materials for a decoction</li><li>pain, sorrow, distress</li></ol>
क्ष|क्षमयोः|क्षास्|a-stem|क्षमाभ्यः|क्षमाभिः|क्षाय|क्षमा1|क्षाम्|क्षेषु|क्षेभिः1|क्षाभ्याम्|क्षमे|क्षासु|क्षैः|क्षे|क्षेभ्यः|क्षात्|क्षमायै|क्षेण|क्षमायाम्|क्षाः|क्षमासु|kṣám|kṣá|क्षः|क्षान्|क्षमाणाम्|क्षयोः|क्षासः1|क्षमायाः|ā-stem|क्ष्मः|ज्मः|kṣamā|क्षमाः|क्षमाभ्याम्|क्षमा|क्षाणाम्|क्षामा|ग्मः|क्षमाम्|क्षमि|क्षस्य|क्षौ|ज्मा|क्षमया|क्षामः|kṣā́s|क्षम्	<i>noun</i><br><ol><li>field</li><li>the protector or cultivator of a field, peasant</li></ol>
क्षण|kṣaṇa|क्षणम्|a-stem|क्षणाभ्याम्|क्षणस्य|क्षणेषु|क्षणेभ्यः|क्षणाः|क्षणैः|क्षणाय|क्षणान्|क्षणेन|क्षणेभिः1|क्षणौ|क्षणात्|क्षणयोः|क्षणे|क्षणानाम्|क्षणः|क्षणासः1	<i>noun</i><br><ol><li>any instantaneous point of time, an instant, a moment</li><li>leisure moment, vacant time</li><li>a suitable or fit moment, an opportunity</li><li>a festival</li></ol>
क्षण्|8 U|kṣaṇ	<i>root</i><br><ol><li>to hurt, injure, wound</li></ol>
क्षति|kṣati|क्षत्योः|क्षत्यै2|क्षतिभिः|क्षतेः|क्षतिम्|क्षतये|क्षतीनाम्|क्षतयः|क्षतौ|क्षतीः|क्षते|क्षतिः|क्षत्ये1|क्षतिभ्यः|क्षतिभ्याम्|i-stem|क्षत्याम्2|क्षत्या|क्षती|क्षतिषु|क्षत्याः2	<i>noun</i><br><ol><li>injury, damage</li><li>destruction</li><li>end of the universe</li></ol>
क्षत्र|क्षत्राय|क्षत्रम्|क्षत्रेभ्यः|क्षत्रयोः|क्षत्राणाम्|क्षत्रेण|क्षत्रात्|क्षत्राणि|a-stem|kṣatrá|क्षत्रेषु|क्षत्रैः|क्षत्रा1|क्षत्रेभिः1|क्षत्रे|क्षत्राभ्याम्|क्षत्रस्य	<i>noun</i><br><ol><li>dominion, supremacy, power, might</li><li>government, governing body</li><li>kshatriya</li></ol>
क्षत्रप|क्षत्रपान्|क्षत्रपौ|क्षत्रपाभ्याम्|क्षत्रपानाम्|क्षत्रपस्य|क्षत्रपाय|क्षत्रपात्|क्षत्रपेभ्यः|क्षत्रपे|क्षत्रपः|a-stem|क्षत्रपेन|क्षत्रपयोः|क्षत्रपैः|क्षत्रपम्|क्षत्रपेषु|kṣatrapa|क्षत्रपाः	<i>noun</i><br><ol><li>satrap, provincial governer</li></ol>
क्षत्रिय|क्षत्रियात्|a-stem|क्षत्रियेभिः1|क्षत्रियायाम्|क्षत्रियः|क्षत्रियासः1|क्षत्रियैः|क्षत्रियम्|क्षत्रियौ|क्षत्रियस्य|क्षत्रियाभिः|क्षत्रियाणाम्|क्षत्रियाणि|क्षत्रिया1|क्षत्रियायाः|क्षत्रियेभ्यः|क्षत्रियया|क्षत्रियाभ्यः|क्षत्रियाम्|क्षत्रियाः|ā-stem|क्षत्रियाभ्याम्|क्षत्रिया|क्षत्रियायै|kṣatríya|क्षत्रिययोः|क्षत्रियाय|क्षत्रियासु|क्षत्रियेषु|क्षत्रियान्|क्षत्रिये|क्षत्रियेण	<i>noun</i><br><ol><li>a Kshatriya, a member of the military or reigning order, consisting of kings, warriors and soldiers, which in later times constituted the second highest of the four castes in traditional Indian society</li><li>the power of a sovereign</li></ol><br><i>adj</i><br><ol><li>governing, endowed with sovereignty</li></ol>
क्षत्री|क्षत्र्यै|क्षत्रि|kṣatrī|क्षत्र्याः|क्षत्रीणाम्|क्षत्र्यौ|क्षत्र्योः|क्षत्री1|क्षत्रीषु|क्षत्रीभ्यः|क्षत्रीः1|ī-stem|क्षत्रीम्|क्षत्र्यः|क्षत्रीः|क्षत्र्याम्|क्षत्रीभ्याम्|क्षत्र्या|क्षत्रीभिः	<i>noun</i><br><ol><li>a kshatriya woman</li></ol>
क्षप्|kṣáp	<i>noun</i><br><ol><li>night</li><li>a measure of time equivalent to a whole day of twenty-four hours</li><li>darkness</li><li>water</li></ol>
क्षमते|kṣámate|क्षम्	<i>verb</i><br><ol><li>to be patient, to suppress anger</li><li>to bear patiently, endure, to put up with, to suffer</li><li>to forgive, pardon</li><li>to allow, permit</li></ol>
क्षमा|क्षमयोः|क्षमे|क्षमाम्|क्षमाणाम्|क्षमायाः|ā-stem|क्षमाभ्याम्|क्षमया|क्षमाभ्यः|क्षमाभिः|क्षमाः|kṣamā|क्षमायै|क्षमायाम्|क्षमा1|क्षमासु	<i>noun</i><br><ol><li>patience, forbearance, indulgence</li><li>patience, (personified as a daughter of dakṣa and wife of pulaha)</li><li>tameness (as of an antelope)</li><li>resistance</li><li>earth</li><li>name of Durga</li><li>the khadira tree (Acacia catechu)</li><li>name of a female shepherd</li><li>name of a species of the atijagatī- metre</li><li>of a śākta authoress of mantras</li><li>of a river (equals vetravatī-)</li></ol>
क्षम्|क्षमयोः|क्षास्|क्षमाभ्यः|क्षमाभिः|क्षाम्|क्षमा1|क्षमे|क्षासु|क्षे|क्षमायै|क्षमायाम्|क्षाः|kṣám|क्षमासु|क्षमाणाम्|क्षमायाः|ā-stem|क्ष्मः|kṣam|ज्मः|kṣamā|क्षमाः|क्षमाभ्याम्|क्षमा|क्षामा|ग्मः|क्षमि|क्षमाम्|ज्मा|क्षमया|क्षामः|kṣā́s	<i>noun</i><br><ol><li>ground, earth</li></ol><br><i>root</i><br><ol><li>to submit; endure, suffer</li><li>pardon, forgive</li><li>resist</li></ol>
क्षय|kṣáya|क्षयेण|क्षयेषु|क्षयैः|a-stem|क्षय|kṣayá|क्षयस्य|क्षयान्|क्षयाः|क्षयम्|क्षयः|क्षयाय|क्षयेभिः1|क्षयाणाम्|क्षयाभ्याम्|क्षयासः1|क्षयौ|क्षययोः|क्षये|क्षयेभ्यः|क्षयात्	<i>noun</i><br><ol><li>decay, corrosion</li><li>ruin, destruction</li><li>diminution, decline, wasting away</li><li>place of abode, seat, house</li></ol>
क्षरति|क्षर्येथाः|अक्षरथाः|अक्षरध्वम्|क्षर्येमहि|क्षरावहे|क्षरते|क्षर्येय|अक्षर्यावहि|अक्षरावहि|अक्षर्यथाः|क्षर्येताम्|क्षरेत|क्षरतः|अक्षरन्|क्षरसि|क्षरै|क्षरेथाम्|क्षरस्व|क्षरे|kṣárati|अक्षरत|क्षरन्ति|अक्षर्यध्वम्|क्षरेव|क्षर्|क्षरामहै|क्षर्येवहि|अक्षर्ये|क्षरामहे|क्षरेथाः|क्षरेध्वम्|क्षरेः|अक्षरेताम्|क्षरथः|क्षर्यते|क्षरेयुः|क्षरसे|क्षराणि|क्षर्यध्वम्|क्षर|क्षरन्ते|क्षराव|क्षर्येथे|क्षर्यमान|or|अक्षरतम्|क्षर्येयाताम्|क्षरतु|अक्षरामहि|क्षरेमहि|क्षरामि|क्षर्यामहै|क्षर्ये|क्षरामः|क्षर्यै|अक्षरन्त|अक्षरताम्|अक्षराव|अक्षर्यामहि|अक्षरः|क्षरावहै|अक्षर्यत|अक्षरेथाम्|अक्षर्येथाम्|क्षरेमः|क्षरन्त्|क्षरध्वम्|क्षराम|क्षर्यावहै|अक्षराम|क्षर्येरन्|क्षर्येध्वम्|क्षरेतम्|क्षरेय|क्षरेते|क्षर्यावहे|क्षरेयाताम्|क्षरन्ताम्|क्षर्यामहे|क्षरतम्|क्षरेयाथाम्|क्षर्यन्ताम्|क्षर्यताम्|अक्षरम्|क्षरेवहि|क्षरन्तु|अक्षर्येताम्|क्षरेयम्|क्षर्यन्ते|क्षर्यस्व|क्षर्येत|अक्षरे|क्षरताम्|क्षरेथे|क्षरेताम्|क्षरध्वे|क्षर्येते|क्षरमान|क्षर्यसे|क्षर्येथाम्|अक्षरत्|क्षरत|क्षर्येयाथाम्|क्षर्यध्वे|अक्षर्यन्त|क्षरावः|क्षरथ|क्षरत्|क्षरेत्|क्षरेरन्	<i>verb</i><br><ol><li>to flow, stream, trickle</li><li>to melt away, perish, wane</li></ol>
क्षान्ति|क्षान्तेः|क्षान्त्यै2|क्षान्त्या|kṣānti|क्षान्तिषु|क्षान्त्याम्2|क्षान्तीः|क्षान्त्योः|क्षान्तये|क्षान्ती|क्षान्त्ये1|क्षान्तिभ्याम्|क्षान्ते|क्षान्त्याः2|क्षान्तिः|i-stem|क्षान्तयः|क्षान्तिम्|क्षान्तौ|क्षान्तिभिः|क्षान्तीनाम्|क्षान्तिभ्यः	<i>noun</i><br><ol><li>patience, forbearance, endurance, indulgence</li></ol>
क्षालन|क्षालनासः1|क्षालनीः|क्षालनैः|a-stem|क्षालन्यौ|क्षालन्याम्|क्षालनाभ्याम्|क्षालनस्य|क्षालनम्|क्षालन्योः|क्षालनः|क्षालनौ|क्षालने|क्षालन्यै|क्षालनात्|क्षालनीः1|क्षालनीभिः|क्षालनीनाम्|क्षालन्यः|क्षालनानि|क्षालनि|ī-stem|क्षालनान्|क्षालनी1|क्षालनीभ्याम्|क्षालनयोः|क्षालनाः|क्षालनेषु|क्षालनी|क्षालन्या|क्षालन्याः|क्षालनेभिः1|क्षालनाय|क्षालनीषु|kṣālana|क्षालनीम्|क्षालनेभ्यः|क्षालना1|क्षालनानाम्|क्षालनेन|क्षालनीभ्यः	<i>adj</i><br><ol><li>washing, cleaning, purifying</li></ol><br><i>noun</i><br><ol><li>the act of washing, cleaning, purifying</li><li>sprinkling</li></ol>
क्षालयति|क्षल्|kṣālayati	<i>verb</i><br><ol><li>to wash, cleanse</li></ol>
क्षालित|क्षालितया|kṣālita|क्षालितासु|क्षालितस्य|क्षालिताभिः|a-stem|क्षालितः|क्षालितयोः|क्षालितम्|क्षालितान्|क्षालिताम्|क्षालितानि|क्षालितानाम्|क्षालिताः|क्षालितायै|क्षालिताय|क्षालिताभ्यः|क्षालिताभ्याम्|क्षालितेषु|ā-stem|क्षालिते|क्षालितायाः|क्षालिता|क्षालितात्|क्षालितेभिः1|क्षालितायाम्|क्षालिता1|क्षालितौ|क्षालितेन|क्षालितेभ्यः|क्षालितैः|क्षालितासः1	<i>adj</i><br><ol><li>washed, cleaned, purified</li><li>wiped away, removed</li></ol>
क्षिणाति|क्षि|kṣiṇāti	<i>verb</i><br><ol><li>to destroy, ruin</li></ol>
क्षिण्|kṣiṇ|8 U	
क्षित|क्षितः|क्षिताभ्यः|a-stem|kṣitá|क्षितस्य|क्षितानि|क्षिताः|क्षितया|क्षितयोः|क्षितेभ्यः|क्षिता|क्षितायाः|क्षितान्|क्षिताभ्याम्|क्षितैः|क्षितौ|ā-stem|क्षिताय|क्षितानाम्|क्षिते|क्षितासु|क्षितात्|क्षितेषु|क्षिताम्|क्षितम्|क्षितेन|क्षिताभिः|क्षितायाम्|क्षितायै	<i>adj</i><br><ol><li>wasted, decayed, exhausted</li></ol>
क्षिति|kṣití|क्षित्या|क्षित्यै2|क्षितिभ्याम्|क्षितिभ्यः|क्षितीः|क्षितये|क्षित्ये1|क्षितिषु|क्षित्याः2|क्षितेः|क्षितीनाम्|kṣíti|क्षित्योः|क्षितयः|क्षितौ|क्षिती|क्षिते|i-stem|क्षितिः|क्षितिम्|क्षितिभिः|क्षित्याम्2	<i>noun</i><br><ol><li>wane, perishing, destruction, ruin</li><li>abode, dwelling, habitation</li><li>the Earth</li></ol>
क्षिपति|kṣipáti|क्षिप्	<i>verb</i><br><ol><li>to throw, to fling</li><li>to cast off</li><li>to move hastily</li><li>to pass over</li></ol>
क्षीण|kṣīṇa	<i>adj</i><br><ol><li>wasted</li><li>weakened</li><li>delicate</li><li>lost</li><li>destroyed</li></ol>
क्षीयते|क्षि|kṣīyáte	<i>verb</i><br><ol><li>to diminish, waste away</li><li>(of the moon) to wane</li><li>to decrease</li><li>to perish, decline</li></ol>
क्षीर|kṣīrá|क्षीरम्|क्षीरेण|क्षीरयोः|क्षीराणि|क्षीराय|क्षीरैः|क्षीरेभ्यः|a-stem|क्षीरा1|क्षीरेषु|क्षीरात्|क्षीराभ्याम्|क्षीरेभिः1|क्षीरस्य|क्षीरे|क्षीराणाम्	<i>noun</i><br><ol><li>milk</li></ol>
क्षीरद|क्षीरदेषु|क्षीरदायै|क्षीरदाभ्याम्|a-stem|क्षीरदौ|क्षीरदेन|क्षीरदासु|क्षीरदा1|क्षीरदेभिः1|क्षीरदासः1|क्षीरदायाः|क्षीरदयोः|क्षीरदाभ्यः|क्षीरदात्|क्षीरदाम्|क्षीरदम्|क्षीरदानि|क्षीरदे|क्षीरदा|क्षीरदायाम्|क्षीरदैः|क्षीरदस्य|ā-stem|क्षीरदाय|क्षीरदेभ्यः|क्षीरदाभिः|क्षीरदः|kṣīrada|क्षीरदानाम्|क्षीरदाः|क्षीरदया|क्षीरदान्	<i>adj</i><br><ol><li>milk-giving, (anything) that yields milk.</li></ol>
क्षीरान्न|kṣīrānna	<i>noun</i><br><ol><li>rice cooked with milk; kheer</li></ol>
क्षीराब्धि|kṣīrābdhi	<i>noun</i><br><ol><li>the sea of milk, one of the seven seas surrounding as many worlds</li></ol>
क्षु|क्षुणोः|क्षुणा|kṣú|u-stem|क्षूणि1|क्षू|क्ष्वः3|क्षोः|क्षुषु|क्षुभिः|क्षूणाम्|क्षवे|क्षो|क्षुभ्यः|क्षुणः1|क्षुणी|क्षुभ्याम्|क्ष्वे3|क्षुणि|क्ष्वा2	<i>noun</i><br><ol><li>food</li></ol>
क्षुण्ण|क्षुण्णान्|क्षुण्णायाम्|क्षुण्णेन|क्षुण्णेभिः1|क्षुण्णानि|a-stem|क्षुण्णायाः|क्षुण्णानाम्|क्षुण्णाभिः|क्षुण्णा1|क्षुण्णम्|क्षुण्णाभ्याम्|क्षुण्णायै|क्षुण्णाम्|क्षुण्णात्|क्षुण्णेभ्यः|क्षुण्णाः|क्षुण्णासु|क्षुण्णाभ्यः|kṣuṇṇa|ā-stem|क्षुण्णे|क्षुण्णया|क्षुण्णस्य|क्षुण्णाय|क्षुण्णौ|क्षुण्णासः1|क्षुण्णः|क्षुण्णैः|क्षुण्णेषु|क्षुण्णा|क्षुण्णयोः	<i>adj</i><br><ol><li>pounded, pulverised, crushed, stamped or trampled upon, shattered, cut, broken into pieces</li><li>defeated, overcome</li><li>violated (as a vow)</li><li>practised, followed</li><li>thought over, reflected on</li></ol>
क्षुत्|क्षुतौ|क्षुता|क्षुद्भ्यः|क्षुतम्|क्षुतोः|क्षुतः|क्षुताम्|क्षुद्भ्याम्|क्षुते|क्षुति|क्षुत्सु|kṣút|ut-stem|क्षुद्भिः|kṣut	<i>noun</i><br><ol><li>a sneeze</li></ol>
क्षुद्र|क्षुद्रया|क्षुद्रेभ्यः|a-stem|क्षुद्रासु|क्षुद्रेण|क्षुद्रासः1|क्षुद्राभ्यः|क्षुद्रे|क्षुद्रायाम्|क्षुद्रैः|क्षुद्राय|क्षुद्राणाम्|क्षुद्रायाः|क्षुद्रयोः|क्षुद्राः|क्षुद्राभिः|क्षुद्राम्|क्षुद्रौ|क्षुद्रेभिः1|ā-stem|क्षुद्रा1|क्षुद्रः|क्षुद्रेषु|क्षुद्रायै|क्षुद्राणि|kṣudrá|क्षुद्रात्|क्षुद्रा|क्षुद्रस्य|क्षुद्रान्|क्षुद्राभ्याम्|क्षुद्रम्	<i>adj</i><br><ol><li>very small, minute, diminutive</li><li>little, trifling</li><li>mean, low, vile</li></ol>
क्षुद्रक|क्षुद्रिका1|क्षुद्रिकायै|क्षुद्रिकाः|क्षुद्रकेभिः1|a-stem|क्षुद्रकात्|क्षुद्रिकाभिः|क्षुद्रिकया|क्षुद्रिकाभ्याम्|क्षुद्रकैः|क्षुद्रिका|क्षुद्रिकासु|क्षुद्रकेषु|kṣudraka|क्षुद्रिकाणाम्|क्षुद्रकस्य|क्षुद्रकेभ्यः|क्षुद्रिकायाम्|क्षुद्रकाय|क्षुद्रकान्|ā-stem|क्षुद्रका1|क्षुद्रकेण|क्षुद्रकौ|क्षुद्रिकाम्|क्षुद्रिकायाः|क्षुद्रकासः1|क्षुद्रकः|क्षुद्रकम्|क्षुद्रकाभ्याम्|क्षुद्रके|क्षुद्रिकाभ्यः|क्षुद्रिके|क्षुद्रकाणाम्|क्षुद्रिकयोः|क्षुद्रकाणि|क्षुद्रकाः|क्षुद्रकयोः	<i>adj</i><br><ol><li>small, minute</li><li>(of a breath) short</li></ol><br><i>name</i><br><ol><li>name of a warlike race in ancient India</li></ol>
क्षुधा|क्षुधायाः|क्षुधया|क्षुधाभ्याम्|kṣudhā|क्षुधाभिः|क्षुधायाम्|क्षुधाः|ā-stem|क्षुधानाम्|क्षुधाभ्यः|क्षुधासु|क्षुधाम्|क्षुधा1|क्षुधे|क्षुधायै|क्षुधयोः	<i>noun</i><br><ol><li>hunger</li></ol>
क्षुध्|क्षुधायाः|क्षुधोः|क्षुता|क्षुतः|क्षुताम्|क्षुद्भ्याम्|क्षुधः|क्षुद्भिः|क्षुधाभिः|क्षुधायै|क्षुतौ|क्षुधाभ्याम्|क्षुति|क्षुधाभ्यः|क्षुधा|kṣut|क्षुद्भ्यः|क्षुधाः|ā-stem|kṣút|kṣúdh|क्षुत्सु|ut-stem|क्षुतम्|क्षुधा1|क्षुधे|क्षुत्|क्षुधया|udh-stem|क्षुधयोः|क्षुधासु|क्षुधि|kṣudhā|क्षुतोः|क्षुधायाम्|क्षुधानाम्|क्षुते|क्षुधौ|क्षुधम्|kṣudh|क्षुधाम्	<i>noun</i><br><ol><li>hunger</li></ol><br><i>root</i><br><ol><li>to be hungry</li></ol>
क्षुब्ध|क्षुब्धासः1|क्षुब्धानि|a-stem|क्षुब्धेन|क्षुब्धस्य|क्षुब्धाभ्याम्|क्षुब्धया|क्षुब्धा|क्षुब्धाभ्यः|क्षुब्धा1|क्षुब्धेभिः1|क्षुब्धायै|क्षुब्धेभ्यः|kṣubdha|क्षुब्धे|क्षुब्धायाम्|क्षुब्धः|क्षुब्धायाः|क्षुब्धम्|क्षुब्धाम्|क्षुब्धाः|क्षुब्धैः|ā-stem|क्षुब्धासु|क्षुब्धानाम्|क्षुब्धात्|क्षुब्धान्|क्षुब्धौ|क्षुब्धाभिः|क्षुब्धेषु|क्षुब्धाय|क्षुब्धयोः	<i>adj</i><br><ol><li>agitated, shaken</li><li>expelled (as a king)</li><li>agitated (mentally), excited, disturbed</li></ol><br><i>noun</i><br><ol><li>a kind of coitus</li><li>the churning-stick</li></ol>
क्षुभित|क्षुभिते|a-stem|क्षुभितात्|kṣubhita|क्षुभिताभिः|क्षुभितान्|क्षुभितायाः|क्षुभिता|क्षुभितानि|क्षुभितेषु|क्षुभितायै|क्षुभिताम्|क्षुभिता1|क्षुभितौ|क्षुभितासु|क्षुभिताय|क्षुभिताः|क्षुभितम्|क्षुभितः|क्षुभितायाम्|क्षुभितानाम्|क्षुभिताभ्याम्|ā-stem|क्षुभितेभिः1|क्षुभितस्य|क्षुभितेन|क्षुभितासः1|क्षुभितयोः|क्षुभितेभ्यः|क्षुभितया|क्षुभितैः|क्षुभिताभ्यः	<i>adj</i><br><ol><li>agitated, disturbed, frightened, alarmed, afraid</li></ol>
