Almaañ	<i>name</i><br><ol><li>Germany</li></ol>
nuyu	<i>verb</i><br><ol><li>to greet</li></ol>
nëb	<i>verb</i><br><ol><li>to be rotten</li></ol>
nëbb	<i>verb</i><br><ol><li>to hide</li></ol>
oom	<i>noun</i><br><ol><li>knee</li></ol>
oto|form oto bi	<i>noun</i><br><ol><li>car, vehicle</li></ol>
paaka|form paaka bi	<i>noun</i><br><ol><li>knife</li></ol>
pampëlëmuus|form pampëlëmuus bi	<i>noun</i><br><ol><li>grapefruit</li></ol>
papa	<i>noun</i><br><ol><li>father</li></ol>
pataas|form pataas bi	<i>noun</i><br><ol><li>sweet potato</li></ol>
peel	<i>noun</i><br><ol><li>shovel</li></ol>
penku	<i>noun</i><br><ol><li>west</li></ol>
pexe	<i>noun</i><br><ol><li>strategy</li></ol>
picc|form picc mi	<i>noun</i><br><ol><li>bird</li></ol>
pombiteer|form pombiteer bi	<i>noun</i><br><ol><li>potato</li></ol>
pullóox|form pullóox bi	<i>noun</i><br><ol><li>cassava</li></ol>
pàppa	<i>noun</i><br><ol><li>father</li></ol>
pàppaay|form pàppaay bi	<i>noun</i><br><ol><li>papaya</li></ol>
pàppaaya|form pàppaaya bi	<i>noun</i><br><ol><li>papaya</li></ol>
péy	<i>noun</i><br><ol><li>capital city, capital</li></ol>
radi|form radi bi	<i>noun</i><br><ol><li>radish</li></ol>
rafet	<i>verb</i><br><ol><li>pretty</li></ol>
rakk|form rakk ji	<i>noun</i><br><ol><li>younger sibling</li></ol>
ren	<i>noun</i><br><ol><li>last year</li></ol>
res|form res wi	<i>noun</i><br><ol><li>liver</li></ol>
roño|form roño bi	<i>noun</i><br><ol><li>kidney</li></ol>
réew|form réew mi	<i>noun</i><br><ol><li>country</li></ol>
rééw	<i>noun</i><br><ol><li>country</li></ol>
saa|form saa si	<i>noun</i><br><ol><li>moment, instant</li></ol>
saa su ne	<i>adv</i><br><ol><li>always</li></ol>
saabu|form saabu bi	<i>noun</i><br><ol><li>soap</li></ol>
saag	<i>noun</i><br><ol><li>bag</li></ol>
saaw|form saaw mi	<i>noun</i><br><ol><li>porcupine</li></ol>
safara|form safara si	<i>noun</i><br><ol><li>fire</li></ol>
saku	<i>noun</i><br><ol><li>parrot</li></ol>
salaat|form salaat si	<i>noun</i><br><ol><li>salad</li><li>lettuce</li></ol>
samp	<i>verb</i><br><ol><li>to erect</li></ol>
sanaanaa|form sanaanaa si	<i>noun</i><br><ol><li>pineapple</li></ol>
sanc	<i>verb</i><br><ol><li>to build</li></ol>
sant|form sant wi	<i>noun</i><br><ol><li>last name</li></ol>
sanxal	<i>noun</i><br><ol><li>millet</li></ol>
segg|form segg mi	<i>noun</i><br><ol><li>leopard</li></ol>
seku|form seku bi	<i>noun</i><br><ol><li>parrot</li></ol>
seytaane|form seytaane si	<i>noun</i><br><ol><li>devil, evil spirit</li></ol>
siiru|form siiru si	<i>noun</i><br><ol><li>African wildcat, desert cat</li></ol>
siis	<i>noun</i><br><ol><li>chair</li></ol>
sikket|form sikket bi	<i>noun</i><br><ol><li>billy goat</li></ol>
soble|form soble si	<i>noun</i><br><ol><li>onion</li></ol>
soon	<i>verb</i><br><ol><li>to be yellow</li></ol>
soppali	<i>verb</i><br><ol><li>to change sth into sth</li><li>to transform sth into sth</li></ol>
soppi	<i>verb</i><br><ol><li>to change, to modify</li><li>to transform</li></ol>
soraans|form soraans si	<i>noun</i><br><ol><li>orange (fruit)</li></ol>
suba|form suba si	<i>noun</i><br><ol><li>(early) morning</li><li>tomorrow</li></ol>
sufëlëer|sufólóor	<i>noun</i><br><ol><li>cauliflower</li></ol>
sujeer	<i>noun</i><br><ol><li>cooking pot</li></ol>
suppome|form suppome bi	<i>noun</i><br><ol><li>cabbage</li></ol>
suq|form suq li	<i>noun</i><br><ol><li>young wrestler, who is often part of the entourage of older wrestlers,</li></ol>
suuf|form suuf si	<i>noun</i><br><ol><li>sand</li></ol>
suuna	<i>noun</i><br><ol><li>pearl millet</li></ol>
suur	<i>verb</i><br><ol><li>to be full, to not be hungry</li></ol>
suññéel|form suññéel bi	<i>noun</i><br><ol><li>hedgehog</li></ol>
sàll|form sàll wi	<i>noun</i><br><ol><li>stallion</li></ol>
sët|form sët bi	<i>noun</i><br><ol><li>grandchild</li></ol>
taalibe|form taalibe yi	<i>noun</i><br><ol><li>Student</li></ol>
taax	<i>noun</i><br><ol><li>villager</li><li>village</li></ol>
tagg	<i>verb</i><br><ol><li>to praise</li></ol>
talaata	<i>noun</i><br><ol><li>Tuesday</li></ol>
tali|form tali bi	<i>noun</i><br><ol><li>street</li></ol>
tama|form tama ji	<i>noun</i><br><ol><li>small drum</li></ol>
tamaate|form tamaate bi	<i>noun</i><br><ol><li>tomato</li></ol>
tan|form tan mi	<i>noun</i><br><ol><li>vulture</li></ol>
taw|form taw bi	<i>verb</i><br><ol><li>to rain</li></ol><br><i>noun</i><br><ol><li>rain</li></ol>
tayóor|form tayóor bi	<i>noun</i><br><ol><li>tailor</li></ol>
tef|form tef bi	<i>noun</i><br><ol><li>kid (young goat)</li></ol>
tene|form tene mi	<i>noun</i><br><ol><li>cheetah</li></ol>
teraanga|form teraanga ji	<i>noun</i><br><ol><li>hospitality</li></ol>
teral|form teral gi	<i>noun</i><br><ol><li>hospitality</li></ol>
tiga-dege	<i>noun</i><br><ol><li>peanut butter</li></ol>
tiir|form tiir ji	<i>noun</i><br><ol><li>palm oil</li></ol>
tijji	<i>verb</i><br><ol><li>to unlock</li></ol>
tilim|form tilim ji	<i>verb</i><br><ol><li>to be dirty</li></ol><br><i>noun</i><br><ol><li>dirt</li></ol>
till|form till gi	<i>noun</i><br><ol><li>jackal</li></ol>
togg	<i>verb</i><br><ol><li>to cook</li></ol>
toof|form toof bi	<i>noun</i><br><ol><li>clothing</li></ol>
tool|form tool bi	<i>noun</i><br><ol><li>field</li><li>garden</li></ol>
tubaab|form tubaab bi	<i>noun</i><br><ol><li>a European or French person</li><li>the French language</li></ol>
tubey|form tubey ji	<i>noun</i><br><ol><li>loose-fitting pants</li></ol>
tudd|form tudd mi	<i>verb</i><br><ol><li>to be named, be called</li></ol><br><i>noun</i><br><ol><li>naming-ceremony</li></ol>
tukki	<i>verb</i><br><ol><li>to travel</li></ol><br><i>noun</i><br><ol><li>travel</li><li>migration</li></ol>
tur	<i>noun</i><br><ol><li>full name</li><li>reputation</li></ol>
turandoo|form turandoo bi	<i>noun</i><br><ol><li>namesake, the person who a child is named after</li></ol>
turki|form turki bi	<i>noun</i><br><ol><li>a loose-fitting shirt for men</li></ol>
tus	<i>num</i><br><ol><li>zero</li></ol>
tuuti	<i>adv</i><br><ol><li>a little, a bit</li></ol><br><i>verb</i><br><ol><li>to be small, to be a little bit</li></ol>
tuñ|form tuñ mi	<i>noun</i><br><ol><li>lip</li></ol>
tàkkusaan|form tàkkusaan ji	<i>noun</i><br><ol><li>late afternoon prayer</li></ol>
tàng	<i>verb</i><br><ol><li>to be hot</li></ol>
tàngaay|form tàngaay bi	<i>noun</i><br><ol><li>heat</li></ol>
tàngal|form tàngal bi	<i>noun</i><br><ol><li>candy</li></ol>
tànk|form tànk bi	<i>noun</i><br><ol><li>leg, foot</li></ol>
tànta|form tànta bi	<i>noun</i><br><ol><li>aunt</li></ol>
téeméer	<i>num</i><br><ol><li>hundred</li></ol>
ténq|form ténq bi	<i>noun</i><br><ol><li>palm of the hand</li></ol>
téére|form téére bi	<i>noun</i><br><ol><li>book</li></ol>
tëflit|form tëflit bi	<i>noun</i><br><ol><li>saliva</li></ol>
tëgg	<i>noun</i><br><ol><li>blacksmith</li></ol>
tëggkat|form tëggkat bi	<i>noun</i><br><ol><li>drummer</li></ol>
tëj	<i>verb</i><br><ol><li>to close, lock</li></ol>
tëng|form tëng bi	<i>noun</i><br><ol><li>A female animal that has not produced offspring.</li></ol>
uppukaay|form uppukaay bi	<i>noun</i><br><ol><li>fan, a tool to cool someone with</li></ol>
waa-jur|form waa-jur bi	<i>noun</i><br><ol><li>parent</li></ol>
waajur|form waajur yi	<i>noun</i><br><ol><li>parents</li></ol>
waakër|form waakër gi	<i>noun</i><br><ol><li>family</li></ol>
waaw|waawaaw	<i>particle</i><br><ol><li>yes</li></ol>
waañ|form waañ wi	<i>noun</i><br><ol><li>kitchen</li></ol>
wajan|form wajan wi	<i>noun</i><br><ol><li>mare</li></ol>
waliis|form waliis bi	<i>noun</i><br><ol><li>luggage</li></ol>
warga|form warga wi	<i>noun</i><br><ol><li>tea (dried leaves of the tea plant)</li></ol>
warugar|form warugar wi	<i>noun</i><br><ol><li>moral obligation</li></ol>
waxtaan|form waxtaan wi	<i>verb</i><br><ol><li>to have a conversation</li></ol><br><i>noun</i><br><ol><li>conversation</li></ol>
waxtu|form waxtu wi	<i>noun</i><br><ol><li>moment, time</li><li>hour</li></ol>
weccit|form weccit wi	<i>noun</i><br><ol><li>change, from the seller</li></ol>
ween|form ween wi	<i>noun</i><br><ol><li>breast</li></ol>
weer|form weer wi	<i>noun</i><br><ol><li>moon</li><li>month</li></ol>
weex	<i>verb</i><br><ol><li>white</li></ol>
wert	<i>verb</i><br><ol><li>to be green</li></ol>
wet|form wet gi	<i>noun</i><br><ol><li>side</li></ol>
weñ|form weñ wi	<i>noun</i><br><ol><li>fly</li></ol>
wisit|form wisit bi	<i>noun</i><br><ol><li>medical appointment</li></ol>
won	<i>verb</i><br><ol><li>to show</li></ol>
wonn	<i>verb</i><br><ol><li>to swallow</li></ol>
wulu|form wulu wi	<i>noun</i><br><ol><li>heifer</li></ol>
wurus|form wurus wi	<i>noun</i><br><ol><li>gold</li></ol>
wuude|form wuude bi	<i>noun</i><br><ol><li>leathermaker</li></ol>
wàll|form wàll wi	<i>verb</i><br><ol><li>to infect someone with a disease</li></ol><br><i>noun</i><br><ol><li>share, side</li></ol>
wëq|form wëq wi	<i>noun</i><br><ol><li>ankle</li></ol>
wërsëg|form wërsëg wi	<i>noun</i><br><ol><li>luck</li></ol>
wëtéen|form wëtéen wi	<i>noun</i><br><ol><li>cotton</li></ol>
wëñ	<i>noun</i><br><ol><li>wire</li></ol>
xaaj|form xaaj bi	<i>verb</i><br><ol><li>to divide, partition</li></ol><br><i>noun</i><br><ol><li>half</li></ol>
xaal|form xaal bi	<i>noun</i><br><ol><li>watermelon</li></ol>
xaalis|form xaalis bi	<i>noun</i><br><ol><li>silver</li><li>money</li></ol>
xaalu tubaab|form xaalu tubaab bi	<i>noun</i><br><ol><li>melon</li></ol>
xabaár|form xabaár bi	<i>noun</i><br><ol><li>news, information</li></ol>
xaftaan|form xaftaan bi	<i>noun</i><br><ol><li>kaftan</li></ol>
xaj|form xaj bi	<i>noun</i><br><ol><li>dog</li></ol>
xalaat|form xalaat mi	<i>verb</i><br><ol><li>to think</li></ol><br><i>noun</i><br><ol><li>thought</li></ol>
xalam|form xalam bi	<i>verb</i><br><ol><li>to play the xalam</li></ol><br><i>noun</i><br><ol><li>A Wolof banjo</li></ol>
xale|form xale bi	<i>noun</i><br><ol><li>child</li></ol>
xam-xam|form xam-xam bi	<i>noun</i><br><ol><li>knowledge</li><li>science</li></ol>
xanaa	<i>particle</i><br><ol><li>Placed at the beginning or end of a sentence to indicate a question where the speaker expects a positive answer.</li></ol>
xant|form xant gi	<i>noun</i><br><ol><li>old car</li></ol>
xar|form xar mi|form xar wi	<i>verb</i><br><ol><li>to cut in half</li></ol><br><i>noun</i><br><ol><li>piece, portion</li><li>sheep</li></ol>
xare	<i>noun</i><br><ol><li>conflict</li><li>battle, combat</li></ol>
xarit|form xarit wi|form xarit bi	<i>noun</i><br><ol><li>friend</li><li>detached piece</li></ol>
xaru|form xaru bi	<i>verb</i><br><ol><li>to commit suicide</li></ol><br><i>noun</i><br><ol><li>suicide</li></ol>
xaxaar	<i>noun</i><br><ol><li>A ritual insult poem</li></ol>
xeer|form xeer wi	<i>noun</i><br><ol><li>stone, rock</li></ol>
xeet	<i>noun</i><br><ol><li>race, ethnic group</li></ol>
xel|form xel mi	<i>noun</i><br><ol><li>intelligence</li><li>thinking</li><li>mind</li><li>reason</li></ol>
xet|form xet gi	<i>noun</i><br><ol><li>odor</li></ol>
xew|form xew mi	<i>verb</i><br><ol><li>to happen</li></ol><br><i>noun</i><br><ol><li>occasion, ceremony</li></ol>
xibaar	<i>noun</i><br><ol><li>information</li></ol>
xiif	<i>verb</i><br><ol><li>to be hungry</li></ol><br><i>noun</i><br><ol><li>hunger</li><li>famine</li></ol>
xiimkat|form xiimkat bi	<i>noun</i><br><ol><li>tea preparer</li></ol>
xiin|form xiin wi	<i>noun</i><br><ol><li>cloud</li></ol>
xob|form xob wi	<i>noun</i><br><ol><li>tree leaf</li></ol>
xodd|form xodd gi	<i>noun</i><br><ol><li>egret</li></ol>
xojox|form xojox gi	<i>noun</i><br><ol><li>Gambian sun squirrel (Heliosciurus gambianus)</li></ol>
xol|form xol bi	<i>verb</i><br><ol><li>to nurse a child or patient</li></ol><br><i>noun</i><br><ol><li>heart</li></ol>
xomaag|form xomaag ji	<i>verb</i><br><ol><li>to be rusty</li></ol><br><i>noun</i><br><ol><li>rust</li></ol>
xonq	<i>verb</i><br><ol><li>red</li></ol>
xool	<i>verb</i><br><ol><li>to look</li></ol>
xoox|form xoox bi	<i>noun</i><br><ol><li>seed</li></ol>
xor|form xor wi	<i>noun</i><br><ol><li>empty shell</li></ol>
xorom|form xorom si	<i>verb</i><br><ol><li>to add salt</li></ol><br><i>noun</i><br><ol><li>salt</li></ol>
xuloo|form xuloo bi	<i>verb</i><br><ol><li>quarrel</li></ol><br><i>noun</i><br><ol><li>quarrel</li></ol>
xutba|form xutba bi	<i>noun</i><br><ol><li>sermon</li></ol>
xéewal|form xéewal gi	<i>noun</i><br><ol><li>prosperity</li></ol>
xët|form xët mi	<i>noun</i><br><ol><li>page</li></ol>
xëtër|form xëtër wi	<i>noun</i><br><ol><li>lung</li></ol>
yaakaar|form yaakaar ji	<i>noun</i><br><ol><li>hope</li></ol>
yaangi	<i>pron</i><br><ol><li>you (second person singular perfect presentative pronoun)</li></ol>
yaangiy	<i>pron</i><br><ol><li>You (second person singular, imperfect presentative pronoun)</li></ol>
yaasa|form yaasa bi	<i>noun</i><br><ol><li>A Senegalese dish made of rice, a lemon sauce and onions, along with grilled meat</li></ol>
yaax	<i>noun</i><br><ol><li>a kind of fish</li></ol>
yaay	<i>noun</i><br><ol><li>mother, or one's maternal aunt</li></ol>
yaram|form yaram wi	<i>noun</i><br><ol><li>body</li></ol>
yat|form yat bi	<i>noun</i><br><ol><li>stick, cane</li></ol>
yax|form yax bi	<i>noun</i><br><ol><li>bone</li><li>crux of the matter</li></ol>
yeel	<i>noun</i><br><ol><li>shin, tibia</li></ol>
yeen	<i>pron</i><br><ol><li>you (second-person plural subject pronoun)</li></ol>
yenn saa	<i>adv</i><br><ol><li>sometimes</li></ol>
yokk|form yokk bi	<i>noun</i><br><ol><li>An increase</li></ol>
yoo|form yoo wi	<i>noun</i><br><ol><li>mosquito</li></ol>
yoolaan|form yoolaan bi	<i>noun</i><br><ol><li>genet</li></ol>
yoon|form yoon bi	<i>noun</i><br><ol><li>road</li><li>law</li><li>time</li></ol>
yoor-yoor|form yoor-yoor bi	<i>noun</i><br><ol><li>mid-morning</li></ol>
yow	<i>pron</i><br><ol><li>you (second-person singular subject pronoun)</li></ol>
yumpaañ|form yumpaañ ji	<i>noun</i><br><ol><li>wife of maternal uncle</li></ol>
yumpit|form yumpit bi	<i>noun</i><br><ol><li>second-hand clothing</li></ol>
yàmbaa|form yàmbaa ji	<i>noun</i><br><ol><li>marijuana</li></ol>
yàpp|form yàpp wi	<i>noun</i><br><ol><li>meat</li></ol>
yéré|form yéré bi	<i>noun</i><br><ol><li>clothes</li></ol>
yëf|form yëf yi	<i>noun</i><br><ol><li>things</li></ol>
yëkk|form yëkk wi	<i>noun</i><br><ol><li>bull</li></ol>
yërmande|form yërmande ji	<i>noun</i><br><ol><li>compassion, pity</li></ol>
yóor|form yóor gi	<i>noun</i><br><ol><li>brain</li></ol>
àbb	<i>verb</i><br><ol><li>to borrow</li></ol>
àjjuma	<i>noun</i><br><ol><li>Friday</li></ol>
àkkasaa|form àkkasaa bi	<i>noun</i><br><ol><li>acacia</li></ol>
àllarba	<i>noun</i><br><ol><li>Wednesday</li></ol>
àpparanti|form àpparanti bi	<i>noun</i><br><ol><li>fare receiver</li></ol>
àq|form àq ji	<i>noun</i><br><ol><li>sin, transgression</li></ol>
àttaya|form attaaya ji|attaaya|form àttaya ji	<i>noun</i><br><ol><li>tea (beverage)</li></ol>
ñaar	<i>num</i><br><ol><li>two</li></ol>
ñaar fukk	<i>num</i><br><ol><li>twenty</li></ol>
ñaata	<i>adv</i><br><ol><li>(interrogative) how much, how many</li></ol>
ñaw	<i>verb</i><br><ol><li>(transitive, intransitive) to tailor (sth)</li></ol>
ñawkat	<i>noun</i><br><ol><li>tailor</li></ol>
ñax	<i>noun</i><br><ol><li>grass</li></ol>
ñebbe|form ñebbe ji	<i>noun</i><br><ol><li>black-eyed pea</li></ol>
ñeent|ñent	<i>num</i><br><ol><li>four</li></ol>
ñeeño|form ñeeño bi	<i>noun</i><br><ol><li>A "casted person"; someone who belongs to the middle tier of society, mostly artisans.</li></ol>
ñett	<i>num</i><br><ol><li>three</li></ol>
ñey|form ñay wi|form ñey wi|ñay	<i>noun</i><br><ol><li>elephant</li></ol>
ñibbi	<i>verb</i><br><ol><li>to go home</li></ol>
ñoom	<i>pron</i><br><ol><li>they (third-person plural subject pronoun)</li></ol>
ñungi	<i>pron</i><br><ol><li>they (third person plural, perfect presentative pronoun)</li></ol>
ñungiy	<i>pron</i><br><ol><li>they (third person plural, imperfect presentative pronoun)</li></ol>
ñuul	<i>verb</i><br><ol><li>to be black</li></ol>
ñuul kukk	<i>verb</i><br><ol><li>to be as black as night</li></ol>
ñuulaay	<i>noun</i><br><ol><li>blackness</li></ol>
ñàmbi|form ñàmbi ji	<i>noun</i><br><ol><li>cassava / manioc</li></ol>
ñëw	<i>verb</i><br><ol><li>to come, arrive</li></ol>
óom|wóom|form óom bi|form wóom bi	<i>noun</i><br><ol><li>knee</li></ol>
ŋas	<i>verb</i><br><ol><li>to have measles</li></ol><br><i>noun</i><br><ol><li>measles</li></ol>
ݑ|pe	<i>character</i><br><ol><li>The third letter of the Wolof in Arabic script.</li></ol>
ݕ|ƥe	<i>character</i><br><ol><li>The fifth letter of the Wolof in Arabic script.</li></ol>
ݖ|ce	<i>character</i><br><ol><li>The seventh letter of the Wolof in Arabic script.</li></ol>
ࢠ|ƃe	<i>character</i><br><ol><li>The fourth letter of the Wolof in Arabic script.</li></ol>
