(h)eakkë	<i>adv</i><br><ol><li>suddenly</li></ol>
lājpē|lāj̯p̯ēk|lāj̯p̯ijnë|lāj̯p̯ēsnē|lāj̯p̯ijtē|lājpās̯ën|lāj̯p̯ēptāk̯ëk|lāj̯p̯ijnē|lājpētē|lājpēnē|lāj̯p̯ēn|lāj̯p̯ēm|lāj̯p̯ijstē|lāj̯p̯ēstē|lāj̯p̯ij	<i>noun</i><br><ol><li>(Western Samic) bread</li></ol>
lājttētēk	<i>verb</i><br><ol><li>to scold</li></ol>
lājδëjëtēk	<i>verb</i><br><ol><li>to lead</li></ol>
lājδō	<i>noun</i><br><ol><li>road</li></ol>
lāktëtēk	<i>verb</i><br><ol><li>to become wet</li></ol>
lālētēk	<i>verb</i><br><ol><li>to brood</li></ol>
lāmčē|lām̯č̯ēn|lām̯č̯ijtē|lāmčētē|lāmčās̯ën|lāmčēnē|lām̯č̯ij|lām̯č̯ēptāk̯ëk|lām̯č̯ijnē|lām̯č̯ēk|lām̯č̯ēm|lām̯č̯ēsnē|lām̯č̯ēstē|lām̯č̯ijnë|lām̯č̯ijstē	<i>noun</i><br><ol><li>strap</li></ol>
lāppētēk	<i>verb</i><br><ol><li>to lose (something)</li></ol>
lāvkkë|lāv̯k̯k̯ën|lāv̯k̯k̯ëjstē|lāv̯k̯k̯ëptāk̯ëk|lāv̯k̯k̯ëjnē|lāv̯k̯k̯ëk|lāv̯k̯k̯ëjtē|lāv̯k̯k̯ëjnë|lāv̯k̯k̯ësnē|lāv̯k̯k̯ëj|lāvkkës̯ën|lāv̯k̯k̯ëstē|lāvkkënē|lāvkkëtē|lāv̯k̯k̯ëm	<i>noun</i><br><ol><li>bag</li></ol>
lāvkkē|lāvkkēnē|lāvkkās̯ën|lāv̯k̯k̯ēk|lāv̯k̯k̯ēm|lāv̯k̯k̯ijtē|lāv̯k̯k̯ijnē|lāv̯k̯k̯ēptāk̯ëk|lāv̯k̯k̯ij|lāv̯k̯k̯ijnë|lāv̯k̯k̯ēstē|lāv̯k̯k̯ēn|lāv̯k̯k̯ijstē|lāvkkētē|lāv̯k̯k̯ēsnē	<i>noun</i><br><ol><li>step</li></ol>
lāvkōtēk	<i>verb</i><br><ol><li>to bathe</li></ol>
lāvlōtēk	<i>verb</i><br><ol><li>to sing</li></ol>
lāčētēk	<i>verb</i><br><ol><li>to make a bed</li></ol>
meantētēk	<i>verb</i><br><ol><li>to err</li><li>to miss</li></ol>
mearë|mear̯ëstē|mearëtē|mearës̯ën|mear̯ëjstē|mear̯ëptāk̯ëk|mear̯ëm|mear̯ëjtē|mear̯ëjnē|mear̯ëjnë|mear̯ëk|mear̯ën|mearënē|mear̯ësnē|mear̯ëj	<i>noun</i><br><ol><li>sea</li></ol>
mearētētēk	<i>verb</i><br><ol><li>to determine, to decide</li></ol>
miektë	<i>noun</i><br><ol><li>Carex cespitosa</li></ol>
mielkkē|miel̯k̯k̯ēptāk̯ëk|mielkkētē|miel̯k̯k̯ijnē|miel̯k̯k̯ijtē|mielkkēnē|miel̯k̯k̯ij|miel̯k̯k̯ēsnē|mielkkās̯ën|miel̯k̯k̯ēn|miel̯k̯k̯ēk|miel̯k̯k̯ijstē|miel̯k̯k̯ēstē|miel̯k̯k̯ijnë|miel̯k̯k̯ēm	<i>noun</i><br><ol><li>milk</li></ol>
miellē|miel̯l̯ēn|miel̯l̯ijnë|miel̯l̯ijtē|miel̯l̯ijnē|miel̯l̯ēptāk̯ëk|miel̯l̯ēk|miel̯l̯ij|miellētē|miel̯l̯ēsnē|miel̯l̯ēm|miellēnē|miellās̯ën|miel̯l̯ēstē|miel̯l̯ijstē	<i>noun</i><br><ol><li>riverbank</li></ol>
mielë|miel̯ëptāk̯ëk|miel̯ëjnë|miel̯ëjtē|miel̯ëk|miel̯ëj|miel̯ëstē|miel̯ësnē|mielës̯ën|miel̯ën|miel̯ëjstē|miel̯ëm|mielëtē|miel̯ëjnē|mielënē	<i>noun</i><br><ol><li>mind</li></ol>
mietë|miet̯ëk|miet̯ëm|miet̯ëjstē|miet̯ëptāk̯ëk|miet̯ën|mietënē|miet̯ëjtē|mietëtē|miet̯ëjnē|miet̯ëstē|miet̯ëjnë|miet̯ësnē|miet̯ëj|mietës̯ën	<i>noun</i><br><ol><li>honey</li></ol>
moalkkē	<i>noun</i><br><ol><li>bend</li></ol>
moarsē|moar̯s̯ijstē|moar̯s̯ijnë|moar̯s̯ēm|moar̯s̯ēsnē|moar̯s̯ij|moarsēnē|moar̯s̯ēstē|moar̯s̯ēptāk̯ëk|moar̯s̯ijtē|moarsētē|moar̯s̯ijnē|moar̯s̯ēn|moar̯s̯ēk|moarsās̯ën	<i>noun</i><br><ol><li>bride</li></ol>
moartētēk	<i>verb</i><br><ol><li>to put up snares</li></ol>
mokkē|mokkēnē|mok̯k̯ijnē|mokkās̯ën|mok̯k̯ēm|mok̯k̯ēk|mok̯k̯ij|mok̯k̯ēsnē|mok̯k̯ēptāk̯ëk|mok̯k̯ēn|mok̯k̯ijtē|mok̯k̯ēstē|mok̯k̯ijnë|mokkētē|mok̯k̯ijstē	<i>noun</i><br><ol><li>bend, curve</li></ol>
moljōtēk	
molëtēk	<i>verb</i><br><ol><li>to pass</li></ol>
monë	<i>pron</i><br><ol><li>I</li></ol>
monē|mon̯ēm|mon̯ijnē|mon̯ijstē|monās̯ën|mon̯ēptāk̯ëk|mon̯ijtē|mon̯ēstē|monēnē|mon̯ēk|monētē|mon̯ij|mon̯ēn|mon̯ēsnē|mon̯ijnë	<i>noun</i><br><ol><li>egg</li></ol>
monōj	<i>pron</i><br><ol><li>we two (dual)</li></ol>
moδē|moδ̯ēsnē|moδ̯ijtē|moδ̯ēptāk̯ëk|moδ̯ij|moδ̯ēn|moδ̯ijstē|moδ̯ēm|moδ̯ijnë|moδētē|moδ̯ijnē|moδās̯ën|moδ̯ēstē|moδ̯ēk|moδēnē	<i>noun</i><br><ol><li>mud</li></ol>
mumpē	<i>adj</i><br><ol><li>second</li><li>other</li></ol>
muoksē|muok̯s̯ijstē|muoksēnē|muok̯s̯ēstē|muoksās̯ën|muoksētē|muok̯s̯ijnē|muok̯s̯ij|muok̯s̯ēm|muok̯s̯ijtē|muok̯s̯ēn|muok̯s̯ēsnē|muok̯s̯ijnë|muok̯s̯ēptāk̯ëk|muok̯s̯ēk	<i>noun</i><br><ol><li>liver</li></ol>
muonëtēk	<i>verb</i><br><ol><li>(Western Samic) to guess</li></ol>
muorjē|muor̯j̯ēstē|muor̯j̯ēk|muor̯j̯ijnë|muor̯j̯ēptāk̯ëk|muor̯j̯ēn|muor̯j̯ij|muorjēnē|muorjētē|muorjās̯ën|muor̯j̯ēsnē|muor̯j̯ēm|muor̯j̯ijtē|muor̯j̯ijnē|muor̯j̯ijstē	<i>noun</i><br><ol><li>berry</li></ol>
muorë|muor̯ësnē|muor̯ëjtē|muor̯ëjnë|muorës̯ën|muorëtē|muor̯ën|muor̯ëk|muor̯ëm|muorënē|muor̯ëjnē|muor̯ëptāk̯ëk|muor̯ëjstē|muor̯ëstē|muor̯ëj	<i>noun</i><br><ol><li>tree</li><li>wood</li></ol>
muottëk	<i>noun</i><br><ol><li>snow</li></ol>
muottē|muot̯t̯ēn|muot̯t̯ijnē|muot̯t̯ijnë|muot̯t̯ēsnē|muot̯t̯ēstē|muottās̯ën|muot̯t̯ijstē|muot̯t̯ēptāk̯ëk|muot̯t̯ijtē|muottēnē|muot̯t̯ēk|muot̯t̯ij|muottētē|muot̯t̯ēm	<i>noun</i><br><ol><li>snowfall</li></ol>
muottētēk	<i>verb</i><br><ol><li>to snow</li></ol>
muotō|muotōtē|muot̯ōj|muot̯ōptāk̯ëk|muot̯ōstē|muotōnē|muot̯ōm|muot̯ōjtē|muot̯ōjstē|muot̯ōjnē|muot̯ujnë|muot̯ōn|muot̯ōk|muot̯ōsnē|muotus̯ën	<i>noun</i><br><ol><li>face</li></ol>
muštētēk	<i>verb</i><br><ol><li>to remember</li></ol>
mënëkoatētēk	<i>verb</i><br><ol><li>to begin to go</li></ol>
mënëtēk	<i>verb</i><br><ol><li>to go</li></ol>
mëńē|mëń̯ēn|mëń̯ēk|mëń̯ijstē|mëń̯ēm|mëń̯ijtē|mëń̯ij|mëń̯ēsnē|mëńās̯ën|mëń̯ijnë|mëńēnē|mëń̯ijnē|mëńētē|mëń̯ēptāk̯ëk|mëń̯ēstē	<i>noun</i><br><ol><li>daughter-in-law</li></ol>
māccëtēk	<i>verb</i><br><ol><li>to turn back</li></ol>
mājnōtēk	<i>verb</i><br><ol><li>to praise</li></ol>
māksētēk	<i>verb</i><br><ol><li>to pay</li></ol>
mālē|māl̯ijtē|māl̯ēstē|māl̯ēk|māl̯ijnë|māl̯ēsnē|māl̯ēn|mālās̯ën|mālētē|māl̯ijnē|māl̯ēm|māl̯ēptāk̯ëk|māl̯ij|māl̯ijstē|mālēnē	<i>noun</i><br><ol><li>sap</li></ol>
māntëk|mān̯t̯ëk̯s̯ën|māntëk̯ën|mān̯t̯ëktē|māntëk̯ëj|mān̯t̯ëknē|māntëk̯ëptāk̯ëk|mān̯t̯ëk|māntëk̯ëjstē|māntëk̯ëjtē|māntëk̯ëk|māntëk̯ësnē|māntëk̯ëstē|māntëk̯ëm|māntëk̯ëjnē|māntëk̯ëjnë	<i>noun</i><br><ol><li>root, stem</li></ol>
māntē|mān̯t̯ijnē|mān̯t̯ēm|mān̯t̯ij|mān̯t̯ēptāk̯ëk|mān̯t̯ēk|mān̯t̯ēn|mān̯t̯ijstē|mān̯t̯ijnë|mān̯t̯ijtē|mān̯t̯ēsnē|mān̯t̯ēstē|māntās̯ën|māntēnē|māntētē	<i>noun</i><br><ol><li>south</li><li>base</li></ol>
mānā	<i>noun</i><br><ol><li>child</li></ol>
mānō|mān̯ōk|mānōtē|mān̯ōm|mān̯ōsnē|mān̯ōn|mān̯ōjnē|mān̯ōjstē|mānus̯ën|mānōnē|mān̯ujnë|mān̯ōptāk̯ëk|mān̯ōj|mān̯ōjtē|mān̯ōstē	<i>noun</i><br><ol><li>moon</li><li>month</li></ol>
mārfē|mār̯f̯ēm|mār̯f̯ēk|mār̯f̯ēptāk̯ëk|mārfētē|mār̯f̯ij|mār̯f̯ēstē|mārfās̯ën|mār̯f̯ijnë|mār̯f̯ijtē|mārfēnē|mār̯f̯ēn|mār̯f̯ēsnē|mār̯f̯ijstē|mār̯f̯ijnē	<i>noun</i><br><ol><li>sausage</li></ol>
māttētēk	<i>verb</i><br><ol><li>to have power</li></ol>
mātō|māt̯ōm|māt̯ōsnē|māt̯ōjnē|māt̯ōstē|māt̯ōptāk̯ëk|mātōtē|māt̯ōjstē|mātōnē|māt̯ōn|mātus̯ën|māt̯ōjtē|māt̯ujnë|māt̯ōj|māt̯ōk	<i>noun</i><br><ol><li>worm</li></ol>
māšëtēk	<i>verb</i><br><ol><li>to have patience</li></ol>
mōθē|mōθ̯ijstē|mōθ̯ēk|mōθ̯ijnë|mōθ̯ēn|mōθ̯ēstē|mōθās̯ën|mōθ̯ēm|mōθēnē|mōθ̯ijnē|mōθ̯ēsnē|mōθētē|mōθ̯ēptāk̯ëk|mōθ̯ij|mōθ̯ijtē	<i>noun</i><br><ol><li>maternal aunt younger than one's mother; mother's younger sister</li></ol>
nealjāntë	<i>adj</i><br><ol><li>fourth</li></ol>
nealjē	<i>num</i><br><ol><li>four</li></ol>
nealkē|nealkēnē|nealkētē|neal̯k̯ijnë|neal̯k̯ēptāk̯ëk|neal̯k̯ēsnē|neal̯k̯ēn|neal̯k̯ij|neal̯k̯ijtē|nealkās̯ën|neal̯k̯ijnē|neal̯k̯ēk|neal̯k̯ijstē|neal̯k̯ēstē|neal̯k̯ēm	<i>noun</i><br><ol><li>hunger</li></ol>
neatē	<i>noun</i><br><ol><li>pine marten, Martes martes</li></ol>
neavrē|neavrēs	<i>adj</i><br><ol><li>bad</li><li>poor</li></ol>
niejtë|niej̯t̯ën|niej̯t̯ëptāk̯ëk|niejtës̯ën|niej̯t̯ëjnē|niej̯t̯ëm|niej̯t̯ëk|niej̯t̯ëjtē|niej̯t̯ëjstē|niej̯t̯ëjnë|niej̯t̯ëstē|niej̯t̯ëj|niejtëtē|niej̯t̯ësnē|niejtënē	<i>noun</i><br><ol><li>daughter</li><li>girl</li></ol>
niekëntëtēk	<i>verb</i><br><ol><li>to dream of</li></ol>
nierë|nier̯ëjtē|nier̯ëjnē|nier̯ëjnë|nierënē|nier̯ëj|nier̯ësnē|nier̯ëptāk̯ëk|nier̯ëjstē|nierëtē|nier̯ëk|nier̯ëm|nier̯ëstē|nierës̯ën|nier̯ën	<i>noun</i><br><ol><li>cheek</li></ol>
nijpē|nijpās̯ën|nij̯p̯ēk|nijpētē|nij̯p̯ijnë|nij̯p̯ij|nij̯p̯ijstē|nij̯p̯ēstē|nij̯p̯ēm|nijpēnē|nij̯p̯ijnē|nij̯p̯ēsnē|nij̯p̯ijtē|nij̯p̯ēn|nij̯p̯ēptāk̯ëk	<i>noun</i><br><ol><li>knife</li></ol>
nisōn|nisun̯ën|nisun̯ëjtē|nisun̯ëj|nisun̯ëjnë|nisun̯ëjstē|nis̯ōntē|nisun̯ëstē|nis̯ōnnē|nisun̯ëjnē|nisun̯ëm|nisun̯ëptāk̯ëk|nis̯ōn|nis̯un̯s̯ën|nisun̯ëk|nisun̯ësnē	<i>noun</i><br><ol><li>woman</li></ol>
noajtē	<i>noun</i><br><ol><li>shaman</li></ol>
noarvē	<i>noun</i><br><ol><li>seal, (animal)</li></ol>
noaδē	<i>noun</i><br><ol><li>burden</li></ol>
nokkëtēk	<i>verb</i><br><ol><li>to fall asleep</li><li>to nap</li></ol>
nokëtēk	<i>verb</i><br><ol><li>to run out</li></ol>
nortëtēk	<i>verb</i><br><ol><li>to push</li></ol>
nuolëtēk	<i>verb</i><br><ol><li>to separate</li></ol>
nuorjō	<i>noun</i><br><ol><li>seal (animal)</li></ol>
nuorttē|nuorttētē|nuor̯t̯t̯ijtē|nuor̯t̯t̯ēsnē|nuor̯t̯t̯ēk|nuor̯t̯t̯ijstē|nuor̯t̯t̯ijnē|nuor̯t̯t̯ēstē|nuor̯t̯t̯ēn|nuor̯t̯t̯ēm|nuor̯t̯t̯ijnë|nuorttēnē|nuor̯t̯t̯ēptāk̯ëk|nuor̯t̯t̯ij|nuorttās̯ën	<i>noun</i><br><ol><li>north</li><li>east</li><li>south</li></ol>
nuorë	<i>adj</i><br><ol><li>young</li></ol>
nëkkēttētēk	<i>verb</i><br><ol><li>to push</li></ol>
nëmtētēk	<i>verb</i><br><ol><li>to call (by name)</li></ol>
nëmë|nëm̯ëm|nëm̯ën|nëmëtē|nëmënē|nëm̯ësnē|nëm̯ëptāk̯ëk|nëm̯ëjnē|nëm̯ëjstē|nëm̯ëjnë|nëm̯ëj|nëmës̯ën|nëm̯ëk|nëm̯ëjtē|nëm̯ëstē	<i>noun</i><br><ol><li>name</li></ol>
nënōs	<i>adj</i><br><ol><li>strong</li></ol>
nërkētēk	<i>verb</i><br><ol><li>to have sex</li></ol>
nëvētēk	<i>verb</i><br><ol><li>to soak hairs off leather</li></ol>
nëδë|nëδ̯ëk|nëδënē|nëδëtē|nëδ̯ëj|nëδ̯ësnē|nëδ̯ëstē|nëδ̯ëm|nëδ̯ëjstē|nëδ̯ëjnë|nëδ̯ëjtē|nëδ̯ën|nëδës̯ën|nëδ̯ëptāk̯ëk|nëδ̯ëjnē	<i>noun</i><br><ol><li>handle</li></ol>
nākkē|nāk̯k̯ēn|nāk̯k̯ij|nāk̯k̯ēptāk̯ëk|nāk̯k̯ēstē|nāk̯k̯ijstē|nāk̯k̯ijnē|nāk̯k̯ēk|nākkēnē|nāk̯k̯ēm|nāk̯k̯ēsnē|nāk̯k̯ijnë|nākkētē|nākkās̯ën|nāk̯k̯ijtē	<i>noun</i><br><ol><li>leather</li></ol>
nālëtēk	<i>verb</i><br><ol><li>to cut/chop in two</li></ol>
nāppē|nāp̯p̯ēk|nāp̯p̯ijtē|nāppās̯ën|nāp̯p̯ēstē|nāp̯p̯ēsnē|nāp̯p̯ēptāk̯ëk|nāp̯p̯ij|nāppētē|nāp̯p̯ijnë|nāp̯p̯ēn|nāppēnē|nāp̯p̯ijnē|nāp̯p̯ēm|nāp̯p̯ijstē	<i>noun</i><br><ol><li>bowl</li></ol>
nāpē|nāpētē|nāp̯ijstē|nāp̯ijnë|nāp̯ēptāk̯ëk|nāp̯ēsnē|nāp̯ijnē|nāp̯ēm|nāp̯ēn|nāp̯ēstē|nāp̯ēk|nāpās̯ën|nāp̯ijtē|nāp̯ij|nāpēnē	<i>noun</i><br><ol><li>navel</li></ol>
nārēńčë	<i>noun</i><br><ol><li>pimple</li></ol>
nāstē|nās̯t̯ēk|nās̯t̯ij|nās̯t̯ēptāk̯ëk|nās̯t̯ijnē|nās̯t̯ijstē|nās̯t̯ēn|nās̯t̯ijnë|nās̯t̯ēstē|nāstētē|nāstās̯ën|nāstēnē|nās̯t̯ēsnē|nās̯t̯ēm|nās̯t̯ijtē	<i>noun</i><br><ol><li>star</li></ol>
nāvtē|nāv̯t̯ēn|nāvtās̯ën|nāv̯t̯ēstē|nāvtētē|nāv̯t̯ēk|nāv̯t̯ēsnē|nāv̯t̯ijstē|nāv̯t̯ijnë|nāv̯t̯ijnē|nāv̯t̯ēptāk̯ëk|nāvtēnē|nāv̯t̯ijtē|nāv̯t̯ij|nāv̯t̯ēm	<i>noun</i><br><ol><li>predator</li></ol>
nāδōtēk	
oacē|oacās̯ën|oac̯ēn|oac̯ēstē|oacēnē|oac̯ijnë|oac̯ijtē|oacētē|oac̯ēm|oac̯ēptāk̯ëk|oac̯ijstē|oac̯ēk|oac̯ij|oac̯ijnē|oac̯ēsnē	
oajnujëtēk	<i>verb</i><br><ol><li>to be seen</li><li>to appear</li></ol>
oajnētēk	<i>verb</i><br><ol><li>to see</li></ol>
oajttētēk	<i>verb</i><br><ol><li>to win</li></ol>
oajvē|oaj̯v̯ēk|oaj̯v̯ij|oaj̯v̯ēstē|oajvēnē|oaj̯v̯ijstē|oaj̯v̯ijnē|oaj̯v̯ēm|oaj̯v̯ēn|oaj̯v̯ēsnē|oajvās̯ën|oaj̯v̯ijnë|oajvētē|oaj̯v̯ijtē|oaj̯v̯ēptāk̯ëk	<i>noun</i><br><ol><li>head</li></ol>
oajāltëttētēk	<i>verb</i><br><ol><li>to forget</li></ol>
oaksē|oak̯s̯ēk|oak̯s̯ēstē|oak̯s̯ijtē|oak̯s̯ēm|oak̯s̯ēn|oaksās̯ën|oak̯s̯ij|oak̯s̯ijnë|oak̯s̯ijstē|oak̯s̯ijnē|oak̯s̯ēsnē|oak̯s̯ēptāk̯ëk|oaksēnē|oaksētē	<i>noun</i><br><ol><li>branch, stick</li></ol>
oaktē|oak̯t̯ēsnē|oak̯t̯ēptāk̯ëk|oak̯t̯ēm|oak̯t̯ijstē|oaktētē|oak̯t̯ēk|oaktēnē|oak̯t̯ijtē|oak̯t̯ij|oak̯t̯ijnē|oak̯t̯ēn|oak̯t̯ijnë|oaktās̯ën|oak̯t̯ēstē	<i>noun</i><br><ol><li>rainshower</li></ol>
oakōtēk	<i>verb</i><br><ol><li>to gallop</li></ol>
oalkē|oal̯k̯ēk|oal̯k̯ēn|oal̯k̯ijstē|oal̯k̯ēptāk̯ëk|oal̯k̯ijtē|oal̯k̯ij|oal̯k̯ēstē|oalkās̯ën|oal̯k̯ēsnē|oal̯k̯ijnë|oalkēnē|oal̯k̯ēm|oal̯k̯ijnē|oalkētē	<i>noun</i><br><ol><li>shoulder</li></ol>
oalē|oal̯ij|oalētē|oal̯ijstē|oal̯ēptāk̯ëk|oal̯ēm|oal̯ijtē|oal̯ēsnē|oalās̯ën|oal̯ijnē|oal̯ēk|oal̯ēstē|oalēnē|oal̯ijnë|oal̯ēn	<i>noun</i><br><ol><li>waterway</li></ol>
oalēs	<i>noun</i><br><ol><li>groove along the underside of a ski</li></ol>
oalōl|oalul̯ëm|oalul̯ëjnë|oalul̯ëjstē|oalul̯ëptāk̯ëk|oalul̯ëstē|oalul̯ëk|oal̯ul̯s̯ën|oalul̯ën|oalul̯ëjtē|oalul̯ëjnē|oal̯ōl|oalul̯ësnē|oal̯ōltē|oal̯ōlnē|oalul̯ëj	<i>noun</i><br><ol><li>jaw</li></ol>
oalōtēk	<i>verb</i><br><ol><li>to gnaw</li><li>to delimb</li></ol>
oampā	<i>noun</i><br><ol><li>(Western) Alternative form of *oampē</li></ol>
oampē|oam̯p̯ēsnē|oampēnē|oam̯p̯ēk|oam̯p̯ēn|oam̯p̯ij|oam̯p̯ijnë|oam̯p̯ēm|oampās̯ën|oampētē|oam̯p̯ēptāk̯ëk|oam̯p̯ijtē|oam̯p̯ijstē|oam̯p̯ēstē|oam̯p̯ijnē	<i>noun</i><br><ol><li>sister</li></ol>
oamē	<i>noun</i><br><ol><li>goods, ware</li></ol>
oantē	<i>noun</i><br><ol><li>root</li></ol>
oanē	<i>adj</i><br><ol><li>short</li></ol>
oappëtēk	<i>verb</i><br><ol><li>to learn</li></ol>
oappēs	<i>adj</i><br><ol><li>known</li><li>familiar</li></ol>
oarjē	<i>noun</i><br><ol><li>south</li></ol>
oarpēnē	<i>noun</i><br><ol><li>female cousin</li></ol>
oarpēs	<i>noun</i><br><ol><li>orphan</li></ol>
oarë|oar̯ëjstē|oar̯ëj|oar̯ëjtē|oar̯ëptāk̯ëk|oar̯ëm|oar̯ëstē|oarënē|oar̯ëjnë|oar̯ën|oarës̯ën|oar̯ëk|oarëtē|oar̯ëjnē|oar̯ësnē	<i>noun</i><br><ol><li>line, thin rope</li></ol>
oarē|oarēnē|oar̯ēptāk̯ëk|oar̯ēk|oar̯ēsnē|oar̯ijstē|oar̯ēm|oarē|oar̯ijnë|oar̯ijtē|oarās̯ën|oar̯ēstē|oar̯ijnē|oarētē|oar̯ēn|oar̯ij	<i>noun</i><br><ol><li>bodkin</li><li>vein</li><li>route, channel</li></ol>
oarēvē	<i>noun</i><br><ol><li>squirrel</li></ol>
oastētēk	<i>verb</i><br><ol><li>to buy, to purchase</li></ol>
oasē|oas̯ēm|oas̯ijnë|oas̯ēptāk̯ëk|oas̯ēn|oasētē|oas̯ēk|oas̯ijstē|oasās̯ën|oas̯ijtē|oas̯ij|oasēnē|oas̯ēsnē|oas̯ēstē|oas̯ijnē	<i>noun</i><br><ol><li>part</li></ol>
oańčē|oań̯č̯ēk|oań̯č̯ēn|oań̯č̯ijtē|oań̯č̯ijnē|oań̯č̯ijnë|oańčētē|oań̯č̯ēstē|oań̯č̯ēsnē|oańčēnē|oańčās̯ën|oań̯č̯ēptāk̯ëk|oań̯č̯ēm|oań̯č̯ijstē|oań̯č̯ij	<i>noun</i><br><ol><li>meat, flesh</li></ol>
oańčōtēk	<i>verb</i><br><ol><li>to get, to receive</li></ol>
oańē	<i>noun</i><br><ol><li>sister-in-law</li></ol>
oaŋkōtēk	<i>verb</i><br><ol><li>to angle, to fish</li></ol>
oaδētēk	<i>verb</i><br><ol><li>to sleep</li></ol>
ocë|oc̯ëk|ocënē|oc̯ëptāk̯ëk|oc̯ëm|oc̯ësnē|ocës̯ën|oc̯ëjstē|oc̯ëj|oc̯ën|oc̯ëjnē|oc̯ëjnë|ocëtē|oc̯ëstē|oc̯ëjtē	<i>noun</i><br><ol><li>cleavage</li></ol>
ocëtēk	<i>verb</i><br><ol><li>to seek</li></ol>
olkusë	<i>adv</i><br><ol><li>out, outside</li></ol>
olkō|olkōtē|olkōnē|ol̯k̯ōjstē|ol̯k̯ōn|ol̯k̯ujnë|ol̯k̯ōstē|ol̯k̯ōj|ol̯k̯ōptāk̯ëk|ol̯k̯ōm|ol̯k̯ōjnē|ol̯k̯ōsnē|olkus̯ën|ol̯k̯ōk|ol̯k̯ōjtē	<i>noun</i><br><ol><li>outside, exterior</li></ol>
olkōnē	<i>adv</i><br><ol><li>outside</li></ol>
olmōńčë	<i>noun</i><br><ol><li>person, human</li></ol>
olētēk	<i>verb</i><br><ol><li>to reach</li></ol>
ompë	<i>adj</i><br><ol><li>whole, entire</li><li>closed</li></ol>
ompël	<i>noun</i><br><ol><li>awl</li></ol>
ortë|or̯t̯ëk|or̯t̯ëjtē|or̯t̯ëj|or̯t̯ëjnē|or̯t̯ëstē|or̯t̯ëjnë|ortëtē|or̯t̯ën|ortënē|or̯t̯ësnē|or̯t̯ëjstē|ortës̯ën|or̯t̯ëptāk̯ëk|or̯t̯ëm	<i>noun</i><br><ol><li>tree-line</li></ol>
ortē|or̯t̯ēm|or̯t̯ēstē|or̯t̯ij|or̯t̯ijtē|or̯t̯ijnē|ortētē|or̯t̯ēk|ortēnē|or̯t̯ijnë|or̯t̯ēptāk̯ëk|or̯t̯ēn|or̯t̯ēsnē|ortās̯ën|or̯t̯ijstē	<i>noun</i><br><ol><li>edge</li></ol>
orēkkē|or̯ēk̯k̯ējstē|or̯ēk̯k̯ējtē|or̯ēkkās̯ën|or̯ēkkētē|or̯ēk̯k̯ējnë|or̯ēkkē|or̯ēk̯k̯ēj|or̯ēk̯k̯ēptāk̯ëk|or̯ēk̯k̯ēn|or̯ēk̯k̯ēstē|or̯ēk̯k̯ēm|or̯ēk̯k̯ēsnē|or̯ēk̯k̯ēk|or̯ēkkēnē|or̯ēk̯k̯ējnē	<i>noun</i><br><ol><li>two-year old male reindeer</li></ol>
orēs|orās̯ëstē|orās̯ën|orās̯ëj|or̯ēs|orās̯ëjtē|orās̯ëjnë|orās̯ëk|or̯ēstē|orās̯ëm|or̯ās̯s̯ën|orās̯ëptāk̯ëk|or̯ēsnē|orās̯ëjnē|orās̯ësnē|orās̯ëjstē	<i>noun</i><br><ol><li>male</li></ol>
orōstētēk	<i>verb</i><br><ol><li>to be (somewhere) a little</li></ol>
orōtēk	<i>verb</i><br><ol><li>to be</li><li>to live, to reside</li></ol>
oskōtēk	<i>verb</i><br><ol><li>to believe in (the existence of)</li></ol>
oδës|oδë	<i>adj</i><br><ol><li>new</li></ol>
peackētētēk	<i>verb</i><br><ol><li>to shear, to shave (hair)</li></ol>
peacē|peac̯ēm|peac̯ēsnē|peac̯ijnē|peac̯ēn|peac̯ijtē|peac̯ēptāk̯ëk|peacās̯ën|peac̯ij|peacēnē|peac̯ēstē|peac̯ijnë|peac̯ijstē|peac̯ēk|peacētē	<i>noun</i><br><ol><li>pine</li></ol>
peajvāńčë	<i>noun</i><br><ol><li>sun</li></ol>
peajvē|peajvās̯ën|peaj̯v̯ijnē|peaj̯v̯ēk|peaj̯v̯ēn|peaj̯v̯ēstē|peaj̯v̯ijstē|peaj̯v̯ēm|peajvētē|peaj̯v̯ēsnē|peaj̯v̯ijtē|peaj̯v̯ij|peaj̯v̯ēptāk̯ëk|peaj̯v̯ijnë|peajvēnē	<i>noun</i><br><ol><li>sun</li><li>day</li></ol>
peakētēk	<i>verb</i><br><ol><li>to crawl</li></ol>
pealjē|peal̯j̯ijnē|pealjēnē|peal̯j̯ēk|peal̯j̯ijstē|peal̯j̯ijtē|peal̯j̯ij|pealjās̯ën|peal̯j̯ēstē|pealjētē|peal̯j̯ēptāk̯ëk|peal̯j̯ēsnē|peal̯j̯ijnë|peal̯j̯ēn|peal̯j̯ēm	<i>noun</i><br><ol><li>ear</li></ol>
pealjētteamē|pealjēttēs	<i>adj</i><br><ol><li>deaf</li></ol>
pealkē|peal̯k̯ēm|pealkēnē|peal̯k̯ēn|peal̯k̯ēk|pealkētē|peal̯k̯ij|peal̯k̯ijnē|peal̯k̯ēsnē|peal̯k̯ijstē|peal̯k̯ijnë|peal̯k̯ēptāk̯ëk|peal̯k̯ēstē|peal̯k̯ijtē|pealkās̯ën	<i>noun</i><br><ol><li>thumb</li></ol>
